['BO', 50, 'UO', 22, 'perl', 'diff3', 'O2', 'O2', 0.08428055729586204, 2.6229636669158936]
['BO', 5, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O1', 0.17376704807677001, 29.286266326904297]
['CO', 151, 'BO', 36, 'numfmt', 'cluster', 'O1', 'O2', 0.10988074957410565, 0.14634418487548828]
['CO', 368, 'BO', 44, 'cut', 'cmp', 'O0', 'O2', 0.06953846153846155, 0.051088571548461914]
['UO', 42, 'CO', 37, 'xargs', 'truncate', 'O2', 'O3', 0.1174961518727553, 0.06437969207763672]
['CO', 404, 'UO', 27, 'sha512sum', 'strip', 'O0', 'O2', 0.1300220750551877, 1.3269314765930176]
['UO', 9, 'CO', 373, 'strings', 'cksum', 'O1', 'O0', 0.14605183323220938, 1.101119041442871]
['CO', 24, 'UO', 0, 'tee', 'locate', 'O3', 'O1', 0.1342941369145103, 0.1269528865814209]
['UO', 40, 'CO', 292, 'objdump', 'vdir', 'O2', 'O2', 0.11298764366265579, 2.3342361450195312]
['UO', 4, 'CO', 106, 'strip', 'stat', 'O1', 'O1', 0.126562066092752, 1.6100666522979736]
['UO', 22, 'CO', 100, 'diff3', 'tac', 'O2', 'O3', 0.0490762124711317, 0.04419660568237305]
['UO', 32, 'CO', 201, 'strings', 'uniq', 'O2', 'O1', 0.13821718568751673, 0.9907207489013672]
['CO', 157, 'BO', 37, 'chmod', 'gvmap', 'O1', 'O2', 0.09305873379099927, 0.166548490524292]
['UO', 74, 'CO', 181, 'ld', 'env', 'O0', 'O1', 0.1500646830530401, 4.0961480140686035]
['CO', 141, 'UO', 85, 'truncate', 'locate', 'O1', 'O0', 0.15192992061319466, 0.21487808227539062]
['CO', 223, 'UO', 14, 'join', 'ar', 'O2', 'O1', 0.14485109145500286, 1.240039348602295]
['UO', 33, 'BO', 62, 'objcopy', 'bash', 'O2', 'O1', 0.034619023765792845, 7.568703651428223]
['CO', 211, 'BO', 71, 'unlink', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.20370134014039565, 6.694112777709961]
['CO', 383, 'BO', 6, 'readlink', 'codeblocks', 'O0', 'O0', 0.2034609624877517, 31.75368046760559]
['UO', 83, 'CO', 362, 'diff', 'dircolors', 'O0', 'O0', 0.1300461361014994, 0.1934666633605957]
['UO', 64, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.12669039145907468, 0.09100866317749023]
['CO', 105, 'UO', 38, 'touch', 'elfedit', 'O1', 'O2', 0.08278867102396514, 0.056752920150756836]
['UO', 70, 'CO', 45, 'ranlib', 'split', 'O0', 'O3', 0.1451879616359828, 2.4653806686401367]
['BO', 46, 'CO', 23, 'ruby', 'pr', 'O3', 'O3', 0.10253149224806202, 13.501103401184082]
['UO', 43, 'CO', 79, 'find', 'link', 'O2', 'O3', 0.16851949885300865, 0.35228395462036133]
['CO', 385, 'UO', 75, 'hostid', 'gprof', 'O0', 'O0', 0.14819827440365418, 2.4523820877075195]
['BO', 77, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O3', 'O2', 0.1925983961655452, 5.071633338928223]
['BO', 42, 'CO', 247, 'cmp', 'paste', 'O1', 'O2', 0.0747879722436392, 0.03240609169006348]
['UO', 18, 'BO', 44, 'diff3', 'cmp', 'O1', 'O2', 0.04141018466703972, 0.05240797996520996]
['BO', 22, 'UO', 2, 'perl', 'find', 'O0', 'O1', 0.07482604914111768, 6.142799615859985]
['CO', 257, 'BO', 50, 'nice', 'perl', 'O2', 'O2', 0.08776225890319855, 2.5093183517456055]
['UO', 33, 'CO', 385, 'objcopy', 'hostid', 'O2', 'O0', 0.13695129284425733, 1.2428321838378906]
['CO', 150, 'BO', 29, 'whoami', 'libvlc.so.12.0.0', 'O1', 'O2', 0.2218675179569034, 0.4153428077697754]
['BO', 67, 'CO', 35, 'libSDL2-2.0.so.0.16.0', 'base32', 'O1', 'O3', 0.20530248252590988, 5.479018449783325]
['CO', 147, 'UO', 57, 'chroot', 'size', 'O1', 'O3', 0.1331509347925217, 0.9014830589294434]
['UO', 47, 'BO', 29, 'as', 'libvlc.so.12.0.0', 'O3', 'O2', 0.06467709432875923, 3.2070255279541016]
['CO', 10, 'UO', 21, 'users', 'sdiff', 'O3', 'O1', 0.08467501490757301, 0.04423165321350098]
['CO', 376, 'UO', 26, 'tty', 'nm', 'O0', 'O2', 0.14326291496538257, 1.0387773513793945]
['BO', 39, 'CO', 234, 'codeblocks', 'kill', 'O3', 'O2', 0.18600581589850484, 11.280899286270142]
['CO', 110, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19075390905039624, 30.43356943130493]
['UO', 56, 'CO', 179, 'elfedit', 'mv', 'O3', 'O1', 0.13430420711974111, 0.1278841495513916]
['UO', 30, 'CO', 30, 'ranlib', 'expand', 'O2', 'O3', 0.14405558850944833, 1.0452427864074707]
['BO', 35, 'CO', 325, 'make', 'printenv', 'O3', 'O0', 0.1250466592011945, 0.24364614486694336]
['UO', 38, 'CO', 207, 'elfedit', 'ln', 'O2', 'O1', 0.1035799522673031, 0.07274603843688965]
['UO', 45, 'CO', 369, 'strip', 'od', 'O3', 'O0', 0.1167829599706206, 1.2427566051483154]
['CO', 152, 'BO', 52, 'ls', 'svn', 'O1', 'O3', 0.1403123789854137, 0.7966558933258057]
['UO', 26, 'CO', 208, 'nm', 'sha384sum', 'O2', 'O2', 0.1444148936170213, 0.9979038238525391]
['UO', 13, 'CO', 182, 'addr2line', 'chcon', 'O1', 'O1', 0.13243287761489042, 1.268500804901123]
['BO', 63, 'CO', 366, 'cluster', 'true', 'O0', 'O0', 0.12526766595289085, 0.20972657203674316]
['UO', 70, 'CO', 61, 'ranlib', 'cksum', 'O0', 'O3', 0.1534502262443439, 2.3260183334350586]
['UO', 71, 'CO', 37, 'c++filt', 'truncate', 'O0', 'O3', 0.1531220209723546, 2.144230365753174]
['CO', 96, 'UO', 87, 'fold', 'find', 'O3', 'O0', 0.17062433297758806, 0.6197316646575928]
['CO', 266, 'UO', 9, 'df', 'strings', 'O2', 'O1', 0.13037425272295478, 1.350325107574463]
['BO', 80, 'UO', 47, 'ssh', 'as', 'O3', 'O3', 0.014959504525964729, 5.604733467102051]
['UO', 76, 'CO', 28, 'addr2line', 'factor', 'O0', 'O3', 0.1475903614457832, 2.3564882278442383]
['BO', 51, 'CO', 220, 'lua', 'ptx', 'O1', 'O2', 0.1170965806838632, 0.5198109149932861]
['CO', 76, 'BO', 40, 'md5sum', 'lua', 'O3', 'O0', 0.1384615384615384, 0.7712328433990479]
['CO', 300, 'UO', 41, 'sha512sum', 'locate', 'O2', 'O2', 0.13221990257480865, 0.13100385665893555]
['BO', 68, 'CO', 258, 'git', 'dircolors', 'O3', 'O2', 0.09290699498117938, 6.656488418579102]
['UO', 79, 'CO', 396, 'size', 'vdir', 'O0', 'O0', 0.1125104515050167, 3.341071367263794]
['CO', 277, 'UO', 22, 'who', 'diff3', 'O2', 'O2', 0.052343274497869796, 0.04650592803955078]
['UO', 84, 'BO', 9, 'sdiff', 'git', 'O0', 'O0', 0.08941450174486232, 7.604185342788696]
['UO', 19, 'CO', 303, 'cmp', 'sha224sum', 'O1', 'O2', 0.05056980056980054, 0.03905916213989258]
['UO', 34, 'BO', 67, 'ld', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.05560322161025155, 14.688593626022339]
['CO', 223, 'BO', 15, 'join', 'diff', 'O2', 'O0', 0.14331395348837206, 0.17469525337219238]
['CO', 165, 'UO', 42, 'cksum', 'xargs', 'O1', 'O2', 0.11540497617787193, 0.07143402099609375]
['CO', 268, 'BO', 24, 'base64', 'cluster', 'O2', 'O3', 0.12969808995687004, 0.11704730987548828]
['UO', 6, 'BO', 43, 'as', 'diff', 'O1', 'O1', 0.10743675708625422, 2.6239891052246094]
['BO', 35, 'CO', 275, 'make', 'nohup', 'O3', 'O2', 0.13068074674712427, 0.23249244689941406]
['BO', 33, 'UO', 34, 'sort', 'ld', 'O2', 'O2', 0.11848683479613376, 2.465632200241089]
['BO', 62, 'CO', 367, 'bash', 'cp', 'O1', 'O0', 0.09706016063039857, 3.995455026626587]
['UO', 38, 'CO', 82, 'elfedit', 'shuf', 'O2', 'O3', 0.06221973094170408, 0.0495455265045166]
['UO', 40, 'CO', 346, 'objdump', 'tail', 'O2', 'O0', 0.11692240004399712, 2.264838695526123]
['BO', 52, 'UO', 43, 'svn', 'find', 'O3', 'O2', 0.055571069533649764, 1.3969385623931885]
['BO', 75, 'CO', 110, 'gvmap', 'mkdir', 'O1', 'O1', 0.10910058541777545, 0.1548786163330078]
['CO', 208, 'BO', 61, 'sha384sum', 'git', 'O2', 'O1', 0.09278855575151868, 6.787525415420532]
['BO', 54, 'CO', 289, 'lua', 'cat', 'O3', 'O2', 0.11966987620357639, 0.3237128257751465]
['BO', 13, 'CO', 160, 'ruby', 'cut', 'O1', 'O1', 0.10387176400676534, 13.41300916671753]
['BO', 67, 'CO', 206, 'libSDL2-2.0.so.0.16.0', 'mknod', 'O1', 'O1', 0.20537270087124881, 5.330544948577881]
['UO', 21, 'CO', 154, 'sdiff', 'dircolors', 'O1', 'O1', 0.057309941520467866, 0.052132368087768555]
['BO', 64, 'UO', 45, 'dot', 'strip', 'O0', 'O3', 0.14203560737356224, 0.9399006366729736]
['CO', 327, 'BO', 56, 'join', 'libvlc.so.12.0.0', 'O0', 'O3', 0.17991111111111113, 0.4988870620727539]
['UO', 31, 'CO', 92, 'c++filt', 'sha512sum', 'O2', 'O3', 0.1423664467142728, 0.9304993152618408]
['CO', 75, 'BO', 79, 'mv', 'bash', 'O3', 'O3', 0.09691711279305892, 3.2570784091949463]
['UO', 46, 'CO', 234, 'readelf', 'kill', 'O3', 'O2', 0.10564150648538839, 0.23896002769470215]
['UO', 71, 'BO', 68, 'c++filt', 'git', 'O0', 'O3', 0.03436353797125846, 17.300962209701538]
['CO', 244, 'UO', 31, 'pinky', 'c++filt', 'O2', 'O2', 0.14378309293408797, 0.9806201457977295]
['UO', 25, 'CO', 314, 'sdiff', 'stat', 'O2', 'O0', 0.10505836575875482, 0.11294865608215332]
['CO', 262, 'UO', 31, 'true', 'c++filt', 'O2', 'O2', 0.15106303618052963, 0.8853144645690918]
['BO', 25, 'CO', 11, 'dot', 'groups', 'O3', 'O3', 0.1547085201793722, 0.015352010726928711]
['BO', 46, 'CO', 412, 'ruby', 'tac', 'O3', 'O0', 0.10276283395641472, 13.46047854423523]
['CO', 197, 'UO', 2, 'nl', 'find', 'O1', 'O1', 0.15591128897782225, 0.4275021553039551]
['BO', 83, 'CO', 196, 'lua', 'sha512sum', 'O2', 'O1', 0.1223982196622595, 0.433748722076416]
['CO', 1, 'BO', 56, 'touch', 'libvlc.so.12.0.0', 'O3', 'O3', 0.1816923343138952, 0.4767115116119385]
['UO', 0, 'BO', 42, 'locate', 'cmp', 'O1', 'O1', 0.12349299446073636, 0.13744187355041504]
['BO', 36, 'CO', 85, 'cluster', '[', 'O2', 'O3', 0.12413394919168597, 0.12311315536499023]
['UO', 16, 'CO', 48, 'size', 'ls', 'O1', 'O3', 0.1149777709642803, 1.4660475254058838]
['CO', 238, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17494855392665143, 29.37272357940674]
['CO', 60, 'UO', 87, 'base64', 'find', 'O3', 'O0', 0.1688587750763917, 0.638664960861206]
['BO', 28, 'CO', 103, 'ruby', 'ln', 'O0', 'O3', 0.10148295872006718, 14.58986783027649]
['CO', 212, 'UO', 5, 'test', 'readelf', 'O2', 'O1', 0.11761148904006047, 0.3057432174682617]
['UO', 34, 'CO', 43, 'ld', 'chroot', 'O2', 'O3', 0.13996087497776988, 1.9129853248596191]
['BO', 4, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O2', 'O3', 0.1777502343836901, 28.59792399406433]
['UO', 83, 'BO', 46, 'diff', 'ruby', 'O0', 'O3', 0.09502108456018343, 16.488173723220825]
['CO', 95, 'UO', 19, 'sha224sum', 'cmp', 'O3', 'O1', 0.047368421052631615, 0.038305044174194336]
['BO', 69, 'CO', 169, 'cmp', 'false', 'O3', 'O1', 0.057993730407523536, 0.032041072845458984]
['UO', 56, 'CO', 384, 'elfedit', 'head', 'O3', 'O0', 0.06993424985056784, 0.0491328239440918]
['CO', 168, 'BO', 57, 'tty', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.1558259616539247, 4.622714042663574]
['UO', 65, 'CO', 401, 'sdiff', 'pathchk', 'O3', 'O0', 0.056246299585553605, 0.05083894729614258]
['UO', 54, 'CO', 224, 'addr2line', 'dirname', 'O3', 'O2', 0.14257555847568992, 0.8060879707336426]
['UO', 5, 'CO', 55, 'readelf', 'cp', 'O1', 'O3', 0.07239706431148152, 0.4728221893310547]
['CO', 117, 'UO', 18, 'printenv', 'diff3', 'O1', 'O1', 0.08551372048500316, 0.04533553123474121]
['CO', 132, 'UO', 68, 'factor', 'readelf', 'O1', 'O0', 0.1143221419464513, 0.6009559631347656]
['BO', 41, 'CO', 269, 'libSDL2-2.0.so.0.16.0', 'cksum', 'O2', 'O2', 0.210930532157368, 5.252947568893433]
['UO', 44, 'CO', 102, 'nm', 'mknod', 'O3', 'O3', 0.13755991679479063, 0.8522956371307373]
['CO', 19, 'BO', 11, 'dd', 'ssh', 'O3', 'O1', 0.13541981960167082, 1.695671796798706]
['CO', 277, 'BO', 27, 'who', 'perl', 'O2', 'O3', 0.08230500923293371, 2.531409978866577]
['BO', 69, 'UO', 11, 'cmp', 'ld', 'O3', 'O1', 0.1432789162903786, 2.144526243209839]
['CO', 116, 'BO', 40, 'ptx', 'lua', 'O1', 'O0', 0.12640421998632412, 0.8593945503234863]
['UO', 78, 'CO', 265, 'elfedit', 'od', 'O0', 'O2', 0.03928365106874643, 0.049028873443603516]
['UO', 3, 'CO', 200, 'nm', 'fold', 'O1', 'O1', 0.14811658428498387, 1.114654779434204]
['CO', 7, 'UO', 59, 'fmt', 'locate', 'O3', 'O3', 0.12677053824362605, 0.10841631889343262]
['BO', 19, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O1', 'O1', 0.15932203389830502, 5.02144193649292]
['CO', 367, 'UO', 28, 'cp', 'readelf', 'O0', 'O2', 0.03063063063063065, 0.635444164276123]
['BO', 21, 'UO', 56, 'cp', 'elfedit', 'O1', 'O3', 0.1322132943754566, 0.10567331314086914]
['BO', 12, 'CO', 52, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O3', 0.19188292152714426, 29.147141456604004]
['CO', 209, 'UO', 32, 'touch', 'strings', 'O2', 'O2', 0.13374846518154704, 1.0771057605743408]
['CO', 156, 'BO', 75, 'sha256sum', 'gvmap', 'O1', 'O1', 0.11510989010989015, 0.14773106575012207]
['CO', 288, 'UO', 42, 'uname', 'xargs', 'O2', 'O2', 0.13873159682899205, 0.06223273277282715]
['BO', 45, 'CO', 224, 'diff', 'dirname', 'O2', 'O2', 0.14647036617591547, 0.0917973518371582]
['UO', 76, 'CO', 1, 'addr2line', 'touch', 'O0', 'O3', 0.14498590414820778, 2.309476613998413]
['CO', 100, 'UO', 11, 'tac', 'ld', 'O3', 'O1', 0.14321999653639672, 2.1490225791931152]
