['BV', 36, 'CV', 322, 'libvlc.so', 'ginstall', 'V2', 'V1', 0.14985687826233374, 0.43523359298706055]
['BV', 42, 'UV', 80, 'libvlc.so', 'objcopy', 'V1', 'V0', 0.07516716624394748, 2.13612699508667]
['CV', 271, 'UV', 58, 'ptx', 'objcopy', 'V1', 'V1', 0.1224260080778653, 1.3295667171478271]
['CV', 22, 'BV', 54, 'kill', 'lua', 'V2', 'V3', 0.13337819650067295, 0.35913538932800293]
['UV', 57, 'BV', 16, 'strings', 'libvlc.so', 'V1', 'V3', 0.0607166123778502, 1.9965121746063232]
['UV', 80, 'CV', 163, 'objcopy', 'comm', 'V0', 'V3', 0.13075716526450876, 1.1145217418670654]
['CV', 140, 'UV', 69, 'tty', 'sdiff', 'V3', 'V0', 0.08771929824561409, 0.03422427177429199]
['CV', 166, 'UV', 74, 'fold', 'strip', 'V3', 'V0', 0.132486909116993, 1.122117042541504]
['UV', 2, 'CV', 292, 'find', 'sha1sum', 'V2', 'V1', 0.14950419527078562, 0.15035724639892578]
['BV', 62, 'UV', 61, 'diff', 'addr2line', 'V0', 'V1', 0.1255759403535226, 1.0569369792938232]
['CV', 119, 'UV', 24, 'paste', 'readelf', 'V3', 'V3', 0.11204875761837785, 0.23389959335327148]
['CV', 47, 'UV', 40, 'od', 'diff3', 'V2', 'V3', 0.03908285565398639, 0.04448556900024414]
['CV', 190, 'UV', 0, 'dd', 'locate', 'V0', 'V2', 0.08329389493610984, 0.06222271919250488]
['UV', 52, 'CV', 10, 'strip', 'ptx', 'V1', 'V2', 0.11630610268001296, 1.4164080619812012]
['BV', 11, 'UV', 43, 'bash', 'sdiff', 'V1', 'V3', 0.12228697288120038, 2.2842142581939697]
['BV', 77, 'UV', 73, 'perl', 'nm', 'V2', 'V0', 0.03292181069958844, 5.726809024810791]
['CV', 111, 'BV', 14, 'factor', 'openssl', 'V3', 'V3', 0.27935263881113537, 5.62011981010437]
['CV', 338, 'BV', 57, 'nl', 'svn', 'V1', 'V2', 0.18290290944753185, 0.41468286514282227]
['CV', 106, 'UV', 59, 'pr', 'ld', 'V3', 'V1', 0.12407637287935214, 1.6306545734405518]
['BV', 7, 'UV', 13, 'libSDL2-2.0.so', 'strings', 'V0', 'V2', 0.06598528209321342, 6.96822714805603]
['UV', 36, 'CV', 49, 'objdump', 'tsort', 'V3', 'V2', 0.13763127187864643, 1.6333332061767578]
['CV', 280, 'UV', 31, 'pr', 'gprof', 'V1', 'V3', 0.1379653428405605, 1.0061326026916504]
['BV', 9, 'CV', 176, 'dot', 'unlink', 'V2', 'V0', 0.11324041811846686, 0.008716821670532227]
['CV', 242, 'UV', 39, 'cat', 'find', 'V0', 'V3', 0.1667917448405254, 0.26418399810791016]
['BV', 30, 'CV', 151, 'bash', 'md5sum', 'V0', 'V3', 0.1266381976144898, 1.9732811450958252]
['CV', 83, 'UV', 29, 'tac', 'objcopy', 'V2', 'V3', 0.12568617665929993, 1.246208906173706]
['CV', 151, 'BV', 19, 'md5sum', 'cp', 'V3', 'V3', 0.10003547357218867, 0.08472347259521484]
