['UV', 35, 'BV', 50, 'size', 'sort', 'V3', 'V0', 0.1374528219081892, 1.0071425437927246]
['BV', 63, 'CV', 340, 'ruby', 'fold', 'V0', 'V1', 0.11711585157833482, 9.524215459823608]
['CV', 76, 'BV', 22, 'comm', 'cmp', 'V2', 'V3', 0.06346863468634689, 0.031230926513671875]
['UV', 46, 'CV', 16, 'diff', 'dd', 'V1', 'V2', 0.08065410199556544, 0.12505793571472168]
['BV', 79, 'CV', 306, 'bash', 'cp', 'V3', 'V1', 0.11935794811617284, 2.8280978202819824]
['BV', 48, 'UV', 55, 'gvmap', 'ranlib', 'V3', 'V1', 0.0950946040644709, 1.5896763801574707]
['CV', 23, 'BV', 58, 'wc', 'ruby', 'V2', 'V3', 0.24581724581724584, 0.011639595031738281]
['BV', 4, 'CV', 43, 'geany', 'chmod', 'V3', 'V2', 0.17991458164024, 25.428986310958862]
['BV', 71, 'CV', 119, 'ruby', 'paste', 'V1', 'V3', 0.2092105263157895, 0.009384870529174805]
['BV', 70, 'UV', 85, 'ssh', 'elfedit', 'V0', 'V0', 0.1148200350648011, 3.4561688899993896]
['BV', 27, 'CV', 61, 'libSDL2-2.0.so', 'ginstall', 'V1', 'V2', 0.17274622199062017, 4.338415145874023]
['UV', 86, 'CV', 152, 'size', 'env', 'V0', 'V3', 0.12248803827751198, 0.8419327735900879]
['UV', 57, 'CV', 208, 'strings', 'echo', 'V1', 'V0', 0.15052201543349975, 0.8504946231842041]
['CV', 105, 'BV', 11, 'pwd', 'bash', 'V3', 'V1', 0.12678546503512766, 2.3440730571746826]
['CV', 196, 'BV', 51, 'kill', 'cp', 'V0', 'V0', 0.10923276983094932, 0.03529214859008789]
['CV', 335, 'BV', 44, 'pathchk', 'make', 'V1', 'V0', 0.13890139576767224, 0.15384697914123535]
['UV', 22, 'CV', 103, 'nm', 'dd', 'V3', 'V3', 0.13003173542675794, 1.0790519714355469]
['BV', 27, 'CV', 95, 'libSDL2-2.0.so', 'du', 'V1', 'V3', 0.1708537529017281, 4.38501238822937]
['UV', 4, 'CV', 71, 'cmp', '[', 'V2', 'V2', 0.0662299854439592, 0.02985215187072754]
['UV', 0, 'CV', 233, 'locate', 'head', 'V2', 'V0', 0.1219251336898396, 0.04970693588256836]
['CV', 224, 'UV', 42, 'cksum', 'diff', 'V0', 'V3', 0.15416825275980206, 0.07420611381530762]
['CV', 331, 'UV', 76, 'vdir', 'as', 'V1', 'V0', 0.11625621459128221, 1.8577370643615723]
['CV', 226, 'BV', 63, 'logname', 'ruby', 'V0', 'V0', 0.11759977492866047, 9.341755867004395]
['UV', 9, 'CV', 188, 'readelf', 'dirname', 'V2', 'V0', 0.11113943410655114, 0.09355616569519043]
['UV', 40, 'CV', 160, 'diff3', 'shred', 'V3', 'V3', 0.04145785876993169, 0.06152033805847168]
['BV', 1, 'CV', 67, 'libSDL2-2.0.so', 'uname', 'V3', 'V2', 0.19453815993434853, 5.125667333602905]
['CV', 338, 'BV', 2, 'nl', 'cmp', 'V1', 'V1', 0.04414784394250515, 0.04396533966064453]
