['BV', 75, 'CV', 278, 'cmp', 'mkfifo', 'V2', 'V1', 0.10393013100436677, 0.024097681045532227]
['BV', 78, 'CV', 157, 'make', 'vdir', 'V2', 'V3', 0.06165004533091567, 0.3806767463684082]
['BV', 20, 'CV', 304, 'sort', 'chmod', 'V1', 'V1', 0.05419222903885479, 0.05448198318481445]
['CV', 202, 'BV', 47, 'chown', 'dot', 'V0', 'V3', 0.17647058823529416, 0.019312620162963867]
['BV', 26, 'CV', 319, 'geany', 'readlink', 'V2', 'V1', 0.1839644825704987, 21.63581657409668]
['CV', 30, 'UV', 35, 'pinky', 'size', 'V2', 'V3', 0.1448702988959698, 0.9921483993530273]
['CV', 83, 'UV', 55, 'tac', 'ranlib', 'V2', 'V1', 0.12660521547309544, 1.1531224250793457]
['BV', 23, 'CV', 288, 'diff', 'expr', 'V3', 'V1', 0.0826446280991735, 0.11421012878417969]
['BV', 82, 'UV', 38, 'gvmap', 'xargs', 'V1', 'V3', 0.07137792484046324, 0.21997594833374023]
['UV', 55, 'BV', 73, 'ranlib', 'geany', 'V1', 'V0', 0.11973372406432592, 26.431089639663696]
['CV', 166, 'UV', 57, 'fold', 'strings', 'V3', 'V1', 0.14105615798289695, 0.9520094394683838]
['CV', 228, 'UV', 11, 'false', 'ranlib', 'V0', 'V2', 0.15315548648881983, 0.9750401973724365]
['UV', 73, 'BV', 11, 'nm', 'bash', 'V0', 'V1', 0.04025940670348016, 6.039925813674927]
['BV', 42, 'CV', 163, 'libvlc.so', 'comm', 'V1', 'V3', 0.16356877323420072, 0.263671875]
['UV', 19, 'CV', 283, 'elfedit', 'kill', 'V2', 'V1', 0.07802690582959637, 0.023025989532470703]
['CV', 130, 'BV', 45, 'chmod', 'svn', 'V3', 'V3', 0.1967341606792946, 0.6954898834228516]
['CV', 215, 'UV', 11, 'nice', 'ranlib', 'V0', 'V2', 0.15098712446351925, 0.9809892177581787]
['CV', 331, 'BV', 61, 'vdir', 'cmp', 'V1', 'V0', 0.15696649029982357, 0.04721713066101074]
['BV', 35, 'CV', 152, 'libvlccore.so', 'env', 'V2', 'V3', 0.16434620353093154, 3.4028160572052]
['BV', 6, 'CV', 34, 'libvlc.so', 'echo', 'V0', 'V2', 0.1962890625, 0.22212600708007812]
['CV', 197, 'BV', 73, 'wc', 'geany', 'V0', 'V0', 0.18606328315153697, 15.042401313781738]
['BV', 78, 'CV', 344, 'make', 'tac', 'V2', 'V1', 0.10313430222377873, 0.253002405166626]
['CV', 58, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V2', 'V3', 0.19153171084773368, 5.307507038116455]
['UV', 74, 'BV', 9, 'strip', 'dot', 'V0', 'V2', 0.14372544659402564, 1.0519185066223145]
['CV', 137, 'BV', 32, 'cksum', 'perl', 'V3', 'V0', 0.1087801412512015, 2.0421838760375977]
['BV', 75, 'CV', 50, 'cmp', 'cksum', 'V2', 'V2', 0.08885298869143776, 0.02490544319152832]
