['UO', 76, 'CO', 61, 'addr2line', 'cksum', 'O0', 'O3', 0.154215297114758, 2.2036848068237305]
['CO', 99, 'UO', 62, 'sort', 'diff3', 'O3', 'O3', 0.08136234626300853, 0.11492395401000977]
['BO', 30, 'CO', 292, 'libvlccore.so.9.0.0', 'vdir', 'O2', 'O2', 0.14329117769928978, 5.799947261810303]
['CO', 387, 'BO', 17, 'mv', 'codeblocks', 'O0', 'O2', 0.16552110753631666, 14.096459150314331]
['UO', 47, 'CO', 288, 'as', 'uname', 'O3', 'O2', 0.12517055229281604, 1.4683949947357178]
['CO', 130, 'BO', 33, 'kill', 'sort', 'O1', 'O2', 0.1256380054966627, 0.10316061973571777]
['CO', 101, 'UO', 48, 'rmdir', 'ranlib', 'O3', 'O3', 0.13540674001559383, 0.9137568473815918]
['CO', 311, 'BO', 26, 'ln', 'gvmap', 'O2', 'O3', 0.08001939864209506, 0.18588566780090332]
['CO', 412, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1900826446280992, 30.592100858688354]
['CO', 109, 'UO', 53, 'basename', 'gprof', 'O1', 'O3', 0.1347897418184958, 0.933441162109375]
['UO', 12, 'BO', 41, 'gprof', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.08063745019920321, 12.014783143997192]
['UO', 5, 'CO', 186, 'readelf', 'shuf', 'O1', 'O1', 0.09597611261197214, 0.38942384719848633]
['BO', 33, 'CO', 145, 'sort', 'echo', 'O2', 'O1', 0.1365674684060334, 0.09435462951660156]
['BO', 56, 'CO', 222, 'libvlc.so.12.0.0', 'stty', 'O3', 'O2', 0.20081436239126416, 0.4336256980895996]
['UO', 49, 'BO', 46, 'c++filt', 'ruby', 'O3', 'O3', 0.07263024481355485, 21.84686779975891]
['CO', 380, 'UO', 66, 'yes', 'nm', 'O0', 'O0', 0.1503400965060171, 2.386460781097412]
['UO', 79, 'CO', 390, 'size', 'chcon', 'O0', 'O0', 0.1320922974027422, 2.746623992919922]
['CO', 211, 'UO', 33, 'unlink', 'objcopy', 'O2', 'O2', 0.1423246614939906, 1.1839804649353027]
['BO', 41, 'CO', 319, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O2', 'O0', 0.20340471196527, 5.556673288345337]
['CO', 77, 'UO', 26, 'env', 'nm', 'O3', 'O2', 0.14604552298290674, 0.9924008846282959]
['CO', 350, 'UO', 34, 'sha1sum', 'ld', 'O0', 'O2', 0.13537246581801043, 2.026685953140259]
['UO', 80, 'BO', 75, 'objdump', 'gvmap', 'O0', 'O1', 0.1185589519650655, 5.049227237701416]
['BO', 74, 'CO', 216, 'dot', 'dir', 'O1', 'O2', 0.208735632183908, 0.0700068473815918]
['BO', 64, 'CO', 221, 'dot', 'printenv', 'O0', 'O2', 0.16012084592145015, 0.012279272079467773]
['BO', 49, 'CO', 248, 'svn', 'sync', 'O0', 'O2', 0.21758142340168884, 0.526517391204834]
['CO', 298, 'UO', 31, 'tr', 'c++filt', 'O2', 'O2', 0.14396425966447846, 0.949918270111084]
['CO', 70, 'BO', 44, 'b2sum', 'cmp', 'O3', 'O2', 0.03247143716175582, 0.04051804542541504]
['UO', 12, 'CO', 254, 'gprof', 'whoami', 'O1', 'O2', 0.15011110196691635, 1.0942142009735107]
['UO', 4, 'CO', 96, 'strip', 'fold', 'O1', 'O3', 0.14295039164490864, 1.3182237148284912]
['BO', 43, 'CO', 267, 'diff', 'tsort', 'O1', 'O2', 0.13631597343586155, 0.11167669296264648]
['CO', 103, 'UO', 41, 'ln', 'locate', 'O3', 'O2', 0.07587336244541487, 0.17839670181274414]
['BO', 3, 'CO', 67, 'openssl', 'nohup', 'O1', 'O3', 0.27937639580828044, 7.708276271820068]
['UO', 67, 'CO', 38, 'strip', 'sha1sum', 'O0', 'O3', 0.14470605804171432, 2.773186683654785]
['CO', 212, 'UO', 35, 'test', 'gprof', 'O2', 'O2', 0.14108371078678072, 1.045919418334961]
['BO', 71, 'CO', 8, 'libSDL2-2.0.so.0.16.0', 'dir', 'O0', 'O3', 0.1793629358964175, 7.720489978790283]
['UO', 37, 'CO', 271, 'ar', 'logname', 'O2', 'O2', 0.14907423429659117, 0.9955565929412842]
['CO', 166, 'UO', 7, 'printf', 'ranlib', 'O1', 'O1', 0.14450304259634894, 1.2358880043029785]
['CO', 153, 'BO', 62, 'nice', 'bash', 'O1', 'O1', 0.1265578448239688, 2.8191187381744385]
['CO', 248, 'BO', 4, 'sync', 'libgeany.so.0.0.0', 'O2', 'O2', 0.17868193562793078, 28.533474683761597]
['UO', 75, 'CO', 160, 'gprof', 'cut', 'O0', 'O1', 0.14726161780368852, 2.4096546173095703]
['UO', 79, 'CO', 190, 'size', 'timeout', 'O0', 'O1', 0.14917449390350623, 2.3330931663513184]
['BO', 23, 'CO', 127, 'git', 'pr', 'O2', 'O1', 0.08983290962370705, 7.209629058837891]
['CO', 358, 'BO', 33, 'whoami', 'sort', 'O0', 'O2', 0.12445844820795593, 0.10897231101989746]
['BO', 60, 'CO', 394, 'openssl', 'shuf', 'O0', 'O0', 0.25680194558443525, 10.394116640090942]
['BO', 62, 'CO', 369, 'bash', 'od', 'O1', 'O0', 0.11909642505739582, 3.1199827194213867]
['BO', 34, 'CO', 3, 'cp', 'unlink', 'O2', 'O3', 0.13293885601577915, 0.08349061012268066]
['UO', 9, 'CO', 198, 'strings', 'rm', 'O1', 'O1', 0.13151609981059043, 1.2837333679199219]
['CO', 26, 'UO', 52, 'kill', 'ld', 'O3', 'O3', 0.13340134421507444, 1.6860334873199463]
['CO', 241, 'UO', 18, 'chown', 'diff3', 'O2', 'O1', 0.03491042719338544, 0.07065415382385254]
['UO', 65, 'BO', 3, 'sdiff', 'openssl', 'O3', 'O1', 0.273150893840549, 8.108981370925903]
['UO', 4, 'CO', 134, 'strip', 'expand', 'O1', 'O1', 0.1409400841433338, 1.3767898082733154]
['UO', 69, 'CO', 264, 'as', 'cut', 'O0', 'O2', 0.13856261198486963, 3.91626238822937]
['BO', 14, 'CO', 179, 'cmp', 'mv', 'O0', 'O1', 0.10566382460414125, 0.15450692176818848]
['CO', 172, 'UO', 77, 'yes', 'ar', 'O1', 'O0', 0.15312499999999996, 2.3812079429626465]
['CO', 357, 'BO', 82, 'split', 'cp', 'O0', 'O3', 0.05362011511663134, 0.1475822925567627]
['CO', 326, 'BO', 5, 'stty', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17234929541743937, 30.422080993652344]
['UO', 54, 'CO', 231, 'addr2line', 'pr', 'O3', 'O2', 0.12659242761692646, 0.9302060604095459]
['CO', 156, 'BO', 63, 'sha256sum', 'cluster', 'O1', 'O0', 0.12102308172177167, 0.21948719024658203]
['UO', 72, 'CO', 144, 'strings', 'sync', 'O0', 'O1', 0.1530278718725857, 2.220912456512451]
['CO', 280, 'BO', 32, 'head', 'ruby', 'O2', 'O2', 0.1253552042743623, 15.691794395446777]
['BO', 52, 'CO', 177, 'svn', 'hostid', 'O3', 'O1', 0.21425124658195271, 0.4751098155975342]
['BO', 61, 'CO', 358, 'git', 'whoami', 'O1', 'O0', 0.09247353978831829, 6.598288059234619]
['CO', 365, 'BO', 54, 'chmod', 'lua', 'O0', 'O3', 0.08710197001610709, 0.47306275367736816]
['CO', 39, 'BO', 54, 'paste', 'lua', 'O3', 'O3', 0.11804430037817393, 0.3155531883239746]
['BO', 80, 'CO', 169, 'ssh', 'false', 'O3', 'O1', 0.14118325009604304, 1.2915728092193604]
['CO', 246, 'UO', 87, 'sha1sum', 'find', 'O2', 'O0', 0.17045301787874712, 0.6274714469909668]
['UO', 37, 'CO', 311, 'ar', 'ln', 'O2', 'O2', 0.1264850884991514, 1.2537822723388672]
['UO', 44, 'CO', 185, 'nm', 'cat', 'O3', 'O1', 0.13606616978731134, 0.885413646697998]
['UO', 36, 'CO', 244, 'addr2line', 'pinky', 'O2', 'O2', 0.1439387111311401, 0.9603736400604248]
['UO', 44, 'CO', 336, 'nm', 'tee', 'O3', 'O0', 0.13076992022945233, 0.9226939678192139]
['UO', 2, 'CO', 286, 'find', 'chcon', 'O1', 'O2', 0.13272954403497816, 0.4542510509490967]
['UO', 23, 'CO', 195, 'cmp', 'comm', 'O2', 'O1', 0.03137789904502042, 0.03896212577819824]
['UO', 13, 'BO', 44, 'addr2line', 'cmp', 'O1', 'O2', 0.1463498327185382, 1.0881433486938477]
['BO', 64, 'CO', 161, 'dot', 'od', 'O0', 'O1', 0.18815896188158965, 0.027962207794189453]
['BO', 81, 'CO', 387, 'sort', 'mv', 'O3', 'O0', 0.0746686578308755, 0.34925079345703125]
['UO', 4, 'CO', 228, 'strip', 'mkfifo', 'O1', 'O2', 0.14584099433698605, 1.2991359233856201]
['UO', 87, 'CO', 120, 'find', 'dirname', 'O0', 'O1', 0.17315782331388252, 0.6010558605194092]
['UO', 74, 'CO', 235, 'ld', 'wc', 'O0', 'O2', 0.14772538602025564, 4.145413398742676]
['CO', 182, 'UO', 66, 'chcon', 'nm', 'O1', 'O0', 0.14062675502639554, 2.735191583633423]
['CO', 141, 'BO', 70, 'truncate', 'diff', 'O1', 'O3', 0.1131221719457014, 0.10025477409362793]
