['UO', 9, 'CO', 145, 'strings', 'echo', 'O1', 'O1', 0.1512199403194664, 0.9991462230682373]
['UO', 21, 'CO', 269, 'sdiff', 'cksum', 'O1', 'O2', 0.10367892976588633, 0.037837982177734375]
['BO', 25, 'CO', 360, 'dot', 'ls', 'O3', 'O0', 0.22339722405816254, 0.1337747573852539]
['BO', 40, 'CO', 29, 'lua', 'nproc', 'O0', 'O3', 0.14177422659291128, 0.6513607501983643]
['CO', 210, 'UO', 51, 'stat', 'objcopy', 'O2', 'O3', 0.11591556496968813, 1.190774917602539]
['CO', 137, 'BO', 55, 'chown', 'make', 'O1', 'O1', 0.09766233766233767, 0.29573798179626465]
['CO', 90, 'BO', 70, 'tr', 'diff', 'O3', 'O3', 0.10593637258117417, 0.09391641616821289]
['BO', 12, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O0', 'O3', 0.19038699212111854, 27.15563654899597]
['CO', 142, 'BO', 19, 'sha1sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.1610525894180318, 4.75609564781189]
['CO', 33, 'BO', 16, 'chown', 'make', 'O3', 'O0', 0.10315591144606684, 0.29544949531555176]
['BO', 23, 'CO', 267, 'git', 'tsort', 'O2', 'O2', 0.09303283511827698, 6.16687273979187]
['CO', 326, 'BO', 11, 'stty', 'ssh', 'O0', 'O1', 0.13772195755738414, 1.6181280612945557]
['BO', 49, 'CO', 388, 'svn', 'md5sum', 'O0', 'O0', 0.193235336092479, 0.5749688148498535]
['CO', 125, 'BO', 67, 'mktemp', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.2009874412807976, 5.34283447265625]
['CO', 210, 'UO', 15, 'stat', 'elfedit', 'O2', 'O1', 0.08939393939393936, 0.060816287994384766]
['CO', 157, 'BO', 16, 'chmod', 'make', 'O1', 'O0', 0.10307123331725354, 0.2997250556945801]
['BO', 47, 'CO', 290, 'libvlc.so.12.0.0', 'shuf', 'O0', 'O2', 0.21072238419177192, 0.6333193778991699]
