['BV', 5, 'CV', 270, 'libvlccore.so', 'users', 'V0', 'V1', 0.17197311887187394, 2.5247995853424072]
['CV', 320, 'BV', 22, 'head', 'cmp', 'V1', 'V3', 0.06687163720215217, 0.026520967483520508]
['CV', 332, 'UV', 13, '[', 'strings', 'V1', 'V2', 0.1487573429733393, 0.8716561794281006]
['CV', 175, 'BV', 39, 'stat', 'svn', 'V0', 'V1', 0.2177908472707223, 0.36278748512268066]
['BV', 25, 'CV', 296, 'git', 'sum', 'V3', 'V1', 0.0874219308330485, 8.540091514587402]
['CV', 140, 'UV', 81, 'tty', 'ld', 'V3', 'V0', 0.13453437884777397, 1.3644421100616455]
['UV', 41, 'CV', 185, 'cmp', 'printenv', 'V3', 'V0', 0.11813186813186816, 0.021021127700805664]
['CV', 1, 'UV', 13, 'stat', 'strings', 'V2', 'V2', 0.14610564010743066, 0.8975894451141357]
['UV', 33, 'CV', 189, 'ar', 'uptime', 'V3', 'V0', 0.1494431494431494, 0.9360692501068115]
['CV', 155, 'UV', 44, 'cat', 'diff3', 'V3', 'V1', 0.059069212410501226, 0.036580801010131836]
['UV', 13, 'CV', 339, 'strings', 'rm', 'V2', 'V1', 0.14068005637773084, 0.9194948673248291]
['BV', 79, 'CV', 33, 'bash', 'sync', 'V3', 'V2', 0.12871372515199864, 2.3555431365966797]
['CV', 137, 'BV', 24, 'cksum', 'git', 'V3', 'V0', 0.09461327839076095, 3.427577495574951]
['CV', 52, 'BV', 38, 'logname', 'ruby', 'V2', 'V2', 0.20490367775831875, 0.0062410831451416016]
['UV', 9, 'CV', 158, 'readelf', '[', 'V2', 'V3', 0.08658704639412029, 0.11377263069152832]
['CV', 227, 'BV', 12, 'tty', 'sort', 'V0', 'V2', 0.14197847257816498, 0.04478597640991211]
['UV', 42, 'CV', 26, 'diff', 'date', 'V3', 'V2', 0.10473649099399596, 0.09564876556396484]
['UV', 44, 'CV', 297, 'diff3', 'chroot', 'V1', 'V1', 0.11038011695906436, 0.027079105377197266]
['CV', 171, 'BV', 57, 'rmdir', 'svn', 'V3', 'V2', 0.20803698435277385, 0.37024855613708496]
['BV', 26, 'CV', 104, 'geany', 'mkfifo', 'V2', 'V3', 0.18281504807962667, 20.037184953689575]
['BV', 56, 'CV', 321, 'ssh', 'hostid', 'V3', 'V1', 0.1515171635349578, 1.1922476291656494]
['CV', 307, 'BV', 12, 'cut', 'sort', 'V1', 'V2', 0.11258907363420423, 0.05277276039123535]
['BV', 42, 'CV', 143, 'libvlc.so', 'yes', 'V1', 'V3', 0.17455557935318056, 0.2326366901397705]
['UV', 44, 'CV', 319, 'diff3', 'readlink', 'V1', 'V1', 0.10225669957686878, 0.028144121170043945]
['BV', 11, 'CV', 137, 'bash', 'cksum', 'V1', 'V3', 0.1284553604781472, 2.1314146518707275]
['BV', 2, 'CV', 52, 'cmp', 'logname', 'V1', 'V2', 0.08211382113821142, 0.022825956344604492]
['BV', 42, 'CV', 52, 'libvlc.so', 'logname', 'V1', 'V2', 0.18219688664766498, 0.22426939010620117]
['BV', 29, 'CV', 157, 'perl', 'vdir', 'V3', 'V3', 0.08889935731350318, 2.939633846282959]
['CV', 204, 'BV', 32, 'pinky', 'perl', 'V0', 'V0', 0.10913130974341778, 1.9432024955749512]
['CV', 96, 'UV', 16, 'users', 'gprof', 'V3', 'V2', 0.14058508446641949, 0.984147310256958]
