['CO', 14, 'BO', 80, 'stty', 'ssh', 'O3', 'O3', 0.13486800950831979, 1.4163472652435303]
['CO', 281, 'UO', 66, 'hostid', 'nm', 'O2', 'O0', 0.15586628282709591, 2.2352213859558105]
['UO', 7, 'CO', 300, 'ranlib', 'sha512sum', 'O1', 'O2', 0.14796001966246108, 1.1560697555541992]
['CO', 261, 'UO', 38, 'chmod', 'elfedit', 'O2', 'O2', 0.06034482758620685, 0.04694986343383789]
['BO', 75, 'CO', 0, 'gvmap', 'sha384sum', 'O1', 'O3', 0.12153344208809136, 0.1335465908050537]
['CO', 181, 'BO', 67, 'env', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.2056088346410927, 5.4196600914001465]
['BO', 70, 'CO', 158, 'diff', 'true', 'O3', 'O1', 0.1254944264653003, 0.09392142295837402]
['CO', 411, 'UO', 56, 'sort', 'elfedit', 'O0', 'O3', 0.15762812872467225, 0.16511940956115723]
['UO', 43, 'BO', 8, 'find', 'cp', 'O2', 'O0', 0.057771831671126206, 0.8211119174957275]
['BO', 32, 'CO', 174, 'ruby', 'b2sum', 'O2', 'O1', 0.12407558178980937, 15.475257635116577]
['CO', 56, 'BO', 25, 'cut', 'dot', 'O3', 'O3', 0.1685279187817259, 0.01886773109436035]
['UO', 19, 'CO', 8, 'cmp', 'dir', 'O1', 'O3', 0.10390058681394543, 0.10952615737915039]
['CO', 69, 'BO', 23, 'who', 'git', 'O3', 'O2', 0.0920197505806124, 6.8629608154296875]
['CO', 277, 'UO', 45, 'who', 'strip', 'O2', 'O3', 0.12757888349514568, 1.0939397811889648]
['UO', 9, 'CO', 12, 'strings', 'ptx', 'O1', 'O3', 0.13762689299384256, 1.1474599838256836]
['BO', 65, 'CO', 336, 'gvmap', 'tee', 'O0', 'O0', 0.11336442912188194, 0.23563838005065918]
['UO', 49, 'BO', 64, 'c++filt', 'dot', 'O3', 'O0', 0.1520723876240514, 0.720710277557373]
['CO', 40, 'BO', 57, 'sync', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.15585970232632373, 4.4671854972839355]
['UO', 54, 'CO', 296, 'addr2line', 'shred', 'O3', 'O2', 0.12548072623200068, 0.9421730041503906]
['CO', 62, 'BO', 75, 'printf', 'gvmap', 'O3', 'O1', 0.11975242195909575, 0.13505911827087402]
['BO', 48, 'CO', 103, 'libvlccore.so.9.0.0', 'ln', 'O0', 'O3', 0.17465086996336998, 12.069085121154785]
['CO', 210, 'BO', 0, 'stat', 'codeblocks', 'O2', 'O1', 0.18101942246428937, 11.827399253845215]
['BO', 6, 'UO', 45, 'codeblocks', 'strip', 'O0', 'O3', 0.14560548362528558, 42.72668957710266]
['BO', 21, 'UO', 70, 'cp', 'ranlib', 'O1', 'O0', 0.1277332074878087, 3.1466689109802246]
['CO', 368, 'UO', 23, 'cut', 'cmp', 'O0', 'O2', 0.06953846153846155, 0.053502798080444336]
['CO', 136, 'UO', 70, 'expr', 'ranlib', 'O1', 'O0', 0.1476753261233137, 2.5486178398132324]
['UO', 54, 'CO', 255, 'addr2line', 'numfmt', 'O3', 'O2', 0.1339359079704191, 0.8691186904907227]
['CO', 288, 'BO', 22, 'uname', 'perl', 'O2', 'O0', 0.1128981788597534, 3.766608953475952]
['CO', 54, 'BO', 2, 'true', 'perl', 'O3', 'O1', 0.07760743506235601, 2.5388402938842773]
['CO', 357, 'UO', 51, 'split', 'objcopy', 'O0', 'O3', 0.11445871024219434, 1.3172235488891602]
['CO', 232, 'UO', 44, 'tee', 'nm', 'O2', 'O3', 0.13818546183275648, 0.877601146697998]
['CO', 249, 'UO', 49, 'echo', 'c++filt', 'O2', 'O3', 0.1425578516331778, 0.78851318359375]
['BO', 54, 'CO', 367, 'lua', 'cp', 'O3', 'O0', 0.04481537683358627, 0.7687568664550781]
['UO', 86, 'CO', 94, 'xargs', 'rm', 'O0', 'O3', 0.08198970840480269, 0.12876677513122559]
['CO', 302, 'BO', 49, 'rm', 'svn', 'O2', 'O0', 0.18258618340373345, 0.681570291519165]
['BO', 45, 'UO', 4, 'diff', 'strip', 'O2', 'O1', 0.11187348885839377, 1.8927161693572998]
['UO', 45, 'CO', 121, 'strip', 'stdbuf', 'O3', 'O1', 0.12628709872804356, 1.0709998607635498]
['BO', 67, 'CO', 70, 'libSDL2-2.0.so.0.16.0', 'b2sum', 'O1', 'O3', 0.20178537330532742, 5.466438055038452]
['BO', 1, 'CO', 201, 'ssh', 'uniq', 'O2', 'O1', 0.14078247261345855, 1.5390501022338867]
['CO', 377, 'UO', 69, 'false', 'as', 'O0', 'O0', 0.13800805711778552, 4.004887342453003]
['BO', 13, 'CO', 72, 'ruby', 'head', 'O1', 'O3', 0.10407377535647433, 13.387502670288086]
['CO', 234, 'BO', 15, 'kill', 'diff', 'O2', 'O0', 0.16455304670584603, 0.15807056427001953]
['CO', 280, 'UO', 86, 'head', 'xargs', 'O2', 'O0', 0.1325301204819277, 0.10009527206420898]
['BO', 63, 'CO', 398, 'cluster', 'timeout', 'O0', 'O0', 0.10460251046025104, 0.26130056381225586]
['CO', 66, 'UO', 66, 'runcon', 'nm', 'O3', 'O0', 0.15486131386861313, 2.233090400695801]
['CO', 387, 'UO', 33, 'mv', 'objcopy', 'O0', 'O2', 0.086035696329814, 2.049213409423828]
['UO', 25, 'CO', 130, 'sdiff', 'kill', 'O2', 'O1', 0.06881587104773712, 0.046968698501586914]
['CO', 220, 'UO', 52, 'ptx', 'ld', 'O2', 'O3', 0.12612242502494275, 1.8076417446136475]
['CO', 205, 'UO', 26, 'rmdir', 'nm', 'O1', 'O2', 0.1432870165501372, 1.0079100131988525]
['CO', 402, 'BO', 40, 'tr', 'lua', 'O0', 'O0', 0.1263095473413718, 0.8093249797821045]
['BO', 52, 'CO', 66, 'svn', 'runcon', 'O3', 'O3', 0.2175658317276814, 0.45012712478637695]
['CO', 208, 'BO', 57, 'sha384sum', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.15480654168328678, 4.449401617050171]
['UO', 42, 'CO', 334, 'xargs', 'pwd', 'O2', 'O0', 0.07810993249758924, 0.08914685249328613]
['BO', 65, 'CO', 245, 'gvmap', 'truncate', 'O0', 'O2', 0.13582887700534763, 0.20453214645385742]
['UO', 51, 'CO', 356, 'objcopy', 'seq', 'O3', 'O0', 0.12380522315044784, 1.1158783435821533]
['CO', 57, 'UO', 14, 'od', 'ar', 'O3', 'O1', 0.13962860529435006, 1.2426917552947998]
['UO', 4, 'CO', 386, 'strip', 'unexpand', 'O1', 'O0', 0.1374721243076038, 1.4065439701080322]
['CO', 358, 'BO', 52, 'whoami', 'svn', 'O0', 'O3', 0.2060644546753453, 0.49257779121398926]
['CO', 111, 'UO', 29, 'fmt', 'as', 'O1', 'O2', 0.12835512732278043, 1.7836427688598633]
['BO', 16, 'CO', 71, 'make', 'readlink', 'O0', 'O3', 0.12105884336536843, 0.2569706439971924]
['BO', 34, 'CO', 307, 'cp', 'sort', 'O2', 'O2', 0.026213340254347295, 0.20148968696594238]
['BO', 53, 'CO', 257, 'bash', 'nice', 'O0', 'O2', 0.12752760648214545, 3.622671127319336]
['UO', 83, 'CO', 273, 'diff', 'false', 'O0', 'O2', 0.17877813504823148, 0.14145350456237793]
['BO', 24, 'UO', 69, 'cluster', 'as', 'O3', 'O0', 0.11766655618163735, 4.903575420379639]
['BO', 82, 'UO', 40, 'cp', 'objdump', 'O3', 'O2', 0.11316099967821514, 2.313769578933716]
['CO', 164, 'UO', 79, 'base64', 'size', 'O1', 'O0', 0.15090460526315785, 2.2869069576263428]
['BO', 68, 'CO', 60, 'git', 'base64', 'O3', 'O3', 0.09282345343170828, 6.605857610702515]
['CO', 232, 'UO', 34, 'tee', 'ld', 'O2', 'O2', 0.14173605702989278, 1.9073233604431152]
['CO', 21, 'UO', 13, 'mktemp', 'addr2line', 'O3', 'O1', 0.14350042480883607, 1.1335463523864746]
['CO', 160, 'UO', 33, 'cut', 'objcopy', 'O1', 'O2', 0.13489932885906042, 1.2678732872009277]
['CO', 114, 'BO', 80, 'users', 'ssh', 'O1', 'O3', 0.13909559244419, 1.3707501888275146]
['UO', 67, 'CO', 83, 'strip', 'csplit', 'O0', 'O3', 0.1408990420044215, 2.8188540935516357]
['BO', 20, 'CO', 381, 'sort', 'who', 'O1', 'O0', 0.1001007725898555, 0.14655852317810059]
['BO', 39, 'CO', 159, 'codeblocks', 'cp', 'O3', 'O1', 0.17365002231368076, 12.574891328811646]
['UO', 40, 'BO', 15, 'objdump', 'diff', 'O2', 'O0', 0.1004826906108891, 2.6737635135650635]
['BO', 41, 'CO', 391, 'libSDL2-2.0.so.0.16.0', 'link', 'O2', 'O0', 0.2071987788665124, 5.44739842414856]
['UO', 8, 'CO', 242, 'c++filt', 'tail', 'O1', 'O2', 0.1374155405405405, 1.1596596240997314]
['CO', 122, 'BO', 12, 'uptime', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1908574530368532, 29.800339698791504]
['UO', 2, 'CO', 387, 'find', 'mv', 'O1', 'O0', 0.05746452445174155, 0.8829367160797119]
['UO', 47, 'CO', 264, 'as', 'cut', 'O3', 'O2', 0.12179072909934785, 1.4984557628631592]
['UO', 36, 'CO', 336, 'addr2line', 'tee', 'O2', 'O0', 0.13833675015598534, 1.0281858444213867]
['CO', 389, 'BO', 62, 'env', 'bash', 'O0', 'O1', 0.1240419860046651, 2.8646490573883057]
['CO', 87, 'BO', 35, 'id', 'make', 'O3', 'O3', 0.12572568940493467, 0.24526166915893555]
['CO', 339, 'UO', 3, 'wc', 'nm', 'O0', 'O1', 0.13648794232203532, 1.3211700916290283]
['BO', 12, 'CO', 44, 'libgeany.so.0.0.0', 'seq', 'O0', 'O3', 0.1919336995128389, 29.37098503112793]
['BO', 52, 'CO', 103, 'svn', 'ln', 'O3', 'O3', 0.17284124524580924, 0.609809160232544]
['CO', 72, 'BO', 2, 'head', 'perl', 'O3', 'O1', 0.0762373113133119, 2.5634336471557617]
['CO', 387, 'UO', 83, 'mv', 'diff', 'O0', 'O0', 0.03689287527500418, 0.49265480041503906]
['UO', 19, 'CO', 85, 'cmp', '[', 'O1', 'O3', 0.04887459807073957, 0.036818742752075195]
['CO', 178, 'BO', 24, 'unexpand', 'cluster', 'O1', 'O3', 0.11922503725782418, 0.1269388198852539]
['UO', 57, 'BO', 80, 'size', 'ssh', 'O3', 'O3', 0.03081055458998261, 4.076094150543213]
['BO', 11, 'CO', 338, 'ssh', 'kill', 'O1', 'O0', 0.14326971371170272, 1.5957651138305664]
['UO', 30, 'CO', 304, 'ranlib', 'fold', 'O2', 'O2', 0.146268143949154, 1.0164663791656494]
['CO', 21, 'BO', 1, 'mktemp', 'ssh', 'O3', 'O2', 0.14059282371294857, 1.609513521194458]
['UO', 55, 'CO', 168, 'ar', 'tty', 'O3', 'O1', 0.137377106741573, 0.926537036895752]
['UO', 72, 'CO', 243, 'strings', 'base32', 'O0', 'O2', 0.15354424357754515, 2.2184178829193115]
['CO', 49, 'BO', 76, 'nice', 'openssl', 'O3', 'O2', 0.27969776327652085, 7.927387475967407]
['CO', 62, 'UO', 50, 'printf', 'strings', 'O3', 'O3', 0.13432017543859653, 0.8662796020507812]
['CO', 105, 'UO', 24, 'touch', 'diff', 'O1', 'O2', 0.07464960390006092, 0.14616775512695312]
['UO', 19, 'CO', 83, 'cmp', 'csplit', 'O1', 'O3', 0.03318335208098988, 0.04554486274719238]
['UO', 12, 'CO', 296, 'gprof', 'shred', 'O1', 'O2', 0.13511167232262644, 1.267000436782837]
['CO', 301, 'UO', 20, 'nl', 'diff', 'O2', 'O1', 0.13472949389179756, 0.11333727836608887]
['UO', 73, 'CO', 170, 'objcopy', 'runcon', 'O0', 'O1', 0.14697594847539497, 2.7347164154052734]
['UO', 60, 'CO', 84, 'xargs', 'vdir', 'O3', 'O3', 0.04698375870069604, 0.16844987869262695]
['CO', 293, 'UO', 2, '[', 'find', 'O2', 'O1', 0.1591516366065464, 0.4038658142089844]
