['BO', 59, 'CO', 333, 'libgeany.so.0.0.0', 'mktemp', 'O3', 'O0', 0.16576472606478376, 27.79183340072632]
['BO', 26, 'CO', 81, 'gvmap', 'cat', 'O3', 'O3', 0.12496465931580436, 0.11974716186523438]
['CO', 27, 'UO', 16, 'wc', 'size', 'O3', 'O1', 0.14306309362279512, 1.1431918144226074]
['CO', 185, 'BO', 18, 'cat', 'libvlc.so.12.0.0', 'O1', 'O1', 0.21777950310559002, 0.4520745277404785]
['BO', 61, 'CO', 50, 'git', 'dircolors', 'O1', 'O3', 0.09269256347064114, 6.602464914321899]
['UO', 45, 'BO', 81, 'strip', 'sort', 'O3', 'O3', 0.1017668812491439, 1.3963611125946045]
['CO', 59, 'BO', 56, 'tsort', 'libvlc.so.12.0.0', 'O3', 'O3', 0.20517594488921986, 0.4137449264526367]
['CO', 160, 'UO', 84, 'cut', 'sdiff', 'O1', 'O0', 0.08734309623430958, 0.06868267059326172]
['CO', 182, 'BO', 39, 'chcon', 'codeblocks', 'O1', 'O3', 0.18013097676300283, 12.094757556915283]
['BO', 56, 'CO', 214, 'libvlc.so.12.0.0', 'mkdir', 'O3', 'O2', 0.2002222633821078, 0.43996477127075195]
['UO', 56, 'CO', 263, 'elfedit', 'cp', 'O3', 'O2', 0.12495295445991716, 0.0970001220703125]
['CO', 225, 'UO', 53, 'stdbuf', 'gprof', 'O2', 'O3', 0.13322467187097886, 0.9259274005889893]
['BO', 70, 'CO', 186, 'diff', 'shuf', 'O3', 'O1', 0.07147165259348609, 0.13743948936462402]
['CO', 70, 'UO', 72, 'b2sum', 'strings', 'O3', 'O0', 0.1486967170097382, 2.2831778526306152]
['UO', 47, 'CO', 372, 'as', 'base64', 'O3', 'O0', 0.11716209939619138, 1.56280517578125]
['UO', 29, 'BO', 75, 'as', 'gvmap', 'O2', 'O1', 0.09778682269142713, 2.3950185775756836]
['BO', 66, 'CO', 390, 'svn', 'chcon', 'O2', 'O0', 0.16314325452016687, 0.7118878364562988]
['CO', 325, 'UO', 60, 'printenv', 'xargs', 'O0', 'O3', 0.10036401456058242, 0.07560372352600098]
['BO', 64, 'UO', 22, 'dot', 'diff3', 'O0', 'O2', 0.191673894189072, 0.024373531341552734]
['CO', 150, 'BO', 75, 'whoami', 'gvmap', 'O1', 'O1', 0.1304723502304148, 0.13297724723815918]
['CO', 9, 'BO', 26, 'du', 'gvmap', 'O3', 'O3', 0.05742237345810297, 0.21734929084777832]
['UO', 70, 'CO', 274, 'ranlib', 'runcon', 'O0', 'O2', 0.15603729337070293, 2.291290044784546]
['CO', 260, 'BO', 24, 'sha256sum', 'cluster', 'O2', 'O3', 0.12481112118464788, 0.11927986145019531]
['UO', 41, 'CO', 415, 'locate', 'ln', 'O2', 'O0', 0.045324303203959415, 0.23725509643554688]
['CO', 116, 'BO', 69, 'ptx', 'cmp', 'O1', 'O3', 0.061596143545795345, 0.05753517150878906]
['BO', 59, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O3', 'O0', 0.16520779240970784, 27.869906425476074]
['CO', 333, 'UO', 12, 'mktemp', 'gprof', 'O0', 'O1', 0.13410386320455991, 1.3735532760620117]
['CO', 7, 'UO', 53, 'fmt', 'gprof', 'O3', 'O3', 0.1333844711497486, 0.9146177768707275]
['CO', 123, 'UO', 12, 'dd', 'gprof', 'O1', 'O1', 0.13157486423584175, 1.3914964199066162]
['CO', 370, 'UO', 24, 'df', 'diff', 'O0', 'O2', 0.03430749682337997, 0.22260379791259766]
['UO', 80, 'CO', 336, 'objdump', 'tee', 'O0', 'O0', 0.13895135518996327, 4.195601224899292]
['CO', 336, 'BO', 56, 'tee', 'libvlc.so.12.0.0', 'O0', 'O3', 0.1924778761061947, 0.47564029693603516]
['BO', 69, 'UO', 16, 'cmp', 'size', 'O3', 'O1', 0.14629756599245802, 1.1246767044067383]
['CO', 32, 'UO', 49, 'expr', 'c++filt', 'O3', 'O3', 0.13346759428780663, 0.8382012844085693]
['CO', 68, 'UO', 11, 'yes', 'ld', 'O3', 'O1', 0.1475419418951307, 2.0566513538360596]
['CO', 285, 'BO', 8, 'env', 'cp', 'O2', 'O0', 0.16639388979814518, 0.18880438804626465]
['BO', 4, 'CO', 331, 'libgeany.so.0.0.0', 'dd', 'O2', 'O0', 0.1733102797862307, 30.88508415222168]
['BO', 9, 'CO', 257, 'git', 'nice', 'O0', 'O2', 0.0935749523378997, 6.657577276229858]
['CO', 215, 'UO', 54, 'fmt', 'addr2line', 'O2', 'O3', 0.1382761816496756, 0.8595032691955566]
['UO', 61, 'CO', 65, 'find', 'false', 'O3', 'O3', 0.15755803326631335, 0.2886512279510498]
['CO', 369, 'BO', 29, 'od', 'libvlc.so.12.0.0', 'O0', 'O2', 0.17845659163987138, 0.5371291637420654]
['UO', 22, 'CO', 392, 'diff3', 'uname', 'O2', 'O0', 0.05317104420243435, 0.04613947868347168]
['UO', 1, 'CO', 143, 'xargs', 'paste', 'O1', 'O1', 0.11421446384039902, 0.07530713081359863]
['UO', 20, 'CO', 247, 'diff', 'paste', 'O1', 'O2', 0.14632405424696648, 0.10408949851989746]
['CO', 220, 'UO', 4, 'ptx', 'strip', 'O2', 'O1', 0.1339127976821426, 1.4882872104644775]
['UO', 77, 'CO', 56, 'ar', 'cut', 'O0', 'O3', 0.150665692938599, 2.406255006790161]
['BO', 41, 'CO', 258, 'libSDL2-2.0.so.0.16.0', 'dircolors', 'O2', 'O2', 0.20805633525385336, 5.434205055236816]
['CO', 105, 'UO', 83, 'touch', 'diff', 'O1', 'O0', 0.10911016949152541, 0.22432780265808105]
['BO', 55, 'UO', 1, 'make', 'xargs', 'O1', 'O1', 0.08285521430982112, 0.3497312068939209]
['UO', 50, 'CO', 379, 'strings', 'nohup', 'O3', 'O0', 0.13184789614216008, 0.893704891204834]
['BO', 32, 'CO', 221, 'ruby', 'printenv', 'O2', 'O2', 0.1265805481511858, 15.363697528839111]
['UO', 48, 'BO', 36, 'ranlib', 'cluster', 'O3', 'O2', 0.09249667011987572, 1.3793883323669434]
['UO', 82, 'CO', 142, 'cmp', 'sha1sum', 'O0', 'O1', 0.06150061500615012, 0.053815364837646484]
['CO', 165, 'UO', 15, 'cksum', 'elfedit', 'O1', 'O1', 0.04888888888888887, 0.03517460823059082]
['CO', 232, 'BO', 30, 'tee', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.16103594588103431, 4.834790229797363]
['BO', 43, 'CO', 269, 'diff', 'cksum', 'O1', 'O2', 0.15133960897900067, 0.1076362133026123]
