['UV', 28, 'CV', 316, 'strings', 'nohup', 'V3', 'V1', 0.15042372881355925, 0.8544466495513916]
['UV', 8, 'BV', 73, 'strip', 'geany', 'V2', 'V0', 0.11361796487276055, 25.360383987426758]
['UV', 62, 'CV', 77, 'ar', 'nl', 'V1', 'V2', 0.12859172718661194, 1.0618746280670166]
['CV', 297, 'BV', 50, 'chroot', 'sort', 'V1', 'V0', 0.10315627405696692, 0.025318384170532227]
['CV', 243, 'BV', 0, 'csplit', 'bash', 'V0', 'V2', 0.11702036257410431, 2.5893187522888184]
['UV', 72, 'CV', 303, 'find', 'dircolors', 'V0', 'V1', 0.1507633587786259, 0.11316108703613281]
['UV', 7, 'BV', 1, 'nm', 'libSDL2-2.0.so', 'V2', 'V3', 0.08272377882469628, 10.731846332550049]
['BV', 16, 'CV', 98, 'libvlc.so', 'printenv', 'V3', 'V3', 0.19133918351774137, 0.3144409656524658]
['UV', 14, 'CV', 239, 'objcopy', 'env', 'V2', 'V0', 0.14450736126840313, 1.071556806564331]
['BV', 60, 'CV', 203, 'codeblocks', 'tail', 'V1', 'V0', 0.18464419475655425, 9.525742053985596]
['CV', 108, 'BV', 22, 'chgrp', 'cmp', 'V3', 'V3', 0.05518650996423102, 0.048421382904052734]
['CV', 187, 'BV', 48, 'join', 'gvmap', 'V0', 'V3', 0.12928834703714198, 0.12045836448669434]
['BV', 57, 'UV', 53, 'svn', 'readelf', 'V2', 'V1', 0.11425325085216509, 0.6112532615661621]
['CV', 238, 'BV', 74, 'md5sum', 'git', 'V0', 'V1', 0.09408841592049133, 4.541890859603882]
['BV', 2, 'UV', 10, 'cmp', 'as', 'V1', 'V2', 0.12777619183556954, 1.7097723484039307]
['CV', 93, 'BV', 8, 'fmt', 'cluster', 'V3', 'V2', 0.12463935372186963, 0.11934304237365723]
['BV', 13, 'CV', 13, 'cp', 'join', 'V2', 'V2', 0.0953535353535353, 0.06813955307006836]
['CV', 83, 'UV', 4, 'tac', 'cmp', 'V2', 'V2', 0.04909437559580554, 0.0494539737701416]
['BV', 51, 'CV', 79, 'cp', 'fold', 'V0', 'V2', 0.09483282674772031, 0.036016225814819336]
['CV', 74, 'BV', 46, 'pathchk', 'cluster', 'V2', 'V3', 0.14338461538461544, 0.10386490821838379]
['CV', 163, 'UV', 28, 'comm', 'strings', 'V3', 'V3', 0.14286995515695067, 0.9242110252380371]
['CV', 49, 'UV', 69, 'tsort', 'sdiff', 'V2', 'V0', 0.0888888888888889, 0.03303122520446777]
['CV', 335, 'BV', 64, 'pathchk', 'openssl', 'V1', 'V2', 0.2908339076498967, 4.374295711517334]
['BV', 39, 'CV', 225, 'svn', 'printf', 'V1', 'V0', 0.21917050691244233, 0.36257171630859375]
['UV', 63, 'CV', 331, 'elfedit', 'vdir', 'V1', 'V1', 0.11155180961824496, 0.06099724769592285]
['CV', 102, 'UV', 20, 'uptime', 'size', 'V3', 'V2', 0.13936494127881693, 0.9779622554779053]
['UV', 77, 'CV', 218, 'ranlib', 'true', 'V0', 'V0', 0.15146623621199895, 0.8157672882080078]
['CV', 106, 'UV', 74, 'pr', 'strip', 'V3', 'V0', 0.12329147297578569, 1.2501921653747559]
['BV', 60, 'CV', 329, 'codeblocks', 'cat', 'V1', 'V1', 0.18709538195943032, 9.59799599647522]
['UV', 26, 'BV', 34, 'ranlib', 'svn', 'V3', 'V0', 0.07332780717974874, 2.1677756309509277]
['UV', 64, 'CV', 240, 'size', 'link', 'V1', 'V0', 0.15050951393272616, 0.8394594192504883]
['BV', 44, 'UV', 27, 'make', 'c++filt', 'V0', 'V3', 0.07710003485535033, 1.576341152191162]
['CV', 250, 'UV', 47, 'comm', 'sdiff', 'V0', 'V1', 0.10382513661202186, 0.032100677490234375]
['CV', 25, 'BV', 80, 'expand', 'cluster', 'V2', 'V1', 0.14246323529411764, 0.10619568824768066]
['UV', 51, 'BV', 17, 'nm', 'codeblocks', 'V1', 'V2', 0.11489414902483741, 17.796483516693115]
['CV', 341, 'BV', 59, 'uniq', 'make', 'V1', 'V1', 0.13344083854061684, 0.19063806533813477]
['BV', 43, 'CV', 125, 'lua', 'split', 'V0', 'V3', 0.11627906976744184, 0.3243899345397949]
