['CV', 298, 'UV', 81, 'seq', 'ld', 'V1', 'V0', 0.1371637981807473, 1.3274338245391846]
['CV', 289, 'UV', 55, 'chown', 'ranlib', 'V1', 'V1', 0.13597175465966005, 1.0344483852386475]
['BV', 75, 'CV', 52, 'cmp', 'logname', 'V2', 'V2', 0.0881164106709782, 0.02374410629272461]
['CV', 151, 'UV', 38, 'md5sum', 'xargs', 'V3', 'V3', 0.10231660231660233, 0.06803464889526367]
['CV', 307, 'BV', 51, 'cut', 'cp', 'V1', 'V0', 0.09553349875930517, 0.03684377670288086]
['CV', 246, 'BV', 13, 'id', 'cp', 'V0', 'V2', 0.1340730466944059, 0.057329654693603516]
['UV', 50, 'CV', 89, 'find', 'unlink', 'V1', 'V3', 0.14422604422604424, 0.1482398509979248]
['UV', 28, 'CV', 180, 'strings', 'fmt', 'V3', 'V0', 0.1515795307592832, 0.8321325778961182]
['CV', 146, 'UV', 30, 'head', 'ld', 'V3', 'V3', 0.13953488372093026, 1.8099439144134521]
['CV', 290, 'BV', 60, 'tail', 'codeblocks', 'V1', 'V1', 0.1842499064721287, 9.807131052017212]
['UV', 50, 'CV', 85, 'find', 'mknod', 'V1', 'V2', 0.14763092269326683, 0.1474928855895996]
['UV', 38, 'CV', 152, 'xargs', 'env', 'V3', 'V3', 0.11495422177009151, 0.0612485408782959]
['CV', 106, 'BV', 63, 'pr', 'ruby', 'V3', 'V0', 0.11294406203022389, 9.662201642990112]
['BV', 49, 'CV', 346, 'make', 'mknod', 'V3', 'V1', 0.14343707713125842, 0.2019197940826416]
['CV', 314, 'UV', 15, 'tty', 'ld', 'V1', 'V2', 0.13851100667820926, 1.484562635421753]
['BV', 66, 'CV', 207, 'lua', 'sync', 'V1', 'V0', 0.14337425243940827, 0.2691624164581299]
['CV', 130, 'UV', 28, 'chmod', 'strings', 'V3', 'V3', 0.13387265135699378, 0.9927163124084473]
['CV', 215, 'BV', 48, 'nice', 'gvmap', 'V0', 'V3', 0.14856278366111952, 0.10628604888916016]
['BV', 78, 'CV', 226, 'make', 'logname', 'V2', 'V0', 0.1475511469311841, 0.17408037185668945]
['CV', 322, 'UV', 3, 'ginstall', 'diff3', 'V1', 'V2', 0.06551571491810537, 0.07060074806213379]
['UV', 49, 'CV', 206, 'xargs', 'paste', 'V1', 'V0', 0.08340425531914897, 0.021364450454711914]
['CV', 208, 'BV', 49, 'echo', 'make', 'V0', 'V3', 0.1488819144762652, 0.19311308860778809]
['BV', 10, 'CV', 67, 'gvmap', 'uname', 'V2', 'V2', 0.14319387153800822, 0.1046149730682373]
['UV', 1, 'CV', 29, 'xargs', 'tail', 'V2', 'V2', 0.048684210526315774, 0.06925582885742188]
['CV', 340, 'BV', 15, 'fold', 'libvlccore.so', 'V1', 'V3', 0.16717266637752393, 3.2057504653930664]
['CV', 166, 'UV', 19, 'fold', 'elfedit', 'V3', 'V2', 0.04225352112676051, 0.0273895263671875]
['CV', 255, 'BV', 7, 'sleep', 'libSDL2-2.0.so', 'V0', 'V0', 0.22266554668906624, 2.8218934535980225]
['BV', 60, 'UV', 87, 'codeblocks', 'objdump', 'V1', 'V0', 0.09843103582858481, 18.764771699905396]
['BV', 50, 'CV', 41, 'sort', 'nice', 'V0', 'V2', 0.08153310104529621, 0.02857828140258789]
['CV', 182, 'UV', 19, 'du', 'elfedit', 'V0', 'V2', 0.08650519031141868, 0.04571270942687988]
['CV', 184, 'BV', 79, 'ptx', 'bash', 'V0', 'V3', 0.11885638187190484, 2.691493034362793]
['CV', 58, 'UV', 39, 'readlink', 'find', 'V2', 'V3', 0.15303193397918913, 0.2870609760284424]
['UV', 13, 'CV', 144, 'strings', 'who', 'V2', 'V3', 0.13926380368098157, 0.9193625450134277]
['BV', 9, 'CV', 238, 'dot', 'md5sum', 'V2', 'V0', 0.16115702479338845, 0.012544870376586914]
['BV', 8, 'CV', 24, 'cluster', 'factor', 'V2', 'V2', 0.1394216133942161, 0.10474157333374023]
