['CO', 379, 'BO', 10, 'nohup', 'openssl', 'O0', 'O3', 0.27508132169149113, 8.058717966079712]
['CO', 160, 'BO', 60, 'cut', 'openssl', 'O1', 'O0', 0.26907974029003534, 9.629173517227173]
['UO', 65, 'CO', 95, 'sdiff', 'sha224sum', 'O3', 'O3', 0.062322946175637384, 0.0453488826751709]
['CO', 101, 'BO', 10, 'rmdir', 'openssl', 'O3', 'O3', 0.2776373838180495, 8.020248651504517]
['CO', 293, 'UO', 6, '[', 'as', 'O2', 'O1', 0.13236106507568224, 2.0197224617004395]
['CO', 326, 'UO', 87, 'stty', 'find', 'O0', 'O0', 0.14978199538343162, 0.7282247543334961]
['UO', 77, 'CO', 296, 'ar', 'shred', 'O0', 'O2', 0.14461640872025294, 2.54548716545105]
['UO', 44, 'BO', 11, 'nm', 'ssh', 'O3', 'O1', 0.03473770684192001, 4.546341896057129]
['UO', 66, 'BO', 57, 'nm', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.03309917556954001, 13.90217638015747]
['CO', 338, 'UO', 30, 'kill', 'ranlib', 'O0', 'O2', 0.13933457186286102, 1.1194932460784912]
['CO', 402, 'UO', 71, 'tr', 'c++filt', 'O0', 'O0', 0.14404157178723653, 2.36556339263916]
['BO', 19, 'UO', 76, 'libvlccore.so.9.0.0', 'addr2line', 'O1', 'O0', 0.038498580071613775, 14.188802242279053]
['UO', 71, 'CO', 140, 'c++filt', 'pinky', 'O0', 'O1', 0.14986376021798364, 2.2386748790740967]
['BO', 19, 'CO', 199, 'libvlccore.so.9.0.0', 'sha224sum', 'O1', 'O1', 0.16079436258808455, 4.848927974700928]
['CO', 14, 'BO', 47, 'stty', 'libvlc.so.12.0.0', 'O3', 'O0', 0.21787345075016307, 0.6426520347595215]
['BO', 17, 'CO', 276, 'codeblocks', 'yes', 'O2', 'O2', 0.18916588272185642, 10.60756540298462]
['CO', 239, 'BO', 43, 'date', 'diff', 'O2', 'O1', 0.09377845220030345, 0.14593744277954102]
['CO', 38, 'BO', 67, 'sha1sum', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.20446454344270182, 5.518934011459351]
['CO', 338, 'UO', 35, 'kill', 'gprof', 'O0', 'O2', 0.13613305613305615, 1.0998866558074951]
['CO', 395, 'BO', 48, 'csplit', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.17511945196016354, 12.38781476020813]
['BO', 61, 'CO', 319, 'git', 'fmt', 'O1', 'O0', 0.0914808015311902, 6.718568325042725]
['UO', 17, 'CO', 182, 'objdump', 'chcon', 'O1', 'O1', 0.12821763398905328, 2.3477554321289062]
['CO', 315, 'UO', 83, 'unlink', 'diff', 'O0', 'O0', 0.14744171964880415, 0.16892766952514648]
['CO', 48, 'UO', 46, 'ls', 'readelf', 'O3', 'O3', 0.056376847907792516, 0.415818452835083]
['CO', 82, 'UO', 48, 'shuf', 'ranlib', 'O3', 'O3', 0.12525252525252528, 0.988736629486084]
['UO', 61, 'CO', 291, 'find', 'csplit', 'O3', 'O2', 0.1351724137931034, 0.3373987674713135]
['CO', 222, 'UO', 66, 'stty', 'nm', 'O2', 'O0', 0.14989033822001618, 2.3035354614257812]
['BO', 26, 'CO', 149, 'gvmap', 'split', 'O3', 'O1', 0.09696811291165708, 0.15682196617126465]
['CO', 344, 'UO', 61, 'expr', 'find', 'O0', 'O3', 0.1247062772742531, 0.3908259868621826]
['CO', 358, 'BO', 66, 'whoami', 'svn', 'O0', 'O2', 0.215228589826143, 0.5237734317779541]
['CO', 288, 'BO', 62, 'uname', 'bash', 'O2', 'O1', 0.12852624920936118, 2.756340742111206]
['BO', 67, 'CO', 105, 'libSDL2-2.0.so.0.16.0', 'touch', 'O1', 'O1', 0.19653589513037717, 5.932610511779785]
['BO', 52, 'CO', 91, 'svn', 'comm', 'O3', 'O3', 0.2062208398133748, 0.47347068786621094]
['CO', 82, 'BO', 0, 'shuf', 'codeblocks', 'O3', 'O1', 0.1828459334589474, 11.142204999923706]
['CO', 138, 'UO', 25, 'tail', 'sdiff', 'O1', 'O2', 0.048192771084337394, 0.07595443725585938]
['CO', 408, 'BO', 80, 'fold', 'ssh', 'O0', 'O3', 0.13578375647341168, 1.4470417499542236]
['CO', 251, 'BO', 61, 'chroot', 'git', 'O2', 'O1', 0.09265426052889325, 6.761525630950928]
['BO', 42, 'CO', 112, 'cmp', 'dir', 'O1', 'O1', 0.11857846586910625, 0.12189602851867676]
['CO', 100, 'BO', 64, 'tac', 'dot', 'O3', 'O0', 0.16942551119766314, 0.018916606903076172]
['CO', 131, 'UO', 45, 'wc', 'strip', 'O1', 'O3', 0.12304452466907345, 1.1451001167297363]
['UO', 17, 'CO', 233, 'objdump', 'chgrp', 'O1', 'O2', 0.1306625914201507, 2.1865575313568115]
['UO', 86, 'CO', 173, 'xargs', 'who', 'O0', 'O1', 0.11338518215309046, 0.11580562591552734]
['CO', 229, 'UO', 29, 'mktemp', 'as', 'O2', 'O2', 0.1271957429764834, 1.817627191543579]
['CO', 81, 'UO', 48, 'cat', 'ranlib', 'O3', 'O3', 0.13525941349991322, 0.8926160335540771]
['UO', 48, 'BO', 43, 'ranlib', 'diff', 'O3', 'O1', 0.09755911517925253, 1.3229403495788574]
['CO', 219, 'UO', 11, 'groups', 'ld', 'O2', 'O1', 0.147267295413274, 2.089235544204712]
['CO', 125, 'BO', 73, 'mktemp', 'cluster', 'O1', 'O1', 0.10992708917554683, 0.15366721153259277]
['CO', 124, 'UO', 62, 'mkfifo', 'diff3', 'O1', 'O3', 0.06311881188118806, 0.040291547775268555]
['BO', 52, 'CO', 402, 'svn', 'tr', 'O3', 'O0', 0.18622448979591844, 0.5409820079803467]
['UO', 22, 'CO', 313, 'diff3', 'touch', 'O2', 'O0', 0.07999999999999996, 0.08258986473083496]
['CO', 317, 'BO', 3, 'basename', 'openssl', 'O0', 'O1', 0.27825563392396346, 8.081429243087769]
['CO', 295, 'BO', 79, 'id', 'bash', 'O2', 'O3', 0.11300547308737252, 2.6459929943084717]
['BO', 66, 'CO', 116, 'svn', 'ptx', 'O2', 'O1', 0.19265232974910396, 0.6053154468536377]
['CO', 337, 'UO', 13, 'chgrp', 'addr2line', 'O0', 'O1', 0.1252638415327163, 1.4005787372589111]
['UO', 49, 'CO', 220, 'c++filt', 'ptx', 'O3', 'O2', 0.12603678326721957, 0.8924524784088135]
['BO', 46, 'UO', 32, 'ruby', 'strings', 'O3', 'O2', 0.07052635773199989, 22.071658611297607]
['CO', 91, 'UO', 67, 'comm', 'strip', 'O3', 'O0', 0.14461247637051033, 2.8330078125]
['UO', 61, 'CO', 38, 'find', 'sha1sum', 'O3', 'O3', 0.14514991181657844, 0.31906604766845703]
['CO', 244, 'UO', 67, 'pinky', 'strip', 'O2', 'O0', 0.14526452645264532, 2.8273632526397705]
['CO', 355, 'UO', 63, 'chroot', 'cmp', 'O0', 'O3', 0.07730364873222018, 0.05601048469543457]
['UO', 5, 'CO', 169, 'readelf', 'false', 'O1', 'O1', 0.1201908279470606, 0.30594372749328613]
['CO', 43, 'UO', 86, 'chroot', 'xargs', 'O3', 'O0', 0.12696443341604635, 0.10688519477844238]
['CO', 219, 'UO', 67, 'groups', 'strip', 'O2', 'O0', 0.14708691499522442, 2.8945255279541016]
['CO', 138, 'BO', 24, 'tail', 'cluster', 'O1', 'O3', 0.08592938733125655, 0.17260122299194336]
['CO', 104, 'BO', 6, 'sha384sum', 'codeblocks', 'O1', 'O0', 0.20542786651084277, 30.114938735961914]
['UO', 39, 'CO', 326, 'size', 'stty', 'O2', 'O0', 0.1328500305703555, 1.108307123184204]
['BO', 32, 'CO', 68, 'ruby', 'yes', 'O2', 'O3', 0.1261397917270295, 15.642933368682861]
['CO', 76, 'UO', 17, 'md5sum', 'objdump', 'O3', 'O1', 0.13789649415692817, 2.1329963207244873]
['CO', 313, 'BO', 62, 'touch', 'bash', 'O0', 'O1', 0.11709764254833188, 3.314410924911499]
['CO', 169, 'UO', 61, 'false', 'find', 'O1', 'O3', 0.15445362718089994, 0.32046008110046387]
['UO', 66, 'CO', 71, 'nm', 'readlink', 'O0', 'O3', 0.1500143967751224, 2.3599729537963867]
['UO', 19, 'CO', 148, 'cmp', 'seq', 'O1', 'O1', 0.032128514056224855, 0.04240155220031738]
['CO', 308, 'BO', 76, 'tac', 'openssl', 'O2', 'O2', 0.27804919859432586, 8.027233123779297]
['UO', 75, 'CO', 334, 'gprof', 'pwd', 'O0', 'O0', 0.14436619718309862, 2.479687213897705]
['BO', 17, 'CO', 183, 'codeblocks', 'link', 'O2', 'O1', 0.18815185648727573, 10.837490320205688]
['CO', 280, 'UO', 79, 'head', 'size', 'O2', 'O0', 0.15213303560935476, 2.2938435077667236]
['UO', 3, 'CO', 222, 'nm', 'stty', 'O1', 'O2', 0.14589486119314832, 1.1465911865234375]
['CO', 335, 'UO', 11, 'pr', 'ld', 'O0', 'O1', 0.13105030496334846, 2.5651845932006836]
['CO', 323, 'BO', 6, 'groups', 'codeblocks', 'O0', 'O0', 0.20508160237388728, 29.484862327575684]
['CO', 51, 'UO', 70, 'realpath', 'ranlib', 'O3', 'O0', 0.14915954654604346, 2.461289644241333]
['CO', 240, 'UO', 43, 'expr', 'find', 'O2', 'O2', 0.15475174884831944, 0.39478135108947754]
['UO', 53, 'BO', 11, 'gprof', 'ssh', 'O3', 'O1', 0.03233441496468792, 4.588703870773315]
['CO', 130, 'BO', 47, 'kill', 'libvlc.so.12.0.0', 'O1', 'O0', 0.22775982309916654, 0.6357059478759766]
['UO', 45, 'CO', 119, 'strip', 'join', 'O3', 'O1', 0.12362080612474668, 1.106245517730713]
['CO', 370, 'BO', 82, 'df', 'cp', 'O0', 'O3', 0.031512605042016806, 0.19507861137390137]
['BO', 20, 'CO', 411, 'sort', 'sort', 'O1', 'O0', 0.035951209073400436, 0.32722973823547363]
['UO', 72, 'CO', 67, 'strings', 'nohup', 'O0', 'O3', 0.15252835538752363, 2.162606954574585]
['BO', 37, 'UO', 10, 'gvmap', 'objcopy', 'O2', 'O1', 0.10256892230576442, 1.971327304840088]
['CO', 387, 'BO', 31, 'mv', 'bash', 'O0', 'O2', 0.09452385372192318, 4.145427703857422]
['BO', 39, 'CO', 49, 'codeblocks', 'nice', 'O3', 'O3', 0.18590847187604387, 10.903598546981812]
['CO', 148, 'UO', 0, 'seq', 'locate', 'O1', 'O1', 0.12627761292449713, 0.13994145393371582]
['CO', 386, 'UO', 78, 'unexpand', 'elfedit', 'O0', 'O0', 0.03745318352059923, 0.04993915557861328]
['CO', 58, 'UO', 81, 'df', 'diff3', 'O3', 'O0', 0.0353591160220994, 0.10640859603881836]
['UO', 35, 'BO', 6, 'gprof', 'codeblocks', 'O2', 'O0', 0.1484417417743512, 43.44698786735535]
['CO', 387, 'BO', 68, 'mv', 'git', 'O0', 'O3', 0.07973366159355422, 8.841878890991211]
['UO', 87, 'CO', 299, 'find', 'comm', 'O0', 'O2', 0.17059060944436966, 0.6162981986999512]
['UO', 80, 'CO', 315, 'objdump', 'unlink', 'O0', 'O0', 0.14122925434765343, 4.060503005981445]
['UO', 8, 'CO', 382, 'c++filt', 'b2sum', 'O1', 'O0', 0.13555160443654224, 1.2412641048431396]
['CO', 16, 'UO', 38, 'dirname', 'elfedit', 'O3', 'O2', 0.06828528072837636, 0.028685331344604492]
['BO', 52, 'CO', 378, 'svn', 'runcon', 'O3', 'O0', 0.1994386402619679, 0.5177216529846191]
['UO', 34, 'CO', 317, 'ld', 'basename', 'O2', 'O0', 0.13953904943873896, 1.9125492572784424]
['UO', 60, 'CO', 275, 'xargs', 'nohup', 'O3', 'O2', 0.11563169164882225, 0.06685066223144531]
['CO', 395, 'BO', 46, 'csplit', 'ruby', 'O0', 'O3', 0.1014245100411324, 14.649057149887085]
['CO', 140, 'UO', 26, 'pinky', 'nm', 'O1', 'O2', 0.14047410008779626, 1.0705599784851074]
['CO', 15, 'UO', 3, 'join', 'nm', 'O3', 'O1', 0.1424192212096106, 1.1602237224578857]
['BO', 78, 'CO', 103, 'ssh', 'ln', 'O0', 'O3', 0.12947993767043242, 2.422502040863037]
['CO', 195, 'BO', 73, 'comm', 'cluster', 'O1', 'O1', 0.11982633863965264, 0.14438271522521973]
['CO', 181, 'UO', 18, 'env', 'diff3', 'O1', 'O1', 0.07317073170731703, 0.04928898811340332]
['BO', 80, 'CO', 302, 'ssh', 'rm', 'O3', 'O2', 0.12873535006442904, 1.514122724533081]
['BO', 12, 'CO', 381, 'libgeany.so.0.0.0', 'who', 'O0', 'O0', 0.1898205445544554, 29.57331609725952]
['BO', 37, 'UO', 72, 'gvmap', 'strings', 'O2', 'O0', 0.11830041389427359, 3.0994746685028076]
['CO', 390, 'UO', 47, 'chcon', 'as', 'O0', 'O3', 0.10413425205601246, 1.977247714996338]
['CO', 386, 'BO', 9, 'unexpand', 'git', 'O0', 'O0', 0.09173684519041014, 6.968345880508423]
['CO', 183, 'UO', 68, 'link', 'readelf', 'O1', 'O0', 0.12800178711046573, 0.5529599189758301]
['BO', 4, 'CO', 37, 'libgeany.so.0.0.0', 'truncate', 'O2', 'O3', 0.1781083446026569, 28.683875560760498]
['BO', 29, 'CO', 352, 'libvlc.so.12.0.0', 'sync', 'O2', 'O0', 0.2096931795974204, 0.45205163955688477]
['UO', 0, 'CO', 164, 'locate', 'base64', 'O1', 'O1', 0.12696291346475108, 0.13420367240905762]
['CO', 171, 'UO', 38, 'nohup', 'elfedit', 'O1', 'O2', 0.04043321299638991, 0.0362701416015625]
['CO', 352, 'BO', 48, 'sync', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.18078352204570058, 11.568488121032715]
['CO', 267, 'BO', 6, 'tsort', 'codeblocks', 'O2', 'O0', 0.20659835227167056, 29.47422480583191]
['CO', 397, 'BO', 40, '[', 'lua', 'O0', 'O0', 0.12820257202671714, 0.8352963924407959]
['CO', 249, 'UO', 76, 'echo', 'addr2line', 'O2', 'O0', 0.1565326783681783, 2.196974754333496]
['CO', 338, 'BO', 44, 'kill', 'cmp', 'O0', 'O2', 0.05280748663101609, 0.04366421699523926]
['CO', 366, 'BO', 64, 'true', 'dot', 'O0', 'O0', 0.19088669950738912, 0.01846766471862793]
['CO', 169, 'BO', 43, 'false', 'diff', 'O1', 'O1', 0.14362464183381085, 0.10862874984741211]
['CO', 209, 'BO', 25, 'touch', 'dot', 'O2', 'O3', 0.19967663702506067, 0.029117822647094727]
['CO', 193, 'UO', 20, 'pathchk', 'diff', 'O1', 'O1', 0.13788251846640875, 0.11450767517089844]
['CO', 161, 'BO', 62, 'od', 'bash', 'O1', 'O1', 0.12120712401055411, 3.0255250930786133]
['CO', 408, 'UO', 34, 'fold', 'ld', 'O0', 'O2', 0.13773024361259656, 1.9975898265838623]
['CO', 17, 'BO', 61, 'stdbuf', 'git', 'O3', 'O1', 0.09242859656325142, 6.783640146255493]
['BO', 36, 'CO', 316, 'cluster', 'test', 'O2', 'O0', 0.10152284263959388, 0.16028475761413574]
['UO', 2, 'CO', 20, 'find', 'mkfifo', 'O1', 'O3', 0.16582235731171902, 0.37380552291870117]
['CO', 359, 'UO', 65, 'numfmt', 'sdiff', 'O0', 'O3', 0.06145251396648044, 0.07361960411071777]
['BO', 3, 'CO', 383, 'openssl', 'readlink', 'O1', 'O0', 0.2724101255052116, 8.554814100265503]
['UO', 86, 'CO', 355, 'xargs', 'chroot', 'O0', 'O0', 0.0934504792332268, 0.1305694580078125]
['UO', 80, 'BO', 73, 'objdump', 'cluster', 'O0', 'O1', 0.11980959355547416, 5.101213216781616]
['UO', 25, 'BO', 41, 'sdiff', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.20153875931481657, 5.61090612411499]
['BO', 65, 'CO', 396, 'gvmap', 'vdir', 'O0', 'O0', 0.028624856156501677, 0.5613088607788086]
['CO', 187, 'BO', 9, 'csplit', 'git', 'O1', 'O0', 0.09072855418402714, 6.947614669799805]
['UO', 62, 'CO', 67, 'diff3', 'nohup', 'O3', 'O3', 0.05906195715112916, 0.041013240814208984]
['BO', 65, 'CO', 407, 'gvmap', 'sha224sum', 'O0', 'O0', 0.10664819944598336, 0.2528839111328125]
['UO', 8, 'CO', 170, 'c++filt', 'runcon', 'O1', 'O1', 0.1518617021276596, 2.089540958404541]
['CO', 106, 'BO', 26, 'stat', 'gvmap', 'O1', 'O3', 0.0758087880251086, 0.19175457954406738]
['CO', 221, 'BO', 39, 'printenv', 'codeblocks', 'O2', 'O3', 0.18697739238154232, 10.858413934707642]
['CO', 80, 'UO', 46, 'uname', 'readelf', 'O3', 'O3', 0.10750349541711979, 0.23476195335388184]
['CO', 146, 'BO', 65, 'sum', 'gvmap', 'O1', 'O0', 0.12064727570667755, 0.28269433975219727]
['UO', 85, 'BO', 3, 'locate', 'openssl', 'O0', 'O1', 0.235498342110396, 10.351012229919434]
['BO', 51, 'CO', 150, 'lua', 'whoami', 'O1', 'O1', 0.13149185336048874, 0.43961286544799805]
['CO', 31, 'UO', 80, 'date', 'objdump', 'O3', 'O0', 0.1375729288214702, 4.223115921020508]
['CO', 243, 'BO', 8, 'base32', 'cp', 'O2', 'O0', 0.1597315436241611, 0.1929023265838623]
['CO', 68, 'BO', 28, 'yes', 'ruby', 'O3', 'O0', 0.10536226821971484, 13.633670568466187]
['CO', 128, 'UO', 34, 'tee', 'ld', 'O1', 'O2', 0.1395376549094376, 1.9573099613189697]
['UO', 51, 'CO', 16, 'objcopy', 'dirname', 'O3', 'O3', 0.13247470101195957, 0.989919900894165]
['BO', 35, 'CO', 130, 'make', 'kill', 'O3', 'O1', 0.12472160356347439, 0.23348426818847656]
['CO', 206, 'UO', 15, 'mknod', 'elfedit', 'O1', 'O1', 0.04347826086956519, 0.03571820259094238]
['UO', 21, 'CO', 353, 'sdiff', 'echo', 'O1', 'O0', 0.07320099255583123, 0.04976367950439453]
['BO', 55, 'UO', 56, 'make', 'elfedit', 'O1', 'O3', 0.12642369020501143, 0.23195600509643555]
['CO', 41, 'BO', 47, 'echo', 'libvlc.so.12.0.0', 'O3', 'O0', 0.23627602822233695, 0.5735094547271729]
['BO', 72, 'UO', 1, 'make', 'xargs', 'O2', 'O1', 0.08165931732810716, 0.3539915084838867]
['UO', 65, 'CO', 147, 'sdiff', 'chroot', 'O3', 'O1', 0.052991452991453025, 0.051392555236816406]
['CO', 262, 'BO', 29, 'true', 'libvlc.so.12.0.0', 'O2', 'O2', 0.23344947735191635, 0.3939988613128662]
['UO', 13, 'BO', 71, 'addr2line', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.09196147161919344, 13.555067300796509]
['UO', 43, 'CO', 148, 'find', 'seq', 'O2', 'O1', 0.1546018614270941, 0.3897511959075928]
['BO', 80, 'CO', 34, 'ssh', 'tail', 'O3', 'O3', 0.12989880404783805, 1.4288551807403564]
