['CV', 26, 'BV', 11, 'date', 'bash', 'V2', 'V1', 0.12619645014403869, 2.3537750244140625]
['CV', 82, 'BV', 71, 'sort', 'ruby', 'V2', 'V1', 0.2185469580626107, 0.03188204765319824]
['BV', 53, 'CV', 2, 'ssh', 'unlink', 'V2', 'V2', 0.12056808688387632, 3.666862726211548]
['BV', 62, 'CV', 254, 'diff', 'uniq', 'V0', 'V0', 0.10383747178329572, 0.04497861862182617]
['BV', 78, 'CV', 148, 'make', 'ginstall', 'V2', 'V3', 0.05776598880047157, 0.4055178165435791]
['CV', 188, 'BV', 10, 'dirname', 'gvmap', 'V0', 'V2', 0.1521075137446548, 0.10585308074951172]
['CV', 319, 'UV', 39, 'readlink', 'find', 'V1', 'V3', 0.16557652775182208, 0.2811930179595947]
['BV', 27, 'UV', 11, 'libSDL2-2.0.so', 'ranlib', 'V1', 'V2', 0.06542575357688563, 8.693529844284058]
['CV', 187, 'BV', 70, 'join', 'ssh', 'V0', 'V0', 0.11650585802894553, 3.4749295711517334]
['CV', 175, 'BV', 45, 'stat', 'svn', 'V0', 'V3', 0.22231650403054726, 0.6139559745788574]
['UV', 17, 'BV', 78, 'addr2line', 'make', 'V2', 'V2', 0.07065757234620218, 1.7439799308776855]
['UV', 82, 'CV', 82, 'gprof', 'sort', 'V0', 'V2', 0.11653244907626714, 1.1649298667907715]
['UV', 60, 'BV', 14, 'gprof', 'openssl', 'V1', 'V3', 0.13053404804447089, 12.256093978881836]
['CV', 285, 'BV', 8, 'factor', 'cluster', 'V1', 'V2', 0.1479962133165036, 0.10767364501953125]
['CV', 190, 'BV', 67, 'dd', 'cluster', 'V0', 'V0', 0.11415241057542769, 0.11768794059753418]
['CV', 165, 'UV', 84, 'rm', 'ar', 'V3', 'V0', 0.12706543291473893, 1.0594346523284912]
['BV', 4, 'CV', 304, 'geany', 'chmod', 'V3', 'V1', 0.18009765895553398, 25.011307954788208]
['CV', 35, 'UV', 41, 'sum', 'cmp', 'V2', 'V3', 0.049311094996374205, 0.03201937675476074]
['BV', 56, 'CV', 250, 'ssh', 'comm', 'V3', 'V0', 0.1491158617049353, 1.273554801940918]
['BV', 72, 'UV', 80, 'perl', 'objcopy', 'V1', 'V0', 0.023791143238121926, 6.750037670135498]
['UV', 54, 'CV', 12, 'as', 'stty', 'V1', 'V2', 0.12695951765719204, 1.7423925399780273]
['UV', 6, 'CV', 108, 'sdiff', 'chgrp', 'V2', 'V3', 0.03879115922417686, 0.06399822235107422]
['CV', 93, 'UV', 31, 'fmt', 'gprof', 'V3', 'V3', 0.14050137419838427, 1.0877678394317627]
['CV', 10, 'UV', 29, 'ptx', 'objcopy', 'V2', 'V3', 0.12043998886104146, 1.4800536632537842]
['CV', 321, 'BV', 78, 'hostid', 'make', 'V1', 'V2', 0.14754436648782498, 0.1883835792541504]
['UV', 77, 'CV', 14, 'ranlib', 'dirname', 'V0', 'V2', 0.14742796535266045, 0.8784489631652832]
['CV', 200, 'UV', 74, 'date', 'strip', 'V0', 'V0', 0.13198188483933582, 1.2286362648010254]
['UV', 50, 'CV', 52, 'find', 'logname', 'V1', 'V2', 0.1531463229719484, 0.1484384536743164]
['CV', 319, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V1', 'V3', 0.1951743362427455, 5.2721662521362305]
['BV', 35, 'CV', 126, 'libvlccore.so', 'whoami', 'V2', 'V3', 0.1652428489153388, 3.4043471813201904]
['CV', 210, 'UV', 55, 'chroot', 'ranlib', 'V0', 'V1', 0.14940273037542662, 0.9684722423553467]
['CV', 231, 'BV', 59, 'who', 'make', 'V0', 'V1', 0.13078470824949695, 0.20581817626953125]
['CV', 172, 'UV', 8, 'mknod', 'strip', 'V3', 'V2', 0.1368793281273022, 1.2174766063690186]
['UV', 10, 'BV', 22, 'as', 'cmp', 'V2', 'V3', 0.1276401415686722, 1.7532951831817627]
['CV', 285, 'BV', 47, 'factor', 'dot', 'V1', 'V3', 0.13496932515337423, 0.011256933212280273]
['CV', 200, 'UV', 0, 'date', 'locate', 'V0', 'V2', 0.0985346134411319, 0.061896562576293945]
['UV', 14, 'CV', 121, 'objcopy', 'echo', 'V2', 'V3', 0.13941914877813266, 1.178755283355713]
['CV', 268, 'BV', 62, 'dir', 'diff', 'V1', 'V0', 0.04381543233811558, 0.09649825096130371]
['CV', 54, 'BV', 76, 'false', 'diff', 'V2', 'V2', 0.14688204357625845, 0.07730436325073242]
['CV', 169, 'BV', 80, 'sort', 'cluster', 'V3', 'V1', 0.05067706196142796, 0.2471609115600586]
['CV', 63, 'BV', 82, 'mv', 'gvmap', 'V2', 'V1', 0.071083808688021, 0.21944499015808105]
