['CO', 386, 'BO', 49, 'unexpand', 'svn', 'O0', 'O0', 0.19751660410049088, 0.6033625602722168]
['UO', 33, 'CO', 308, 'objcopy', 'tac', 'O2', 'O2', 0.13715785526809143, 1.2201814651489258]
['BO', 2, 'CO', 415, 'perl', 'ln', 'O1', 'O0', 0.0684388120444066, 3.1355254650115967]
['UO', 52, 'CO', 88, 'ld', 'shred', 'O3', 'O3', 0.12391443725593054, 1.8234426975250244]
['CO', 239, 'UO', 0, 'date', 'locate', 'O2', 'O1', 0.10243316311204564, 0.15818452835083008]
['BO', 6, 'CO', 392, 'codeblocks', 'uname', 'O0', 'O0', 0.20579052999331005, 29.087648391723633]
['UO', 19, 'CO', 43, 'cmp', 'chroot', 'O1', 'O3', 0.04669260700389111, 0.03967404365539551]
['CO', 356, 'UO', 37, 'seq', 'ar', 'O0', 'O2', 0.13745070067970122, 1.1479387283325195]
['UO', 25, 'CO', 125, 'sdiff', 'mktemp', 'O2', 'O1', 0.03779877709838797, 0.059340715408325195]
['CO', 359, 'UO', 29, 'numfmt', 'as', 'O0', 'O2', 0.12030201342281877, 2.025541305541992]
['CO', 344, 'UO', 56, 'expr', 'elfedit', 'O0', 'O3', 0.08976558033161808, 0.05644083023071289]
['CO', 51, 'UO', 56, 'realpath', 'elfedit', 'O3', 'O3', 0.036213468869123244, 0.03669166564941406]
['CO', 54, 'BO', 60, 'true', 'openssl', 'O3', 'O0', 0.27288029437093875, 9.106198072433472]
['BO', 71, 'CO', 114, 'libSDL2-2.0.so.0.16.0', 'users', 'O0', 'O1', 0.20060828792295016, 6.769451379776001]
['CO', 196, 'BO', 64, 'sha512sum', 'dot', 'O1', 'O0', 0.19768664563617244, 0.022229671478271484]
['BO', 36, 'CO', 118, 'cluster', 'stty', 'O2', 'O1', 0.10947666195190942, 0.14742398262023926]
['UO', 69, 'CO', 8, 'as', 'dir', 'O0', 'O3', 0.12248731918091305, 4.6150970458984375]
['CO', 294, 'BO', 58, 'timeout', 'svn', 'O2', 'O1', 0.21545816733067724, 0.5351734161376953]
