['UV', 29, 'CV', 58, 'objcopy', 'readlink', 'V3', 'V2', 0.1390013495276653, 1.134653091430664]
['BV', 4, 'CV', 294, 'geany', 'sync', 'V3', 'V1', 0.18327249864650097, 24.226327896118164]
['UV', 10, 'CV', 172, 'as', 'mknod', 'V2', 'V3', 0.12984407246044483, 1.668074131011963]
['CV', 266, 'UV', 5, 'mkdir', 'diff', 'V1', 'V2', 0.1254007837548985, 0.09043669700622559]
['BV', 39, 'CV', 144, 'svn', 'who', 'V1', 'V3', 0.2001040402288885, 0.42010045051574707]
['CV', 330, 'UV', 37, 'csplit', 'locate', 'V1', 'V3', 0.07528409090909094, 0.14525699615478516]
['BV', 78, 'CV', 136, 'make', 'tsort', 'V2', 'V3', 0.12430462305774026, 0.2127225399017334]
['CV', 23, 'BV', 37, 'wc', 'geany', 'V2', 'V1', 0.18359176658985277, 20.03615665435791]
['BV', 48, 'CV', 47, 'gvmap', 'od', 'V3', 'V2', 0.1103502765341059, 0.14273285865783691]
['CV', 146, 'BV', 23, 'head', 'diff', 'V3', 'V3', 0.10697977821265492, 0.09541058540344238]
['CV', 306, 'UV', 43, 'cp', 'sdiff', 'V1', 'V3', 0.04686035613870665, 0.0646371841430664]
['CV', 139, 'BV', 81, 'logname', 'dot', 'V3', 'V1', 0.1408977556109725, 0.013506889343261719]
['UV', 17, 'CV', 307, 'addr2line', 'cut', 'V2', 'V1', 0.1486644482417483, 0.9229209423065186]
['BV', 40, 'CV', 336, 'lua', 'tr', 'V2', 'V1', 0.13208901651112703, 0.33250856399536133]
['BV', 77, 'UV', 55, 'perl', 'ranlib', 'V2', 'V1', 0.028795496644133833, 6.396939516067505]
['CV', 65, 'UV', 69, 'env', 'sdiff', 'V2', 'V0', 0.10330857528696824, 0.03195333480834961]
['BV', 11, 'CV', 205, 'bash', 'sha1sum', 'V1', 'V0', 0.12962788949445592, 2.2219815254211426]
['UV', 49, 'CV', 235, 'xargs', 'ginstall', 'V1', 'V0', 0.08304152076038018, 0.057416677474975586]
['CV', 119, 'UV', 49, 'paste', 'xargs', 'V3', 'V1', 0.04132231404958675, 0.029110193252563477]
['CV', 62, 'BV', 0, 'unexpand', 'bash', 'V2', 'V2', 0.1287699387873643, 2.412269353866577]
['CV', 53, 'UV', 74, 'tty', 'strip', 'V2', 'V0', 0.13746179595400965, 1.1157865524291992]
['BV', 1, 'UV', 32, 'libSDL2-2.0.so', 'addr2line', 'V3', 'V3', 0.08474948266131566, 10.948360681533813]
['UV', 40, 'CV', 52, 'diff3', 'logname', 'V3', 'V2', 0.0974967061923584, 0.030510425567626953]
['UV', 78, 'CV', 289, 'c++filt', 'chown', 'V0', 'V1', 0.13604565537555224, 0.8652482032775879]
['UV', 52, 'CV', 315, 'strip', 'false', 'V1', 'V1', 0.13988684582743982, 1.1519641876220703]
['BV', 4, 'CV', 182, 'geany', 'du', 'V3', 'V0', 0.178397681399441, 25.387852668762207]
['CV', 306, 'BV', 83, 'cp', 'git', 'V1', 'V2', 0.09062049624118729, 7.057738780975342]
['CV', 121, 'UV', 7, 'echo', 'nm', 'V3', 'V2', 0.14738969941993318, 0.980196475982666]
['BV', 2, 'CV', 129, 'cmp', 'dircolors', 'V1', 'V3', 0.03432032301480481, 0.03486776351928711]
['UV', 35, 'CV', 226, 'size', 'logname', 'V3', 'V0', 0.15445727482678984, 0.8670837879180908]
['UV', 24, 'BV', 45, 'readelf', 'svn', 'V3', 'V3', 0.0775244299674267, 1.3619439601898193]
