['UV', 17, 'CV', 107, 'addr2line', 'tee', 'V2', 'V3', 0.14281942977824713, 0.9569485187530518]
['CV', 280, 'BV', 5, 'pr', 'libvlccore.so', 'V1', 'V0', 0.1654944817139148, 2.9263596534729004]
['CV', 3, 'UV', 24, 'test', 'readelf', 'V2', 'V3', 0.11607284243863814, 0.24635815620422363]
['CV', 223, 'UV', 86, 'tsort', 'size', 'V0', 'V0', 0.1276388437804482, 0.8195919990539551]
['UV', 46, 'BV', 53, 'diff', 'ssh', 'V1', 'V2', 0.10220365925879749, 4.843404054641724]
['CV', 325, 'UV', 3, 'md5sum', 'diff3', 'V1', 'V2', 0.08598510494245093, 0.03464818000793457]
['CV', 142, 'BV', 13, 'nohup', 'cp', 'V3', 'V2', 0.09904286308780685, 0.0711209774017334]
['BV', 26, 'CV', 29, 'geany', 'tail', 'V2', 'V2', 0.18036997059589832, 21.587673664093018]
['BV', 18, 'CV', 69, 'sort', 'csplit', 'V3', 'V2', 0.05676855895196509, 0.13858914375305176]
['CV', 43, 'UV', 39, 'chmod', 'find', 'V2', 'V3', 0.13521367521367522, 0.5087020397186279]
['CV', 249, 'BV', 30, 'tr', 'bash', 'V0', 'V0', 0.12969114074661636, 2.107171058654785]
['CV', 190, 'UV', 7, 'dd', 'nm', 'V0', 'V2', 0.1411805315843977, 1.081204891204834]
['BV', 70, 'CV', 174, 'ssh', 'touch', 'V0', 'V0', 0.11573324142684815, 3.617173671722412]
['BV', 11, 'CV', 221, 'bash', 'od', 'V1', 'V0', 0.12823507427823977, 2.287565231323242]
['CV', 267, 'UV', 48, 'fmt', 'locate', 'V1', 'V1', 0.12739130434782608, 0.06310176849365234]
['UV', 85, 'CV', 133, 'elfedit', 'cut', 'V0', 'V3', 0.03961084086170952, 0.03377509117126465]
['CV', 11, 'UV', 56, 'printenv', 'c++filt', 'V2', 'V1', 0.1482254697286013, 0.8963732719421387]
['BV', 64, 'CV', 168, 'openssl', 'sleep', 'V2', 'V3', 0.2853253162402859, 4.735656023025513]
['BV', 60, 'CV', 296, 'codeblocks', 'sum', 'V1', 'V1', 0.18631567614125755, 10.290231227874756]
['CV', 99, 'UV', 25, 'stty', 'as', 'V3', 'V3', 0.1267014519056261, 1.8032634258270264]
['CV', 65, 'UV', 46, 'env', 'diff', 'V2', 'V1', 0.12661498708010333, 0.08525419235229492]
['CV', 286, 'BV', 51, 'expand', 'cp', 'V1', 'V0', 0.11198428290766205, 0.03388857841491699]
['CV', 289, 'BV', 0, 'chown', 'bash', 'V1', 'V2', 0.1235177430019837, 2.7258994579315186]
['CV', 160, 'UV', 41, 'shred', 'cmp', 'V3', 'V3', 0.06282722513089001, 0.054099082946777344]
['UV', 17, 'BV', 73, 'addr2line', 'geany', 'V2', 'V0', 0.12241717543956143, 26.133577823638916]
['BV', 38, 'CV', 53, 'ruby', 'tty', 'V2', 'V2', 0.20950704225352113, 0.006559133529663086]
['CV', 35, 'BV', 26, 'sum', 'geany', 'V2', 'V2', 0.18259174569854175, 21.343846797943115]
['BV', 60, 'CV', 117, 'codeblocks', 'pinky', 'V1', 'V3', 0.18391755880075822, 10.204367637634277]
['BV', 6, 'CV', 122, 'libvlc.so', 'sum', 'V0', 'V3', 0.17175141242937852, 0.2554333209991455]
['UV', 53, 'CV', 164, 'readelf', 'nl', 'V1', 'V3', 0.08666487791789645, 0.10114741325378418]
['CV', 58, 'BV', 68, 'readlink', 'dot', 'V2', 'V0', 0.1404109589041096, 0.014698266983032227]
['CV', 35, 'UV', 26, 'sum', 'ranlib', 'V2', 'V3', 0.14464818763326226, 1.0307152271270752]
['CV', 126, 'BV', 59, 'whoami', 'make', 'V3', 'V1', 0.13158421790506702, 0.19426560401916504]
['CV', 319, 'BV', 59, 'readlink', 'make', 'V1', 'V1', 0.140818858560794, 0.18082785606384277]
['UV', 81, 'CV', 112, 'ld', 'expand', 'V0', 'V3', 0.13244181561013246, 1.406714677810669]
['UV', 45, 'CV', 94, 'cmp', 'dir', 'V1', 'V3', 0.10818307905686542, 0.10249781608581543]
['UV', 82, 'CV', 44, 'gprof', 'true', 'V0', 'V2', 0.14480779265959298, 0.8458998203277588]
['CV', 33, 'UV', 65, 'sync', 'objdump', 'V2', 'V1', 0.13868519233243282, 1.423250436782837]
['UV', 86, 'CV', 342, 'size', 'sleep', 'V0', 'V1', 0.12769930183471345, 0.7930505275726318]
['CV', 95, 'BV', 71, 'du', 'ruby', 'V3', 'V1', 0.2187339166237776, 0.04101395606994629]
['UV', 35, 'CV', 70, 'size', 'vdir', 'V3', 'V2', 0.11940422010757135, 1.2115883827209473]
['CV', 332, 'BV', 62, '[', 'diff', 'V1', 'V0', 0.11181556195965414, 0.04356670379638672]
['CV', 270, 'BV', 28, 'users', 'openssl', 'V1', 'V1', 0.1040310354053331, 6.4035046100616455]
['BV', 20, 'CV', 221, 'sort', 'od', 'V1', 'V0', 0.07616849394114256, 0.04318499565124512]
['UV', 51, 'BV', 82, 'nm', 'gvmap', 'V1', 'V1', 0.09393105446118188, 1.476813554763794]
['CV', 163, 'BV', 62, 'comm', 'diff', 'V3', 'V0', 0.07931726907630521, 0.05179619789123535]
['BV', 50, 'CV', 3, 'sort', 'test', 'V0', 'V2', 0.07176079734219265, 0.03278923034667969]
['BV', 59, 'CV', 14, 'make', 'dirname', 'V1', 'V2', 0.1394112837285364, 0.18187975883483887]
['BV', 12, 'CV', 140, 'sort', 'tty', 'V2', 'V3', 0.11014226709499775, 0.05691671371459961]
['UV', 46, 'CV', 333, 'diff', 'id', 'V1', 'V1', 0.12677878395860287, 0.08838987350463867]
['CV', 11, 'BV', 63, 'printenv', 'ruby', 'V2', 'V0', 0.11709019434806156, 9.60131025314331]
['UV', 14, 'CV', 307, 'objcopy', 'cut', 'V2', 'V1', 0.14046872667562327, 1.1498937606811523]
['BV', 44, 'CV', 327, 'make', 'link', 'V0', 'V1', 0.1414324569356301, 0.1444556713104248]
['CV', 126, 'UV', 81, 'whoami', 'ld', 'V3', 'V0', 0.13453815261044177, 1.4108304977416992]
['UV', 6, 'CV', 176, 'sdiff', 'unlink', 'V2', 'V0', 0.13352898019075565, 0.0285336971282959]
['BV', 40, 'CV', 333, 'lua', 'id', 'V2', 'V1', 0.1364630412596588, 0.32637691497802734]
['BV', 28, 'CV', 190, 'openssl', 'dd', 'V1', 'V0', 0.1016975411105947, 6.621246099472046]
['UV', 87, 'CV', 57, 'objdump', 'who', 'V0', 'V2', 0.1320939334637965, 1.4106171131134033]
['CV', 46, 'UV', 81, 'cut', 'ld', 'V2', 'V0', 0.13223938223938225, 1.4735870361328125]
['BV', 22, 'CV', 233, 'cmp', 'head', 'V3', 'V0', 0.07054263565891472, 0.027189254760742188]
['CV', 150, 'BV', 14, 'mv', 'openssl', 'V3', 'V3', 0.25252717909593736, 6.976434230804443]
['UV', 49, 'CV', 284, 'xargs', 'wc', 'V1', 'V1', 0.05169753086419748, 0.028154611587524414]
['CV', 309, 'UV', 84, 'df', 'ar', 'V1', 'V0', 0.13849216653683027, 0.9909610748291016]
['CV', 64, 'UV', 83, 'md5sum', 'addr2line', 'V2', 'V0', 0.14362690449646975, 0.853381872177124]
['CV', 278, 'BV', 2, 'mkfifo', 'cmp', 'V1', 'V1', 0.0975395430579965, 0.022742271423339844]
['BV', 53, 'CV', 144, 'ssh', 'who', 'V2', 'V3', 0.11634431315598392, 3.888061285018921]
['CV', 148, 'BV', 62, 'ginstall', 'diff', 'V3', 'V0', 0.08069082672706684, 0.14878582954406738]
['CV', 265, 'BV', 32, 'basename', 'perl', 'V1', 'V0', 0.11151458852341345, 1.9763298034667969]
['UV', 7, 'CV', 97, 'nm', 'ptx', 'V2', 'V3', 0.13218102872411486, 1.0662994384765625]
['BV', 40, 'UV', 76, 'lua', 'as', 'V2', 'V0', 0.06133953738087783, 3.1443028450012207]
['UV', 84, 'CV', 301, 'ar', 'ls', 'V0', 'V1', 0.12244395171224443, 1.1540935039520264]
['CV', 322, 'BV', 3, 'ginstall', 'diff', 'V1', 'V1', 0.049748110831234316, 0.12435555458068848]
['CV', 177, 'UV', 0, 'test', 'locate', 'V0', 'V2', 0.13628715647784628, 0.04741930961608887]
['BV', 12, 'UV', 73, 'sort', 'nm', 'V2', 'V0', 0.11875313387932473, 1.1153254508972168]
['CV', 276, 'UV', 37, 'uptime', 'locate', 'V1', 'V3', 0.15461925009663702, 0.09952235221862793]
['UV', 73, 'CV', 51, 'nm', 'printf', 'V0', 'V2', 0.14067140671406708, 0.897606372833252]
