['UO', 56, 'BO', 33, 'elfedit', 'sort', 'O3', 'O2', 0.13224085365853655, 0.10004639625549316]
['UO', 44, 'CO', 139, 'nm', 'base32', 'O3', 'O1', 0.13455629857220308, 0.8815298080444336]
['BO', 37, 'CO', 38, 'gvmap', 'sha1sum', 'O2', 'O3', 0.12270450751252082, 0.12947988510131836]
['BO', 32, 'CO', 366, 'ruby', 'true', 'O2', 'O0', 0.12535364897569623, 15.362971305847168]
['CO', 130, 'UO', 53, 'kill', 'gprof', 'O1', 'O3', 0.13249184269277003, 0.9423985481262207]
['CO', 285, 'BO', 4, 'env', 'libgeany.so.0.0.0', 'O2', 'O2', 0.17855263787248288, 29.017074584960938]
['CO', 76, 'BO', 45, 'md5sum', 'diff', 'O3', 'O2', 0.1198234894772573, 0.1090083122253418]
['CO', 339, 'UO', 83, 'wc', 'diff', 'O0', 'O0', 0.10904618748291883, 0.22396612167358398]
['BO', 7, 'CO', 131, 'sort', 'wc', 'O0', 'O1', 0.12889273356401387, 0.19041872024536133]
['BO', 70, 'CO', 306, 'diff', 'sleep', 'O3', 'O2', 0.13226744186046513, 0.08716368675231934]
['CO', 316, 'UO', 22, 'test', 'diff3', 'O0', 'O2', 0.048306496390893905, 0.059627532958984375]
['CO', 318, 'UO', 75, 'mkdir', 'gprof', 'O0', 'O0', 0.12702102927190106, 3.0347485542297363]
['UO', 17, 'CO', 316, 'objdump', 'test', 'O1', 'O0', 0.13352869622912755, 2.223139762878418]
['CO', 274, 'UO', 84, 'runcon', 'sdiff', 'O2', 'O0', 0.14338461538461544, 0.04924511909484863]
['CO', 73, 'UO', 11, 'hostid', 'ld', 'O3', 'O1', 0.1478967998595917, 2.0619401931762695]
['UO', 12, 'CO', 194, 'gprof', 'tr', 'O1', 'O1', 0.14207650273224037, 1.1891415119171143]
['CO', 45, 'UO', 42, 'split', 'xargs', 'O3', 'O2', 0.06268282490597576, 0.09047269821166992]
['BO', 23, 'CO', 226, 'git', 'uptime', 'O2', 'O2', 0.09210062991509838, 6.709517240524292]
['CO', 109, 'UO', 86, 'basename', 'xargs', 'O1', 'O0', 0.14234071396294623, 0.10121989250183105]
['UO', 19, 'CO', 410, 'cmp', 'sleep', 'O1', 'O0', 0.042568039078855535, 0.044824838638305664]
['UO', 75, 'CO', 224, 'gprof', 'dirname', 'O0', 'O2', 0.1529445234708393, 2.2872579097747803]
['CO', 247, 'UO', 66, 'paste', 'nm', 'O2', 'O0', 0.15462892566816766, 2.2828898429870605]
['CO', 212, 'BO', 81, 'test', 'sort', 'O2', 'O3', 0.11476001443522188, 0.09113287925720215]
['CO', 218, 'BO', 9, 'users', 'git', 'O2', 'O0', 0.0934278477035757, 6.733408212661743]
['CO', 171, 'UO', 74, 'nohup', 'ld', 'O1', 'O0', 0.14926865858232286, 4.228773832321167]
['CO', 37, 'BO', 13, 'truncate', 'ruby', 'O3', 'O1', 0.10455023872355351, 13.576944351196289]
['CO', 198, 'UO', 74, 'rm', 'ld', 'O1', 'O0', 0.1411067835118468, 4.630017995834351]
['BO', 21, 'CO', 345, 'cp', 'chown', 'O1', 'O0', 0.04503464203233254, 0.19037938117980957]
['CO', 165, 'BO', 56, 'cksum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.20974212034383954, 0.41981053352355957]
['BO', 69, 'CO', 344, 'cmp', 'expr', 'O3', 'O0', 0.0782560089435439, 0.05827832221984863]
['BO', 11, 'CO', 147, 'ssh', 'chroot', 'O1', 'O1', 0.1443098361684766, 1.5461864471435547]
['BO', 15, 'CO', 0, 'diff', 'sha384sum', 'O0', 'O3', 0.14873876485937954, 0.16297578811645508]
['CO', 173, 'UO', 48, 'who', 'ranlib', 'O1', 'O3', 0.13021817557120774, 0.9557886123657227]
['CO', 122, 'UO', 28, 'uptime', 'readelf', 'O1', 'O2', 0.09941967012828345, 0.28833627700805664]
['UO', 75, 'CO', 367, 'gprof', 'cp', 'O0', 'O0', 0.10875894399210462, 3.4414572715759277]
['UO', 59, 'CO', 413, 'locate', 'rmdir', 'O3', 'O0', 0.11154529307282413, 0.12832331657409668]
['BO', 45, 'CO', 391, 'diff', 'link', 'O2', 'O0', 0.1238875044499822, 0.11214709281921387]
['CO', 407, 'UO', 59, 'sha224sum', 'locate', 'O0', 'O3', 0.09357309357309362, 0.13926029205322266]
['CO', 165, 'UO', 58, 'cksum', 'objdump', 'O1', 'O3', 0.12593799080914425, 1.619826316833496]
['CO', 61, 'BO', 65, 'cksum', 'gvmap', 'O3', 'O0', 0.13336120401337792, 0.19393658638000488]
['UO', 7, 'CO', 329, 'ranlib', 'stdbuf', 'O1', 'O0', 0.14104940759248807, 1.2577970027923584]
['UO', 52, 'BO', 15, 'ld', 'diff', 'O3', 'O0', 0.09777896708589773, 2.4564547538757324]
['CO', 399, 'BO', 46, 'id', 'ruby', 'O0', 'O3', 0.10281467521809173, 13.714736223220825]
['CO', 21, 'UO', 41, 'mktemp', 'locate', 'O3', 'O2', 0.1137975499677627, 0.13560891151428223]
['CO', 53, 'BO', 38, 'chmod', 'acyclic', 'O3', 'O2', 0.14904552129221726, 0.02507805824279785]
['UO', 50, 'CO', 23, 'strings', 'pr', 'O3', 'O3', 0.12535435861091426, 0.8836357593536377]
['BO', 44, 'UO', 81, 'cmp', 'diff3', 'O2', 'O0', 0.08013937282229966, 0.0693814754486084]
['UO', 6, 'CO', 186, 'as', 'shuf', 'O1', 'O1', 0.12439776971796679, 2.1535351276397705]
['CO', 97, 'UO', 19, 'uniq', 'cmp', 'O3', 'O1', 0.033212560386473466, 0.04004335403442383]
['CO', 209, 'UO', 67, 'touch', 'strip', 'O2', 'O0', 0.1394811830598408, 2.8940300941467285]
['CO', 346, 'UO', 28, 'tail', 'readelf', 'O0', 'O2', 0.0694311826490247, 0.4041414260864258]
['UO', 70, 'CO', 266, 'ranlib', 'df', 'O0', 'O2', 0.1396751235942848, 2.758787155151367]
['CO', 149, 'UO', 74, 'split', 'ld', 'O1', 'O0', 0.144794706341704, 4.334720134735107]
['UO', 25, 'CO', 143, 'sdiff', 'paste', 'O2', 'O1', 0.072094468614046, 0.0465092658996582]
['CO', 119, 'UO', 72, 'join', 'strings', 'O1', 'O0', 0.14772128941672036, 2.333930015563965]
['CO', 3, 'UO', 61, 'unlink', 'find', 'O3', 'O3', 0.15611967361740708, 0.291262149810791]
['CO', 69, 'BO', 39, 'who', 'codeblocks', 'O3', 'O3', 0.18402369886102454, 11.109304666519165]
['CO', 140, 'UO', 35, 'pinky', 'gprof', 'O1', 'O2', 0.13671875, 1.0858497619628906]
['CO', 42, 'UO', 50, 'sum', 'strings', 'O3', 'O3', 0.133650677407543, 0.8421118259429932]
['BO', 25, 'CO', 341, 'dot', 'nproc', 'O3', 'O0', 0.20474137931034486, 0.02344822883605957]
['CO', 53, 'UO', 78, 'chmod', 'elfedit', 'O3', 'O0', 0.03802083333333328, 0.04967045783996582]
['BO', 11, 'CO', 153, 'ssh', 'nice', 'O1', 'O1', 0.1474952441344325, 1.4814770221710205]
['BO', 76, 'CO', 253, 'openssl', 'split', 'O2', 'O2', 0.2730703986429177, 7.864332675933838]
['BO', 31, 'UO', 80, 'bash', 'objdump', 'O2', 'O0', 0.017648155436336133, 14.227533340454102]
['CO', 117, 'BO', 67, 'printenv', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.20692169348174794, 5.540679454803467]
['UO', 77, 'CO', 244, 'ar', 'pinky', 'O0', 'O2', 0.15172063061535856, 2.4120779037475586]
['UO', 82, 'CO', 66, 'cmp', 'runcon', 'O0', 'O3', 0.1064120054570259, 0.038483619689941406]
['CO', 80, 'UO', 15, 'uname', 'elfedit', 'O3', 'O1', 0.06983655274888556, 0.02898573875427246]
['CO', 205, 'UO', 42, 'rmdir', 'xargs', 'O1', 'O2', 0.10122699386503065, 0.0758662223815918]
['CO', 184, 'UO', 14, 'uname', 'ar', 'O1', 'O1', 0.14965369393139838, 1.1955721378326416]
['CO', 280, 'UO', 73, 'head', 'objcopy', 'O2', 'O0', 0.1450187265917603, 2.7913403511047363]
['UO', 16, 'CO', 157, 'size', 'chmod', 'O1', 'O1', 0.1356666666666666, 1.2085089683532715]
['CO', 312, 'UO', 49, 'sha384sum', 'c++filt', 'O0', 'O3', 0.12704207356028108, 0.9145016670227051]
['CO', 4, 'UO', 56, 'test', 'elfedit', 'O3', 'O3', 0.04392587508579271, 0.03280186653137207]
['CO', 179, 'UO', 57, 'mv', 'size', 'O1', 'O3', 0.09439504604636395, 1.2751095294952393]
['BO', 9, 'UO', 8, 'git', 'c++filt', 'O0', 'O1', 0.05108032516069938, 13.31329083442688]
['CO', 236, 'UO', 6, 'factor', 'as', 'O2', 'O1', 0.12881596162232878, 2.034088611602783]
['CO', 204, 'UO', 59, 'tac', 'locate', 'O1', 'O3', 0.11283497884344151, 0.1205146312713623]
['BO', 40, 'CO', 319, 'lua', 'fmt', 'O0', 'O0', 0.13115249119275285, 0.7720520496368408]
['CO', 341, 'BO', 18, 'nproc', 'libvlc.so.12.0.0', 'O0', 'O1', 0.20803059273422564, 0.4720461368560791]
['CO', 343, 'BO', 67, 'date', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.1924968385555712, 6.25035548210144]
['CO', 16, 'UO', 48, 'dirname', 'ranlib', 'O3', 'O3', 0.13903977571403536, 0.8924124240875244]
['BO', 47, 'CO', 377, 'libvlc.so.12.0.0', 'false', 'O0', 'O0', 0.2271012006861064, 0.6043570041656494]
['CO', 291, 'BO', 25, 'csplit', 'dot', 'O2', 'O3', 0.18874773139745915, 0.02325296401977539]
['BO', 78, 'UO', 57, 'ssh', 'size', 'O0', 'O3', 0.04688512292426772, 5.423702716827393]
['CO', 124, 'BO', 52, 'mkfifo', 'svn', 'O1', 'O3', 0.21242196254202017, 0.4863133430480957]
['CO', 198, 'BO', 82, 'rm', 'cp', 'O1', 'O3', 0.04769001490312963, 0.13494062423706055]
['UO', 13, 'CO', 361, 'addr2line', 'nice', 'O1', 'O0', 0.1462382309752095, 1.1303584575653076]
['UO', 64, 'CO', 260, 'diff', 'sha256sum', 'O3', 'O2', 0.11318150448585229, 0.09921646118164062]
['CO', 11, 'UO', 14, 'groups', 'ar', 'O3', 'O1', 0.14925617132581337, 1.1643257141113281]
['CO', 183, 'BO', 28, 'link', 'ruby', 'O1', 'O0', 0.10513440002431207, 13.807742595672607]
['CO', 214, 'BO', 47, 'mkdir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.22227780556945143, 0.6767082214355469]
['CO', 61, 'UO', 61, 'cksum', 'find', 'O3', 'O3', 0.15352771778257734, 0.3124504089355469]
['UO', 38, 'CO', 292, 'elfedit', 'vdir', 'O2', 'O2', 0.12397921306607274, 0.10642862319946289]
['CO', 352, 'BO', 50, 'sync', 'perl', 'O0', 'O2', 0.08567390389126117, 2.612523078918457]
['BO', 71, 'CO', 171, 'libSDL2-2.0.so.0.16.0', 'nohup', 'O0', 'O1', 0.20010976484991772, 6.852015972137451]
['BO', 51, 'UO', 86, 'lua', 'xargs', 'O1', 'O0', 0.0877153725665697, 0.6956000328063965]
['BO', 68, 'CO', 336, 'git', 'tee', 'O3', 'O0', 0.09159484864474021, 6.955545425415039]
['BO', 57, 'UO', 43, 'libvlccore.so.9.0.0', 'find', 'O3', 'O2', 0.10469766811279824, 7.0464653968811035]
['UO', 50, 'CO', 317, 'strings', 'basename', 'O3', 'O0', 0.1342965638603315, 0.867701530456543]
['CO', 312, 'UO', 32, 'sha384sum', 'strings', 'O0', 'O2', 0.13495085451164435, 1.055478572845459]
['UO', 11, 'CO', 324, 'ld', 'ptx', 'O1', 'O0', 0.13189703413542253, 2.4138784408569336]
['CO', 153, 'BO', 1, 'nice', 'ssh', 'O1', 'O2', 0.14591538559268202, 1.4962294101715088]
['CO', 95, 'BO', 65, 'sha224sum', 'gvmap', 'O3', 'O0', 0.12556053811659196, 0.20868802070617676]
['CO', 29, 'BO', 35, 'nproc', 'make', 'O3', 'O3', 0.1311931712748191, 0.22890949249267578]
['BO', 9, 'CO', 323, 'git', 'groups', 'O0', 'O0', 0.09192075257671473, 6.7865447998046875]
['BO', 47, 'UO', 27, 'libvlc.so.12.0.0', 'strip', 'O0', 'O2', 0.04880361425623292, 3.3074584007263184]
['UO', 87, 'CO', 329, 'find', 'stdbuf', 'O0', 'O0', 0.15520167080015668, 0.6988098621368408]
['BO', 76, 'CO', 142, 'openssl', 'sha1sum', 'O2', 'O1', 0.2764484703469492, 7.887879848480225]
['UO', 31, 'CO', 153, 'c++filt', 'nice', 'O2', 'O1', 0.1452857930527477, 0.9375777244567871]
