['CO', 157, 'BO', 79, 'chmod', 'bash', 'O1', 'O3', 0.10801393728222997, 2.6367974281311035]
['CO', 199, 'BO', 70, 'sha224sum', 'diff', 'O1', 'O3', 0.10080375083724047, 0.11297249794006348]
['UO', 63, 'CO', 347, 'cmp', 'base32', 'O3', 'O0', 0.0625, 0.046360015869140625]
['UO', 49, 'CO', 233, 'c++filt', 'chgrp', 'O3', 'O2', 0.12309621931553483, 0.8630383014678955]
['UO', 81, 'CO', 115, 'diff3', 'groups', 'O0', 'O1', 0.10384818133895624, 0.0629582405090332]
['UO', 5, 'CO', 383, 'readelf', 'readlink', 'O1', 'O0', 0.09876543209876543, 0.35297679901123047]
['CO', 403, 'UO', 81, 'comm', 'diff3', 'O0', 'O0', 0.06387128230131645, 0.0763850212097168]
['BO', 39, 'CO', 328, 'codeblocks', 'dirname', 'O3', 'O0', 0.1845241152601571, 10.409846544265747]
['BO', 31, 'UO', 5, 'bash', 'readelf', 'O2', 'O1', 0.07781445799366704, 4.238046407699585]
['UO', 35, 'CO', 268, 'gprof', 'base64', 'O2', 'O2', 0.1421705034151277, 0.9768226146697998]
['CO', 94, 'UO', 8, 'rm', 'c++filt', 'O3', 'O1', 0.1353352187655964, 1.0977694988250732]
['CO', 284, 'BO', 66, 'md5sum', 'svn', 'O2', 'O2', 0.22019680593644142, 0.48082876205444336]
['BO', 52, 'CO', 252, 'svn', 'seq', 'O3', 'O2', 0.21025965801139956, 0.4388999938964844]
['CO', 4, 'BO', 39, 'test', 'codeblocks', 'O3', 'O3', 0.1848769620771772, 10.452980279922485]
['UO', 62, 'CO', 267, 'diff3', 'tsort', 'O3', 'O2', 0.06012269938650305, 0.03940296173095703]
['CO', 46, 'UO', 61, 'whoami', 'find', 'O3', 'O3', 0.15577342047930287, 0.2841634750366211]
['BO', 64, 'CO', 255, 'dot', 'numfmt', 'O0', 'O2', 0.185336048879837, 0.018666505813598633]
['UO', 25, 'CO', 138, 'sdiff', 'tail', 'O2', 'O1', 0.048192771084337394, 0.06979703903198242]
['CO', 384, 'UO', 56, 'head', 'elfedit', 'O0', 'O3', 0.06993424985056784, 0.04606223106384277]
['CO', 169, 'BO', 50, 'false', 'perl', 'O1', 'O2', 0.08733993718289446, 2.385298490524292]
['CO', 13, 'UO', 42, 'printenv', 'xargs', 'O3', 'O2', 0.13186221743810544, 0.059831857681274414]
['CO', 304, 'UO', 52, 'fold', 'ld', 'O2', 'O3', 0.13473162475822054, 1.5865521430969238]
['UO', 62, 'CO', 137, 'diff3', 'chown', 'O3', 'O1', 0.05663716814159292, 0.0685114860534668]
['UO', 15, 'BO', 22, 'elfedit', 'perl', 'O1', 'O0', 0.11054606344382767, 3.6910643577575684]
['CO', 73, 'UO', 34, 'hostid', 'ld', 'O3', 'O2', 0.14365436543654364, 1.7491469383239746]
