['UO', 53, 'CO', 368, 'gprof', 'cut', 'O3', 'O0', 0.125, 0.9821059703826904]
['CO', 119, 'UO', 34, 'join', 'ld', 'O1', 'O2', 0.1363824136913544, 1.9826686382293701]
['CO', 230, 'BO', 40, 'pwd', 'lua', 'O2', 'O0', 0.1421063478977741, 0.7113997936248779]
['BO', 71, 'CO', 138, 'libSDL2-2.0.so.0.16.0', 'tail', 'O0', 'O1', 0.19192669638434867, 7.3163535594940186]
['CO', 104, 'BO', 66, 'sha384sum', 'svn', 'O1', 'O2', 0.21125198098256737, 0.5468463897705078]
['UO', 13, 'CO', 172, 'addr2line', 'yes', 'O1', 'O1', 0.15119525388239397, 1.05843186378479]
['BO', 45, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.10745401742497585, 0.1146695613861084]
['CO', 316, 'BO', 3, 'test', 'openssl', 'O0', 'O1', 0.2737344469064258, 8.195976257324219]
['UO', 80, 'CO', 137, 'objdump', 'chown', 'O0', 'O1', 0.13448115402512795, 4.49862003326416]
['BO', 70, 'CO', 58, 'diff', 'df', 'O3', 'O3', 0.0583490185533746, 0.15082120895385742]
['UO', 63, 'CO', 9, 'cmp', 'du', 'O3', 'O3', 0.09404990403071012, 0.08497357368469238]
['UO', 76, 'BO', 16, 'addr2line', 'make', 'O0', 'O0', 0.09125777632255949, 3.5929441452026367]
['CO', 156, 'BO', 0, 'sha256sum', 'codeblocks', 'O1', 'O1', 0.18475149622690612, 11.001404762268066]
['CO', 102, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1746456442108616, 29.154098510742188]
['UO', 3, 'CO', 104, 'nm', 'sha384sum', 'O1', 'O1', 0.14544377696928668, 1.1746938228607178]
['UO', 75, 'BO', 72, 'gprof', 'make', 'O0', 'O2', 0.09512050121187177, 3.6855947971343994]
['BO', 1, 'CO', 81, 'ssh', 'cat', 'O2', 'O3', 0.14529159303206263, 1.864267349243164]
['CO', 151, 'UO', 68, 'numfmt', 'readelf', 'O1', 'O0', 0.11835278858625164, 0.59739089012146]
['CO', 54, 'BO', 51, 'true', 'lua', 'O3', 'O1', 0.13486297004461445, 0.4190793037414551]
['BO', 59, 'CO', 274, 'libgeany.so.0.0.0', 'runcon', 'O3', 'O2', 0.16931300110045588, 25.822365760803223]
['CO', 180, 'BO', 57, 'md5sum', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.15351574928412348, 4.704020738601685]
['CO', 292, 'UO', 76, 'vdir', 'addr2line', 'O2', 'O0', 0.1295889206418993, 2.863887310028076]
['BO', 71, 'UO', 4, 'libSDL2-2.0.so.0.16.0', 'strip', 'O0', 'O1', 0.08022898863353523, 14.746491193771362]
['UO', 80, 'CO', 356, 'objdump', 'seq', 'O0', 'O0', 0.13855184368105888, 4.158854722976685]
['CO', 55, 'UO', 84, 'cp', 'sdiff', 'O3', 'O0', 0.06488314883148827, 0.1420907974243164]
['UO', 60, 'CO', 365, 'xargs', 'chmod', 'O3', 'O0', 0.021501320256506973, 0.12766218185424805]
['CO', 394, 'BO', 46, 'shuf', 'ruby', 'O0', 'O3', 0.10028843685347111, 15.027339458465576]
['BO', 24, 'CO', 206, 'cluster', 'mknod', 'O3', 'O1', 0.1242783348526284, 0.1226961612701416]
['CO', 252, 'BO', 61, 'seq', 'git', 'O2', 'O1', 0.09287379744107216, 6.717060089111328]
['BO', 23, 'CO', 371, 'git', 'tsort', 'O2', 'O0', 0.09166422359034498, 6.726298809051514]
['BO', 40, 'CO', 266, 'lua', 'df', 'O0', 'O2', 0.12008775276611983, 0.8915548324584961]
['CO', 72, 'UO', 56, 'head', 'elfedit', 'O3', 'O3', 0.04207758053911903, 0.03317570686340332]
['CO', 120, 'UO', 87, 'dirname', 'find', 'O1', 'O0', 0.17315782331388252, 0.6104521751403809]
['UO', 34, 'BO', 46, 'ld', 'ruby', 'O2', 'O3', 0.0562764683367698, 26.410932779312134]
['CO', 161, 'UO', 24, 'od', 'diff', 'O1', 'O2', 0.09002813379180996, 0.136366605758667]
['CO', 381, 'BO', 61, 'who', 'git', 'O0', 'O1', 0.09069482049983446, 7.108291149139404]
['CO', 260, 'UO', 68, 'sha256sum', 'readelf', 'O2', 'O0', 0.12551144531681968, 0.5654385089874268]
['BO', 59, 'CO', 297, 'libgeany.so.0.0.0', 'pathchk', 'O3', 'O2', 0.1689494847951747, 25.737425565719604]
['BO', 81, 'CO', 367, 'sort', 'cp', 'O3', 'O0', 0.0717667108502178, 0.3447842597961426]
['BO', 0, 'CO', 46, 'codeblocks', 'whoami', 'O1', 'O3', 0.1868731717509402, 10.562406063079834]
['BO', 44, 'UO', 3, 'cmp', 'nm', 'O2', 'O1', 0.14637852439642074, 1.1579468250274658]
['CO', 164, 'BO', 41, 'base64', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.20663428038667253, 5.508646726608276]
['CO', 171, 'BO', 8, 'nohup', 'cp', 'O1', 'O0', 0.15171503957783639, 0.2021350860595703]
['CO', 244, 'BO', 28, 'pinky', 'ruby', 'O2', 'O0', 0.10469067629479045, 13.648935317993164]
['CO', 339, 'UO', 50, 'wc', 'strings', 'O0', 'O3', 0.12324577186038144, 1.0148355960845947]
['BO', 10, 'CO', 101, 'openssl', 'rmdir', 'O3', 'O3', 0.2776373838180495, 7.779875755310059]
['CO', 350, 'BO', 77, 'sha1sum', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.184625819579471, 5.529512166976929]
['CO', 405, 'UO', 84, 'nl', 'sdiff', 'O0', 'O0', 0.05646359583952454, 0.08643937110900879]
['CO', 271, 'BO', 75, 'logname', 'gvmap', 'O2', 'O1', 0.1423909819044794, 0.12092924118041992]
['BO', 39, 'CO', 33, 'codeblocks', 'chown', 'O3', 'O3', 0.18100439993931117, 11.483503818511963]
['CO', 53, 'UO', 25, 'chmod', 'sdiff', 'O3', 'O2', 0.03794428434197883, 0.060024261474609375]
['UO', 8, 'CO', 198, 'c++filt', 'rm', 'O1', 'O1', 0.13139534883720927, 1.272388219833374]
['CO', 315, 'BO', 29, 'unlink', 'libvlc.so.12.0.0', 'O0', 'O2', 0.21293375394321767, 0.44306063652038574]
['CO', 150, 'UO', 59, 'whoami', 'locate', 'O1', 'O3', 0.13463708160962762, 0.10645318031311035]
['BO', 62, 'CO', 119, 'bash', 'join', 'O1', 'O1', 0.12307053941908719, 2.895864963531494]
['UO', 44, 'CO', 335, 'nm', 'pr', 'O3', 'O0', 0.11570600272851295, 1.1054916381835938]
['UO', 59, 'CO', 264, 'locate', 'cut', 'O3', 'O2', 0.12701317715959004, 0.1104123592376709]
['CO', 226, 'UO', 1, 'uptime', 'xargs', 'O2', 'O1', 0.10100047641734156, 0.08592939376831055]
['CO', 23, 'BO', 40, 'pr', 'lua', 'O3', 'O0', 0.12773829227923272, 0.835444450378418]
['CO', 45, 'UO', 83, 'split', 'diff', 'O3', 'O0', 0.11854988092087848, 0.2021791934967041]
['CO', 50, 'BO', 48, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18157664233576642, 11.357205390930176]
['UO', 21, 'CO', 390, 'sdiff', 'chcon', 'O1', 'O0', 0.09195402298850575, 0.12067198753356934]
['UO', 86, 'CO', 14, 'xargs', 'stty', 'O0', 'O3', 0.11299881469774797, 0.10689282417297363]
['CO', 69, 'BO', 66, 'who', 'svn', 'O3', 'O2', 0.21085367749961126, 0.537102460861206]
['UO', 7, 'CO', 194, 'ranlib', 'tr', 'O1', 'O1', 0.14449131916274538, 1.2183558940887451]
['CO', 340, 'BO', 59, 'factor', 'libgeany.so.0.0.0', 'O0', 'O3', 0.16397071343436065, 29.355063915252686]
['UO', 29, 'CO', 260, 'as', 'sha256sum', 'O2', 'O2', 0.12945170013232843, 1.8532664775848389]
['UO', 68, 'CO', 288, 'readelf', 'uname', 'O0', 'O2', 0.13142470694319208, 0.507972240447998]
['CO', 44, 'BO', 58, 'seq', 'svn', 'O3', 'O1', 0.21592528098781072, 0.5106885433197021]
['UO', 41, 'CO', 126, 'locate', 'pwd', 'O2', 'O1', 0.12745435756114365, 0.12848162651062012]
['BO', 44, 'CO', 110, 'cmp', 'mkdir', 'O2', 'O1', 0.05378361475922455, 0.04690694808959961]
['BO', 45, 'CO', 102, 'diff', 'mknod', 'O2', 'O3', 0.12926829268292683, 0.09935975074768066]
['CO', 33, 'BO', 20, 'chown', 'sort', 'O3', 'O1', 0.08968472604836242, 0.1407315731048584]
['CO', 201, 'UO', 3, 'uniq', 'nm', 'O1', 'O1', 0.1430010916113864, 1.2372362613677979]
['UO', 70, 'CO', 267, 'ranlib', 'tsort', 'O0', 'O2', 0.15285179725592468, 2.3799619674682617]
['UO', 83, 'CO', 315, 'diff', 'unlink', 'O0', 'O0', 0.14744171964880415, 0.17365574836730957]
['CO', 94, 'BO', 81, 'rm', 'sort', 'O3', 'O3', 0.07017028772753964, 0.12088394165039062]
['CO', 38, 'UO', 1, 'sha1sum', 'xargs', 'O3', 'O1', 0.10854176498348278, 0.07576346397399902]
['UO', 3, 'CO', 125, 'nm', 'mktemp', 'O1', 'O1', 0.14217373059169114, 1.2091755867004395]
['BO', 33, 'CO', 166, 'sort', 'printf', 'O2', 'O1', 0.11244377811094453, 0.10817360877990723]
['CO', 150, 'BO', 50, 'whoami', 'perl', 'O1', 'O2', 0.08706144981749075, 2.568333864212036]
['CO', 337, 'BO', 45, 'chgrp', 'diff', 'O0', 'O2', 0.05270457697642161, 0.19607019424438477]
['UO', 48, 'CO', 246, 'ranlib', 'sha1sum', 'O3', 'O2', 0.13597486472333742, 0.9146726131439209]
['CO', 21, 'UO', 45, 'mktemp', 'strip', 'O3', 'O3', 0.12469071005473498, 1.1270523071289062]
['UO', 3, 'CO', 315, 'nm', 'unlink', 'O1', 'O0', 0.14798053112458376, 1.1440050601959229]
['UO', 52, 'CO', 9, 'ld', 'du', 'O3', 'O3', 0.11388079766972892, 2.0599122047424316]
['UO', 61, 'CO', 365, 'find', 'chmod', 'O3', 'O0', 0.10466602748481946, 0.4389193058013916]
['CO', 251, 'UO', 48, 'chroot', 'ranlib', 'O2', 'O3', 0.13531611444473435, 0.9301564693450928]
['UO', 32, 'CO', 401, 'strings', 'pathchk', 'O2', 'O0', 0.14147619477820939, 0.9897608757019043]
['CO', 207, 'BO', 64, 'ln', 'dot', 'O1', 'O0', 0.21333333333333337, 0.044344186782836914]
['CO', 196, 'BO', 75, 'sha512sum', 'gvmap', 'O1', 'O1', 0.11510989010989015, 0.14785552024841309]
['BO', 48, 'CO', 137, 'libvlccore.so.9.0.0', 'chown', 'O0', 'O1', 0.17604214647627825, 11.944937467575073]
['BO', 44, 'CO', 124, 'cmp', 'mkfifo', 'O2', 'O1', 0.04958677685950419, 0.035858869552612305]
['CO', 256, 'BO', 36, 'ls', 'cluster', 'O2', 'O2', 0.04692906574394462, 0.2686727046966553]
['UO', 77, 'BO', 6, 'ar', 'codeblocks', 'O0', 'O0', 0.12214294869056264, 52.455904960632324]
['CO', 346, 'UO', 69, 'tail', 'as', 'O0', 'O0', 0.12582908407775184, 4.645735740661621]
['BO', 81, 'UO', 34, 'sort', 'ld', 'O3', 'O2', 0.11797629499561024, 2.4180049896240234]
['UO', 43, 'CO', 302, 'find', 'rm', 'O2', 'O2', 0.12910423971947727, 0.4500718116760254]
['BO', 9, 'CO', 210, 'git', 'stat', 'O0', 'O2', 0.0896690692087112, 7.131147384643555]
['UO', 48, 'CO', 293, 'ranlib', '[', 'O3', 'O2', 0.13482561166059348, 0.9101979732513428]
['BO', 12, 'CO', 142, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O1', 0.19153523424753316, 28.56964421272278]
['CO', 350, 'BO', 42, 'sha1sum', 'cmp', 'O0', 'O1', 0.0621572212065814, 0.053014278411865234]
['UO', 45, 'CO', 170, 'strip', 'runcon', 'O3', 'O1', 0.1315951392093524, 1.03359055519104]
['BO', 60, 'CO', 39, 'openssl', 'paste', 'O0', 'O3', 0.27129276085093124, 9.175334215164185]
['BO', 4, 'CO', 177, 'libgeany.so.0.0.0', 'hostid', 'O2', 'O1', 0.17830791541170665, 28.757519006729126]
['UO', 20, 'CO', 362, 'diff', 'dircolors', 'O1', 'O0', 0.11165684348395544, 0.13729119300842285]
['UO', 66, 'CO', 52, 'nm', 'sha256sum', 'O0', 'O3', 0.15096409190624638, 2.255586862564087]
['BO', 60, 'CO', 139, 'openssl', 'base32', 'O0', 'O1', 0.26959162222135713, 9.320447206497192]
