['CV', 93, 'BV', 18, 'fmt', 'sort', 'V3', 'V3', 0.10889355742296924, 0.0904688835144043]
['CV', 105, 'BV', 53, 'pwd', 'ssh', 'V3', 'V2', 0.11777188328912469, 3.861330032348633]
['BV', 32, 'CV', 115, 'perl', 'chown', 'V0', 'V3', 0.10198923854557318, 2.1921894550323486]
['UV', 36, 'CV', 10, 'objdump', 'ptx', 'V3', 'V2', 0.12130339539978097, 2.0847318172454834]
['CV', 16, 'UV', 51, 'dd', 'nm', 'V2', 'V1', 0.13431075160094375, 1.0399043560028076]
['BV', 13, 'UV', 82, 'cp', 'gprof', 'V2', 'V0', 0.113849765258216, 1.1977319717407227]
['CV', 39, 'UV', 60, 'whoami', 'gprof', 'V2', 'V1', 0.14315283987415128, 0.976323127746582]
['CV', 317, 'BV', 81, 'yes', 'dot', 'V1', 'V1', 0.11683848797250862, 0.00952005386352539]
['CV', 242, 'BV', 24, 'cat', 'git', 'V0', 'V0', 0.09579662311448134, 3.554175853729248]
['UV', 30, 'BV', 50, 'ld', 'sort', 'V3', 'V0', 0.1367189796038324, 1.9520263671875]
['BV', 27, 'CV', 267, 'libSDL2-2.0.so', 'fmt', 'V1', 'V1', 0.1959290362048829, 3.5776424407958984]
['BV', 13, 'CV', 42, 'cp', 'dircolors', 'V2', 'V2', 0.12201591511936338, 0.06105661392211914]
['CV', 67, 'BV', 3, 'uname', 'diff', 'V2', 'V1', 0.1297614064462118, 0.06244087219238281]
['BV', 70, 'UV', 15, 'ssh', 'ld', 'V0', 'V2', 0.028425408742452696, 10.141524314880371]
['CV', 101, 'BV', 19, 'dirname', 'cp', 'V3', 'V3', 0.12210845657944636, 0.07900547981262207]
['CV', 260, 'BV', 31, 'ln', 'codeblocks', 'V0', 'V0', 0.18730325288562433, 9.624240636825562]
['UV', 31, 'BV', 6, 'gprof', 'libvlc.so', 'V3', 'V0', 0.07778894472361808, 1.9523241519927979]
['UV', 39, 'BV', 83, 'find', 'git', 'V3', 'V2', 0.07275364946958018, 9.588897228240967]
['BV', 71, 'CV', 319, 'ruby', 'readlink', 'V1', 'V1', 0.2288461538461538, 0.006287336349487305]
