['CV', 132, 'BV', 38, 'cp', 'ruby', 'V3', 'V2', 0.21577726218097448, 0.04565143585205078]
['BV', 10, 'UV', 40, 'gvmap', 'diff3', 'V2', 'V3', 0.1036924633282752, 0.14482998847961426]
['CV', 225, 'UV', 8, 'printf', 'strip', 'V0', 'V2', 0.14052238805970152, 1.1092283725738525]
['CV', 208, 'UV', 52, 'echo', 'strip', 'V0', 'V1', 0.13959731543624154, 1.1334307193756104]
['CV', 293, 'UV', 71, 'paste', 'xargs', 'V1', 'V0', 0.07889546351084809, 0.019409656524658203]
['CV', 228, 'UV', 86, 'false', 'size', 'V0', 'V0', 0.13053803947260667, 0.7445428371429443]
['CV', 307, 'UV', 62, 'cut', 'ar', 'V1', 'V1', 0.1451463270641815, 0.9518065452575684]
['UV', 71, 'CV', 157, 'xargs', 'vdir', 'V0', 'V3', 0.1217201166180758, 0.08950996398925781]
['CV', 161, 'BV', 38, 'pathchk', 'ruby', 'V3', 'V2', 0.2013071895424836, 0.008368968963623047]
['CV', 88, 'UV', 20, 'stat', 'size', 'V3', 'V2', 0.12773814519513216, 1.0813348293304443]
['UV', 37, 'CV', 193, 'locate', 'pr', 'V3', 'V0', 0.11736111111111114, 0.10663104057312012]
['CV', 242, 'BV', 11, 'cat', 'bash', 'V0', 'V1', 0.13095799905615857, 2.0847272872924805]
['UV', 34, 'CV', 264, 'elfedit', 'test', 'V3', 'V1', 0.08760330578512399, 0.024364471435546875]
['CV', 125, 'BV', 2, 'split', 'cmp', 'V3', 'V1', 0.04604550379198269, 0.043182373046875]
['UV', 65, 'CV', 233, 'objdump', 'head', 'V1', 'V0', 0.13654978244177118, 1.351768970489502]
['BV', 5, 'CV', 10, 'libvlccore.so', 'ptx', 'V0', 'V2', 0.15312387143373063, 2.9874966144561768]
['BV', 5, 'CV', 73, 'libvlccore.so', 'shred', 'V0', 'V2', 0.1619011855587147, 2.734100818634033]
