['UO', 16, 'BO', 19, 'size', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.06782697722037367, 10.843381881713867]
['UO', 48, 'CO', 340, 'ranlib', 'factor', 'O3', 'O0', 0.11508680414051675, 1.1632297039031982]
['BO', 57, 'CO', 301, 'libvlccore.so.9.0.0', 'nl', 'O3', 'O2', 0.15563813633820822, 4.445805549621582]
['UO', 84, 'CO', 227, 'sdiff', 'dd', 'O0', 'O2', 0.05374945817078458, 0.08504700660705566]
['BO', 35, 'CO', 380, 'make', 'yes', 'O3', 'O0', 0.1238625812441968, 0.24745416641235352]
['UO', 0, 'CO', 380, 'locate', 'yes', 'O1', 'O0', 0.13070115724982978, 0.14217162132263184]
['BO', 16, 'CO', 126, 'make', 'pwd', 'O0', 'O1', 0.1215307705568005, 0.2629542350769043]
['BO', 9, 'CO', 246, 'git', 'sha1sum', 'O0', 'O2', 0.09292477798035637, 6.7847723960876465]
['BO', 1, 'CO', 299, 'ssh', 'comm', 'O2', 'O2', 0.14565630944831964, 1.4419078826904297]
['CO', 27, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1734457356956881, 29.04841423034668]
['BO', 76, 'CO', 141, 'openssl', 'truncate', 'O2', 'O1', 0.2781545064377682, 7.720797777175903]
['CO', 295, 'BO', 36, 'id', 'cluster', 'O2', 'O2', 0.12954613766155698, 0.12885737419128418]
['UO', 38, 'CO', 328, 'elfedit', 'dirname', 'O2', 'O0', 0.04300291545189505, 0.0390620231628418]
['CO', 292, 'UO', 55, 'vdir', 'ar', 'O2', 'O3', 0.10390930414386235, 1.2848212718963623]
['CO', 109, 'BO', 72, 'basename', 'make', 'O1', 'O2', 0.1303776066128124, 0.2406930923461914]
['UO', 85, 'CO', 116, 'locate', 'ptx', 'O0', 'O1', 0.1151252408477842, 0.2500624656677246]
['BO', 53, 'CO', 184, 'bash', 'uname', 'O0', 'O1', 0.12651528696585013, 3.735183000564575]
['CO', 220, 'UO', 26, 'ptx', 'nm', 'O2', 'O2', 0.13417244627108482, 1.0989055633544922]
['CO', 310, 'UO', 86, 'mknod', 'xargs', 'O2', 'O0', 0.1521438450899032, 0.09267544746398926]
['UO', 25, 'CO', 239, 'sdiff', 'date', 'O2', 'O2', 0.03748125937031488, 0.06202197074890137]
['UO', 35, 'CO', 340, 'gprof', 'factor', 'O2', 'O0', 0.12106670862177471, 1.2805266380310059]
['BO', 83, 'CO', 130, 'lua', 'kill', 'O2', 'O1', 0.1270366936018016, 0.4052116870880127]
['CO', 150, 'UO', 79, 'whoami', 'size', 'O1', 'O0', 0.15378240795548714, 2.220081090927124]
['CO', 107, 'BO', 2, 'unlink', 'perl', 'O1', 'O1', 0.07694344418555388, 2.6047072410583496]
['CO', 179, 'UO', 37, 'mv', 'ar', 'O1', 'O2', 0.10284951024042743, 1.5813727378845215]
['UO', 37, 'BO', 82, 'ar', 'cp', 'O2', 'O3', 0.11205652206943706, 1.4457893371582031]
