['CV', 206, 'UV', 5, 'paste', 'diff', 'V0', 'V2', 0.14923664122137403, 0.07223081588745117]
['CV', 162, 'UV', 16, 'tr', 'gprof', 'V3', 'V2', 0.1379479226185618, 1.024561882019043]
['UV', 82, 'BV', 50, 'gprof', 'sort', 'V0', 'V0', 0.13123644251626898, 0.936765193939209]
['UV', 13, 'CV', 207, 'strings', 'sync', 'V2', 'V0', 0.15398019075568592, 0.8273651599884033]
['CV', 229, 'BV', 20, 'nohup', 'sort', 'V0', 'V1', 0.10795087265675507, 0.03573250770568848]
['BV', 54, 'CV', 108, 'lua', 'chgrp', 'V3', 'V3', 0.11222345816339141, 0.44101667404174805]
['CV', 29, 'UV', 1, 'tail', 'xargs', 'V2', 'V2', 0.048684210526315774, 0.06412935256958008]
['BV', 71, 'CV', 4, 'ruby', 'basename', 'V1', 'V2', 0.20034542314335058, 0.0063707828521728516]
['CV', 325, 'BV', 79, 'md5sum', 'bash', 'V1', 'V3', 0.12738469488824777, 2.5253429412841797]
['BV', 2, 'CV', 179, 'cmp', 'mkdir', 'V1', 'V0', 0.06114551083591335, 0.028641462326049805]
['BV', 79, 'CV', 252, 'bash', 'rm', 'V3', 'V0', 0.12412765957446803, 2.4912614822387695]
['BV', 80, 'CV', 223, 'cluster', 'tsort', 'V1', 'V0', 0.14741161616161613, 0.10076665878295898]
['UV', 43, 'CV', 311, 'sdiff', 'cksum', 'V3', 'V1', 0.12526997840172782, 0.028474092483520508]
['BV', 48, 'CV', 292, 'gvmap', 'sha1sum', 'V3', 'V1', 0.13781957096679398, 0.11210441589355469]
['BV', 12, 'UV', 17, 'sort', 'addr2line', 'V2', 'V2', 0.1213163064833006, 1.1284639835357666]
['UV', 14, 'BV', 17, 'objcopy', 'codeblocks', 'V2', 'V2', 0.10611485607985116, 18.866568565368652]
['UV', 77, 'CV', 51, 'ranlib', 'printf', 'V0', 'V2', 0.14011748445058747, 0.8932573795318604]
['BV', 24, 'CV', 36, 'git', 'chroot', 'V0', 'V2', 0.09461694915254237, 3.4024415016174316]
['CV', 296, 'UV', 46, 'sum', 'diff', 'V1', 'V1', 0.11593740019163201, 0.08654332160949707]
['BV', 25, 'CV', 204, 'git', 'pinky', 'V3', 'V0', 0.08731218179560418, 8.53066897392273]
['UV', 3, 'BV', 4, 'diff3', 'geany', 'V2', 'V3', 0.17951950810894834, 24.066439151763916]
['BV', 46, 'CV', 336, 'cluster', 'tr', 'V3', 'V1', 0.13637738131236765, 0.10700726509094238]
['BV', 31, 'CV', 19, 'codeblocks', 'pr', 'V0', 'V2', 0.1847287267548544, 9.279207944869995]
['UV', 85, 'CV', 5, 'elfedit', 'mkdir', 'V0', 'V2', 0.04876373626373631, 0.032509803771972656]
['UV', 5, 'CV', 260, 'diff', 'ln', 'V2', 'V0', 0.12790282243658446, 0.08285641670227051]
['CV', 327, 'BV', 13, 'link', 'cp', 'V1', 'V2', 0.1461538461538462, 0.0506439208984375]
['UV', 64, 'CV', 147, 'size', 'hostid', 'V1', 'V3', 0.14423417049876197, 0.8536262512207031]
['CV', 218, 'UV', 84, 'true', 'ar', 'V0', 'V0', 0.15146623621199895, 0.8298327922821045]
['CV', 24, 'BV', 44, 'factor', 'make', 'V2', 'V0', 0.1305010893246188, 0.15393996238708496]
['BV', 53, 'CV', 278, 'ssh', 'mkfifo', 'V2', 'V1', 0.12109126252639335, 3.4463307857513428]
['CV', 34, 'BV', 81, 'echo', 'dot', 'V2', 'V1', 0.1251840942562592, 0.010315895080566406]
['UV', 14, 'CV', 134, 'objcopy', 'od', 'V2', 'V3', 0.12895150908310682, 1.1862506866455078]
['UV', 68, 'CV', 91, 'diff', 'basename', 'V0', 'V3', 0.11305732484076436, 0.06653094291687012]
['CV', 329, 'BV', 24, 'cat', 'git', 'V1', 'V0', 0.09571335078534027, 3.283884286880493]
['CV', 32, 'BV', 0, 'paste', 'bash', 'V2', 'V2', 0.1288346301761918, 2.260525941848755]
['BV', 44, 'CV', 169, 'make', 'sort', 'V0', 'V3', 0.05437773102443766, 0.29981088638305664]
['BV', 0, 'CV', 285, 'bash', 'factor', 'V2', 'V1', 0.12954321098447452, 2.175647735595703]
['CV', 204, 'BV', 43, 'pinky', 'lua', 'V0', 'V0', 0.13595265493999675, 0.27373385429382324]
