['UV', 29, 'CV', 301, 'objcopy', 'ls', 'V3', 'V1', 0.1222032207496081, 1.4407036304473877]
['BV', 11, 'CV', 24, 'bash', 'factor', 'V1', 'V2', 0.13002907249366968, 2.2068400382995605]
['BV', 4, 'CV', 142, 'geany', 'nohup', 'V3', 'V3', 0.18123415633572937, 24.758931875228882]
['BV', 40, 'CV', 233, 'lua', 'head', 'V2', 'V0', 0.13379469434832758, 0.33177876472473145]
['CV', 183, 'BV', 0, 'users', 'bash', 'V0', 'V2', 0.12926085396483677, 2.3922739028930664]
['CV', 273, 'BV', 13, 'stty', 'cp', 'V1', 'V2', 0.11393514460999121, 0.06702923774719238]
['UV', 32, 'BV', 0, 'addr2line', 'bash', 'V3', 'V2', 0.039785745247383764, 6.4039013385772705]
['BV', 42, 'UV', 46, 'libvlc.so', 'diff', 'V1', 'V1', 0.0850335070737156, 0.46933746337890625]
['UV', 35, 'CV', 276, 'size', 'uptime', 'V3', 'V1', 0.1501049365818049, 0.9005873203277588]
['CV', 311, 'BV', 73, 'cksum', 'geany', 'V1', 'V0', 0.18681021057620695, 14.90516972541809]
['UV', 73, 'CV', 76, 'nm', 'comm', 'V0', 'V2', 0.14399051614079883, 0.8476269245147705]
['UV', 2, 'BV', 44, 'find', 'make', 'V2', 'V0', 0.016413130504403517, 0.4676079750061035]
['BV', 65, 'UV', 2, 'ssh', 'find', 'V1', 'V2', 0.09324827544105974, 4.923466920852661]
['BV', 57, 'CV', 212, 'svn', 'split', 'V2', 'V0', 0.2185028508368585, 0.3679325580596924]
['UV', 76, 'CV', 282, 'as', 'chgrp', 'V0', 'V1', 0.12655279503105588, 1.556257724761963]
['BV', 53, 'CV', 159, 'ssh', 'id', 'V2', 'V3', 0.11734136572771503, 3.7983829975128174]
['BV', 6, 'CV', 1, 'libvlc.so', 'stat', 'V0', 'V2', 0.18399999999999994, 0.24351859092712402]
['BV', 51, 'CV', 210, 'cp', 'chroot', 'V0', 'V0', 0.1206779661016949, 0.0317530632019043]
['UV', 27, 'CV', 174, 'c++filt', 'touch', 'V3', 'V0', 0.14500596166192792, 0.9148790836334229]
['CV', 336, 'BV', 66, 'tr', 'lua', 'V1', 'V1', 0.1327352896457351, 0.3066596984863281]
['UV', 1, 'CV', 104, 'xargs', 'mkfifo', 'V2', 'V3', 0.0907651715039578, 0.04615616798400879]
['UV', 45, 'BV', 65, 'cmp', 'ssh', 'V1', 'V1', 0.11574151062626803, 3.753458023071289]
['UV', 45, 'CV', 134, 'cmp', 'od', 'V1', 'V3', 0.041847826086956474, 0.043610334396362305]
['CV', 7, 'UV', 16, 'dir', 'gprof', 'V2', 'V2', 0.11717913415940029, 1.3146066665649414]
['UV', 46, 'CV', 116, 'diff', 'tail', 'V1', 'V3', 0.0697553357626236, 0.12926030158996582]
['BV', 0, 'CV', 266, 'bash', 'mkdir', 'V2', 'V1', 0.12702232918839418, 2.4117372035980225]
['BV', 57, 'CV', 13, 'svn', 'join', 'V2', 'V2', 0.20454145396937162, 0.3863646984100342]
['CV', 65, 'UV', 35, 'env', 'size', 'V2', 'V3', 0.151257430269776, 0.9010872840881348]
['BV', 2, 'CV', 218, 'cmp', 'true', 'V1', 'V0', 0.11660447761194026, 0.019925355911254883]
['CV', 50, 'UV', 65, 'cksum', 'objdump', 'V2', 'V1', 0.13813254559465704, 1.436537504196167]
