['UO', 62, 'CO', 358, 'diff3', 'whoami', 'O3', 'O0', 0.05095923261390889, 0.04735589027404785]
['CO', 295, 'UO', 23, 'id', 'cmp', 'O2', 'O2', 0.046908315565031944, 0.036023855209350586]
['CO', 230, 'BO', 57, 'pwd', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.15561153092639235, 4.5401811599731445]
['CO', 42, 'BO', 13, 'sum', 'ruby', 'O3', 'O1', 0.10391389730396261, 13.682853937149048]
['UO', 40, 'BO', 54, 'objdump', 'lua', 'O2', 'O3', 0.06801320811355549, 3.3538665771484375]
['CO', 277, 'BO', 32, 'who', 'ruby', 'O2', 'O2', 0.12508503401360538, 15.669678211212158]
['UO', 58, 'BO', 82, 'objdump', 'cp', 'O3', 'O3', 0.10453839146975297, 2.0528488159179688]
['CO', 104, 'UO', 48, 'sha384sum', 'ranlib', 'O1', 'O3', 0.13192703380306048, 0.9578485488891602]
['CO', 387, 'UO', 45, 'mv', 'strip', 'O0', 'O3', 0.07824147817776361, 1.8736555576324463]
['BO', 36, 'CO', 86, 'cluster', 'timeout', 'O2', 'O3', 0.11789894376248933, 0.134721040725708]
['BO', 74, 'CO', 404, 'dot', 'sha512sum', 'O1', 'O0', 0.2056737588652482, 0.029017925262451172]
['CO', 237, 'BO', 41, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.209844175117487, 5.435554265975952]
['UO', 66, 'CO', 308, 'nm', 'tac', 'O0', 'O2', 0.15161196630845197, 2.31846284866333]
['BO', 80, 'CO', 366, 'ssh', 'true', 'O3', 'O0', 0.13886763580719208, 1.3571631908416748]
['CO', 292, 'UO', 58, 'vdir', 'objdump', 'O2', 'O3', 0.10431266846361187, 2.1419761180877686]
['UO', 13, 'CO', 329, 'addr2line', 'stdbuf', 'O1', 'O0', 0.14187175338499536, 1.171262502670288]
['CO', 346, 'UO', 63, 'tail', 'cmp', 'O0', 'O3', 0.10407816482582843, 0.08837103843688965]
['CO', 43, 'UO', 78, 'chroot', 'elfedit', 'O3', 'O0', 0.05593966059082334, 0.04129648208618164]
['BO', 78, 'UO', 1, 'ssh', 'xargs', 'O0', 'O1', 0.12627569705552033, 2.5940535068511963]
['CO', 333, 'BO', 27, 'mktemp', 'perl', 'O0', 'O3', 0.07903930131004366, 2.7888193130493164]
['UO', 84, 'CO', 308, 'sdiff', 'tac', 'O0', 'O2', 0.100707675557975, 0.0638885498046875]
['CO', 97, 'BO', 61, 'uniq', 'git', 'O3', 'O1', 0.09202059202059198, 6.774264335632324]
['BO', 36, 'UO', 57, 'cluster', 'size', 'O2', 'O3', 0.09097254536993948, 1.3365402221679688]
['BO', 18, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O1', 'O1', 0.19516187704619858, 0.4991297721862793]
['CO', 338, 'BO', 39, 'kill', 'codeblocks', 'O0', 'O3', 0.18362695892655945, 11.154221773147583]
['UO', 83, 'CO', 264, 'diff', 'cut', 'O0', 'O2', 0.15440289505428229, 0.16251826286315918]
['CO', 58, 'UO', 53, 'df', 'gprof', 'O3', 'O3', 0.11572700296735905, 1.1097393035888672]
['BO', 4, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O2', 'O3', 0.1280499236682111, 41.41024303436279]
['BO', 66, 'CO', 351, 'svn', 'paste', 'O2', 'O0', 0.2096850767526508, 0.5383918285369873]
['BO', 1, 'CO', 154, 'ssh', 'dircolors', 'O2', 'O1', 0.14289316104632843, 1.4845800399780273]
['BO', 80, 'CO', 284, 'ssh', 'md5sum', 'O3', 'O2', 0.13944755600814662, 1.300015926361084]
['UO', 69, 'BO', 7, 'as', 'sort', 'O0', 'O0', 0.11380645161290326, 5.1330742835998535]
