['UV', 76, 'CV', 340, 'as', 'fold', 'V0', 'V1', 0.13381787088499353, 1.4906165599822998]
['CV', 193, 'UV', 35, 'pr', 'size', 'V0', 'V3', 0.1412193387842161, 0.9794721603393555]
['CV', 200, 'UV', 78, 'date', 'c++filt', 'V0', 'V0', 0.14097163718056727, 0.8583645820617676]
['BV', 44, 'CV', 94, 'make', 'dir', 'V0', 'V3', 0.05178831526136918, 0.3333146572113037]
['UV', 16, 'CV', 4, 'gprof', 'basename', 'V2', 'V2', 0.14579845999330432, 0.9652667045593262]
['CV', 170, 'UV', 39, 'tac', 'find', 'V3', 'V3', 0.14303178484107582, 0.33029627799987793]
['UV', 72, 'CV', 313, 'find', 'logname', 'V0', 'V1', 0.16782752902155884, 0.10747480392456055]
['CV', 98, 'UV', 47, 'printenv', 'sdiff', 'V3', 'V1', 0.0917782026768642, 0.0354619026184082]
['CV', 166, 'UV', 0, 'fold', 'locate', 'V3', 'V2', 0.09756097560975607, 0.05673956871032715]
['UV', 68, 'CV', 146, 'diff', 'head', 'V0', 'V3', 0.09274935590725064, 0.07770800590515137]
['CV', 94, 'BV', 69, 'dir', 'gvmap', 'V3', 'V0', 0.038682252922423, 0.2375025749206543]
['CV', 282, 'UV', 63, 'chgrp', 'elfedit', 'V1', 'V1', 0.055365686944634285, 0.03526496887207031]
['UV', 64, 'CV', 173, 'size', 'ln', 'V1', 'V3', 0.1219171325221966, 1.1320161819458008]
['CV', 132, 'BV', 78, 'cp', 'make', 'V3', 'V2', 0.06626965948999852, 0.3633077144622803]
['BV', 36, 'CV', 183, 'libvlc.so', 'users', 'V2', 'V0', 0.19706457925636012, 0.31771206855773926]
['UV', 27, 'BV', 32, 'c++filt', 'perl', 'V3', 'V0', 0.03238673572661788, 5.597763538360596]
['BV', 23, 'CV', 132, 'diff', 'cp', 'V3', 'V3', 0.030078667283664928, 0.2007918357849121]
['BV', 42, 'UV', 2, 'libvlc.so', 'find', 'V1', 'V2', 0.05578430070394469, 0.6159403324127197]
['BV', 2, 'CV', 279, 'cmp', 'pwd', 'V1', 'V1', 0.08092485549132944, 0.026032447814941406]
['CV', 203, 'BV', 16, 'tail', 'libvlc.so', 'V0', 'V3', 0.1813979289940828, 0.3597226142883301]
['CV', 108, 'BV', 52, 'chgrp', 'libSDL2-2.0.so', 'V3', 'V2', 0.18188209299989955, 4.433324337005615]
['CV', 149, 'UV', 26, 'unexpand', 'ranlib', 'V3', 'V3', 0.14382460001693054, 1.0883054733276367]
['CV', 319, 'BV', 34, 'readlink', 'svn', 'V1', 'V0', 0.2217122330872081, 0.3259916305541992]
