['CV', 40, 'UV', 21, 'ls', 'objdump', 'V2', 'V2', 0.11801740633294244, 1.7970879077911377]
['CV', 247, 'BV', 53, 'shred', 'ssh', 'V0', 'V2', 0.11700540433009521, 3.7340545654296875]
['CV', 173, 'UV', 24, 'ln', 'readelf', 'V3', 'V3', 0.08310055865921784, 0.33348989486694336]
['BV', 18, 'CV', 202, 'sort', 'chown', 'V3', 'V0', 0.10618556701030923, 0.09218239784240723]
['BV', 15, 'CV', 87, 'libvlccore.so', 'touch', 'V3', 'V3', 0.1563082370480805, 3.3811838626861572]
['BV', 49, 'CV', 264, 'make', 'test', 'V3', 'V1', 0.1408855664174813, 0.19557857513427734]
['CV', 240, 'UV', 3, 'link', 'diff3', 'V0', 'V2', 0.12026726057906456, 0.025295495986938477]
['BV', 70, 'UV', 64, 'ssh', 'size', 'V0', 'V1', 0.04669817345765748, 7.689391851425171]
['CV', 346, 'UV', 45, 'mknod', 'cmp', 'V1', 'V1', 0.08943781942078366, 0.023615121841430664]
['CV', 222, 'UV', 32, 'df', 'addr2line', 'V0', 'V3', 0.14235768713581354, 0.9380865097045898]
['UV', 54, 'CV', 47, 'as', 'od', 'V1', 'V2', 0.12455110300404715, 1.6109073162078857]
['CV', 54, 'UV', 73, 'false', 'nm', 'V2', 'V0', 0.14947212446749392, 0.7851953506469727]
['UV', 36, 'BV', 61, 'objdump', 'cmp', 'V3', 'V0', 0.13987128771329038, 1.6181738376617432]
['CV', 334, 'UV', 5, 'shred', 'diff', 'V1', 'V2', 0.09394435351882158, 0.10811781883239746]
['BV', 69, 'CV', 127, 'gvmap', 'ls', 'V0', 'V3', 0.038682252922423, 0.2252485752105713]
['BV', 63, 'CV', 18, 'ruby', 'pwd', 'V0', 'V2', 0.11601624227391838, 8.96498727798462]
['UV', 86, 'CV', 165, 'size', 'rm', 'V0', 'V3', 0.10992099665755095, 0.8970823287963867]
['BV', 19, 'CV', 7, 'cp', 'dir', 'V3', 'V2', 0.03726877040261156, 0.15546178817749023]
['BV', 53, 'CV', 101, 'ssh', 'dirname', 'V2', 'V3', 0.11940447641886487, 3.464137315750122]
['UV', 28, 'CV', 312, 'strings', 'printf', 'V3', 'V1', 0.14898688915375446, 0.863703727722168]
['CV', 167, 'UV', 47, 'uniq', 'sdiff', 'V3', 'V1', 0.04789473684210521, 0.04419112205505371]
['CV', 96, 'UV', 9, 'users', 'readelf', 'V3', 'V2', 0.09131665880132134, 0.10896825790405273]
['UV', 3, 'CV', 107, 'diff3', 'tee', 'V2', 'V3', 0.053960964408725554, 0.03851199150085449]
['CV', 256, 'BV', 76, 'sort', 'diff', 'V0', 'V2', 0.09047619047619049, 0.10501718521118164]
['CV', 132, 'UV', 52, 'cp', 'strip', 'V3', 'V1', 0.1066095394115053, 1.6102993488311768]
['CV', 105, 'UV', 46, 'pwd', 'diff', 'V3', 'V1', 0.10260245288662873, 0.09652447700500488]
['UV', 72, 'CV', 112, 'find', 'expand', 'V0', 'V3', 0.13215990453460624, 0.12267780303955078]
['CV', 218, 'BV', 5, 'true', 'libvlccore.so', 'V0', 'V0', 0.17446053142508466, 2.559699296951294]
['UV', 30, 'CV', 4, 'ld', 'basename', 'V3', 'V2', 0.14554556969660415, 1.6921491622924805]
['CV', 330, 'BV', 73, 'csplit', 'geany', 'V1', 'V0', 0.17936843962247506, 15.091760396957397]
['BV', 34, 'CV', 36, 'svn', 'chroot', 'V0', 'V2', 0.20887778631821674, 0.31783366203308105]
['CV', 292, 'UV', 2, 'sha1sum', 'find', 'V1', 'V2', 0.14950419527078562, 0.15130090713500977]
['UV', 82, 'CV', 37, 'gprof', 'seq', 'V0', 'V2', 0.13953090224276665, 0.8591525554656982]
['UV', 77, 'CV', 223, 'ranlib', 'tsort', 'V0', 'V0', 0.14827647476901207, 0.8226237297058105]
['UV', 24, 'CV', 124, 'readelf', 'seq', 'V3', 'V3', 0.10681257706535141, 0.24418234825134277]
['CV', 46, 'BV', 3, 'cut', 'diff', 'V2', 'V1', 0.10011551790527529, 0.07283830642700195]
['BV', 41, 'CV', 47, 'libvlccore.so', 'od', 'V1', 'V2', 0.15866476522473993, 2.6395397186279297]
['CV', 219, 'UV', 29, 'cp', 'objcopy', 'V0', 'V3', 0.12779992750996738, 1.2450037002563477]
['BV', 76, 'CV', 108, 'diff', 'chgrp', 'V2', 'V3', 0.07692307692307687, 0.11635112762451172]
['CV', 324, 'UV', 19, 'mv', 'elfedit', 'V1', 'V2', 0.1028513238289206, 0.0535738468170166]
['CV', 5, 'BV', 53, 'mkdir', 'ssh', 'V2', 'V2', 0.11708075561584019, 3.7480804920196533]
['UV', 84, 'CV', 258, 'ar', 'rmdir', 'V0', 'V0', 0.15039341917024318, 0.8198199272155762]
['CV', 270, 'BV', 65, 'users', 'ssh', 'V1', 'V1', 0.11890602425830732, 3.4433813095092773]
['UV', 79, 'CV', 239, 'strings', 'env', 'V0', 'V0', 0.1513070024804426, 0.734555721282959]
['CV', 125, 'UV', 50, 'split', 'find', 'V3', 'V1', 0.10758801661928707, 0.19535422325134277]
['CV', 242, 'UV', 43, 'cat', 'sdiff', 'V0', 'V3', 0.11714890613973183, 0.03082895278930664]
['CV', 64, 'BV', 69, 'md5sum', 'gvmap', 'V2', 'V0', 0.12753164556962027, 0.10144925117492676]
['UV', 58, 'BV', 51, 'objcopy', 'cp', 'V1', 'V0', 0.1228211316706892, 1.3037621974945068]
['UV', 6, 'CV', 294, 'sdiff', 'sync', 'V2', 'V1', 0.13240673006583759, 0.027169466018676758]
['UV', 43, 'CV', 254, 'sdiff', 'uniq', 'V3', 'V0', 0.0929032258064516, 0.03446483612060547]
['CV', 331, 'UV', 10, 'vdir', 'as', 'V1', 'V2', 0.11722157804649114, 1.9921212196350098]
['BV', 18, 'UV', 31, 'sort', 'gprof', 'V3', 'V3', 0.10942974282519569, 1.3325495719909668]
['CV', 234, 'UV', 8, 'hostid', 'strip', 'V0', 'V2', 0.1447557200030205, 1.0398468971252441]
['UV', 39, 'CV', 347, 'find', 'ln', 'V3', 'V1', 0.15418023887079269, 0.2785203456878662]
['UV', 45, 'CV', 99, 'cmp', 'stty', 'V1', 'V3', 0.03166869671132766, 0.03625679016113281]
['CV', 120, 'UV', 20, 'sync', 'size', 'V3', 'V2', 0.1453658536585366, 0.8998324871063232]
['BV', 56, 'CV', 331, 'ssh', 'vdir', 'V3', 'V1', 0.1291749750747757, 1.507251262664795]
['UV', 48, 'CV', 215, 'locate', 'nice', 'V1', 'V0', 0.13877733154841587, 0.05479717254638672]
['CV', 1, 'BV', 24, 'stat', 'git', 'V2', 'V0', 0.09462318919212198, 3.455028772354126]
['CV', 249, 'UV', 49, 'tr', 'xargs', 'V0', 'V1', 0.05680119581464871, 0.024984121322631836]
['CV', 157, 'UV', 25, 'vdir', 'as', 'V3', 'V3', 0.10734343541379676, 2.172839879989624]
['UV', 87, 'CV', 332, 'objdump', '[', 'V0', 'V1', 0.1367521367521367, 1.2818903923034668]
['UV', 29, 'CV', 235, 'objcopy', 'ginstall', 'V3', 'V0', 0.1249460509279241, 1.3212080001831055]
['CV', 287, 'UV', 28, 'date', 'strings', 'V1', 'V3', 0.1448513415518492, 0.9089996814727783]
['UV', 2, 'CV', 290, 'find', 'tail', 'V2', 'V1', 0.1283511269276394, 0.17272686958312988]
['CV', 174, 'UV', 64, 'touch', 'size', 'V0', 'V1', 0.1412698412698412, 0.8955574035644531]
['BV', 8, 'CV', 317, 'cluster', 'yes', 'V2', 'V1', 0.15650209745079058, 0.09389495849609375]
['UV', 84, 'BV', 15, 'ar', 'libvlccore.so', 'V0', 'V3', 0.060913379761866504, 7.714714050292969]
['CV', 25, 'BV', 43, 'expand', 'lua', 'V2', 'V0', 0.14051909406513474, 0.26677536964416504]
['BV', 75, 'CV', 187, 'cmp', 'join', 'V2', 'V0', 0.05921052631578949, 0.029221534729003906]
['UV', 63, 'CV', 164, 'elfedit', 'nl', 'V1', 'V3', 0.03793843951324272, 0.028746604919433594]
['CV', 218, 'BV', 61, 'true', 'cmp', 'V0', 'V0', 0.06666666666666665, 0.010495424270629883]
['CV', 252, 'UV', 85, 'rm', 'elfedit', 'V0', 'V0', 0.052011095700416066, 0.032442569732666016]
['CV', 13, 'UV', 22, 'join', 'nm', 'V2', 'V3', 0.1428822033154986, 0.9372704029083252]
['CV', 196, 'UV', 41, 'kill', 'cmp', 'V0', 'V3', 0.09375, 0.0358736515045166]
['BV', 41, 'CV', 87, 'libvlccore.so', 'touch', 'V1', 'V3', 0.15379403794037938, 2.6604878902435303]
['CV', 106, 'UV', 39, 'pr', 'find', 'V3', 'V3', 0.1222405271828666, 0.3431680202484131]
['BV', 76, 'CV', 147, 'diff', 'hostid', 'V2', 'V3', 0.13026409707351894, 0.07960224151611328]
['CV', 68, 'BV', 2, 'cat', 'cmp', 'V2', 'V1', 0.015479876160990669, 0.03566694259643555]
['UV', 32, 'BV', 74, 'addr2line', 'git', 'V3', 'V1', 0.046596958174904946, 9.530747413635254]
['BV', 2, 'CV', 246, 'cmp', 'id', 'V1', 'V0', 0.08757297748123438, 0.024520158767700195]
['UV', 10, 'CV', 122, 'as', 'sum', 'V2', 'V3', 0.12777112896791476, 1.6233861446380615]
['CV', 219, 'BV', 76, 'cp', 'diff', 'V0', 'V2', 0.08001198681450405, 0.1177511215209961]
['UV', 57, 'CV', 167, 'strings', 'uniq', 'V1', 'V3', 0.13599792369582142, 0.8953371047973633]
['CV', 93, 'UV', 16, 'fmt', 'gprof', 'V3', 'V2', 0.13967993434550674, 0.98880934715271]
['UV', 63, 'CV', 75, 'elfedit', 'tr', 'V1', 'V2', 0.04899777282850781, 0.02592921257019043]
['UV', 41, 'CV', 250, 'cmp', 'comm', 'V3', 'V0', 0.08933002481389574, 0.024512290954589844]
['CV', 109, 'BV', 72, 'kill', 'perl', 'V3', 'V1', 0.0911624203821656, 2.1284241676330566]
['UV', 29, 'CV', 141, 'objcopy', 'false', 'V3', 'V3', 0.1415187004155648, 1.079880714416504]
