['CV', 231, 'UV', 39, 'who', 'find', 'V0', 'V3', 0.15660893345487692, 0.2898590564727783]
['BV', 31, 'CV', 78, 'codeblocks', 'rm', 'V0', 'V2', 0.1831565746067232, 9.386471033096313]
['CV', 178, 'UV', 8, 'basename', 'strip', 'V0', 'V2', 0.14453921050645335, 1.085402488708496]
['CV', 237, 'UV', 71, 'mv', 'xargs', 'V0', 'V0', 0.09696016771488469, 0.10178565979003906]
['CV', 28, 'UV', 75, 'chown', 'readelf', 'V2', 'V0', 0.06917914300464634, 0.13895654678344727]
['UV', 85, 'CV', 180, 'elfedit', 'fmt', 'V0', 'V0', 0.07892376681614355, 0.021146774291992188]
['BV', 40, 'CV', 69, 'lua', 'csplit', 'V2', 'V2', 0.10186585980837115, 0.41494035720825195]
['UV', 48, 'CV', 196, 'locate', 'kill', 'V1', 'V0', 0.13315812527376258, 0.05749177932739258]
['BV', 21, 'CV', 205, 'cp', 'sha1sum', 'V1', 'V0', 0.09723076923076923, 0.03867197036743164]
['CV', 169, 'BV', 53, 'sort', 'ssh', 'V3', 'V2', 0.1050915078209107, 4.379518985748291]
['UV', 38, 'CV', 158, 'xargs', '[', 'V3', 'V3', 0.10113960113960119, 0.0655827522277832]
['UV', 51, 'CV', 48, 'nm', 'df', 'V1', 'V2', 0.13007724894094197, 1.0002830028533936]
['BV', 82, 'CV', 231, 'gvmap', 'who', 'V1', 'V0', 0.13258556226632157, 0.11758565902709961]
['BV', 31, 'CV', 149, 'codeblocks', 'unexpand', 'V0', 'V3', 0.18609896306075857, 9.193782091140747]
['CV', 168, 'BV', 4, 'sleep', 'geany', 'V3', 'V3', 0.18176918529851527, 23.58684539794922]
['CV', 293, 'BV', 20, 'paste', 'sort', 'V1', 'V1', 0.11441798941798942, 0.033055782318115234]
['UV', 18, 'CV', 90, 'ar', 'test', 'V2', 'V3', 0.14194085797584344, 0.99924635887146]
['CV', 103, 'UV', 83, 'dd', 'addr2line', 'V3', 'V0', 0.12623805386620335, 0.9216058254241943]
['CV', 318, 'UV', 43, 'who', 'sdiff', 'V1', 'V3', 0.08717624763108023, 0.03827548027038574]
['CV', 217, 'BV', 11, 'chmod', 'bash', 'V0', 'V1', 0.12723713646532442, 2.1913349628448486]
['UV', 6, 'BV', 3, 'sdiff', 'diff', 'V2', 'V1', 0.058481532147742765, 0.09344220161437988]
['UV', 86, 'CV', 31, 'size', 'sha1sum', 'V0', 'V2', 0.12340630262208319, 0.7952120304107666]
['UV', 28, 'CV', 179, 'strings', 'mkdir', 'V3', 'V0', 0.14765346262921963, 0.8746826648712158]
['UV', 79, 'CV', 303, 'strings', 'dircolors', 'V0', 'V1', 0.14664909638554213, 0.7630596160888672]
['UV', 43, 'CV', 336, 'sdiff', 'tr', 'V3', 'V1', 0.09079365079365076, 0.03464531898498535]
['CV', 19, 'UV', 39, 'pr', 'find', 'V2', 'V3', 0.13760359116022103, 0.313279390335083]
['BV', 50, 'CV', 132, 'sort', 'cp', 'V0', 'V3', 0.0918230563002681, 0.09658956527709961]
['BV', 18, 'UV', 72, 'sort', 'find', 'V3', 'V0', 0.048086974702069796, 0.24679875373840332]
['UV', 18, 'CV', 321, 'ar', 'hostid', 'V2', 'V1', 0.15203923593185342, 0.9008452892303467]
['CV', 302, 'UV', 12, 'nice', 'c++filt', 'V1', 'V2', 0.15172413793103445, 0.8441176414489746]
['BV', 22, 'CV', 297, 'cmp', 'chroot', 'V3', 'V1', 0.10689045936395758, 0.02260303497314453]
['BV', 37, 'CV', 10, 'geany', 'ptx', 'V1', 'V2', 0.1781677458906472, 20.046226501464844]
['BV', 3, 'CV', 264, 'diff', 'test', 'V1', 'V1', 0.12878787878787878, 0.06070113182067871]
['CV', 294, 'UV', 4, 'sync', 'cmp', 'V1', 'V2', 0.11431143114311437, 0.021312475204467773]
['CV', 223, 'UV', 1, 'tsort', 'xargs', 'V0', 'V2', 0.11992945326278659, 0.03833150863647461]
['UV', 4, 'CV', 85, 'cmp', 'mknod', 'V2', 'V2', 0.0736434108527132, 0.026344776153564453]
['CV', 135, 'BV', 23, 'df', 'diff', 'V3', 'V3', 0.0583490185533746, 0.1450207233428955]
['CV', 343, 'BV', 67, 'sort', 'cluster', 'V1', 'V0', 0.09080654258319232, 0.13405251502990723]
['BV', 14, 'CV', 220, 'openssl', 'cut', 'V3', 'V0', 0.290891026981803, 5.247878074645996]
['CV', 52, 'UV', 13, 'logname', 'strings', 'V2', 'V2', 0.1504392718050901, 0.8680405616760254]
['UV', 84, 'BV', 67, 'ar', 'cluster', 'V0', 'V0', 0.10161314638926577, 1.274498701095581]
['CV', 176, 'UV', 82, 'unlink', 'gprof', 'V0', 'V0', 0.14683721745225164, 0.8156862258911133]
['CV', 95, 'BV', 37, 'du', 'geany', 'V3', 'V1', 0.17625830596501946, 21.186750650405884]
['CV', 146, 'BV', 60, 'head', 'codeblocks', 'V3', 'V1', 0.18411147593497235, 9.810539960861206]
['UV', 59, 'CV', 279, 'ld', 'pwd', 'V1', 'V1', 0.13505853357979047, 1.437938928604126]
['CV', 109, 'BV', 14, 'kill', 'openssl', 'V3', 'V3', 0.2861511350678967, 5.420030117034912]
['BV', 74, 'CV', 100, 'git', 'join', 'V1', 'V3', 0.09170356290131898, 4.554713010787964]
['BV', 55, 'CV', 333, 'codeblocks', 'id', 'V3', 'V1', 0.18940463122680473, 10.086085796356201]
['UV', 9, 'CV', 267, 'readelf', 'fmt', 'V2', 'V1', 0.10346546995761652, 0.09814834594726562]
['CV', 210, 'BV', 1, 'chroot', 'libSDL2-2.0.so', 'V0', 'V3', 0.19626981944826327, 4.975893497467041]
['BV', 29, 'CV', 118, 'perl', 'sha1sum', 'V3', 'V3', 0.10189172019481896, 2.4358692169189453]
['UV', 56, 'CV', 259, 'c++filt', 'mknod', 'V1', 'V0', 0.14812454479242532, 0.8204452991485596]
['CV', 92, 'BV', 50, 'mkdir', 'sort', 'V3', 'V0', 0.030888030888030937, 0.04476809501647949]
['BV', 6, 'CV', 290, 'libvlc.so', 'tail', 'V0', 'V1', 0.173469387755102, 0.24503517150878906]
['CV', 292, 'UV', 19, 'sha1sum', 'elfedit', 'V1', 'V2', 0.0672413793103448, 0.023906946182250977]
['UV', 40, 'CV', 263, 'diff3', 'unlink', 'V3', 'V1', 0.11651179413867052, 0.026367664337158203]
['BV', 10, 'UV', 20, 'gvmap', 'size', 'V2', 'V2', 0.09483775811209438, 1.4165222644805908]
['CV', 275, 'BV', 40, 'dirname', 'lua', 'V1', 'V2', 0.13955201886236368, 0.3023555278778076]
['UV', 41, 'CV', 256, 'cmp', 'sort', 'V3', 'V0', 0.04119402985074627, 0.040950775146484375]
['CV', 320, 'UV', 66, 'head', 'diff3', 'V1', 'V0', 0.07499999999999996, 0.03042292594909668]
