['CV', 324, 'BV', 13, 'mv', 'cp', 'V1', 'V2', 0.03227953410981699, 0.11546874046325684]
['UV', 41, 'CV', 155, 'cmp', 'cat', 'V3', 'V3', 0.046527777777777724, 0.03288578987121582]
['BV', 55, 'CV', 54, 'codeblocks', 'false', 'V3', 'V2', 0.18963803745161623, 10.646197080612183]
['CV', 162, 'BV', 0, 'tr', 'bash', 'V3', 'V2', 0.12468541657468324, 2.536635398864746]
['BV', 13, 'CV', 46, 'cp', 'cut', 'V2', 'V2', 0.09908409658617823, 0.07218408584594727]
['CV', 331, 'BV', 68, 'vdir', 'dot', 'V1', 'V0', 0.20737913486005088, 0.0412440299987793]
['CV', 194, 'UV', 66, 'tee', 'diff3', 'V0', 'V0', 0.09312320916905448, 0.02923750877380371]
['UV', 58, 'CV', 88, 'objcopy', 'stat', 'V1', 'V3', 0.12004244594773839, 1.4798789024353027]
['BV', 0, 'CV', 238, 'bash', 'md5sum', 'V2', 'V0', 0.12799642218246876, 2.3697078227996826]
['CV', 341, 'UV', 57, 'uniq', 'strings', 'V1', 'V1', 0.1439265662596917, 0.9104979038238525]
['CV', 2, 'BV', 27, 'unlink', 'libSDL2-2.0.so', 'V2', 'V1', 0.19584652118385248, 3.6233713626861572]
['UV', 28, 'CV', 189, 'strings', 'uptime', 'V3', 'V0', 0.15064839510714612, 0.8993587493896484]
['CV', 345, 'UV', 72, 'rmdir', 'find', 'V1', 'V0', 0.16490765171503963, 0.1065826416015625]
['CV', 209, 'UV', 87, 'sum', 'objdump', 'V0', 'V0', 0.1361013464217019, 1.3820395469665527]
['UV', 11, 'BV', 7, 'ranlib', 'libSDL2-2.0.so', 'V2', 'V0', 0.06077106518282993, 7.704969882965088]
['BV', 32, 'CV', 251, 'perl', 'nl', 'V0', 'V0', 0.10393957950602162, 2.1098735332489014]
['BV', 8, 'CV', 264, 'cluster', 'test', 'V2', 'V1', 0.145573566084788, 0.10678553581237793]
