['UV', 78, 'CV', 17, 'c++filt', 'mkfifo', 'V0', 'V2', 0.14731846226862833, 0.7914173603057861]
['CV', 102, 'BV', 81, 'uptime', 'dot', 'V3', 'V1', 0.1879069767441861, 0.02189350128173828]
['CV', 234, 'UV', 63, 'hostid', 'elfedit', 'V0', 'V1', 0.10009813542688906, 0.01897144317626953]
['BV', 10, 'CV', 204, 'gvmap', 'pinky', 'V2', 'V0', 0.13339095361567277, 0.12422347068786621]
['UV', 10, 'CV', 139, 'as', 'logname', 'V2', 'V3', 0.13159564038982752, 1.6777215003967285]
['CV', 64, 'UV', 2, 'md5sum', 'find', 'V2', 'V2', 0.14229053049082796, 0.1627204418182373]
['BV', 27, 'CV', 248, 'libSDL2-2.0.so', 'pathchk', 'V1', 'V0', 0.19751088291103924, 3.4889962673187256]
['UV', 22, 'CV', 47, 'nm', 'od', 'V3', 'V2', 0.13991840986025517, 1.2184205055236816]
['BV', 59, 'CV', 238, 'make', 'md5sum', 'V1', 'V0', 0.13485434915461392, 0.19247055053710938]
['BV', 44, 'CV', 207, 'make', 'sync', 'V0', 'V0', 0.1435406698564593, 0.14308810234069824]
['CV', 22, 'BV', 41, 'kill', 'libvlccore.so', 'V2', 'V1', 0.16407636461414365, 2.6787455081939697]
['CV', 16, 'BV', 6, 'dd', 'libvlc.so', 'V2', 'V0', 0.15984405458089668, 0.2858588695526123]
['UV', 0, 'CV', 209, 'locate', 'sum', 'V2', 'V0', 0.12026359143327836, 0.05079078674316406]
['UV', 18, 'CV', 204, 'ar', 'pinky', 'V2', 'V0', 0.1459637840582163, 1.0007307529449463]
['CV', 251, 'UV', 65, 'nl', 'objdump', 'V0', 'V1', 0.12657295439199556, 1.6215181350708008]
['CV', 250, 'BV', 31, 'comm', 'codeblocks', 'V0', 'V0', 0.18828776420399462, 9.832298278808594]
['UV', 9, 'CV', 210, 'readelf', 'chroot', 'V2', 'V0', 0.1109132536250318, 0.09382152557373047]
['BV', 81, 'CV', 104, 'dot', 'mkfifo', 'V1', 'V3', 0.14437869822485205, 0.014068603515625]
['BV', 31, 'CV', 282, 'codeblocks', 'chgrp', 'V0', 'V1', 0.18514147707001127, 10.084712982177734]
['CV', 188, 'BV', 71, 'dirname', 'ruby', 'V0', 'V1', 0.22394678492239461, 0.005529642105102539]
['BV', 72, 'UV', 11, 'perl', 'ranlib', 'V1', 'V2', 0.02788209017499943, 6.356214284896851]
['CV', 249, 'BV', 39, 'tr', 'svn', 'V0', 'V1', 0.21670016444363238, 0.3754768371582031]
['CV', 179, 'BV', 6, 'mkdir', 'libvlc.so', 'V0', 'V0', 0.18814248147262735, 0.24146103858947754]
['BV', 51, 'UV', 57, 'cp', 'strings', 'V0', 'V1', 0.1294157608695652, 1.0356700420379639]
['BV', 33, 'UV', 58, 'openssl', 'objcopy', 'V0', 'V1', 0.04517829290593234, 12.918839454650879]
['BV', 39, 'CV', 56, 'svn', 'yes', 'V1', 'V2', 0.2239166821647759, 0.3550145626068115]
['CV', 215, 'UV', 16, 'nice', 'gprof', 'V0', 'V2', 0.14786057895181026, 0.9762907028198242]
['CV', 219, 'BV', 29, 'cp', 'perl', 'V0', 'V3', 0.09813556368705345, 2.711257219314575]
['CV', 111, 'UV', 76, 'factor', 'as', 'V3', 'V0', 0.12428546172432087, 1.6610593795776367]
['BV', 12, 'UV', 20, 'sort', 'size', 'V2', 'V2', 0.12110076759758293, 1.1918857097625732]
['UV', 68, 'BV', 54, 'diff', 'lua', 'V0', 'V3', 0.09058877017503975, 0.566544771194458]
['BV', 6, 'UV', 11, 'libvlc.so', 'ranlib', 'V0', 'V2', 0.07964304884594742, 1.9960129261016846]
['CV', 243, 'BV', 6, 'csplit', 'libvlc.so', 'V0', 'V0', 0.13752222880853582, 0.3180582523345947]
['CV', 116, 'UV', 72, 'tail', 'find', 'V3', 'V0', 0.09585492227979275, 0.16823673248291016]
['BV', 10, 'UV', 75, 'gvmap', 'readelf', 'V2', 'V0', 0.030582102519548182, 0.2591667175292969]
['UV', 63, 'CV', 19, 'elfedit', 'pr', 'V1', 'V2', 0.05458089668615984, 0.03462815284729004]
['CV', 276, 'BV', 66, 'uptime', 'lua', 'V1', 'V1', 0.13602092629635332, 0.31122422218322754]
['CV', 336, 'BV', 37, 'tr', 'geany', 'V1', 'V1', 0.18449281603570444, 19.813949584960938]
['CV', 225, 'UV', 86, 'printf', 'size', 'V0', 'V0', 0.12560503388189737, 0.8736379146575928]
['CV', 306, 'UV', 30, 'cp', 'ld', 'V1', 'V3', 0.13260920074349447, 1.9985542297363281]
['UV', 55, 'BV', 49, 'ranlib', 'make', 'V1', 'V3', 0.06818181818181812, 1.8924369812011719]
['UV', 40, 'CV', 111, 'diff3', 'factor', 'V3', 'V3', 0.021390374331550777, 0.05122041702270508]
['CV', 339, 'BV', 31, 'rm', 'codeblocks', 'V1', 'V0', 0.18526650930449584, 10.10871434211731]
['CV', 113, 'BV', 9, 'date', 'dot', 'V3', 'V2', 0.16739766081871343, 0.026267528533935547]
['CV', 117, 'BV', 66, 'pinky', 'lua', 'V3', 'V1', 0.12252384446074838, 0.3469419479370117]
['BV', 5, 'CV', 244, 'libvlccore.so', 'vdir', 'V0', 'V0', 0.15517694694220963, 3.2441511154174805]
['BV', 53, 'CV', 177, 'ssh', 'test', 'V2', 'V0', 0.12047225659721061, 3.64868426322937]
['BV', 77, 'CV', 152, 'perl', 'env', 'V2', 'V3', 0.09039072118188296, 2.2703402042388916]
['CV', 248, 'BV', 54, 'pathchk', 'lua', 'V0', 'V3', 0.13916391639163916, 0.35302114486694336]
['BV', 59, 'CV', 8, 'make', 'du', 'V1', 'V2', 0.0806878306878307, 0.30190324783325195]
['BV', 29, 'CV', 206, 'perl', 'paste', 'V3', 'V0', 0.1055114733004503, 2.3647985458374023]
['CV', 304, 'UV', 67, 'chmod', 'cmp', 'V1', 'V0', 0.037570444583594265, 0.03877067565917969]
['UV', 81, 'BV', 71, 'ld', 'ruby', 'V0', 'V1', 0.14626965540314485, 1.2477519512176514]
['BV', 54, 'UV', 61, 'lua', 'addr2line', 'V3', 'V1', 0.04348320354686519, 2.3086416721343994]
['CV', 219, 'UV', 85, 'cp', 'elfedit', 'V0', 'V0', 0.08002238388360383, 0.04602622985839844]
['CV', 200, 'UV', 86, 'date', 'size', 'V0', 'V0', 0.1213402473075389, 0.8834328651428223]
['CV', 236, 'BV', 10, 'unexpand', 'gvmap', 'V0', 'V2', 0.1473684210526316, 0.11045479774475098]
['CV', 202, 'BV', 46, 'chown', 'cluster', 'V0', 'V3', 0.11875000000000002, 0.13419103622436523]
['BV', 11, 'CV', 81, 'bash', 'sleep', 'V1', 'V2', 0.13019000703729766, 2.234128952026367]
['CV', 278, 'UV', 84, 'mkfifo', 'ar', 'V1', 'V0', 0.14914861371133104, 0.8928899765014648]
['BV', 42, 'CV', 110, 'libvlc.so', 'wc', 'V1', 'V3', 0.155241935483871, 0.285752534866333]
['CV', 297, 'UV', 78, 'chroot', 'c++filt', 'V1', 'V0', 0.15044162826420893, 0.7880880832672119]
['BV', 36, 'CV', 143, 'libvlc.so', 'yes', 'V2', 'V3', 0.1893536121673004, 0.3290102481842041]
['CV', 174, 'UV', 76, 'touch', 'as', 'V0', 'V0', 0.12937907707175644, 1.5690758228302002]
['CV', 345, 'BV', 45, 'rmdir', 'svn', 'V1', 'V3', 0.23073593073593068, 0.5709788799285889]
['CV', 127, 'UV', 35, 'ls', 'size', 'V3', 'V3', 0.10964773087908597, 1.332840919494629]
['UV', 83, 'CV', 111, 'addr2line', 'factor', 'V0', 'V3', 0.13336310853059397, 0.9040172100067139]
['BV', 31, 'CV', 45, 'codeblocks', 'cp', 'V0', 'V2', 0.17752081158489252, 11.296272039413452]
['UV', 68, 'BV', 70, 'diff', 'ssh', 'V0', 'V0', 0.10451846965699207, 4.152233839035034]
['UV', 5, 'BV', 69, 'diff', 'gvmap', 'V2', 'V0', 0.039358600583090375, 0.23772978782653809]
['UV', 81, 'CV', 55, 'ld', 'nohup', 'V0', 'V2', 0.13476879175043777, 1.4084651470184326]
['CV', 4, 'UV', 11, 'basename', 'ranlib', 'V2', 'V2', 0.1492041875904332, 1.002155065536499]
['UV', 28, 'CV', 85, 'strings', 'mknod', 'V3', 'V2', 0.14942318256729537, 0.8909413814544678]
['BV', 13, 'CV', 117, 'cp', 'pinky', 'V2', 'V3', 0.08895949166004768, 0.07866740226745605]
['BV', 46, 'CV', 226, 'cluster', 'logname', 'V3', 'V0', 0.1560581583198708, 0.09858846664428711]
['BV', 62, 'CV', 269, 'diff', 'du', 'V0', 'V1', 0.02705023615285529, 0.07757878303527832]
['CV', 36, 'UV', 0, 'chroot', 'locate', 'V2', 'V2', 0.10843989769820972, 0.055288076400756836]
['BV', 72, 'CV', 311, 'perl', 'cksum', 'V1', 'V1', 0.09373744139316809, 2.1268012523651123]
['UV', 41, 'CV', 74, 'cmp', 'pathchk', 'V3', 'V2', 0.08399366085578452, 0.026374101638793945]
['CV', 75, 'UV', 9, 'tr', 'readelf', 'V2', 'V2', 0.09219523697241216, 0.11315631866455078]
['CV', 314, 'UV', 53, 'tty', 'readelf', 'V1', 'V1', 0.1133591193097292, 0.08060383796691895]
['CV', 133, 'UV', 87, 'cut', 'objdump', 'V3', 'V0', 0.13127035830618894, 1.4421427249908447]
['CV', 224, 'BV', 8, 'cksum', 'cluster', 'V0', 'V2', 0.15498392282958195, 0.10578656196594238]
['CV', 321, 'BV', 28, 'hostid', 'openssl', 'V1', 'V1', 0.10463765525869007, 6.5660765171051025]
['CV', 225, 'BV', 70, 'printf', 'ssh', 'V0', 'V0', 0.11758196154378198, 3.52659273147583]
['UV', 20, 'CV', 32, 'size', 'paste', 'V2', 'V2', 0.1492644420523861, 0.9252734184265137]
['CV', 214, 'BV', 54, 'ls', 'lua', 'V0', 'V3', 0.10379314550554941, 0.532050371170044]
['BV', 41, 'UV', 39, 'libvlccore.so', 'find', 'V1', 'V3', 0.10084435933147629, 4.478023290634155]
['CV', 236, 'BV', 33, 'unexpand', 'openssl', 'V0', 'V0', 0.1039144899837191, 5.80375599861145]
['UV', 82, 'CV', 100, 'gprof', 'join', 'V0', 'V3', 0.13103047413435187, 0.984271764755249]
['UV', 30, 'CV', 177, 'ld', 'test', 'V3', 'V0', 0.145879934707696, 1.7933628559112549]
['CV', 9, 'BV', 77, 'users', 'perl', 'V2', 'V2', 0.09148223977121317, 2.3133316040039062]
['CV', 279, 'UV', 63, 'pwd', 'elfedit', 'V1', 'V1', 0.07433628318584073, 0.023740768432617188]
['BV', 25, 'CV', 328, 'git', 'uname', 'V3', 'V1', 0.08818034624486237, 8.976301193237305]
['UV', 82, 'BV', 6, 'gprof', 'libvlc.so', 'V0', 'V0', 0.07425035697287008, 1.8682560920715332]
['UV', 30, 'BV', 66, 'ld', 'lua', 'V3', 'V1', 0.07414947520810711, 3.380225419998169]
['CV', 105, 'UV', 19, 'pwd', 'elfedit', 'V3', 'V2', 0.039017341040462394, 0.03054356575012207]
['CV', 104, 'UV', 76, 'mkfifo', 'as', 'V3', 'V0', 0.1304085450485788, 1.5630192756652832]
['BV', 66, 'CV', 150, 'lua', 'mv', 'V1', 'V3', 0.07685861367173474, 0.5402963161468506]
['CV', 257, 'BV', 64, 'tac', 'openssl', 'V0', 'V2', 0.27200438716753494, 5.033980846405029]
['CV', 192, 'UV', 8, 'pwd', 'strip', 'V0', 'V2', 0.14157236003897178, 1.1795728206634521]
