['UV', 62, 'BV', 17, 'ar', 'codeblocks', 'V1', 'V2', 0.11293651448856601, 17.955573081970215]
['CV', 271, 'UV', 35, 'ptx', 'size', 'V1', 'V3', 0.13146936347412252, 0.9877204895019531]
['BV', 45, 'CV', 309, 'svn', 'df', 'V3', 'V1', 0.21149614961496144, 0.5937705039978027]
['BV', 21, 'CV', 120, 'cp', 'sync', 'V1', 'V3', 0.08551881413911055, 0.04106402397155762]
['BV', 61, 'UV', 69, 'cmp', 'sdiff', 'V0', 'V0', 0.11807580174927113, 0.0282595157623291]
['CV', 248, 'UV', 5, 'pathchk', 'diff', 'V0', 'V2', 0.15231534634519706, 0.07115411758422852]
['UV', 44, 'BV', 51, 'diff3', 'cp', 'V1', 'V0', 0.04337464251668255, 0.054250478744506836]
['UV', 11, 'BV', 24, 'ranlib', 'git', 'V2', 'V0', 0.03857647950164156, 8.23139214515686]
['UV', 72, 'CV', 281, 'find', 'tee', 'V0', 'V1', 0.1568881685575365, 0.10665416717529297]
['BV', 22, 'UV', 37, 'cmp', 'locate', 'V3', 'V3', 0.11772950245269798, 0.10797929763793945]
['CV', 248, 'BV', 7, 'pathchk', 'libSDL2-2.0.so', 'V0', 'V0', 0.22293796387060638, 2.8426995277404785]
['CV', 88, 'BV', 15, 'stat', 'libvlccore.so', 'V3', 'V3', 0.15384971526459557, 3.809295654296875]
['BV', 23, 'CV', 103, 'diff', 'dd', 'V3', 'V3', 0.06625835189309581, 0.12227892875671387]
['UV', 48, 'CV', 44, 'locate', 'true', 'V1', 'V2', 0.13385826771653542, 0.054857730865478516]
['BV', 2, 'CV', 75, 'cmp', 'tr', 'V1', 'V2', 0.04761904761904767, 0.028467893600463867]
['BV', 65, 'CV', 113, 'ssh', 'date', 'V1', 'V3', 0.11258125943922781, 3.611013889312744]
['BV', 56, 'CV', 327, 'ssh', 'link', 'V3', 'V1', 0.15126775521040758, 1.1775145530700684]
['BV', 69, 'CV', 171, 'gvmap', 'rmdir', 'V0', 'V3', 0.1214896214896215, 0.10476279258728027]
['CV', 52, 'BV', 33, 'logname', 'openssl', 'V2', 'V0', 0.10365135453474672, 5.467288255691528]
['UV', 64, 'CV', 165, 'size', 'rm', 'V1', 'V3', 0.12707136314430845, 0.99310302734375]
['CV', 306, 'BV', 66, 'cp', 'lua', 'V1', 'V1', 0.11126681614349776, 0.3672351837158203]
['UV', 57, 'CV', 12, 'strings', 'stty', 'V1', 'V2', 0.1393169877408056, 0.8937423229217529]
