['UO', 86, 'CO', 272, 'xargs', 'tty', 'O0', 'O2', 0.1628571428571428, 0.0813140869140625]
['UO', 61, 'CO', 28, 'find', 'factor', 'O3', 'O3', 0.1326376030971217, 0.3220674991607666]
['CO', 264, 'BO', 80, 'cut', 'ssh', 'O2', 'O3', 0.1392421159715158, 1.2850732803344727]
['CO', 291, 'BO', 24, 'csplit', 'cluster', 'O2', 'O3', 0.10741471666196789, 0.12917709350585938]
['BO', 52, 'CO', 115, 'svn', 'groups', 'O3', 'O1', 0.2089670468948035, 0.44707250595092773]
['CO', 311, 'UO', 33, 'ln', 'objcopy', 'O2', 'O2', 0.12285100286532957, 1.375490665435791]
['UO', 32, 'CO', 78, 'strings', 'chcon', 'O2', 'O3', 0.13095238095238093, 0.9550704956054688]
['CO', 212, 'BO', 25, 'test', 'dot', 'O2', 'O3', 0.16666666666666663, 0.01578378677368164]
['BO', 81, 'CO', 285, 'sort', 'env', 'O3', 'O2', 0.1257078142695357, 0.07985711097717285]
['CO', 69, 'BO', 42, 'who', 'cmp', 'O3', 'O1', 0.03409795412275263, 0.03927779197692871]
['UO', 64, 'CO', 157, 'diff', 'chmod', 'O3', 'O1', 0.07354260089686093, 0.12280821800231934]
['UO', 41, 'CO', 73, 'locate', 'hostid', 'O2', 'O3', 0.14886039886039892, 0.09956169128417969]
['BO', 59, 'CO', 300, 'libgeany.so.0.0.0', 'sha512sum', 'O3', 'O2', 0.16805353141209478, 24.457287549972534]
['BO', 60, 'CO', 158, 'openssl', 'true', 'O0', 'O1', 0.27233542319749215, 8.587433576583862]
['CO', 415, 'UO', 49, 'ln', 'c++filt', 'O0', 'O3', 0.10653628409675764, 1.0880815982818604]
['BO', 16, 'CO', 56, 'make', 'cut', 'O0', 'O3', 0.12404547768538943, 0.24504756927490234]
['CO', 392, 'UO', 42, 'uname', 'xargs', 'O0', 'O2', 0.10103626943005184, 0.07349562644958496]
['UO', 13, 'CO', 319, 'addr2line', 'fmt', 'O1', 'O0', 0.1423083489841216, 1.0957386493682861]
['BO', 74, 'CO', 148, 'dot', 'seq', 'O1', 'O1', 0.18343815513626838, 0.019537687301635742]
['CO', 396, 'UO', 32, 'vdir', 'strings', 'O0', 'O2', 0.08884845728147983, 1.5776996612548828]
['BO', 31, 'CO', 110, 'bash', 'mkdir', 'O2', 'O1', 0.12087151293015674, 2.7262158393859863]
['UO', 21, 'CO', 95, 'sdiff', 'sha224sum', 'O1', 'O3', 0.06939704209328779, 0.04601597785949707]
['CO', 321, 'UO', 0, 'du', 'locate', 'O0', 'O1', 0.025408749447635826, 0.3066122531890869]
['CO', 183, 'BO', 19, 'link', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.1637228808774901, 4.752769470214844]
['BO', 70, 'CO', 42, 'diff', 'sum', 'O3', 'O3', 0.10420775805391191, 0.09405779838562012]
['UO', 2, 'CO', 10, 'find', 'users', 'O1', 'O3', 0.16248326639892907, 0.35699987411499023]
['BO', 38, 'CO', 305, 'acyclic', 'uniq', 'O2', 'O2', 0.1707566462167689, 0.0190887451171875]
['CO', 21, 'BO', 40, 'mktemp', 'lua', 'O3', 'O0', 0.13442097888099291, 0.7328014373779297]
['CO', 344, 'BO', 36, 'expr', 'cluster', 'O0', 'O2', 0.09220814235643027, 0.16460347175598145]
['BO', 41, 'CO', 326, 'libSDL2-2.0.so.0.16.0', 'stty', 'O2', 'O0', 0.20031934968790832, 5.281653881072998]
['CO', 266, 'UO', 4, 'df', 'strip', 'O2', 'O1', 0.1265805292613833, 1.5627882480621338]
['UO', 3, 'CO', 45, 'nm', 'split', 'O1', 'O3', 0.1393287929761221, 1.1181824207305908]
['CO', 197, 'UO', 21, 'nl', 'sdiff', 'O1', 'O1', 0.058892815076560634, 0.05011439323425293]
['UO', 63, 'CO', 104, 'cmp', 'sha384sum', 'O3', 'O1', 0.04321404456448341, 0.03936624526977539]
['BO', 2, 'CO', 116, 'perl', 'ptx', 'O1', 'O1', 0.07343733695085042, 2.661478042602539]
['BO', 32, 'CO', 82, 'ruby', 'shuf', 'O2', 'O3', 0.12336366403950882, 14.75691556930542]
['UO', 46, 'BO', 72, 'readelf', 'make', 'O3', 'O2', 0.010848033204414631, 0.6635260581970215]
['UO', 73, 'CO', 172, 'objcopy', 'yes', 'O0', 'O1', 0.14647505150494955, 2.6034820079803467]
['CO', 69, 'UO', 10, 'who', 'objcopy', 'O3', 'O1', 0.1390301554329919, 1.3724901676177979]
['CO', 299, 'UO', 2, 'comm', 'find', 'O2', 'O1', 0.16215759215421033, 0.3734574317932129]
['CO', 214, 'BO', 62, 'mkdir', 'bash', 'O2', 'O1', 0.12440629947504378, 2.716200828552246]
['CO', 173, 'UO', 8, 'who', 'c++filt', 'O1', 'O1', 0.14363636363636367, 1.0825178623199463]
['BO', 81, 'UO', 31, 'sort', 'c++filt', 'O3', 'O2', 0.11037811745776349, 1.2258198261260986]
['UO', 43, 'CO', 281, 'find', 'hostid', 'O2', 'O2', 0.17351185091369636, 0.32151341438293457]
['UO', 80, 'CO', 289, 'objdump', 'cat', 'O0', 'O2', 0.14310186845145612, 3.8812661170959473]
['UO', 73, 'BO', 66, 'objcopy', 'svn', 'O0', 'O2', 0.08842527582748239, 5.04810094833374]
['UO', 28, 'CO', 324, 'readelf', 'ptx', 'O2', 'O0', 0.07851998305324104, 0.35089707374572754]
['UO', 17, 'CO', 266, 'objdump', 'df', 'O1', 'O2', 0.12689781414881018, 2.2597274780273438]
['UO', 6, 'CO', 5, 'as', 'basename', 'O1', 'O3', 0.13458763458763456, 1.7780890464782715]
['BO', 35, 'CO', 226, 'make', 'uptime', 'O3', 'O2', 0.12121212121212122, 0.23563861846923828]
['CO', 38, 'BO', 33, 'sha1sum', 'sort', 'O3', 'O2', 0.11893112532931882, 0.09325647354125977]
['CO', 231, 'UO', 54, 'pr', 'addr2line', 'O2', 'O3', 0.12659242761692646, 0.8750569820404053]
['UO', 21, 'CO', 412, 'sdiff', 'tac', 'O1', 'O0', 0.03939075630252098, 0.06179523468017578]
['UO', 64, 'CO', 173, 'diff', 'who', 'O3', 'O1', 0.09572035282587388, 0.10572099685668945]
['UO', 5, 'CO', 289, 'readelf', 'cat', 'O1', 'O2', 0.11981566820276501, 0.2699160575866699]
['CO', 315, 'UO', 8, 'unlink', 'c++filt', 'O0', 'O1', 0.1480601741884402, 1.0291903018951416]
['CO', 344, 'UO', 82, 'expr', 'cmp', 'O0', 'O0', 0.03962943901183735, 0.06857156753540039]
['CO', 255, 'BO', 44, 'numfmt', 'cmp', 'O2', 'O2', 0.031084656084656048, 0.037186384201049805]
['CO', 254, 'BO', 78, 'whoami', 'ssh', 'O2', 'O0', 0.14346293363306595, 2.0064644813537598]
['CO', 359, 'UO', 41, 'numfmt', 'locate', 'O0', 'O2', 0.08390157130151199, 0.16288471221923828]
['BO', 40, 'CO', 7, 'lua', 'fmt', 'O0', 'O3', 0.13982534524776602, 0.6573219299316406]
['CO', 31, 'UO', 1, 'date', 'xargs', 'O3', 'O1', 0.07316103379721672, 0.08991336822509766]
['CO', 129, 'UO', 78, 'chgrp', 'elfedit', 'O1', 'O0', 0.0710355177588794, 0.06314349174499512]
['CO', 46, 'BO', 54, 'whoami', 'lua', 'O3', 'O3', 0.12047534489823797, 0.29687070846557617]
['CO', 169, 'BO', 11, 'false', 'ssh', 'O1', 'O1', 0.14871403106697223, 1.4080286026000977]
['CO', 301, 'BO', 83, 'nl', 'lua', 'O2', 'O2', 0.12974557080058613, 0.37972235679626465]
['UO', 68, 'CO', 341, 'readelf', 'nproc', 'O0', 'O0', 0.11891951246294064, 0.6044931411743164]
['CO', 96, 'BO', 68, 'fold', 'git', 'O3', 'O3', 0.09299729761485143, 6.284822463989258]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1751333056611003, 27.407771587371826]
['UO', 21, 'CO', 77, 'sdiff', 'env', 'O1', 'O3', 0.08771929824561409, 0.0398259162902832]
['BO', 39, 'CO', 43, 'codeblocks', 'chroot', 'O3', 'O3', 0.1845882262644869, 10.459619760513306]
['BO', 59, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O3', 'O0', 0.16730293832337206, 24.55908513069153]
['UO', 46, 'BO', 69, 'readelf', 'cmp', 'O3', 'O3', 0.09827377347062383, 0.2396092414855957]
['CO', 282, 'UO', 3, 'unexpand', 'nm', 'O2', 'O1', 0.15101446793938877, 1.0613288879394531]
['BO', 59, 'CO', 354, 'libgeany.so.0.0.0', 'sum', 'O3', 'O0', 0.16651570991317377, 24.823120832443237]
['CO', 222, 'UO', 67, 'stty', 'strip', 'O2', 'O0', 0.14362469528879163, 2.695789337158203]
