['BV', 69, 'CV', 252, 'gvmap', 'rm', 'V0', 'V0', 0.11570743405275774, 0.11867952346801758]
['CV', 347, 'BV', 14, 'ln', 'openssl', 'V1', 'V3', 0.287875636893002, 5.709357738494873]
['UV', 17, 'CV', 14, 'addr2line', 'dirname', 'V2', 'V2', 0.15046400576628527, 0.9070048332214355]
['BV', 25, 'CV', 259, 'git', 'mknod', 'V3', 'V0', 0.08788986544294941, 9.009443044662476]
['CV', 136, 'UV', 80, 'tsort', 'objcopy', 'V3', 'V0', 0.13142285428428502, 1.2256877422332764]
['BV', 74, 'CV', 40, 'git', 'ls', 'V1', 'V2', 0.08676383241193397, 5.4369378089904785]
['CV', 264, 'UV', 67, 'test', 'cmp', 'V1', 'V0', 0.0829909613804437, 0.02687811851501465]
['BV', 22, 'CV', 39, 'cmp', 'whoami', 'V3', 'V2', 0.08702659145850122, 0.02655196189880371]
['CV', 271, 'BV', 19, 'ptx', 'cp', 'V1', 'V3', 0.07355568790946987, 0.11615633964538574]
['BV', 58, 'CV', 84, 'ruby', 'rmdir', 'V3', 'V2', 0.22046109510086453, 0.009326696395874023]
['BV', 5, 'CV', 21, 'libvlccore.so', 'chgrp', 'V0', 'V2', 0.16250601379162877, 3.071824312210083]
['UV', 44, 'CV', 277, 'diff3', 'dd', 'V1', 'V1', 0.0413638904415875, 0.045771121978759766]
['CV', 37, 'BV', 71, 'seq', 'ruby', 'V2', 'V1', 0.2143864598025388, 0.008740663528442383]
['BV', 75, 'CV', 247, 'cmp', 'shred', 'V2', 'V0', 0.03744043567052413, 0.04001164436340332]
['CV', 83, 'UV', 11, 'tac', 'ranlib', 'V2', 'V2', 0.1288684335819711, 1.149864673614502]
['CV', 215, 'UV', 7, 'nice', 'nm', 'V0', 'V2', 0.15227293024917388, 0.9450650215148926]
['BV', 83, 'CV', 161, 'git', 'pathchk', 'V2', 'V3', 0.09327045878770013, 6.546998023986816]
['UV', 17, 'CV', 4, 'addr2line', 'basename', 'V2', 'V2', 0.15024319942352726, 0.9009964466094971]
['UV', 44, 'CV', 246, 'diff3', 'id', 'V1', 'V0', 0.09944367176634217, 0.03216838836669922]
['BV', 57, 'CV', 197, 'svn', 'wc', 'V2', 'V0', 0.22367194780987887, 0.3631157875061035]
['CV', 128, 'UV', 31, 'nice', 'gprof', 'V3', 'V3', 0.14306139613120272, 1.0125839710235596]
['UV', 1, 'BV', 43, 'xargs', 'lua', 'V2', 'V0', 0.1067333137312555, 0.3835484981536865]
['BV', 24, 'UV', 86, 'git', 'size', 'V0', 'V0', 0.04193668993020938, 7.994136810302734]
['CV', 319, 'UV', 2, 'readlink', 'find', 'V1', 'V2', 0.15716129032258064, 0.15312576293945312]
['CV', 102, 'BV', 45, 'uptime', 'svn', 'V3', 'V3', 0.20719016083254493, 0.6741733551025391]
['UV', 74, 'CV', 4, 'strip', 'basename', 'V0', 'V2', 0.13727913909692435, 1.1045243740081787]
['CV', 307, 'UV', 65, 'cut', 'objdump', 'V1', 'V1', 0.13695819440882273, 1.4766168594360352]
['CV', 26, 'UV', 83, 'date', 'addr2line', 'V2', 'V0', 0.13933675338952, 0.8845224380493164]
['BV', 0, 'CV', 346, 'bash', 'mknod', 'V2', 'V1', 0.12943763744894754, 2.388672113418579]
['UV', 70, 'CV', 42, 'locate', 'dircolors', 'V0', 'V2', 0.11304757418747058, 0.05701565742492676]
['UV', 87, 'CV', 178, 'objdump', 'basename', 'V0', 'V0', 0.13997992639678825, 1.3124775886535645]
['BV', 49, 'CV', 263, 'make', 'unlink', 'V3', 'V1', 0.14791625904910977, 0.19611215591430664]
