['BV', 50, 'CV', 236, 'sort', 'unexpand', 'V0', 'V0', 0.09466566491359885, 0.026074647903442383]
['CV', 145, 'BV', 34, 'readlink', 'svn', 'V3', 'V0', 0.19698940717338786, 0.3403027057647705]
['CV', 241, 'BV', 39, 'uname', 'svn', 'V0', 'V1', 0.23065250379362667, 0.3251383304595947]
['CV', 322, 'UV', 75, 'ginstall', 'readelf', 'V1', 'V0', 0.05601558694593278, 0.1391916275024414]
['CV', 74, 'UV', 13, 'pathchk', 'strings', 'V2', 'V2', 0.1492321589882566, 0.8669815063476562]
['BV', 18, 'CV', 298, 'sort', 'seq', 'V3', 'V1', 0.14570312500000004, 0.07344365119934082]
['UV', 78, 'CV', 294, 'c++filt', 'sync', 'V0', 'V1', 0.15138100279087674, 0.7389531135559082]
['UV', 25, 'CV', 87, 'as', 'touch', 'V3', 'V3', 0.122615651395648, 1.7794582843780518]
['CV', 307, 'UV', 26, 'cut', 'ranlib', 'V1', 'V3', 0.14865563598759046, 0.9397718906402588]
['BV', 52, 'CV', 171, 'libSDL2-2.0.so', 'rmdir', 'V2', 'V3', 0.19022355001545277, 3.900022029876709]
['BV', 72, 'CV', 328, 'perl', 'uname', 'V1', 'V1', 0.09381805997654546, 2.028170347213745]
['CV', 118, 'BV', 21, 'sha1sum', 'cp', 'V3', 'V1', 0.06948156066274724, 0.04663586616516113]
['BV', 67, 'CV', 51, 'cluster', 'printf', 'V0', 'V2', 0.11816467630421124, 0.10284733772277832]
['CV', 132, 'BV', 4, 'cp', 'geany', 'V3', 'V3', 0.173616646034357, 26.781558513641357]
['CV', 186, 'UV', 29, 'stty', 'objcopy', 'V0', 'V3', 0.14052707090538397, 1.149322748184204]
['BV', 48, 'CV', 199, 'gvmap', 'expand', 'V3', 'V0', 0.14766917293233084, 0.10246849060058594]
['CV', 44, 'BV', 62, 'true', 'diff', 'V2', 'V0', 0.13033033033033037, 0.036997318267822266]
['CV', 151, 'BV', 51, 'md5sum', 'cp', 'V3', 'V0', 0.06437768240343344, 0.04509544372558594]
['BV', 55, 'CV', 245, 'codeblocks', '[', 'V3', 'V0', 0.18921883569693643, 10.471925258636475]
['CV', 48, 'BV', 23, 'df', 'diff', 'V2', 'V3', 0.07488986784140972, 0.11684036254882812]
['BV', 16, 'CV', 141, 'libvlc.so', 'false', 'V3', 'V3', 0.1915869980879541, 0.31555724143981934]
['BV', 55, 'CV', 196, 'codeblocks', 'kill', 'V3', 'V0', 0.18965291763659664, 10.3367600440979]
['CV', 318, 'BV', 32, 'who', 'perl', 'V1', 'V0', 0.10905358414680133, 1.9561476707458496]
['CV', 253, 'UV', 60, 'fold', 'gprof', 'V0', 'V1', 0.14430928178636893, 0.9152257442474365]
['CV', 149, 'BV', 69, 'unexpand', 'gvmap', 'V3', 'V0', 0.11990261716372486, 0.10439872741699219]
['CV', 227, 'UV', 84, 'tty', 'ar', 'V0', 'V0', 0.15053667262969594, 0.8283240795135498]
['UV', 62, 'CV', 52, 'ar', 'logname', 'V1', 'V2', 0.1469743069641649, 0.8945736885070801]
['CV', 31, 'UV', 74, 'sha1sum', 'strip', 'V2', 'V0', 0.13389181772225034, 1.1234383583068848]
['UV', 8, 'CV', 343, 'strip', 'sort', 'V2', 'V1', 0.1263210511282491, 1.2244374752044678]
['CV', 174, 'UV', 17, 'touch', 'addr2line', 'V0', 'V2', 0.1442067736185383, 0.9109432697296143]
['CV', 210, 'BV', 18, 'chroot', 'sort', 'V0', 'V3', 0.1544617847138856, 0.06801033020019531]
['UV', 65, 'CV', 101, 'objdump', 'dirname', 'V1', 'V3', 0.1359632324779778, 1.3707680702209473]
