['CV', 189, 'BV', 52, 'uptime', 'libSDL2-2.0.so', 'V0', 'V2', 0.19459206001875584, 3.8826181888580322]
['UV', 22, 'CV', 218, 'nm', 'true', 'V3', 'V0', 0.15553731070972454, 0.844444990158081]
['UV', 19, 'BV', 40, 'elfedit', 'lua', 'V2', 'V2', 0.12454057110545658, 0.3371896743774414]
['UV', 25, 'BV', 53, 'as', 'ssh', 'V3', 'V2', 0.02959386906823691, 10.281663179397583]
['UV', 85, 'BV', 74, 'elfedit', 'git', 'V0', 'V1', 0.09257703081232493, 4.539462566375732]
['CV', 184, 'UV', 85, 'ptx', 'elfedit', 'V0', 'V0', 0.05885337392186707, 0.041230201721191406]
['CV', 274, 'BV', 38, 'join', 'ruby', 'V1', 'V2', 0.22797202797202798, 0.008862972259521484]
['CV', 79, 'UV', 5, 'fold', 'diff', 'V2', 'V2', 0.1319595083152567, 0.07832789421081543]
['BV', 52, 'CV', 33, 'libSDL2-2.0.so', 'sync', 'V2', 'V2', 0.1950952256717975, 3.8046915531158447]
['BV', 14, 'CV', 122, 'openssl', 'sum', 'V3', 'V3', 0.2836097661481405, 5.408865213394165]
['BV', 46, 'CV', 239, 'cluster', 'env', 'V3', 'V0', 0.15551244746201098, 0.09356260299682617]
['UV', 42, 'CV', 52, 'diff', 'logname', 'V3', 'V2', 0.14170927684441192, 0.07366132736206055]
['BV', 76, 'UV', 16, 'diff', 'gprof', 'V2', 'V2', 0.10766983199415636, 1.3575222492218018]
['CV', 211, 'UV', 3, 'seq', 'diff3', 'V0', 'V2', 0.10511363636363635, 0.029922008514404297]
['BV', 45, 'CV', 245, 'svn', '[', 'V3', 'V0', 0.22501776830135034, 0.556617259979248]
['BV', 80, 'CV', 96, 'cluster', 'users', 'V1', 'V3', 0.12880562060889933, 0.11664628982543945]
['UV', 86, 'CV', 322, 'size', 'ginstall', 'V0', 'V1', 0.10793554271815142, 0.9873485565185547]
['BV', 5, 'CV', 334, 'libvlccore.so', 'shred', 'V0', 'V1', 0.1633390891431038, 2.792412281036377]
['CV', 343, 'BV', 28, 'sort', 'openssl', 'V1', 'V1', 0.09970558509469618, 6.45556640625]
['CV', 55, 'UV', 22, 'nohup', 'nm', 'V2', 'V3', 0.14830016953689662, 0.9218118190765381]
['UV', 79, 'CV', 227, 'strings', 'tty', 'V0', 'V0', 0.15151226028050757, 0.7394638061523438]
['CV', 14, 'BV', 73, 'dirname', 'geany', 'V2', 'V0', 0.18609835179681167, 14.194274425506592]
['CV', 101, 'UV', 77, 'dirname', 'ranlib', 'V3', 'V0', 0.14424763240968086, 0.8811323642730713]
['CV', 81, 'UV', 10, 'sleep', 'as', 'V2', 'V2', 0.13274745605920446, 1.6022162437438965]
['CV', 292, 'BV', 51, 'sha1sum', 'cp', 'V1', 'V0', 0.09347553324968638, 0.03753495216369629]
['UV', 18, 'CV', 233, 'ar', 'head', 'V2', 'V0', 0.1471435836582472, 0.9451155662536621]
['BV', 4, 'UV', 87, 'geany', 'objdump', 'V3', 'V0', 0.11898567752042077, 37.91499853134155]
['UV', 42, 'CV', 157, 'diff', 'vdir', 'V3', 'V3', 0.01411979048052836, 0.20149588584899902]
['BV', 80, 'UV', 71, 'cluster', 'xargs', 'V1', 'V0', 0.12850327966607034, 0.11609840393066406]
