['UV', 37, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V3', 'V3', 0.16794735724899168, 6.646890878677368]
['CV', 31, 'BV', 80, 'sha1sum', 'cluster', 'V2', 'V1', 0.1336142040325008, 0.11702489852905273]
['CV', 92, 'BV', 65, 'mkdir', 'ssh', 'V3', 'V1', 0.11454298672493135, 3.9181859493255615]
['UV', 43, 'CV', 281, 'sdiff', 'tee', 'V3', 'V1', 0.1087257617728532, 0.0335850715637207]
['UV', 38, 'CV', 174, 'xargs', 'touch', 'V3', 'V0', 0.11920874544508064, 0.06890726089477539]
['CV', 205, 'BV', 17, 'sha1sum', 'codeblocks', 'V0', 'V2', 0.1869148936170213, 10.305466175079346]
['CV', 44, 'BV', 60, 'true', 'codeblocks', 'V2', 'V1', 0.18699274678458755, 10.074972867965698]
['BV', 31, 'CV', 39, 'codeblocks', 'whoami', 'V0', 'V2', 0.1880656499958484, 9.55435848236084]
['CV', 213, 'UV', 22, 'whoami', 'nm', 'V0', 'V3', 0.1545173604799127, 0.9040977954864502]
['UV', 48, 'CV', 207, 'locate', 'sync', 'V1', 'V0', 0.14669703872437356, 0.05299711227416992]
['BV', 30, 'UV', 42, 'bash', 'diff', 'V0', 'V3', 0.10632656792832329, 2.580646514892578]
['CV', 148, 'UV', 6, 'ginstall', 'sdiff', 'V3', 'V2', 0.09746529873264942, 0.1271200180053711]
['UV', 58, 'BV', 40, 'objcopy', 'lua', 'V1', 'V2', 0.05651227236737921, 2.604869842529297]
['BV', 55, 'CV', 277, 'codeblocks', 'dd', 'V3', 'V1', 0.18657064400808254, 10.837892293930054]
['CV', 31, 'UV', 46, 'sha1sum', 'diff', 'V2', 'V1', 0.11169881767268197, 0.09493875503540039]
['BV', 3, 'CV', 10, 'diff', 'ptx', 'V1', 'V2', 0.03484806244772787, 0.11992120742797852]
['UV', 59, 'CV', 135, 'ld', 'df', 'V1', 'V3', 0.118398142774231, 1.8253865242004395]
['CV', 220, 'BV', 24, 'cut', 'git', 'V0', 'V0', 0.09538193594034883, 3.5683295726776123]
['CV', 71, 'BV', 32, '[', 'perl', 'V2', 'V0', 0.1088992974238876, 1.9718072414398193]
['BV', 10, 'CV', 22, 'gvmap', 'kill', 'V2', 'V2', 0.1347989586346543, 0.11716985702514648]
['UV', 32, 'BV', 38, 'addr2line', 'ruby', 'V3', 'V2', 0.16513151647516855, 0.7897529602050781]
['UV', 39, 'CV', 145, 'find', 'readlink', 'V3', 'V3', 0.142457612305541, 0.31163477897644043]
['CV', 302, 'UV', 1, 'nice', 'xargs', 'V1', 'V2', 0.12246117084826758, 0.03944063186645508]
['CV', 298, 'UV', 7, 'seq', 'nm', 'V1', 'V2', 0.15066298834208425, 0.9407124519348145]
['CV', 252, 'BV', 51, 'rm', 'cp', 'V0', 'V0', 0.052378407268840244, 0.04955172538757324]
['CV', 67, 'UV', 87, 'uname', 'objdump', 'V2', 'V0', 0.13796535934700382, 1.3480560779571533]
['CV', 96, 'BV', 19, 'users', 'cp', 'V3', 'V3', 0.11216660577274384, 0.08405375480651855]
['BV', 68, 'CV', 208, 'dot', 'echo', 'V0', 'V0', 0.11888111888111885, 0.009292364120483398]
['CV', 292, 'BV', 17, 'sha1sum', 'codeblocks', 'V1', 'V2', 0.1870427032060662, 10.395041227340698]
['BV', 75, 'CV', 287, 'cmp', 'date', 'V2', 'V1', 0.05071428571428571, 0.03515982627868652]
['UV', 63, 'CV', 76, 'elfedit', 'comm', 'V1', 'V2', 0.05350118017309202, 0.02569293975830078]
['CV', 138, 'BV', 76, 'printf', 'diff', 'V3', 'V2', 0.10620052770448551, 0.0986785888671875]
['UV', 54, 'CV', 306, 'as', 'cp', 'V1', 'V1', 0.12014392533873053, 1.7975330352783203]
['CV', 33, 'BV', 33, 'sync', 'openssl', 'V2', 'V0', 0.10380671773718331, 5.73829460144043]
['CV', 292, 'UV', 33, 'sha1sum', 'ar', 'V1', 'V3', 0.148282409804937, 1.012669563293457]
['CV', 82, 'UV', 18, 'sort', 'ar', 'V2', 'V2', 0.12166679623726973, 1.2980353832244873]
['UV', 54, 'CV', 332, 'as', '[', 'V1', 'V1', 0.1308982873121286, 1.5925383567810059]
['BV', 26, 'CV', 282, 'geany', 'chgrp', 'V2', 'V1', 0.18151414371660257, 21.3242928981781]
['BV', 40, 'CV', 155, 'lua', 'cat', 'V2', 'V3', 0.1281399943550663, 0.35171985626220703]
['BV', 7, 'UV', 30, 'libSDL2-2.0.so', 'ld', 'V0', 'V3', 0.029376458819606488, 9.918498992919922]
['BV', 48, 'CV', 56, 'gvmap', 'yes', 'V3', 'V2', 0.1445925925925926, 0.10901904106140137]
['UV', 28, 'CV', 296, 'strings', 'sum', 'V3', 'V1', 0.14851212343864806, 0.9047186374664307]
['BV', 77, 'CV', 81, 'perl', 'sleep', 'V2', 'V2', 0.09174580460517756, 2.23549222946167]
['BV', 3, 'CV', 138, 'diff', 'printf', 'V1', 'V3', 0.09178031699225953, 0.0799856185913086]
['UV', 80, 'CV', 43, 'objcopy', 'chmod', 'V0', 'V2', 0.12682308180088775, 1.2212860584259033]
['BV', 58, 'UV', 30, 'ruby', 'ld', 'V3', 'V3', 0.1545353435491844, 1.6357207298278809]
['UV', 57, 'BV', 75, 'strings', 'cmp', 'V1', 'V2', 0.1378435147908279, 0.9569580554962158]
['UV', 3, 'CV', 246, 'diff3', 'id', 'V2', 'V0', 0.0999306037473976, 0.03226661682128906]
['CV', 230, 'UV', 49, 'yes', 'xargs', 'V0', 'V1', 0.09380530973451329, 0.020102262496948242]
['BV', 83, 'CV', 333, 'git', 'id', 'V2', 'V1', 0.0941575738442414, 6.617546558380127]
['CV', 339, 'BV', 47, 'rm', 'dot', 'V1', 'V3', 0.18325123152709355, 0.020274877548217773]
['CV', 157, 'UV', 20, 'vdir', 'size', 'V3', 'V2', 0.10925882445018398, 1.3606445789337158]
['BV', 69, 'CV', 87, 'gvmap', 'touch', 'V0', 'V3', 0.09007551240560951, 0.13973188400268555]
['CV', 267, 'UV', 17, 'fmt', 'addr2line', 'V1', 'V2', 0.1502440788284216, 0.9233608245849609]
['BV', 81, 'CV', 178, 'dot', 'basename', 'V1', 'V0', 0.1155172413793103, 0.00931406021118164]
['UV', 63, 'BV', 10, 'elfedit', 'gvmap', 'V1', 'V2', 0.11854951185495122, 0.1311023235321045]
['CV', 170, 'BV', 10, 'tac', 'gvmap', 'V3', 'V2', 0.11861215707369555, 0.13677334785461426]
['CV', 309, 'UV', 23, 'df', 'strip', 'V1', 'V3', 0.13586875466070092, 1.2236239910125732]
