['BO', 81, 'CO', 65, 'sort', 'false', 'O3', 'O3', 0.12910447761194033, 0.07448148727416992]
['UO', 55, 'CO', 10, 'ar', 'users', 'O3', 'O3', 0.13635574083724156, 0.8206079006195068]
['CO', 150, 'UO', 53, 'whoami', 'gprof', 'O1', 'O3', 0.1351141078838174, 0.8434665203094482]
['CO', 378, 'BO', 32, 'runcon', 'ruby', 'O0', 'O2', 0.12461541076679872, 15.228428363800049]
['BO', 73, 'CO', 46, 'cluster', 'whoami', 'O1', 'O3', 0.13942307692307687, 0.11425375938415527]
['UO', 17, 'CO', 305, 'objdump', 'uniq', 'O1', 'O2', 0.13743309545049065, 2.014653205871582]
['BO', 19, 'CO', 108, 'libvlccore.so.9.0.0', 'test', 'O1', 'O1', 0.16098848368522067, 4.627994060516357]
['UO', 47, 'CO', 142, 'as', 'sha1sum', 'O3', 'O1', 0.11989244169053603, 1.4688968658447266]
['BO', 60, 'CO', 311, 'openssl', 'ln', 'O0', 'O2', 0.2600966845571162, 9.541627407073975]
['BO', 2, 'CO', 387, 'perl', 'mv', 'O1', 'O0', 0.059712194639501504, 3.4859254360198975]
['CO', 75, 'UO', 21, 'mv', 'sdiff', 'O3', 'O1', 0.08672248803827753, 0.12149953842163086]
['CO', 148, 'BO', 31, 'seq', 'bash', 'O1', 'O2', 0.12263185891403083, 2.7505011558532715]
['BO', 83, 'CO', 267, 'lua', 'tsort', 'O2', 'O2', 0.1295481807277089, 0.3835592269897461]
['CO', 67, 'UO', 80, 'nohup', 'objdump', 'O3', 'O0', 0.1422292615323698, 3.9273531436920166]
['UO', 11, 'CO', 414, 'ld', 'mknod', 'O1', 'O0', 0.12487622400704146, 2.459932565689087]
['CO', 316, 'BO', 53, 'test', 'bash', 'O0', 'O0', 0.12172867449427072, 3.783316135406494]
['BO', 77, 'CO', 370, 'libSDL2-2.0.so.0.16.0', 'df', 'O3', 'O0', 0.17046641141663765, 5.698831796646118]
['CO', 324, 'BO', 56, 'ptx', 'libvlc.so.12.0.0', 'O0', 'O3', 0.16166166166166163, 0.533470630645752]
['CO', 413, 'BO', 43, 'rmdir', 'diff', 'O0', 'O1', 0.11825795644891124, 0.12609219551086426]
['CO', 89, 'UO', 4, 'pathchk', 'strip', 'O3', 'O1', 0.14347889162918903, 1.2510948181152344]
['CO', 211, 'BO', 22, 'unlink', 'perl', 'O2', 'O0', 0.1129612820432564, 3.583834171295166]
['BO', 31, 'CO', 382, 'bash', 'b2sum', 'O2', 'O0', 0.11815282767529167, 2.950594902038574]
['CO', 4, 'BO', 75, 'test', 'gvmap', 'O3', 'O1', 0.12472647702407003, 0.12567138671875]
['BO', 38, 'CO', 188, 'acyclic', 'vdir', 'O2', 'O1', 0.20745820831547368, 0.07597565650939941]
['CO', 97, 'BO', 8, 'uniq', 'cp', 'O3', 'O0', 0.14232673267326734, 0.1907365322113037]
['UO', 3, 'CO', 3, 'nm', 'unlink', 'O1', 'O3', 0.15243067442656622, 1.0007050037384033]
['UO', 60, 'CO', 394, 'xargs', 'shuf', 'O3', 'O0', 0.031511009870918705, 0.13016438484191895]
['UO', 25, 'CO', 123, 'sdiff', 'dd', 'O2', 'O1', 0.04906006419073816, 0.06952190399169922]
['CO', 141, 'BO', 48, 'truncate', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.18207389610009084, 10.713245153427124]
['CO', 389, 'UO', 68, 'env', 'readelf', 'O0', 'O0', 0.11783960720130937, 0.5658013820648193]
['UO', 7, 'BO', 2, 'ranlib', 'perl', 'O1', 'O1', 0.024207764522608977, 6.603708267211914]
['BO', 53, 'CO', 151, 'bash', 'numfmt', 'O0', 'O1', 0.12335409882486192, 3.6122334003448486]
['CO', 193, 'BO', 81, 'pathchk', 'sort', 'O1', 'O3', 0.1175600739371534, 0.0865943431854248]
['UO', 71, 'CO', 198, 'c++filt', 'rm', 'O0', 'O1', 0.14008608321377336, 2.368452548980713]
['BO', 49, 'CO', 147, 'svn', 'chroot', 'O0', 'O1', 0.20310910939997096, 0.5495321750640869]
['CO', 18, 'UO', 50, 'uptime', 'strings', 'O3', 'O3', 0.13256300609589666, 0.8246896266937256]
['UO', 64, 'CO', 309, 'diff', 'rmdir', 'O3', 'O2', 0.12172682236376509, 0.0873115062713623]
['UO', 19, 'CO', 171, 'cmp', 'nohup', 'O1', 'O1', 0.041963015647226154, 0.037067413330078125]
['UO', 20, 'BO', 79, 'diff', 'bash', 'O1', 'O3', 0.09454357000074032, 3.1409177780151367]
['UO', 38, 'CO', 81, 'elfedit', 'cat', 'O2', 'O3', 0.051748251748251706, 0.031116008758544922]
['CO', 350, 'BO', 83, 'sha1sum', 'lua', 'O0', 'O2', 0.11543400102722134, 0.4410839080810547]
['UO', 39, 'CO', 346, 'size', 'tail', 'O2', 'O0', 0.11696487740225314, 1.1780521869659424]
['BO', 45, 'CO', 60, 'diff', 'base64', 'O2', 'O3', 0.12327348066298338, 0.09570670127868652]
['CO', 248, 'BO', 10, 'sync', 'openssl', 'O2', 'O3', 0.2807070619759703, 7.281845808029175]
['CO', 0, 'BO', 80, 'sha384sum', 'ssh', 'O3', 'O3', 0.13763318832356097, 1.3040947914123535]
['BO', 22, 'UO', 54, 'perl', 'addr2line', 'O0', 'O3', 0.05260885210507382, 7.641311883926392]
['CO', 364, 'UO', 27, 'sha256sum', 'strip', 'O0', 'O2', 0.1300220750551877, 1.2641854286193848]
['CO', 353, 'UO', 16, 'echo', 'size', 'O0', 'O1', 0.14813850559750064, 1.0646915435791016]
['BO', 82, 'UO', 69, 'cp', 'as', 'O3', 'O0', 0.1235591049498983, 4.368861436843872]
['CO', 7, 'UO', 71, 'fmt', 'c++filt', 'O3', 'O0', 0.15222162899685587, 2.0885872840881348]
['BO', 50, 'UO', 23, 'perl', 'cmp', 'O2', 'O2', 0.08580254318618041, 2.3796184062957764]
['CO', 248, 'BO', 65, 'sync', 'gvmap', 'O2', 'O0', 0.13864370290635097, 0.18725347518920898]
['BO', 51, 'CO', 253, 'lua', 'split', 'O1', 'O2', 0.12049810767916003, 0.46279263496398926]
['BO', 52, 'CO', 92, 'svn', 'sha512sum', 'O3', 'O3', 0.20512820512820507, 0.4485960006713867]
['CO', 343, 'UO', 10, 'date', 'objcopy', 'O0', 'O1', 0.1263084922010399, 1.5861926078796387]
['UO', 5, 'CO', 279, 'readelf', 'readlink', 'O1', 'O2', 0.11419984973703978, 0.28708600997924805]
['CO', 201, 'UO', 52, 'uniq', 'ld', 'O1', 'O3', 0.12902842192888575, 1.6571259498596191]
['BO', 69, 'UO', 17, 'cmp', 'objdump', 'O3', 'O1', 0.13707702582368653, 1.9889013767242432]
['CO', 179, 'UO', 76, 'mv', 'addr2line', 'O1', 'O0', 0.12281172806358076, 2.8224363327026367]
['UO', 23, 'BO', 31, 'cmp', 'bash', 'O2', 'O2', 0.12222040549378677, 2.715379238128662]
['CO', 224, 'BO', 44, 'dirname', 'cmp', 'O2', 'O2', 0.07831821929101401, 0.028293848037719727]
['CO', 407, 'BO', 25, 'sha224sum', 'dot', 'O0', 'O3', 0.2056737588652482, 0.02789783477783203]
['CO', 191, 'UO', 45, 'id', 'strip', 'O1', 'O3', 0.12655161973963058, 1.0574772357940674]
['BO', 20, 'CO', 18, 'sort', 'uptime', 'O1', 'O3', 0.1197500867754252, 0.11536169052124023]
['CO', 4, 'BO', 1, 'test', 'ssh', 'O3', 'O2', 0.14426765612225645, 1.4121813774108887]
['BO', 21, 'UO', 7, 'cp', 'ranlib', 'O1', 'O1', 0.114340372305202, 1.563544511795044]
['BO', 82, 'CO', 128, 'cp', 'tee', 'O3', 'O1', 0.0972776769509982, 0.09072566032409668]
['CO', 23, 'BO', 0, 'pr', 'codeblocks', 'O3', 'O1', 0.18236808236808233, 10.561467170715332]
['UO', 79, 'CO', 252, 'size', 'seq', 'O0', 'O2', 0.1526411872092338, 2.144442319869995]
['UO', 27, 'CO', 381, 'strip', 'who', 'O2', 'O0', 0.1292452138194088, 1.2846810817718506]
['UO', 61, 'CO', 212, 'find', 'test', 'O3', 'O2', 0.14922689679971235, 0.2973666191101074]
