['UV', 4, 'CV', 221, 'cmp', 'od', 'V2', 'V0', 0.05648081100651703, 0.03205728530883789]
['BV', 73, 'CV', 265, 'geany', 'basename', 'V0', 'V1', 0.18664109218097713, 15.048696517944336]
['CV', 74, 'BV', 2, 'pathchk', 'cmp', 'V2', 'V1', 0.07783955520254171, 0.025350332260131836]
['UV', 4, 'CV', 80, 'cmp', 'uniq', 'V2', 'V2', 0.052410901467505266, 0.032581329345703125]
['CV', 340, 'UV', 70, 'fold', 'locate', 'V1', 'V0', 0.12512512512512508, 0.05289602279663086]
['UV', 66, 'CV', 115, 'diff3', 'chown', 'V0', 'V3', 0.04255319148936165, 0.05785989761352539]
['BV', 43, 'CV', 25, 'lua', 'expand', 'V0', 'V2', 0.14051909406513474, 0.27888059616088867]
['UV', 84, 'CV', 276, 'ar', 'uptime', 'V0', 'V1', 0.14632853229654508, 0.908843994140625]
['BV', 25, 'CV', 162, 'git', 'tr', 'V3', 'V3', 0.08656314763834327, 9.398707866668701]
['UV', 12, 'CV', 204, 'c++filt', 'pinky', 'V2', 'V0', 0.1468455402465555, 0.9264004230499268]
['CV', 272, 'UV', 76, 'printenv', 'as', 'V1', 'V0', 0.135398773006135, 1.4704034328460693]
['CV', 331, 'UV', 32, 'vdir', 'addr2line', 'V1', 'V3', 0.1255727133887663, 1.1769599914550781]
['CV', 318, 'UV', 14, 'who', 'objcopy', 'V1', 'V2', 0.13848667112200197, 1.2212214469909668]
['UV', 26, 'CV', 307, 'ranlib', 'cut', 'V3', 'V1', 0.14865563598759046, 0.975454568862915]
['CV', 204, 'UV', 43, 'pinky', 'sdiff', 'V0', 'V3', 0.08684546615581101, 0.039938926696777344]
['BV', 8, 'CV', 107, 'cluster', 'tee', 'V2', 'V3', 0.1246061300486967, 0.1255207061767578]
['CV', 233, 'BV', 25, 'head', 'git', 'V0', 'V3', 0.087541146512639, 9.142098426818848]
['CV', 328, 'UV', 48, 'uname', 'locate', 'V1', 'V1', 0.14253495714930087, 0.05665850639343262]
['BV', 55, 'CV', 52, 'codeblocks', 'logname', 'V3', 'V2', 0.18935792278355357, 10.776654481887817]
['BV', 77, 'CV', 115, 'perl', 'chown', 'V2', 'V3', 0.0859086862520666, 2.4904704093933105]
['UV', 84, 'CV', 153, 'ar', 'link', 'V0', 'V3', 0.14408263305322122, 0.909869909286499]
['CV', 163, 'UV', 4, 'comm', 'cmp', 'V3', 'V2', 0.040843214756258184, 0.03472495079040527]
['BV', 82, 'CV', 7, 'gvmap', 'dir', 'V1', 'V2', 0.06470848056537104, 0.22441601753234863]
['UV', 69, 'CV', 14, 'sdiff', 'dirname', 'V0', 'V2', 0.10252996005326231, 0.03185534477233887]
['BV', 75, 'CV', 179, 'cmp', 'mkdir', 'V2', 'V0', 0.06697459584295617, 0.030278444290161133]
['BV', 1, 'UV', 1, 'libSDL2-2.0.so', 'xargs', 'V3', 'V2', 0.18103827540695117, 5.841943740844727]
['UV', 41, 'CV', 274, 'cmp', 'join', 'V3', 'V1', 0.05591866376180099, 0.03184366226196289]
['CV', 270, 'UV', 87, 'users', 'objdump', 'V1', 'V0', 0.13778427982444474, 1.3747918605804443]
['UV', 68, 'CV', 86, 'diff', 'ln', 'V0', 'V2', 0.08240773916159083, 0.0906522274017334]
['BV', 61, 'UV', 46, 'cmp', 'diff', 'V0', 'V1', 0.13424840977569463, 0.08327484130859375]
['UV', 7, 'CV', 0, 'nm', 'touch', 'V2', 'V2', 0.1422006416370415, 1.000537395477295]
['UV', 75, 'CV', 21, 'readelf', 'chgrp', 'V0', 'V2', 0.07055454308773756, 0.11443734169006348]
['CV', 309, 'BV', 33, 'df', 'openssl', 'V1', 'V0', 0.10163020564950576, 5.975729942321777]
['CV', 179, 'UV', 30, 'mkdir', 'ld', 'V0', 'V3', 0.1432092827511573, 1.9134621620178223]
['CV', 335, 'UV', 69, 'pathchk', 'sdiff', 'V1', 'V0', 0.11889596602972397, 0.030226707458496094]
['UV', 6, 'CV', 63, 'sdiff', 'mv', 'V2', 'V2', 0.07790741437711701, 0.09038233757019043]
['BV', 54, 'CV', 13, 'lua', 'join', 'V3', 'V2', 0.1251307531380753, 0.39269375801086426]
['CV', 69, 'BV', 78, 'csplit', 'make', 'V2', 'V2', 0.09039548022598876, 0.2827026844024658]
['BV', 24, 'CV', 250, 'git', 'comm', 'V0', 'V0', 0.09572584379852356, 3.508396863937378]
['CV', 150, 'BV', 40, 'mv', 'lua', 'V3', 'V2', 0.07905273996110285, 0.5811450481414795]
['BV', 44, 'CV', 116, 'make', 'tail', 'V0', 'V3', 0.09284627092846276, 0.2205958366394043]
['CV', 25, 'BV', 6, 'expand', 'libvlc.so', 'V2', 'V0', 0.19236311239193082, 0.22917962074279785]
['CV', 146, 'UV', 11, 'head', 'ranlib', 'V3', 'V2', 0.1406910265970669, 1.0620214939117432]
['UV', 12, 'CV', 246, 'c++filt', 'id', 'V2', 'V0', 0.15058586598315638, 0.886368989944458]
['CV', 25, 'BV', 39, 'expand', 'svn', 'V2', 'V1', 0.22018011394964154, 0.3752002716064453]
['BV', 15, 'CV', 189, 'libvlccore.so', 'uptime', 'V3', 'V0', 0.16600999423409568, 3.327558755874634]
['CV', 105, 'UV', 64, 'pwd', 'size', 'V3', 'V1', 0.13927479248580166, 0.9659550189971924]
['CV', 20, 'BV', 50, 'tee', 'sort', 'V2', 'V0', 0.07088781830695112, 0.03188347816467285]
['CV', 298, 'BV', 32, 'seq', 'perl', 'V1', 'V0', 0.11090035407182597, 1.9648399353027344]
['UV', 31, 'BV', 32, 'gprof', 'perl', 'V3', 'V0', 0.028861447699470744, 5.8981428146362305]
['CV', 143, 'UV', 18, 'yes', 'ar', 'V3', 'V2', 0.1460038821841505, 1.0306851863861084]
['BV', 74, 'CV', 199, 'git', 'expand', 'V1', 'V0', 0.09490474288801709, 4.534054756164551]
