['UO', 45, 'CO', 9, 'strip', 'du', 'O3', 'O3', 0.10585852943230223, 1.2814550399780273]
['UO', 76, 'CO', 3, 'addr2line', 'unlink', 'O0', 'O3', 0.15494714336619553, 2.019352912902832]
['CO', 162, 'BO', 24, 'df', 'cluster', 'O1', 'O3', 0.06824274920789664, 0.189711332321167]
['BO', 5, 'UO', 68, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O0', 0.1405536489207817, 35.38613176345825]
['CO', 107, 'UO', 42, 'unlink', 'xargs', 'O1', 'O2', 0.12181916621548461, 0.06642842292785645]
['UO', 27, 'BO', 41, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.07696821817957189, 11.326409339904785]
['BO', 6, 'CO', 356, 'codeblocks', 'seq', 'O0', 'O0', 0.20456692038446578, 27.941335916519165]
['UO', 71, 'CO', 297, 'c++filt', 'pathchk', 'O0', 'O2', 0.1555074294651988, 2.0294265747070312]
['UO', 18, 'CO', 172, 'diff3', 'yes', 'O1', 'O1', 0.082286432160804, 0.042951107025146484]
['CO', 354, 'UO', 17, 'sum', 'objdump', 'O0', 'O1', 0.1333812790440363, 2.1090283393859863]
['CO', 220, 'BO', 59, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O3', 0.16626175792686726, 25.29367423057556]
['BO', 44, 'CO', 212, 'cmp', 'test', 'O2', 'O2', 0.05168700646087576, 0.037698984146118164]
['UO', 28, 'CO', 321, 'readelf', 'du', 'O2', 'O0', 0.04602036967182199, 0.5073351860046387]
['BO', 3, 'CO', 71, 'openssl', 'readlink', 'O1', 'O3', 0.27725057707104384, 7.420669794082642]
['UO', 77, 'CO', 84, 'ar', 'vdir', 'O0', 'O3', 0.12861836958222495, 2.821477174758911]
['UO', 80, 'BO', 6, 'objdump', 'codeblocks', 'O0', 'O0', 0.0990777779206915, 57.356518030166626]
['CO', 222, 'UO', 73, 'stty', 'objcopy', 'O2', 'O0', 0.14362469528879163, 2.706850528717041]
['CO', 322, 'UO', 80, 'users', 'objdump', 'O0', 'O0', 0.1401772993509578, 3.96527099609375]
['BO', 27, 'CO', 369, 'perl', 'od', 'O3', 'O0', 0.07849947898575893, 2.5781898498535156]
['BO', 64, 'CO', 99, 'dot', 'sort', 'O0', 'O3', 0.1914261460101867, 0.06233978271484375]
['CO', 8, 'BO', 81, 'dir', 'sort', 'O3', 'O3', 0.024390243902439046, 0.19303321838378906]
['CO', 111, 'BO', 65, 'fmt', 'gvmap', 'O1', 'O0', 0.12280701754385959, 0.2076416015625]
['CO', 57, 'UO', 36, 'od', 'addr2line', 'O3', 'O2', 0.13524767936149906, 0.9727010726928711]
['CO', 33, 'UO', 67, 'chown', 'strip', 'O3', 'O0', 0.13762270385848963, 2.8021743297576904]
['BO', 80, 'CO', 316, 'ssh', 'test', 'O3', 'O0', 0.13257765531062127, 1.3753225803375244]
['CO', 360, 'UO', 39, 'ls', 'size', 'O0', 'O2', 0.08905296466510959, 1.5542573928833008]
['CO', 321, 'BO', 57, 'du', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.1332683000037519, 5.632095813751221]
['CO', 348, 'BO', 1, 'pinky', 'ssh', 'O0', 'O2', 0.1378579003181336, 1.5680148601531982]
['CO', 39, 'BO', 17, 'paste', 'codeblocks', 'O3', 'O2', 0.18790777468742692, 10.492626905441284]
['CO', 306, 'UO', 59, 'sleep', 'locate', 'O2', 'O3', 0.14616274585422295, 0.09578371047973633]
['BO', 26, 'CO', 106, 'gvmap', 'stat', 'O3', 'O1', 0.0758087880251086, 0.18639349937438965]
['CO', 370, 'UO', 11, 'df', 'ld', 'O0', 'O1', 0.12406241445387356, 2.638557195663452]
['UO', 22, 'CO', 158, 'diff3', 'true', 'O2', 'O1', 0.07512060647829077, 0.03823232650756836]
['CO', 208, 'UO', 11, 'sha384sum', 'ld', 'O2', 'O1', 0.1451133515939157, 2.0391621589660645]
['UO', 87, 'CO', 368, 'find', 'cut', 'O0', 'O0', 0.15366614664586586, 0.6562211513519287]
['BO', 67, 'CO', 388, 'libSDL2-2.0.so.0.16.0', 'md5sum', 'O1', 'O0', 0.2002582743447484, 5.294217109680176]
['CO', 354, 'UO', 46, 'sum', 'readelf', 'O0', 'O3', 0.08834922526817635, 0.28003692626953125]
['UO', 19, 'CO', 277, 'cmp', 'who', 'O1', 'O2', 0.03853955375253548, 0.03919577598571777]
