['UO', 53, 'CO', 17, 'gprof', 'stdbuf', 'O3', 'O3', 0.1317645059892958, 0.9255084991455078]
['UO', 63, 'CO', 158, 'cmp', 'true', 'O3', 'O1', 0.057993730407523536, 0.031707763671875]
['CO', 377, 'UO', 8, 'false', 'c++filt', 'O0', 'O1', 0.1490825688073394, 1.0852172374725342]
['BO', 67, 'CO', 14, 'libSDL2-2.0.so.0.16.0', 'stty', 'O1', 'O3', 0.20187299918772994, 5.4731574058532715]
['CO', 171, 'UO', 50, 'nohup', 'strings', 'O1', 'O3', 0.1355036171396773, 0.8605296611785889]
['BO', 19, 'CO', 153, 'libvlccore.so.9.0.0', 'nice', 'O1', 'O1', 0.16300889944831476, 4.855013608932495]
['BO', 37, 'CO', 6, 'gvmap', 'mkdir', 'O2', 'O3', 0.11339930462690562, 0.1466531753540039]
['CO', 316, 'UO', 70, 'test', 'ranlib', 'O0', 'O0', 0.14548802946592998, 2.597653865814209]
['BO', 57, 'CO', 217, 'libvlccore.so.9.0.0', 'du', 'O3', 'O2', 0.14066974684027644, 5.278298616409302]
['CO', 49, 'UO', 19, 'nice', 'cmp', 'O3', 'O1', 0.06851311953352768, 0.03280925750732422]
['CO', 234, 'BO', 34, 'kill', 'cp', 'O2', 'O2', 0.130016051364366, 0.09029507637023926]
['BO', 16, 'CO', 280, 'make', 'head', 'O0', 'O2', 0.12568775790921594, 0.25431299209594727]
['CO', 164, 'BO', 74, 'base64', 'dot', 'O1', 'O1', 0.188183807439825, 0.020183563232421875]
['CO', 5, 'BO', 7, 'basename', 'sort', 'O3', 'O0', 0.16738594327990142, 0.1495075225830078]
['CO', 181, 'UO', 29, 'env', 'as', 'O1', 'O2', 0.12992103291255974, 1.787423849105835]
['CO', 151, 'UO', 8, 'numfmt', 'c++filt', 'O1', 'O1', 0.14280786478095897, 1.1366221904754639]
['CO', 387, 'UO', 30, 'mv', 'ranlib', 'O0', 'O2', 0.08523560209424086, 1.849783182144165]
['CO', 114, 'UO', 5, 'users', 'readelf', 'O1', 'O1', 0.11525064364682724, 0.30725789070129395]
['UO', 73, 'CO', 253, 'objcopy', 'split', 'O0', 'O2', 0.14098636094089745, 2.864675521850586]
['CO', 109, 'UO', 59, 'basename', 'locate', 'O1', 'O3', 0.13323353293413176, 0.10956931114196777]
['CO', 183, 'UO', 87, 'link', 'find', 'O1', 'O0', 0.17340569877883305, 0.625312089920044]
['CO', 16, 'BO', 77, 'dirname', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.191445468298721, 5.149830102920532]
['UO', 2, 'CO', 366, 'find', 'true', 'O1', 'O0', 0.16027164685908324, 0.4026172161102295]
['CO', 212, 'UO', 69, 'test', 'as', 'O2', 'O0', 0.1389220603455139, 3.895702362060547]
['BO', 17, 'UO', 38, 'codeblocks', 'elfedit', 'O2', 'O2', 0.1864995978934807, 11.039756774902344]
['CO', 344, 'BO', 57, 'expr', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.149061493756381, 5.00605583190918]
['CO', 254, 'BO', 16, 'whoami', 'make', 'O2', 'O0', 0.1364529380246473, 0.24418115615844727]
['CO', 113, 'UO', 77, 'du', 'ar', 'O1', 'O0', 0.1303173173703449, 3.03151535987854]
['BO', 61, 'CO', 220, 'git', 'ptx', 'O1', 'O2', 0.09094090882575978, 6.903707504272461]
['CO', 265, 'UO', 33, 'od', 'objcopy', 'O2', 'O2', 0.13194648632755068, 1.2948689460754395]
['UO', 73, 'CO', 393, 'objcopy', 'cat', 'O0', 'O0', 0.14114547081634687, 2.8595519065856934]
['UO', 44, 'CO', 372, 'nm', 'base64', 'O3', 'O0', 0.1291473421334285, 0.9408993721008301]
['UO', 23, 'CO', 50, 'cmp', 'dircolors', 'O2', 'O3', 0.040295500335795875, 0.03734850883483887]
['CO', 343, 'UO', 23, 'date', 'cmp', 'O0', 'O2', 0.10019361084220713, 0.07656264305114746]
['CO', 240, 'BO', 26, 'expr', 'gvmap', 'O2', 'O3', 0.11349271777960979, 0.13669347763061523]
['BO', 12, 'CO', 405, 'libgeany.so.0.0.0', 'nl', 'O0', 'O0', 0.19047988216140788, 29.864771127700806]
['BO', 41, 'CO', 190, 'libSDL2-2.0.so.0.16.0', 'timeout', 'O2', 'O1', 0.20379586260733795, 5.473852157592773]
['UO', 71, 'CO', 63, 'c++filt', 'logname', 'O0', 'O3', 0.15499700777977266, 2.151156187057495]
['BO', 28, 'CO', 120, 'ruby', 'dirname', 'O0', 'O1', 0.10513599756875858, 13.415287017822266]
['UO', 29, 'CO', 206, 'as', 'mknod', 'O2', 'O1', 0.12947071358636175, 1.7716870307922363]
['CO', 155, 'BO', 69, 'realpath', 'cmp', 'O1', 'O3', 0.04484304932735428, 0.04385948181152344]
['UO', 20, 'CO', 289, 'diff', 'cat', 'O1', 'O2', 0.1426533523537803, 0.10816144943237305]
['CO', 410, 'UO', 52, 'sleep', 'ld', 'O0', 'O3', 0.13108164856920035, 1.7782223224639893]
['BO', 3, 'UO', 1, 'openssl', 'xargs', 'O1', 'O1', 0.26376835781041397, 8.810378789901733]
['CO', 245, 'BO', 1, 'truncate', 'ssh', 'O2', 'O2', 0.14730263996939164, 1.4798316955566406]
['CO', 198, 'UO', 48, 'rm', 'ranlib', 'O1', 'O3', 0.11844708209693378, 1.120619773864746]
['BO', 75, 'CO', 243, 'gvmap', 'base32', 'O1', 'O2', 0.1312697047864717, 0.13106155395507812]
['CO', 392, 'BO', 46, 'uname', 'ruby', 'O0', 'O3', 0.10408496482688112, 13.795297384262085]
['CO', 323, 'BO', 23, 'groups', 'git', 'O0', 'O2', 0.09192075257671473, 7.144379615783691]
['CO', 191, 'UO', 11, 'id', 'ld', 'O1', 'O1', 0.14297300428687287, 2.1874561309814453]
['CO', 356, 'UO', 33, 'seq', 'objcopy', 'O0', 'O2', 0.1322571090047393, 1.3147683143615723]
['CO', 317, 'UO', 85, 'basename', 'locate', 'O0', 'O0', 0.14262516914749668, 0.21284151077270508]
['CO', 276, 'UO', 16, 'yes', 'size', 'O2', 'O1', 0.15449512259425258, 1.0567741394042969]
['BO', 77, 'CO', 390, 'libSDL2-2.0.so.0.16.0', 'chcon', 'O3', 'O0', 0.17294055852227963, 6.029033660888672]
['CO', 161, 'UO', 81, 'od', 'diff3', 'O1', 'O0', 0.06095406360424027, 0.08833909034729004]
['UO', 42, 'CO', 239, 'xargs', 'date', 'O2', 'O2', 0.06844597503228589, 0.09484601020812988]
['CO', 161, 'UO', 53, 'od', 'gprof', 'O1', 'O3', 0.12373107006157436, 1.0195508003234863]
