['BV', 66, 'CV', 10, 'lua', 'ptx', 'V1', 'V2', 0.0967616074912212, 0.42544102668762207]
['BV', 78, 'CV', 273, 'make', 'stty', 'V2', 'V1', 0.13299030279042157, 0.20640802383422852]
['BV', 74, 'CV', 104, 'git', 'mkfifo', 'V1', 'V3', 0.09361632500409056, 4.653157472610474]
['CV', 345, 'UV', 85, 'rmdir', 'elfedit', 'V1', 'V0', 0.09339622641509437, 0.021315813064575195]
['CV', 79, 'UV', 1, 'fold', 'xargs', 'V2', 'V2', 0.10375275938189843, 0.043596744537353516]
['BV', 28, 'CV', 212, 'openssl', 'split', 'V1', 'V0', 0.10336153161175421, 6.403530836105347]
['BV', 24, 'CV', 114, 'git', 'expr', 'V0', 'V3', 0.09295873289516221, 3.648409605026245]
['CV', 241, 'UV', 0, 'uname', 'locate', 'V0', 'V2', 0.15649081209247184, 0.04284071922302246]
['BV', 3, 'CV', 144, 'diff', 'who', 'V1', 'V3', 0.0870195794053662, 0.08447599411010742]
['UV', 17, 'CV', 33, 'addr2line', 'sync', 'V2', 'V2', 0.15114283133074347, 0.888486385345459]
['CV', 30, 'UV', 0, 'pinky', 'locate', 'V2', 'V2', 0.10084872690963553, 0.05935263633728027]
['UV', 77, 'CV', 215, 'ranlib', 'nice', 'V0', 'V0', 0.14922446068817974, 0.8629500865936279]
['UV', 32, 'CV', 206, 'addr2line', 'paste', 'V3', 'V0', 0.1536472760849492, 0.8669610023498535]
['BV', 43, 'CV', 81, 'lua', 'sleep', 'V0', 'V2', 0.13979204489189634, 0.2768886089324951]
['BV', 55, 'CV', 251, 'codeblocks', 'nl', 'V3', 'V0', 0.18386236603251116, 10.968386888504028]
['UV', 66, 'CV', 189, 'diff3', 'uptime', 'V0', 'V0', 0.09065934065934067, 0.032813072204589844]
['UV', 51, 'CV', 103, 'nm', 'dd', 'V1', 'V3', 0.12702437428431212, 1.0762827396392822]
['UV', 76, 'CV', 185, 'as', 'printenv', 'V0', 'V0', 0.13573577260728098, 1.428147792816162]
['CV', 305, 'UV', 72, 'true', 'find', 'V1', 'V0', 0.17096882333221586, 0.10568451881408691]
['CV', 134, 'UV', 75, 'od', 'readelf', 'V3', 'V0', 0.0674643584521385, 0.11317944526672363]
['BV', 45, 'CV', 175, 'svn', 'stat', 'V3', 'V0', 0.22231650403054726, 0.595020055770874]
['BV', 33, 'CV', 301, 'openssl', 'ls', 'V0', 'V1', 0.09737291657047875, 6.322753429412842]
['BV', 50, 'CV', 291, 'sort', 'pinky', 'V0', 'V1', 0.06518817204301075, 0.03580117225646973]
['BV', 26, 'UV', 44, 'geany', 'diff3', 'V2', 'V1', 0.18049479699919957, 21.59575915336609]
['CV', 100, 'BV', 34, 'join', 'svn', 'V3', 'V0', 0.18809566624707785, 0.3729405403137207]
['BV', 64, 'CV', 219, 'openssl', 'cp', 'V2', 'V0', 0.2728275862068965, 4.975818395614624]
['BV', 27, 'CV', 5, 'libSDL2-2.0.so', 'mkdir', 'V1', 'V2', 0.1891759051935995, 3.7496087551116943]
['UV', 7, 'CV', 245, 'nm', '[', 'V2', 'V0', 0.14962372731297036, 0.9402055740356445]
['UV', 17, 'CV', 79, 'addr2line', 'fold', 'V2', 'V2', 0.14822453371592537, 0.9130127429962158]
['CV', 105, 'BV', 13, 'pwd', 'cp', 'V3', 'V2', 0.09608247422680416, 0.07152056694030762]
['UV', 76, 'CV', 120, 'as', 'sync', 'V0', 'V3', 0.13039020565707737, 1.510176658630371]
['BV', 35, 'CV', 261, 'libvlccore.so', 'touch', 'V2', 'V1', 0.1637199942503953, 3.4299020767211914]
['UV', 8, 'CV', 81, 'strip', 'sleep', 'V2', 'V2', 0.14069715477431854, 1.1347284317016602]
['CV', 125, 'BV', 30, 'split', 'bash', 'V3', 'V0', 0.12166859791425266, 2.281972885131836]
['BV', 54, 'CV', 318, 'lua', 'who', 'V3', 'V1', 0.13161774561050799, 0.3938732147216797]
['CV', 151, 'UV', 39, 'md5sum', 'find', 'V3', 'V3', 0.14474379292128892, 0.32772159576416016]
['UV', 67, 'CV', 43, 'cmp', 'chmod', 'V0', 'V2', 0.03694874851013108, 0.04004645347595215]
['CV', 115, 'BV', 64, 'chown', 'openssl', 'V3', 'V2', 0.2705856571522489, 5.115023851394653]
['UV', 27, 'CV', 241, 'c++filt', 'uname', 'V3', 'V0', 0.15491503145244578, 0.8525729179382324]
['UV', 54, 'CV', 107, 'as', 'tee', 'V1', 'V3', 0.12703882379967835, 1.6621713638305664]
['BV', 5, 'CV', 14, 'libvlccore.so', 'dirname', 'V0', 'V2', 0.17185266630016494, 2.663149118423462]
['CV', 347, 'BV', 58, 'ln', 'ruby', 'V1', 'V3', 0.237410071942446, 0.00934910774230957]
['CV', 157, 'UV', 1, 'vdir', 'xargs', 'V3', 'V2', 0.06633401819782803, 0.13889479637145996]
['CV', 102, 'UV', 8, 'uptime', 'strip', 'V3', 'V2', 0.1331490104772992, 1.2677934169769287]
['BV', 2, 'CV', 204, 'cmp', 'pinky', 'V1', 'V0', 0.06426931905126243, 0.03133344650268555]
['BV', 53, 'CV', 83, 'ssh', 'tac', 'V2', 'V2', 0.1131211432283209, 3.928513288497925]
['CV', 73, 'BV', 18, 'shred', 'sort', 'V2', 'V3', 0.08053472448646892, 0.11377310752868652]
['BV', 30, 'CV', 208, 'bash', 'echo', 'V0', 'V0', 0.13303947104788616, 1.9517481327056885]
['BV', 12, 'CV', 23, 'sort', 'wc', 'V2', 'V2', 0.08442694663167105, 0.06612086296081543]
['BV', 78, 'CV', 37, 'make', 'seq', 'V2', 'V2', 0.1318832059572801, 0.20162463188171387]
['BV', 21, 'CV', 5, 'cp', 'mkdir', 'V1', 'V2', 0.05628616517622309, 0.05213332176208496]
['CV', 232, 'BV', 11, 'readlink', 'bash', 'V0', 'V1', 0.13132075471698113, 2.203052043914795]
['BV', 23, 'CV', 94, 'diff', 'dir', 'V3', 'V3', 0.01411979048052836, 0.21251225471496582]
['UV', 53, 'CV', 11, 'readelf', 'printenv', 'V1', 'V2', 0.10753623188405803, 0.0820763111114502]
['CV', 28, 'UV', 54, 'chown', 'as', 'V2', 'V1', 0.12205458552297, 1.7817816734313965]
['UV', 38, 'BV', 41, 'xargs', 'libvlccore.so', 'V3', 'V1', 0.1471939697454696, 3.319913387298584]
['CV', 344, 'BV', 42, 'tac', 'libvlc.so', 'V1', 'V1', 0.14019219898247592, 0.32103991508483887]
['CV', 135, 'BV', 3, 'df', 'diff', 'V3', 'V1', 0.043620178041543056, 0.13120651245117188]
['UV', 1, 'CV', 62, 'xargs', 'unexpand', 'V2', 'V2', 0.1096271563717307, 0.04437732696533203]
['UV', 53, 'CV', 318, 'readelf', 'who', 'V1', 'V1', 0.095158130422614, 0.10070180892944336]
['BV', 79, 'CV', 65, 'bash', 'env', 'V3', 'V2', 0.12840517241379312, 2.515245199203491]
['CV', 101, 'BV', 21, 'dirname', 'cp', 'V3', 'V1', 0.09363957597173145, 0.04136085510253906]
['CV', 245, 'BV', 50, '[', 'sort', 'V0', 'V0', 0.08102345415778256, 0.029970407485961914]
['BV', 20, 'UV', 47, 'sort', 'sdiff', 'V1', 'V1', 0.03586597451628126, 0.06166338920593262]
['CV', 217, 'BV', 16, 'chmod', 'libvlc.so', 'V0', 'V3', 0.18263305322128853, 0.349841833114624]
['BV', 34, 'CV', 32, 'svn', 'paste', 'V0', 'V2', 0.21726307510814002, 0.315216064453125]
['CV', 114, 'UV', 72, 'expr', 'find', 'V3', 'V0', 0.12212439647827322, 0.14006447792053223]
['CV', 261, 'BV', 7, 'touch', 'libSDL2-2.0.so', 'V1', 'V0', 0.2149745143959223, 3.1194231510162354]
['BV', 33, 'CV', 193, 'openssl', 'pr', 'V0', 'V0', 0.10116722415849921, 5.837571620941162]
['BV', 66, 'CV', 105, 'lua', 'pwd', 'V1', 'V3', 0.12734305266289792, 0.32713770866394043]
['CV', 294, 'UV', 15, 'sync', 'ld', 'V1', 'V2', 0.13895075476367236, 1.5279436111450195]
['CV', 127, 'BV', 29, 'ls', 'perl', 'V3', 'V3', 0.08889935731350318, 3.236628532409668]
['UV', 9, 'CV', 338, 'readelf', 'nl', 'V2', 'V1', 0.07078344885528254, 0.13997650146484375]
['UV', 45, 'CV', 320, 'cmp', 'head', 'V1', 'V1', 0.0646651270207852, 0.027695178985595703]
['BV', 14, 'UV', 76, 'openssl', 'as', 'V3', 'V0', 0.10172922329535594, 13.756446838378906]
['UV', 4, 'BV', 18, 'cmp', 'sort', 'V2', 'V3', 0.10346020761245678, 0.09798884391784668]
['UV', 83, 'CV', 55, 'addr2line', 'nohup', 'V0', 'V2', 0.14521083496230103, 0.8320534229278564]
['CV', 225, 'UV', 1, 'printf', 'xargs', 'V0', 'V2', 0.1027512633352049, 0.04605269432067871]
['UV', 49, 'CV', 325, 'xargs', 'md5sum', 'V1', 'V1', 0.06072555205047314, 0.02668595314025879]
['CV', 124, 'BV', 13, 'seq', 'cp', 'V3', 'V2', 0.09466019417475724, 0.07308077812194824]
['BV', 26, 'CV', 228, 'geany', 'false', 'V2', 'V0', 0.1847125353440151, 21.349928855895996]
['UV', 30, 'BV', 5, 'ld', 'libvlccore.so', 'V3', 'V0', 0.02375880229599381, 9.563504934310913]
['CV', 284, 'UV', 62, 'wc', 'ar', 'V1', 'V1', 0.1441213653603034, 1.0316593647003174]
['CV', 60, 'BV', 39, 'hostid', 'svn', 'V2', 'V1', 0.2230255839822024, 0.361128568649292]
['CV', 279, 'UV', 85, 'pwd', 'elfedit', 'V1', 'V0', 0.077260755048288, 0.024364709854125977]
['CV', 8, 'BV', 62, 'du', 'diff', 'V2', 'V0', 0.04178272980501396, 0.10121536254882812]
['UV', 53, 'BV', 41, 'readelf', 'libvlccore.so', 'V1', 'V1', 0.1300527240773286, 3.562013626098633]
['BV', 33, 'UV', 63, 'openssl', 'elfedit', 'V0', 'V1', 0.10161581576417067, 5.84399938583374]
['CV', 237, 'UV', 0, 'mv', 'locate', 'V0', 'V2', 0.042965779467680654, 0.09680414199829102]
['BV', 75, 'CV', 159, 'cmp', 'id', 'V2', 'V3', 0.0427913100724161, 0.036177635192871094]
['UV', 8, 'CV', 15, 'strip', 'uptime', 'V2', 'V2', 0.13766617429837513, 1.2075183391571045]
['BV', 20, 'UV', 58, 'sort', 'objcopy', 'V1', 'V1', 0.12273763239040081, 1.4303803443908691]
['BV', 77, 'CV', 215, 'perl', 'nice', 'V2', 'V0', 0.09263494967978048, 2.203789710998535]
['CV', 245, 'UV', 25, '[', 'as', 'V0', 'V3', 0.13338750870675642, 1.7065372467041016]
['CV', 142, 'UV', 40, 'nohup', 'diff3', 'V3', 'V3', 0.05906195715112916, 0.04035615921020508]
['BV', 52, 'CV', 110, 'libSDL2-2.0.so', 'wc', 'V2', 'V3', 0.18673745469396086, 4.301188230514526]
['BV', 51, 'CV', 330, 'cp', 'csplit', 'V0', 'V1', 0.032436708860759444, 0.07033228874206543]
['CV', 162, 'BV', 40, 'tr', 'lua', 'V3', 'V2', 0.12364394993045902, 0.3655397891998291]
['BV', 53, 'CV', 187, 'ssh', 'join', 'V2', 'V0', 0.11886227544910177, 3.746634006500244]
['UV', 54, 'CV', 188, 'as', 'dirname', 'V1', 'V0', 0.13370931735401248, 1.538794994354248]
['CV', 329, 'BV', 45, 'cat', 'svn', 'V1', 'V3', 0.2279316779101479, 0.5903501510620117]
['UV', 24, 'CV', 196, 'readelf', 'kill', 'V3', 'V0', 0.12059730563220261, 0.2314145565032959]
['BV', 46, 'CV', 247, 'cluster', 'shred', 'V3', 'V0', 0.12134375905010142, 0.13747787475585938]
['CV', 326, 'UV', 30, 'env', 'ld', 'V1', 'V3', 0.1473198006563754, 1.7944073677062988]
['BV', 67, 'UV', 45, 'cluster', 'cmp', 'V0', 'V1', 0.11574654956085317, 0.11592745780944824]
['CV', 46, 'BV', 25, 'cut', 'git', 'V2', 'V3', 0.08674773448996975, 10.372373580932617]
['CV', 90, 'BV', 14, 'test', 'openssl', 'V3', 'V3', 0.2849695468153195, 5.7863240242004395]
['BV', 65, 'CV', 340, 'ssh', 'fold', 'V1', 'V1', 0.1191108719776709, 3.5875909328460693]
['CV', 260, 'UV', 54, 'ln', 'as', 'V0', 'V1', 0.129460918006151, 1.6601488590240479]
['CV', 88, 'BV', 43, 'stat', 'lua', 'V3', 'V0', 0.10592908636163012, 0.39252400398254395]
['CV', 96, 'UV', 57, 'users', 'strings', 'V3', 'V1', 0.14133309821900897, 0.9315757751464844]
['UV', 61, 'CV', 275, 'addr2line', 'dirname', 'V1', 'V1', 0.14958074114146602, 0.8798952102661133]
['BV', 62, 'CV', 55, 'diff', 'nohup', 'V0', 'V2', 0.10567296996662956, 0.04501533508300781]
['CV', 214, 'UV', 25, 'ls', 'as', 'V0', 'V3', 0.1179859303162909, 2.071401357650757]
['CV', 173, 'UV', 41, 'ln', 'cmp', 'V3', 'V3', 0.08016491067338527, 0.06548714637756348]
['UV', 29, 'CV', 98, 'objcopy', 'printenv', 'V3', 'V3', 0.14116403714048464, 1.1455271244049072]
['CV', 301, 'BV', 26, 'ls', 'geany', 'V1', 'V2', 0.1775834011391375, 23.483769416809082]
['BV', 60, 'CV', 81, 'codeblocks', 'sleep', 'V1', 'V2', 0.1861991071908783, 9.90615463256836]
['CV', 12, 'UV', 43, 'stty', 'sdiff', 'V2', 'V3', 0.06356413166855845, 0.043334245681762695]
['BV', 69, 'CV', 197, 'gvmap', 'wc', 'V0', 'V0', 0.14385150812064962, 0.09388566017150879]
['CV', 212, 'BV', 75, 'split', 'cmp', 'V0', 'V2', 0.06828885400313967, 0.027933597564697266]
['CV', 263, 'UV', 16, 'unlink', 'gprof', 'V1', 'V2', 0.14854919211572626, 0.9706106185913086]
['BV', 12, 'UV', 16, 'sort', 'gprof', 'V2', 'V2', 0.11927729291073341, 1.2901949882507324]
['CV', 231, 'BV', 69, 'who', 'gvmap', 'V0', 'V0', 0.12982456140350873, 0.1070098876953125]
