['UO', 18, 'CO', 303, 'diff3', 'sha224sum', 'O1', 'O2', 0.07296650717703346, 0.04682350158691406]
['UO', 82, 'BO', 64, 'cmp', 'dot', 'O0', 'O0', 0.20936395759717308, 0.02652764320373535]
['UO', 59, 'CO', 36, 'locate', 'pinky', 'O3', 'O3', 0.11677574922493972, 0.10884618759155273]
['CO', 336, 'BO', 45, 'tee', 'diff', 'O0', 'O2', 0.10404040404040404, 0.2756917476654053]
['BO', 44, 'UO', 56, 'cmp', 'elfedit', 'O2', 'O3', 0.05040871934604907, 0.08293342590332031]
['UO', 25, 'CO', 375, 'sdiff', 'logname', 'O2', 'O0', 0.06762680025046963, 0.10340309143066406]
['UO', 29, 'CO', 227, 'as', 'dd', 'O2', 'O2', 0.12234042553191493, 1.9605817794799805]
['BO', 35, 'UO', 78, 'make', 'elfedit', 'O3', 'O0', 0.11698113207547167, 0.2506222724914551]
['CO', 115, 'UO', 66, 'groups', 'nm', 'O1', 'O0', 0.1517810448021384, 2.2597975730895996]
['CO', 325, 'UO', 64, 'printenv', 'diff', 'O0', 'O3', 0.1127006280530356, 0.11024188995361328]
['UO', 59, 'CO', 47, 'locate', 'numfmt', 'O3', 'O3', 0.11297915265635505, 0.10834836959838867]
['CO', 293, 'BO', 83, '[', 'lua', 'O2', 'O2', 0.1270071071334562, 0.3986196517944336]
['CO', 343, 'BO', 2, 'date', 'perl', 'O0', 'O1', 0.07142301004386076, 2.8661508560180664]
['CO', 55, 'UO', 66, 'cp', 'nm', 'O3', 'O0', 0.12946859903381647, 2.74923038482666]
['CO', 88, 'UO', 66, 'shred', 'nm', 'O3', 'O0', 0.14326017040004513, 2.377506732940674]
['CO', 248, 'BO', 23, 'sync', 'git', 'O2', 'O2', 0.09362287511054335, 6.326335430145264]
['CO', 313, 'UO', 16, 'touch', 'size', 'O0', 'O1', 0.12983176036109967, 1.3013856410980225]
['CO', 2, 'UO', 21, 'stat', 'sdiff', 'O3', 'O1', 0.05059392872855262, 0.07105302810668945]
['UO', 45, 'CO', 56, 'strip', 'cut', 'O3', 'O3', 0.127739984882842, 0.9922332763671875]
['CO', 97, 'BO', 67, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.20215002388915426, 5.219118118286133]
['CO', 365, 'UO', 42, 'chmod', 'xargs', 'O0', 'O2', 0.021648309912647212, 0.12525415420532227]
['UO', 83, 'CO', 117, 'diff', 'printenv', 'O0', 'O1', 0.16407706650093223, 0.14597821235656738]
['CO', 360, 'UO', 46, 'ls', 'readelf', 'O0', 'O3', 0.028898393249335297, 0.5633537769317627]
['CO', 59, 'UO', 23, 'tsort', 'cmp', 'O3', 'O2', 0.04186360567184333, 0.03262472152709961]
['CO', 370, 'BO', 24, 'df', 'cluster', 'O0', 'O3', 0.045526613816534556, 0.22963857650756836]
['CO', 342, 'BO', 33, 'expand', 'sort', 'O0', 'O2', 0.10663683818046232, 0.10931777954101562]
['CO', 63, 'UO', 72, 'logname', 'strings', 'O3', 'O0', 0.15502170422786465, 2.068195343017578]
['BO', 5, 'CO', 77, 'libgeany.so.0.0.0', 'env', 'O1', 'O3', 0.17479286169534736, 26.995429277420044]
['BO', 51, 'CO', 235, 'lua', 'wc', 'O1', 'O2', 0.12461097970870161, 0.45086073875427246]
['BO', 34, 'CO', 62, 'cp', 'printf', 'O2', 'O3', 0.11034231609613987, 0.08998417854309082]
['CO', 190, 'UO', 24, 'timeout', 'diff', 'O1', 'O2', 0.10313751668891857, 0.1165924072265625]
['UO', 71, 'CO', 390, 'c++filt', 'chcon', 'O0', 'O0', 0.13179255918827515, 2.5151264667510986]
['CO', 146, 'BO', 44, 'sum', 'cmp', 'O1', 'O2', 0.03367003367003363, 0.0421910285949707]
['CO', 185, 'UO', 28, 'cat', 'readelf', 'O1', 'O2', 0.1071428571428571, 0.25180721282958984]
['BO', 54, 'CO', 29, 'lua', 'nproc', 'O3', 'O3', 0.11798209926769732, 0.2983875274658203]
['UO', 66, 'CO', 193, 'nm', 'pathchk', 'O0', 'O1', 0.15297549591598603, 2.131524085998535]
['CO', 36, 'UO', 48, 'pinky', 'ranlib', 'O3', 'O3', 0.13269775830971398, 0.8784446716308594]
['CO', 291, 'UO', 67, 'csplit', 'strip', 'O2', 'O0', 0.14174786092289438, 2.71960711479187]
['BO', 17, 'CO', 261, 'codeblocks', 'chmod', 'O2', 'O2', 0.18448929096110722, 10.658443927764893]
['UO', 30, 'BO', 58, 'ranlib', 'svn', 'O2', 'O1', 0.05960384153661469, 2.4951295852661133]
['CO', 380, 'UO', 71, 'yes', 'c++filt', 'O0', 'O0', 0.15071270948887694, 2.1392948627471924]
['CO', 386, 'BO', 23, 'unexpand', 'git', 'O0', 'O2', 0.09173684519041014, 6.560582160949707]
['UO', 85, 'CO', 0, 'locate', 'sha384sum', 'O0', 'O3', 0.14800210304942163, 0.19021224975585938]
['UO', 66, 'CO', 184, 'nm', 'uname', 'O0', 'O1', 0.15325782344698735, 2.124293327331543]
['BO', 37, 'CO', 322, 'gvmap', 'users', 'O2', 'O0', 0.11443066516347233, 0.13828063011169434]
['UO', 65, 'CO', 20, 'sdiff', 'mkfifo', 'O3', 'O3', 0.08650306748466252, 0.036206960678100586]
['CO', 167, 'BO', 8, 'logname', 'cp', 'O1', 'O0', 0.16243243243243244, 0.1775968074798584]
['CO', 51, 'BO', 49, 'realpath', 'svn', 'O3', 'O0', 0.20105744498428124, 0.5275847911834717]
['CO', 42, 'BO', 58, 'sum', 'svn', 'O3', 'O1', 0.21362131483525149, 0.4859015941619873]
['BO', 59, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O3', 'O2', 0.1675113405287032, 24.591909885406494]
['CO', 95, 'BO', 48, 'sha224sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18149985409979574, 10.528242826461792]
['BO', 34, 'UO', 81, 'cp', 'diff3', 'O2', 'O0', 0.06285178236397748, 0.1451575756072998]
['BO', 51, 'UO', 6, 'lua', 'as', 'O1', 'O1', 0.060332618459919884, 3.825946092605591]
['UO', 29, 'CO', 31, 'as', 'date', 'O2', 'O3', 0.1230640201285994, 1.7303557395935059]
['CO', 351, 'UO', 78, 'paste', 'elfedit', 'O0', 'O0', 0.029032258064516148, 0.04461812973022461]
['CO', 99, 'UO', 56, 'sort', 'elfedit', 'O3', 'O3', 0.11595221363316932, 0.09261512756347656]
['UO', 60, 'CO', 253, 'xargs', 'split', 'O3', 'O2', 0.0683257918552036, 0.08352184295654297]
['CO', 89, 'BO', 17, 'pathchk', 'codeblocks', 'O3', 'O2', 0.1878573656305229, 10.216469287872314]
['UO', 44, 'BO', 47, 'nm', 'libvlc.so.12.0.0', 'O3', 'O0', 0.03502144823612263, 2.464038848876953]
['BO', 14, 'CO', 210, 'cmp', 'stat', 'O0', 'O2', 0.057773602630342924, 0.07449507713317871]
['BO', 61, 'CO', 337, 'git', 'chgrp', 'O1', 'O0', 0.0882137204184843, 7.01824688911438]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19190311687303496, 27.42071223258972]
['UO', 44, 'CO', 14, 'nm', 'stty', 'O3', 'O3', 0.13197834383598117, 0.8395540714263916]
['CO', 154, 'BO', 7, 'dircolors', 'sort', 'O1', 'O0', 0.14631233203941474, 0.16602873802185059]
['CO', 249, 'BO', 50, 'echo', 'perl', 'O2', 'O2', 0.08814359657353876, 2.3471744060516357]
['BO', 27, 'CO', 36, 'perl', 'pinky', 'O3', 'O3', 0.08209086125241183, 2.2754099369049072]
['CO', 121, 'UO', 3, 'stdbuf', 'nm', 'O1', 'O1', 0.14539306846999156, 1.1121797561645508]
['BO', 82, 'CO', 306, 'cp', 'sleep', 'O3', 'O2', 0.1259780907668231, 0.07545256614685059]
['CO', 44, 'BO', 43, 'seq', 'diff', 'O3', 'O1', 0.12751899570531877, 0.10858607292175293]
['BO', 78, 'CO', 329, 'ssh', 'stdbuf', 'O0', 'O0', 0.13580989622499628, 2.1029672622680664]
['UO', 54, 'BO', 3, 'addr2line', 'openssl', 'O3', 'O1', 0.1557439541337562, 13.832952499389648]
['UO', 11, 'CO', 309, 'ld', 'rmdir', 'O1', 'O2', 0.1466612044244162, 1.9417283535003662]
['BO', 46, 'CO', 343, 'ruby', 'date', 'O3', 'O0', 0.10102245782550257, 13.786598682403564]
['BO', 77, 'CO', 10, 'libSDL2-2.0.so.0.16.0', 'users', 'O3', 'O3', 0.189887281522384, 4.8583385944366455]
['CO', 342, 'BO', 37, 'expand', 'gvmap', 'O0', 'O2', 0.10859353412544903, 0.14617633819580078]
['UO', 30, 'BO', 11, 'ranlib', 'ssh', 'O2', 'O1', 0.02739100661949323, 4.567591428756714]
['BO', 35, 'CO', 39, 'make', 'paste', 'O3', 'O3', 0.13120501937626872, 0.21570873260498047]
['CO', 363, 'BO', 3, 'realpath', 'openssl', 'O0', 'O1', 0.2714770797962649, 8.107079267501831]
