['BO', 46, 'CO', 337, 'ruby', 'chgrp', 'O3', 'O0', 0.1002322214850111, 14.967609405517578]
['BO', 23, 'CO', 278, 'git', 'b2sum', 'O2', 'O2', 0.09199851426113814, 6.781492471694946]
['UO', 2, 'CO', 364, 'find', 'sha256sum', 'O1', 'O0', 0.14278807413376304, 0.4806241989135742]
['BO', 35, 'CO', 259, 'make', 'realpath', 'O3', 'O2', 0.12193784277879338, 0.253267765045166]
['CO', 90, 'UO', 11, 'tr', 'ld', 'O3', 'O1', 0.14390525707683421, 2.143366813659668]
['CO', 337, 'BO', 57, 'chgrp', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.14377466532538885, 5.322758197784424]
['CO', 149, 'UO', 3, 'split', 'nm', 'O1', 'O1', 0.13897406149001412, 1.2701983451843262]
['UO', 10, 'CO', 1, 'objcopy', 'touch', 'O1', 'O3', 0.13314149354295335, 1.450451374053955]
['UO', 69, 'CO', 270, 'as', 'printf', 'O0', 'O2', 0.13842055034197553, 3.8575942516326904]
['CO', 254, 'UO', 81, 'whoami', 'diff3', 'O2', 'O0', 0.1348053457292272, 0.05692410469055176]
['CO', 374, 'UO', 69, 'printf', 'as', 'O0', 'O0', 0.13479995260476318, 4.112341642379761]
['UO', 4, 'CO', 291, 'strip', 'csplit', 'O1', 'O2', 0.13674052894924948, 1.4322335720062256]
['UO', 29, 'BO', 66, 'as', 'svn', 'O2', 'O2', 0.06960806270996645, 4.168286323547363]
['BO', 67, 'CO', 342, 'libSDL2-2.0.so.0.16.0', 'expand', 'O1', 'O0', 0.20210465619143725, 5.641819715499878]
['BO', 71, 'CO', 363, 'libSDL2-2.0.so.0.16.0', 'realpath', 'O0', 'O0', 0.19346105789254475, 7.371807098388672]
['UO', 43, 'CO', 21, 'find', 'mktemp', 'O2', 'O3', 0.15000000000000002, 0.4042048454284668]
['UO', 67, 'CO', 69, 'strip', 'who', 'O0', 'O3', 0.14333828628033674, 2.8097262382507324]
['CO', 123, 'UO', 82, 'dd', 'cmp', 'O1', 'O0', 0.04874585896829153, 0.08057355880737305]
['UO', 58, 'CO', 376, 'objdump', 'tty', 'O3', 'O0', 0.12435413642960813, 1.7033195495605469]
['CO', 395, 'UO', 64, 'csplit', 'diff', 'O0', 'O3', 0.05938037865748713, 0.15559101104736328]
['CO', 254, 'BO', 45, 'whoami', 'diff', 'O2', 'O2', 0.1468373493975903, 0.09642481803894043]
['UO', 11, 'CO', 84, 'ld', 'vdir', 'O1', 'O3', 0.12159553935234824, 2.6903903484344482]
['BO', 59, 'CO', 72, 'libgeany.so.0.0.0', 'head', 'O3', 'O3', 0.16776855629014864, 26.60209631919861]
['CO', 301, 'UO', 78, 'nl', 'elfedit', 'O2', 'O0', 0.0681334279630944, 0.0394742488861084]
['UO', 7, 'CO', 318, 'ranlib', 'mkdir', 'O1', 'O0', 0.11699185168572923, 1.6408329010009766]
['BO', 5, 'UO', 13, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O1', 0.12767589333406382, 42.98374319076538]
['CO', 400, 'UO', 11, 'shred', 'ld', 'O0', 'O1', 0.13068118056334865, 2.5064544677734375]
['CO', 414, 'BO', 32, 'mknod', 'ruby', 'O0', 'O2', 0.11935926620246384, 17.54656171798706]
['BO', 32, 'CO', 326, 'ruby', 'stty', 'O2', 'O0', 0.12329207795066288, 15.855257749557495]
['CO', 270, 'UO', 39, 'printf', 'size', 'O2', 'O2', 0.14393463230672532, 0.9893627166748047]
['BO', 45, 'UO', 44, 'diff', 'nm', 'O2', 'O3', 0.10074003342086413, 1.2497100830078125]
['CO', 53, 'BO', 66, 'chmod', 'svn', 'O3', 'O2', 0.197189415458215, 0.5488476753234863]
['CO', 46, 'BO', 7, 'whoami', 'sort', 'O3', 'O0', 0.169507282305547, 0.14789676666259766]
['CO', 295, 'BO', 57, 'id', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.1549593366289268, 4.487718105316162]
['UO', 59, 'CO', 101, 'locate', 'rmdir', 'O3', 'O3', 0.1295041027470567, 0.10654330253601074]
['UO', 4, 'CO', 213, 'strip', 'basename', 'O1', 'O2', 0.14621947631656373, 1.3145687580108643]
['CO', 335, 'UO', 85, 'pr', 'locate', 'O0', 'O0', 0.08838268792710702, 0.29712486267089844]
['BO', 8, 'UO', 8, 'cp', 'c++filt', 'O0', 'O1', 0.09059509246599984, 1.8523454666137695]
['CO', 109, 'UO', 64, 'basename', 'diff', 'O1', 'O3', 0.11974567290709992, 0.0933995246887207]
['UO', 6, 'CO', 84, 'as', 'vdir', 'O1', 'O3', 0.1109576427255985, 2.426666259765625]
['BO', 10, 'UO', 51, 'openssl', 'objcopy', 'O3', 'O3', 0.1389759070456228, 14.877955198287964]
['UO', 1, 'BO', 19, 'xargs', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.1506576636352992, 5.77597975730896]
['BO', 53, 'CO', 27, 'bash', 'wc', 'O0', 'O3', 0.12347075878650737, 3.7983884811401367]
['UO', 11, 'CO', 97, 'ld', 'uniq', 'O1', 'O3', 0.14232381827580265, 2.112973690032959]
['BO', 64, 'CO', 316, 'dot', 'test', 'O0', 'O0', 0.2043795620437956, 0.02849411964416504]
['BO', 7, 'CO', 179, 'sort', 'mv', 'O0', 'O1', 0.04304503786369074, 0.3485417366027832]
['CO', 132, 'BO', 30, 'factor', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.15526409074796166, 5.055809259414673]
['CO', 341, 'UO', 41, 'nproc', 'locate', 'O0', 'O2', 0.11776718856364876, 0.13988733291625977]
['CO', 9, 'UO', 66, 'du', 'nm', 'O3', 'O0', 0.13258768595938752, 2.8361010551452637]
['BO', 48, 'UO', 66, 'libvlccore.so.9.0.0', 'nm', 'O0', 'O0', 0.07317998482488719, 24.882023096084595]
['UO', 25, 'CO', 101, 'sdiff', 'rmdir', 'O2', 'O3', 0.07742703990470523, 0.04408574104309082]
['BO', 9, 'UO', 82, 'git', 'cmp', 'O0', 'O0', 0.0910544065186456, 7.121603965759277]
['CO', 124, 'UO', 61, 'mkfifo', 'find', 'O1', 'O3', 0.15163636363636357, 0.3199124336242676]
['BO', 31, 'CO', 99, 'bash', 'sort', 'O2', 'O3', 0.10765420633077938, 3.4114668369293213]
['UO', 18, 'CO', 95, 'diff3', 'sha224sum', 'O1', 'O3', 0.06879194630872487, 0.050728797912597656]
['UO', 20, 'CO', 165, 'diff', 'cksum', 'O1', 'O1', 0.13631597343586155, 0.11691737174987793]
['CO', 330, 'UO', 40, 'uptime', 'objdump', 'O0', 'O2', 0.12809822958309536, 2.099295139312744]
['UO', 46, 'CO', 93, 'readelf', 'nl', 'O3', 'O3', 0.1012619735441691, 0.23696374893188477]
['UO', 53, 'CO', 348, 'gprof', 'pinky', 'O3', 'O0', 0.1245581551927285, 0.9880623817443848]
['CO', 53, 'UO', 52, 'chmod', 'ld', 'O3', 'O3', 0.12614719120827733, 1.7857677936553955]
['CO', 390, 'BO', 9, 'chcon', 'git', 'O0', 'O0', 0.08738797646063312, 7.687841176986694]
['BO', 20, 'CO', 6, 'sort', 'mkdir', 'O1', 'O3', 0.11255559356825184, 0.12490153312683105]
['BO', 71, 'CO', 122, 'libSDL2-2.0.so.0.16.0', 'uptime', 'O0', 'O1', 0.1975443154674601, 7.0473668575286865]
['UO', 11, 'CO', 207, 'ld', 'ln', 'O1', 'O1', 0.13133008785182698, 2.472752332687378]
['BO', 33, 'CO', 93, 'sort', 'nl', 'O2', 'O3', 0.12324611300720512, 0.09687995910644531]
['UO', 66, 'CO', 346, 'nm', 'tail', 'O0', 'O0', 0.1327682060879617, 2.781862497329712]
['BO', 76, 'CO', 252, 'openssl', 'seq', 'O2', 'O2', 0.27828733070461165, 7.852285861968994]
['BO', 6, 'UO', 44, 'codeblocks', 'nm', 'O0', 'O3', 0.15312239407146344, 40.96632385253906]
['CO', 60, 'BO', 36, 'base64', 'cluster', 'O3', 'O2', 0.12869822485207094, 0.12358880043029785]
['CO', 300, 'BO', 44, 'sha512sum', 'cmp', 'O2', 'O2', 0.044508255563531995, 0.036225318908691406]
['CO', 202, 'BO', 14, 'sleep', 'cmp', 'O1', 'O0', 0.0843373493975903, 0.04472541809082031]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.20386772955417776, 29.405505895614624]
['CO', 234, 'UO', 47, 'kill', 'as', 'O2', 'O3', 0.12321407486125868, 1.5159175395965576]
['BO', 16, 'CO', 31, 'make', 'date', 'O0', 'O3', 0.10803059273422566, 0.2895395755767822]
['UO', 10, 'CO', 145, 'objcopy', 'echo', 'O1', 'O1', 0.14389279437609837, 1.32692289352417]
['BO', 43, 'CO', 375, 'diff', 'logname', 'O1', 'O0', 0.1300588031822899, 0.12302827835083008]
['CO', 298, 'UO', 70, 'tr', 'ranlib', 'O2', 'O0', 0.15177513122989217, 2.4390223026275635]
['BO', 14, 'CO', 165, 'cmp', 'cksum', 'O0', 'O1', 0.08405603735823886, 0.04694628715515137]
['BO', 45, 'CO', 4, 'diff', 'test', 'O2', 'O3', 0.12444595976815553, 0.10527515411376953]
['UO', 51, 'CO', 326, 'objcopy', 'stty', 'O3', 'O0', 0.11995240574105748, 1.1705527305603027]
['UO', 53, 'CO', 235, 'gprof', 'wc', 'O3', 'O2', 0.12933163048105578, 0.9298958778381348]
['UO', 44, 'CO', 129, 'nm', 'chgrp', 'O3', 'O1', 0.12082684656633802, 1.019841194152832]
['CO', 255, 'UO', 65, 'numfmt', 'sdiff', 'O2', 'O3', 0.0565610859728507, 0.04811739921569824]
['CO', 291, 'UO', 85, 'csplit', 'locate', 'O2', 'O0', 0.13636363636363635, 0.22039008140563965]
['CO', 138, 'UO', 49, 'tail', 'c++filt', 'O1', 'O3', 0.12139551441794239, 0.9643418788909912]
['CO', 283, 'UO', 81, 'mv', 'diff3', 'O2', 'O0', 0.07197290431837422, 0.17321014404296875]
['CO', 91, 'BO', 8, 'comm', 'cp', 'O3', 'O0', 0.1504221028396009, 0.19036483764648438]
['CO', 344, 'BO', 44, 'expr', 'cmp', 'O0', 'O2', 0.07657909446618216, 0.05869793891906738]
['CO', 313, 'UO', 41, 'touch', 'locate', 'O0', 'O2', 0.0690245293782088, 0.19401288032531738]
['CO', 391, 'BO', 40, 'link', 'lua', 'O0', 'O0', 0.1376372780457764, 0.7498338222503662]
['CO', 230, 'BO', 59, 'pwd', 'libgeany.so.0.0.0', 'O2', 'O3', 0.16838159174326317, 26.41639518737793]
['CO', 341, 'BO', 38, 'nproc', 'acyclic', 'O0', 'O2', 0.19186652763295098, 0.024683475494384766]
['UO', 8, 'CO', 246, 'c++filt', 'sha1sum', 'O1', 'O2', 0.1498328347703678, 1.0683362483978271]
['CO', 242, 'BO', 39, 'tail', 'codeblocks', 'O2', 'O3', 0.18158976701690266, 12.484770774841309]
['BO', 27, 'CO', 98, 'perl', 'sleep', 'O3', 'O3', 0.0836395707775981, 2.3636209964752197]
['UO', 51, 'CO', 280, 'objcopy', 'head', 'O3', 'O2', 0.1287919105907398, 1.0632472038269043]
['CO', 405, 'UO', 54, 'nl', 'addr2line', 'O0', 'O3', 0.12925170068027214, 0.9246070384979248]
['CO', 113, 'UO', 80, 'du', 'objdump', 'O1', 'O0', 0.12710676817028366, 4.979536533355713]
['CO', 162, 'BO', 42, 'df', 'cmp', 'O1', 'O1', 0.08917197452229297, 0.0868062973022461]
