['CO', 177, 'UO', 74, 'hostid', 'ld', 'O1', 'O0', 0.1509852319792495, 4.0806427001953125]
['CO', 33, 'BO', 30, 'chown', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.15423351680524655, 5.094051122665405]
['UO', 12, 'CO', 392, 'gprof', 'uname', 'O1', 'O0', 0.14402857838759442, 1.1867928504943848]
['CO', 357, 'UO', 11, 'split', 'ld', 'O0', 'O1', 0.1334046626872396, 2.495457887649536]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1739282756863494, 29.136911153793335]
['UO', 65, 'CO', 142, 'sdiff', 'sha1sum', 'O3', 'O1', 0.05034722222222221, 0.0508122444152832]
['UO', 38, 'CO', 270, 'elfedit', 'printf', 'O2', 'O2', 0.04329311568488292, 0.034978628158569336]
['UO', 70, 'CO', 368, 'ranlib', 'cut', 'O0', 'O0', 0.14549614912378617, 2.544734477996826]
['CO', 332, 'UO', 38, 'mkfifo', 'elfedit', 'O0', 'O2', 0.1268085106382979, 0.09478926658630371]
['BO', 51, 'UO', 55, 'lua', 'ar', 'O1', 'O3', 0.036114021061917634, 2.3516056537628174]
['CO', 54, 'UO', 64, 'true', 'diff', 'O3', 'O3', 0.13181332383327393, 0.08439064025878906]
['UO', 14, 'CO', 291, 'ar', 'csplit', 'O1', 'O2', 0.14175506268081006, 1.2232120037078857]
['BO', 23, 'CO', 368, 'git', 'cut', 'O2', 'O0', 0.09102258983262457, 6.82771897315979]
['CO', 48, 'BO', 71, 'ls', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.1793629358964175, 7.904296159744263]
['BO', 6, 'UO', 56, 'codeblocks', 'elfedit', 'O0', 'O3', 0.20575574275429553, 28.747459411621094]
['BO', 73, 'CO', 40, 'cluster', 'sync', 'O1', 'O3', 0.1366735843462793, 0.12339210510253906]
['UO', 74, 'CO', 204, 'ld', 'tac', 'O0', 'O1', 0.14789141623775526, 4.185508728027344]
['CO', 165, 'UO', 36, 'cksum', 'addr2line', 'O1', 'O2', 0.14560290117860375, 1.011547327041626]
['CO', 289, 'UO', 56, 'cat', 'elfedit', 'O2', 'O3', 0.059294871794871806, 0.030724048614501953]
['CO', 212, 'UO', 77, 'test', 'ar', 'O2', 'O0', 0.15226244343891404, 2.4005181789398193]
['BO', 75, 'CO', 151, 'gvmap', 'numfmt', 'O1', 'O1', 0.10795001329433662, 0.1547541618347168]
['CO', 309, 'BO', 63, 'rmdir', 'cluster', 'O2', 'O0', 0.13443751344375132, 0.2007427215576172]
['UO', 83, 'CO', 119, 'diff', 'join', 'O0', 'O1', 0.13203279615493357, 0.18443870544433594]
['BO', 20, 'CO', 354, 'sort', 'sum', 'O1', 'O0', 0.10093328724507433, 0.1387157440185547]
['UO', 68, 'CO', 282, 'readelf', 'unexpand', 'O0', 'O2', 0.12754364505726679, 0.5424814224243164]
['BO', 61, 'CO', 190, 'git', 'timeout', 'O1', 'O1', 0.09154833291013142, 6.816866636276245]
['CO', 46, 'BO', 75, 'whoami', 'gvmap', 'O3', 'O1', 0.1360777587192682, 0.129547119140625]
['CO', 172, 'UO', 51, 'yes', 'objcopy', 'O1', 'O3', 0.1308619234016425, 1.1044433116912842]
['BO', 54, 'CO', 4, 'lua', 'test', 'O3', 'O3', 0.1147212194143602, 0.34411144256591797]
['UO', 52, 'CO', 71, 'ld', 'readlink', 'O3', 'O3', 0.13107923090660156, 1.7648391723632812]
['UO', 14, 'CO', 40, 'ar', 'sync', 'O1', 'O3', 0.14995490694433056, 1.1413710117340088]
['UO', 17, 'CO', 45, 'objdump', 'split', 'O1', 'O3', 0.1323939046370637, 2.1441807746887207]
['BO', 8, 'CO', 336, 'cp', 'tee', 'O0', 'O0', 0.13158564520234162, 0.22291970252990723]
['UO', 6, 'CO', 259, 'as', 'realpath', 'O1', 'O2', 0.13118279569892477, 1.9621036052703857]
['CO', 232, 'BO', 41, 'tee', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.2086146567443694, 5.526689052581787]
['CO', 341, 'BO', 66, 'nproc', 'svn', 'O0', 'O2', 0.20999045497931912, 0.558485746383667]
['UO', 67, 'BO', 36, 'strip', 'cluster', 'O0', 'O2', 0.11832303779069764, 3.717338800430298]
['CO', 135, 'UO', 87, 'date', 'find', 'O1', 'O0', 0.14629536290322576, 0.762782096862793]
['UO', 73, 'CO', 1, 'objcopy', 'touch', 'O0', 'O3', 0.13908287346779313, 2.914048910140991]
['CO', 132, 'UO', 5, 'factor', 'readelf', 'O1', 'O1', 0.10123138602520043, 0.35576438903808594]
['BO', 53, 'CO', 73, 'bash', 'hostid', 'O0', 'O3', 0.1273546127175894, 3.7070932388305664]
['UO', 10, 'CO', 204, 'objcopy', 'tac', 'O1', 'O1', 0.13878258358004192, 1.41326904296875]
['CO', 367, 'UO', 6, 'cp', 'as', 'O0', 'O1', 0.09511305616338439, 3.075016975402832]
['CO', 343, 'BO', 37, 'date', 'gvmap', 'O0', 'O2', 0.07333493628276022, 0.21544861793518066]
['CO', 116, 'UO', 79, 'ptx', 'size', 'O1', 'O0', 0.14356946354883082, 2.5664751529693604]
['CO', 330, 'UO', 1, 'uptime', 'xargs', 'O0', 'O1', 0.06611570247933884, 0.11352825164794922]
['BO', 76, 'CO', 270, 'openssl', 'printf', 'O2', 'O2', 0.277803948439039, 7.980933666229248]
['CO', 359, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.19190373800860072, 7.5127198696136475]
