['CO', 30, 'UO', 37, 'expand', 'ar', 'O3', 'O2', 0.14405558850944833, 0.9896368980407715]
['UO', 72, 'CO', 382, 'strings', 'b2sum', 'O0', 'O0', 0.14234525804773734, 2.3792037963867188]
['CO', 349, 'UO', 39, 'truncate', 'size', 'O0', 'O2', 0.1391467333095323, 0.9754791259765625]
['CO', 129, 'UO', 14, 'chgrp', 'ar', 'O1', 'O1', 0.13299874529485567, 1.3223342895507812]
['UO', 65, 'CO', 300, 'sdiff', 'sha512sum', 'O3', 'O2', 0.06610066707095208, 0.04213094711303711]
['CO', 102, 'BO', 68, 'mknod', 'git', 'O3', 'O3', 0.09298819290791249, 6.33138108253479]
['CO', 309, 'BO', 16, 'rmdir', 'make', 'O2', 'O0', 0.13070175438596487, 0.24158620834350586]
['BO', 4, 'UO', 36, 'libgeany.so.0.0.0', 'addr2line', 'O2', 'O2', 0.13281389810442845, 39.20757174491882]
['CO', 348, 'BO', 32, 'pinky', 'ruby', 'O0', 'O2', 0.1236282840618057, 15.247133016586304]
['CO', 250, 'BO', 36, 'sum', 'cluster', 'O2', 'O2', 0.12839879154078548, 0.12302613258361816]
['CO', 139, 'BO', 18, 'base32', 'libvlc.so.12.0.0', 'O1', 'O1', 0.2128067484662577, 0.4408245086669922]
['CO', 6, 'BO', 36, 'mkdir', 'cluster', 'O3', 'O2', 0.11525518788558609, 0.13133859634399414]
['UO', 72, 'CO', 323, 'strings', 'groups', 'O0', 'O0', 0.1487043580683156, 2.1492435932159424]
['CO', 59, 'UO', 87, 'tsort', 'find', 'O3', 'O0', 0.16838897721250667, 0.5974130630493164]
['BO', 51, 'CO', 282, 'lua', 'unexpand', 'O1', 'O2', 0.13162566573674872, 0.41227173805236816]
['UO', 1, 'CO', 8, 'xargs', 'dir', 'O1', 'O3', 0.04195205479452058, 0.16414594650268555]
['BO', 12, 'CO', 163, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O1', 0.1917858808894417, 27.458672046661377]
['CO', 218, 'BO', 37, 'users', 'gvmap', 'O2', 'O2', 0.13567839195979903, 0.11903667449951172]
['UO', 63, 'CO', 209, 'cmp', 'touch', 'O3', 'O2', 0.0645526613816535, 0.04867124557495117]
['BO', 29, 'CO', 317, 'libvlc.so.12.0.0', 'basename', 'O2', 'O0', 0.20982579761205722, 0.42265939712524414]
['UO', 18, 'CO', 284, 'diff3', 'md5sum', 'O1', 'O2', 0.07701637355973312, 0.045182228088378906]
['UO', 57, 'CO', 214, 'size', 'mkdir', 'O3', 'O2', 0.132756264236902, 0.825474739074707]
['UO', 87, 'BO', 37, 'find', 'gvmap', 'O0', 'O2', 0.10126189491104676, 0.9442994594573975]
['CO', 347, 'BO', 74, 'base32', 'dot', 'O0', 'O1', 0.204739336492891, 0.025323867797851562]
['CO', 245, 'UO', 69, 'truncate', 'as', 'O2', 'O0', 0.13996081097292756, 3.70219087600708]
['CO', 319, 'BO', 36, 'fmt', 'cluster', 'O0', 'O2', 0.10559540889526542, 0.14586734771728516]
['BO', 54, 'CO', 270, 'lua', 'printf', 'O3', 'O2', 0.11444399405485739, 0.3195343017578125]
['BO', 41, 'CO', 48, 'libSDL2-2.0.so.0.16.0', 'ls', 'O2', 'O3', 0.18261387590504996, 5.921387195587158]
['CO', 275, 'BO', 33, 'nohup', 'sort', 'O2', 'O2', 0.13688058489033306, 0.09022951126098633]
['BO', 81, 'CO', 90, 'sort', 'tr', 'O3', 'O3', 0.10369609856262829, 0.08754539489746094]
['CO', 269, 'BO', 18, 'cksum', 'libvlc.so.12.0.0', 'O2', 'O1', 0.23072325164375374, 0.3999192714691162]
['CO', 392, 'BO', 80, 'uname', 'ssh', 'O0', 'O3', 0.13816124109867756, 1.3308112621307373]
['BO', 12, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O0', 'O3', 0.14021250778867278, 38.77000880241394]
['CO', 306, 'UO', 38, 'sleep', 'elfedit', 'O2', 'O2', 0.07113985448666127, 0.028635025024414062]
['BO', 73, 'CO', 25, 'cluster', 'chgrp', 'O1', 'O3', 0.09655347187024832, 0.15752029418945312]
['BO', 3, 'CO', 285, 'openssl', 'env', 'O1', 'O2', 0.28209232899234205, 7.341964483261108]
['UO', 37, 'CO', 108, 'ar', 'test', 'O2', 'O1', 0.14031537229108693, 1.0200021266937256]
['UO', 24, 'CO', 353, 'diff', 'echo', 'O2', 'O0', 0.12433011789924975, 0.10434484481811523]
['CO', 298, 'UO', 32, 'tr', 'strings', 'O2', 'O2', 0.14403254972875223, 0.910520076751709]
['CO', 123, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.17969167706291211, 5.528956890106201]
['CO', 24, 'BO', 44, 'tee', 'cmp', 'O3', 'O2', 0.04524284763805719, 0.03386950492858887]
['CO', 214, 'UO', 41, 'mkdir', 'locate', 'O2', 'O2', 0.12207357859531776, 0.1281728744506836]
['CO', 295, 'BO', 38, 'id', 'acyclic', 'O2', 'O2', 0.17161716171617158, 0.017766475677490234]
['CO', 208, 'BO', 53, 'sha384sum', 'bash', 'O2', 'O0', 0.12577113718218447, 3.659558057785034]
['UO', 76, 'CO', 225, 'addr2line', 'stdbuf', 'O0', 'O2', 0.15253936308748672, 2.1001548767089844]
['CO', 67, 'BO', 29, 'nohup', 'libvlc.so.12.0.0', 'O3', 'O2', 0.2176619334759774, 0.39729738235473633]
['BO', 58, 'CO', 296, 'svn', 'shred', 'O1', 'O2', 0.19905285670638562, 0.5383243560791016]
['UO', 42, 'CO', 166, 'xargs', 'printf', 'O2', 'O1', 0.09095330739299612, 0.0750739574432373]
['CO', 9, 'UO', 15, 'du', 'elfedit', 'O3', 'O1', 0.10038314176245211, 0.07961869239807129]
['BO', 39, 'CO', 137, 'codeblocks', 'chown', 'O3', 'O1', 0.1800612177784524, 11.98129153251648]
['CO', 19, 'BO', 80, 'dd', 'ssh', 'O3', 'O3', 0.12806622435936454, 1.470010757446289]
['UO', 21, 'CO', 382, 'sdiff', 'b2sum', 'O1', 'O0', 0.05421103581800579, 0.07133913040161133]
['CO', 55, 'BO', 83, 'cp', 'lua', 'O3', 'O2', 0.0882451253481894, 0.5777037143707275]
['UO', 35, 'CO', 24, 'gprof', 'tee', 'O2', 'O3', 0.13979388297872342, 0.9696722030639648]
['CO', 42, 'UO', 24, 'sum', 'diff', 'O3', 'O2', 0.11436259670366633, 0.1094822883605957]
['UO', 50, 'CO', 408, 'strings', 'fold', 'O3', 'O0', 0.13153782516775436, 0.833270788192749]
['UO', 41, 'CO', 299, 'locate', 'comm', 'O2', 'O2', 0.13663505444327362, 0.11076092720031738]
['BO', 52, 'CO', 57, 'svn', 'od', 'O3', 'O3', 0.1908848771825984, 0.4788856506347656]
['BO', 13, 'CO', 65, 'ruby', 'false', 'O1', 'O3', 0.10506615332905556, 12.365248203277588]
['BO', 79, 'UO', 18, 'bash', 'diff3', 'O3', 'O1', 0.10831361291073438, 2.5923876762390137]
['CO', 15, 'UO', 74, 'join', 'ld', 'O3', 'O0', 0.14658502506780635, 3.950059652328491]
['CO', 172, 'UO', 42, 'yes', 'xargs', 'O1', 'O2', 0.11900915455035, 0.06689977645874023]
['CO', 85, 'UO', 49, '[', 'c++filt', 'O3', 'O3', 0.13491331611951307, 0.7965705394744873]
['BO', 60, 'CO', 195, 'openssl', 'comm', 'O0', 'O1', 0.26903928432516533, 8.845644474029541]
['BO', 64, 'CO', 265, 'dot', 'od', 'O0', 'O2', 0.18141980718667838, 0.02308058738708496]
['CO', 216, 'UO', 59, 'dir', 'locate', 'O2', 'O3', 0.029876543209876538, 0.2209939956665039]
['CO', 183, 'UO', 62, 'link', 'diff3', 'O1', 'O3', 0.06863979848866497, 0.03736591339111328]
['UO', 61, 'CO', 254, 'find', 'whoami', 'O3', 'O2', 0.1597699016515124, 0.2769742012023926]
['BO', 75, 'UO', 19, 'gvmap', 'cmp', 'O1', 'O1', 0.11772702555736814, 0.13505196571350098]
['UO', 42, 'CO', 165, 'xargs', 'cksum', 'O2', 'O1', 0.11540497617787193, 0.06673908233642578]
['CO', 193, 'UO', 73, 'pathchk', 'objcopy', 'O1', 'O0', 0.14612101431082103, 2.63932204246521]
['CO', 65, 'BO', 27, 'false', 'perl', 'O3', 'O3', 0.08406232511560785, 2.2600080966949463]
['UO', 56, 'CO', 196, 'elfedit', 'sha512sum', 'O3', 'O1', 0.054823039555863984, 0.03870391845703125]
['UO', 15, 'CO', 129, 'elfedit', 'chgrp', 'O1', 'O1', 0.07921810699588483, 0.059081077575683594]
['BO', 21, 'CO', 218, 'cp', 'users', 'O1', 'O2', 0.138671875, 0.09235501289367676]
['BO', 55, 'UO', 23, 'make', 'cmp', 'O1', 'O2', 0.12471740768651096, 0.23130106925964355]
['CO', 44, 'UO', 67, 'seq', 'strip', 'O3', 'O0', 0.1445843076769988, 2.6575448513031006]
['UO', 83, 'BO', 17, 'diff', 'codeblocks', 'O0', 'O2', 0.16936300540914373, 12.996371984481812]
['UO', 10, 'CO', 100, 'objcopy', 'tac', 'O1', 'O3', 0.13969531474561658, 1.2921674251556396]
['BO', 43, 'CO', 415, 'diff', 'ln', 'O1', 'O0', 0.04491481672689723, 0.21657681465148926]
['BO', 66, 'CO', 104, 'svn', 'sha384sum', 'O2', 'O1', 0.21125198098256737, 0.4980037212371826]
['UO', 2, 'BO', 50, 'find', 'perl', 'O1', 'O2', 0.054074738731130556, 4.328856468200684]
['BO', 72, 'CO', 250, 'make', 'sum', 'O2', 'O2', 0.12567291627993316, 0.22752118110656738]
['CO', 172, 'UO', 75, 'yes', 'gprof', 'O1', 'O0', 0.15072135785007068, 2.2264199256896973]
['CO', 36, 'UO', 29, 'pinky', 'as', 'O3', 'O2', 0.12767170133941297, 1.7003827095031738]
['CO', 216, 'BO', 47, 'dir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.15906562847608452, 0.8452003002166748]
['BO', 65, 'CO', 221, 'gvmap', 'printenv', 'O0', 'O2', 0.14164305949008504, 0.17235803604125977]
['BO', 65, 'CO', 154, 'gvmap', 'dircolors', 'O0', 'O1', 0.12268423219431868, 0.2027437686920166]
['CO', 170, 'UO', 86, 'runcon', 'xargs', 'O1', 'O0', 0.14864242982052467, 0.0968787670135498]
['UO', 33, 'BO', 71, 'objcopy', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.0845436991016707, 13.211662769317627]
['BO', 39, 'CO', 186, 'codeblocks', 'shuf', 'O3', 'O1', 0.18124317321614547, 11.24179983139038]
['BO', 21, 'CO', 61, 'cp', 'cksum', 'O1', 'O3', 0.1336093338351524, 0.0913236141204834]
['CO', 394, 'BO', 27, 'shuf', 'perl', 'O0', 'O3', 0.07594827337922294, 2.805680274963379]
['BO', 50, 'CO', 75, 'perl', 'mv', 'O2', 'O3', 0.07511952134207434, 2.9546058177948]
['UO', 80, 'BO', 1, 'objdump', 'ssh', 'O0', 'O2', 0.04732536186280678, 9.989468336105347]
['CO', 37, 'UO', 8, 'truncate', 'c++filt', 'O3', 'O1', 0.15027634002982715, 1.0084660053253174]
['CO', 28, 'UO', 65, 'factor', 'sdiff', 'O3', 'O3', 0.031065088757396442, 0.048708438873291016]
['BO', 65, 'CO', 402, 'gvmap', 'tr', 'O0', 'O0', 0.10242954324586973, 0.23665404319763184]
['BO', 23, 'CO', 117, 'git', 'printenv', 'O2', 'O1', 0.09325478645066276, 6.193255186080933]
['CO', 308, 'BO', 41, 'tac', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.2076408693086833, 5.178165674209595]
['CO', 222, 'UO', 38, 'stty', 'elfedit', 'O2', 'O2', 0.043246839654025315, 0.03688979148864746]
['CO', 143, 'UO', 35, 'paste', 'gprof', 'O1', 'O2', 0.14081906680093992, 1.0084216594696045]
['UO', 82, 'CO', 336, 'cmp', 'tee', 'O0', 'O0', 0.034360189573459765, 0.05746126174926758]
['CO', 371, 'UO', 63, 'tsort', 'cmp', 'O0', 'O3', 0.054973821989528826, 0.04321432113647461]
['BO', 74, 'CO', 98, 'dot', 'sleep', 'O1', 'O3', 0.1445639187574672, 0.013249635696411133]
['BO', 72, 'CO', 401, 'make', 'pathchk', 'O2', 'O0', 0.1213627992633517, 0.23531508445739746]
['CO', 304, 'BO', 33, 'fold', 'sort', 'O2', 'O2', 0.1365674684060334, 0.0883646011352539]
['BO', 24, 'CO', 65, 'cluster', 'false', 'O3', 'O3', 0.13828464885021752, 0.0989222526550293]
['CO', 349, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17365774482034313, 27.952429056167603]
['CO', 159, 'UO', 59, 'cp', 'locate', 'O1', 'O3', 0.029340446168768186, 0.23131322860717773]
['UO', 45, 'BO', 39, 'strip', 'codeblocks', 'O3', 'O3', 0.11161874753840095, 18.4737606048584]
['BO', 77, 'UO', 28, 'libSDL2-2.0.so.0.16.0', 'readelf', 'O3', 'O2', 0.13136818687430485, 6.863331317901611]
