['BO', 41, 'CO', 303, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O2', 0.207831177136111, 5.122225999832153]
['CO', 193, 'UO', 42, 'pathchk', 'xargs', 'O1', 'O2', 0.11758417958311063, 0.06811118125915527]
['CO', 283, 'BO', 12, 'mv', 'libgeany.so.0.0.0', 'O2', 'O0', 0.18209748558072913, 30.76060914993286]
['CO', 56, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.15946064197923704, 4.609521150588989]
['CO', 217, 'UO', 51, 'du', 'objcopy', 'O2', 'O3', 0.1047933651953894, 1.329756498336792]
['UO', 25, 'CO', 89, 'sdiff', 'pathchk', 'O2', 'O3', 0.08793208004851427, 0.03734445571899414]
['BO', 31, 'CO', 81, 'bash', 'cat', 'O2', 'O3', 0.12395474667978357, 2.5687084197998047]
['UO', 26, 'CO', 406, 'nm', 'rm', 'O2', 'O0', 0.11798537507189222, 1.215484857559204]
['UO', 72, 'CO', 4, 'strings', 'test', 'O0', 'O3', 0.15203438732850494, 2.062509298324585]
['BO', 36, 'CO', 119, 'cluster', 'join', 'O2', 'O1', 0.10887439750496175, 0.13584542274475098]
['BO', 79, 'CO', 383, 'bash', 'readlink', 'O3', 'O0', 0.1085253186761782, 2.6811892986297607]
['CO', 272, 'UO', 30, 'tty', 'ranlib', 'O2', 'O2', 0.14888831213772824, 0.9686944484710693]
['BO', 3, 'UO', 47, 'openssl', 'as', 'O1', 'O3', 0.11624983968192892, 15.990423202514648]
['CO', 359, 'BO', 46, 'numfmt', 'ruby', 'O0', 'O3', 0.1020154757037508, 13.83392596244812]
['UO', 10, 'CO', 366, 'objcopy', 'true', 'O1', 'O0', 0.14210641559010295, 1.328747034072876]
['CO', 63, 'BO', 13, 'logname', 'ruby', 'O3', 'O1', 0.10497380999648764, 12.62755012512207]
['UO', 41, 'CO', 256, 'locate', 'ls', 'O2', 'O2', 0.037275985663082434, 0.2368772029876709]
['UO', 86, 'CO', 0, 'xargs', 'sha384sum', 'O0', 'O3', 0.12759767248545306, 0.09402036666870117]
['BO', 0, 'CO', 380, 'codeblocks', 'yes', 'O1', 'O0', 0.18522576101416388, 10.278993606567383]
['CO', 410, 'BO', 66, 'sleep', 'svn', 'O0', 'O2', 0.2121260598304271, 0.5746111869812012]
['BO', 70, 'CO', 101, 'diff', 'rmdir', 'O3', 'O3', 0.11478730587440922, 0.0885612964630127]
['UO', 55, 'BO', 44, 'ar', 'cmp', 'O3', 'O2', 0.13239606693117123, 0.8642241954803467]
['BO', 14, 'CO', 107, 'cmp', 'unlink', 'O0', 'O1', 0.091283459162663, 0.041234731674194336]
['CO', 222, 'BO', 18, 'stty', 'libvlc.so.12.0.0', 'O2', 'O1', 0.21169125993189564, 0.42989015579223633]
['CO', 96, 'UO', 78, 'fold', 'elfedit', 'O3', 'O0', 0.06715916722632642, 0.03376364707946777]
['BO', 31, 'CO', 299, 'bash', 'comm', 'O2', 'O2', 0.12429076556204255, 2.5692198276519775]
['CO', 215, 'BO', 22, 'fmt', 'perl', 'O2', 'O0', 0.11179678977715446, 3.6366143226623535]
['CO', 68, 'UO', 65, 'yes', 'sdiff', 'O3', 'O3', 0.09079524107701942, 0.03519773483276367]
['CO', 22, 'UO', 64, 'pwd', 'diff', 'O3', 'O3', 0.11283260357022562, 0.09156537055969238]
['CO', 100, 'BO', 45, 'tac', 'diff', 'O3', 'O2', 0.11293017039759434, 0.10426926612854004]
['CO', 90, 'UO', 62, 'tr', 'diff3', 'O3', 'O3', 0.049753963914707544, 0.04005074501037598]
['UO', 55, 'CO', 247, 'ar', 'paste', 'O3', 'O2', 0.13920154766092152, 0.8216028213500977]
['CO', 264, 'UO', 58, 'cut', 'objdump', 'O2', 'O3', 0.1250580315691736, 1.5538568496704102]
['CO', 69, 'UO', 50, 'who', 'strings', 'O3', 'O3', 0.13258713258713262, 0.8133597373962402]
