['CO', 195, 'BO', 56, 'comm', 'libvlc.so.12.0.0', 'O1', 'O3', 0.2008961911874534, 0.41121912002563477]
['BO', 27, 'UO', 70, 'perl', 'ranlib', 'O3', 'O0', 0.0048364717542120905, 9.209620237350464]
['BO', 68, 'CO', 387, 'git', 'mv', 'O3', 'O0', 0.07973366159355422, 8.088249206542969]
['CO', 19, 'UO', 11, 'dd', 'ld', 'O3', 'O1', 0.13521536996583206, 2.1697733402252197]
['CO', 103, 'BO', 54, 'ln', 'lua', 'O3', 'O3', 0.09259032455603189, 0.41631054878234863]
['UO', 69, 'CO', 329, 'as', 'stdbuf', 'O0', 'O0', 0.13473916992457446, 3.8289780616760254]
['UO', 25, 'CO', 225, 'sdiff', 'stdbuf', 'O2', 'O2', 0.07204433497536944, 0.044463157653808594]
['CO', 81, 'UO', 27, 'cat', 'strip', 'O3', 'O2', 0.13766544530023184, 1.1697683334350586]
['CO', 194, 'UO', 5, 'tr', 'readelf', 'O1', 'O1', 0.11002227171492207, 0.301067590713501]
['UO', 19, 'CO', 411, 'cmp', 'sort', 'O1', 'O0', 0.14499559729967715, 0.1649792194366455]
['CO', 7, 'UO', 11, 'fmt', 'ld', 'O3', 'O1', 0.14515193690559036, 1.9838111400604248]
['BO', 61, 'CO', 117, 'git', 'printenv', 'O1', 'O1', 0.09325478645066276, 6.25165581703186]
['BO', 70, 'CO', 257, 'diff', 'nice', 'O3', 'O2', 0.13178012377138693, 0.08770966529846191]
['BO', 43, 'UO', 41, 'diff', 'locate', 'O1', 'O2', 0.02574916759156498, 0.26491451263427734]
['CO', 106, 'UO', 82, 'stat', 'cmp', 'O1', 'O0', 0.06730331969076853, 0.08246183395385742]
['UO', 41, 'BO', 70, 'locate', 'diff', 'O2', 'O3', 0.03738317757009346, 0.23642206192016602]
['BO', 44, 'CO', 29, 'cmp', 'nproc', 'O2', 'O3', 0.054597701149425304, 0.0310671329498291]
['CO', 236, 'BO', 75, 'factor', 'gvmap', 'O2', 'O1', 0.1083051288726894, 0.1457502841949463]
['CO', 266, 'UO', 56, 'df', 'elfedit', 'O2', 'O3', 0.0998071359691417, 0.06385159492492676]
['CO', 304, 'UO', 10, 'fold', 'objcopy', 'O2', 'O1', 0.14447861745752788, 1.2942352294921875]
['UO', 87, 'CO', 373, 'find', 'cksum', 'O0', 'O0', 0.16291461302784072, 0.6220715045928955]
['CO', 355, 'UO', 57, 'chroot', 'size', 'O0', 'O3', 0.12830461066498244, 0.8988339900970459]
['CO', 371, 'BO', 30, 'tsort', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.15766249254621345, 4.726123332977295]
['BO', 11, 'CO', 328, 'ssh', 'dirname', 'O1', 'O0', 0.1456936891362084, 1.4490866661071777]
['CO', 57, 'UO', 72, 'od', 'strings', 'O3', 'O0', 0.14641043397968612, 2.207469940185547]
['UO', 48, 'CO', 386, 'ranlib', 'unexpand', 'O3', 'O0', 0.12994496044031645, 0.9035425186157227]
['BO', 63, 'CO', 179, 'cluster', 'mv', 'O0', 'O1', 0.05450603902136886, 0.3849325180053711]
['UO', 52, 'CO', 251, 'ld', 'chroot', 'O3', 'O2', 0.13289315726290518, 1.5812711715698242]
['CO', 24, 'UO', 24, 'tee', 'diff', 'O3', 'O2', 0.12146988771691047, 0.10398006439208984]
['CO', 405, 'BO', 71, 'nl', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.1964734461383817, 6.684044122695923]
['CO', 208, 'BO', 44, 'sha384sum', 'cmp', 'O2', 'O2', 0.044508255563531995, 0.0348055362701416]
['CO', 203, 'BO', 37, 'sort', 'gvmap', 'O1', 'O2', 0.04366543665436651, 0.26680707931518555]
['UO', 58, 'CO', 156, 'objdump', 'sha256sum', 'O3', 'O1', 0.12292953194436429, 1.5524210929870605]
['CO', 240, 'UO', 71, 'expr', 'c++filt', 'O2', 'O0', 0.15046392057207014, 2.14687180519104]
['CO', 3, 'UO', 69, 'unlink', 'as', 'O3', 'O0', 0.1401794616151546, 3.6321091651916504]
['CO', 294, 'BO', 64, 'timeout', 'dot', 'O2', 'O0', 0.207667731629393, 0.02028965950012207]
['CO', 195, 'BO', 44, 'comm', 'cmp', 'O1', 'O2', 0.03137789904502042, 0.03800320625305176]
['BO', 39, 'CO', 200, 'codeblocks', 'fold', 'O3', 'O1', 0.18489422879441364, 10.513346433639526]
['UO', 36, 'CO', 402, 'addr2line', 'tr', 'O2', 'O0', 0.13329834689057996, 1.006988763809204]
['BO', 16, 'UO', 16, 'make', 'size', 'O0', 'O1', 0.06948339253443014, 1.9876518249511719]
['CO', 112, 'UO', 78, 'dir', 'elfedit', 'O1', 'O0', 0.12106537530266348, 0.11815333366394043]
['CO', 104, 'BO', 20, 'sha384sum', 'sort', 'O1', 'O1', 0.11530094271211022, 0.11376500129699707]
['CO', 6, 'UO', 71, 'mkdir', 'c++filt', 'O3', 'O0', 0.14866372980910425, 2.1767654418945312]
['BO', 23, 'CO', 246, 'git', 'sha1sum', 'O2', 'O2', 0.09292477798035637, 6.306233167648315]
['UO', 0, 'CO', 280, 'locate', 'head', 'O1', 'O2', 0.13391362571141618, 0.12353777885437012]
['CO', 105, 'UO', 69, 'touch', 'as', 'O1', 'O0', 0.13262952101661774, 4.125471353530884]
['CO', 327, 'UO', 87, 'join', 'find', 'O0', 'O0', 0.14880799794924382, 0.6972081661224365]
['CO', 397, 'BO', 32, '[', 'ruby', 'O0', 'O2', 0.12352312986286507, 15.27907133102417]
['CO', 64, 'UO', 44, 'tty', 'nm', 'O3', 'O3', 0.1407576449109995, 0.8128743171691895]
['CO', 327, 'UO', 1, 'join', 'xargs', 'O0', 'O1', 0.059923501912452215, 0.09960341453552246]
['CO', 266, 'UO', 51, 'df', 'objcopy', 'O2', 'O3', 0.11359363702096892, 1.2434747219085693]
