['CO', 415, 'UO', 74, 'ln', 'ld', 'O0', 'O0', 0.13469551282051284, 4.681725978851318]
['CO', 22, 'UO', 70, 'pwd', 'ranlib', 'O3', 'O0', 0.15132060595821373, 2.303727388381958]
['CO', 199, 'UO', 50, 'sha224sum', 'strings', 'O1', 'O3', 0.13286713286713292, 0.8337831497192383]
['UO', 25, 'CO', 154, 'sdiff', 'dircolors', 'O2', 'O1', 0.05525846702317294, 0.047997236251831055]
['CO', 374, 'UO', 49, 'printf', 'c++filt', 'O0', 'O3', 0.12956841138659314, 0.8425190448760986]
['BO', 28, 'CO', 156, 'ruby', 'sha256sum', 'O0', 'O1', 0.10418403067177862, 12.877779960632324]
['UO', 75, 'CO', 288, 'gprof', 'uname', 'O0', 'O2', 0.1527525022747953, 2.1386446952819824]
['BO', 68, 'CO', 17, 'git', 'stdbuf', 'O3', 'O3', 0.09242859656325142, 6.261024713516235]
['BO', 4, 'CO', 394, 'libgeany.so.0.0.0', 'shuf', 'O2', 'O0', 0.17324706400931955, 28.979511737823486]
['BO', 60, 'CO', 200, 'openssl', 'fold', 'O0', 'O1', 0.27039781591263656, 8.731363534927368]
['CO', 349, 'BO', 77, 'truncate', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.1865641072322607, 5.123177528381348]
['CO', 66, 'UO', 76, 'runcon', 'addr2line', 'O3', 'O0', 0.15555820042846946, 2.1057851314544678]
['BO', 80, 'CO', 234, 'ssh', 'kill', 'O3', 'O2', 0.14087567913071264, 1.2536520957946777]
['BO', 74, 'CO', 257, 'dot', 'nice', 'O1', 'O2', 0.17110799438990187, 0.013545036315917969]
['BO', 50, 'CO', 231, 'perl', 'pr', 'O2', 'O2', 0.08364069006543728, 2.5093753337860107]
['BO', 14, 'CO', 410, 'cmp', 'sleep', 'O0', 'O0', 0.04949238578680204, 0.0524749755859375]
['UO', 17, 'CO', 9, 'objdump', 'du', 'O1', 'O3', 0.1207448203514293, 2.3678338527679443]
['CO', 51, 'UO', 79, 'realpath', 'size', 'O3', 'O0', 0.14957836580401285, 2.167948007583618]
['UO', 75, 'CO', 316, 'gprof', 'test', 'O0', 'O0', 0.14320658216588833, 2.3101484775543213]
['CO', 99, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.183730953911301, 30.696707725524902]
['UO', 63, 'CO', 127, 'cmp', 'pr', 'O3', 'O1', 0.07029598308668072, 0.05651044845581055]
['CO', 64, 'UO', 60, 'tty', 'xargs', 'O3', 'O3', 0.12724392819429775, 0.058310508728027344]
['CO', 169, 'BO', 44, 'false', 'cmp', 'O1', 'O2', 0.05877742946708464, 0.030667543411254883]
['UO', 18, 'CO', 120, 'diff3', 'dirname', 'O1', 'O1', 0.0815939278937381, 0.04325699806213379]
['UO', 14, 'CO', 385, 'ar', 'hostid', 'O1', 'O0', 0.14716021011162184, 1.134507656097412]
['UO', 54, 'CO', 362, 'addr2line', 'dircolors', 'O3', 'O0', 0.13033973950268696, 0.8490159511566162]
['BO', 59, 'CO', 122, 'libgeany.so.0.0.0', 'uptime', 'O3', 'O1', 0.16686721570220808, 25.30506134033203]
['CO', 194, 'BO', 65, 'tr', 'gvmap', 'O1', 'O0', 0.12016293279022405, 0.2159256935119629]
['BO', 43, 'CO', 401, 'diff', 'pathchk', 'O1', 'O0', 0.12410986775178023, 0.11947083473205566]
['BO', 74, 'UO', 25, 'dot', 'sdiff', 'O1', 'O2', 0.20149875104079928, 0.025540590286254883]
['BO', 59, 'UO', 71, 'libgeany.so.0.0.0', 'c++filt', 'O3', 'O0', 0.10434135700505631, 43.69856238365173]
['BO', 31, 'UO', 75, 'bash', 'gprof', 'O2', 'O0', 0.011046881888992277, 9.931983470916748]
['UO', 15, 'CO', 318, 'elfedit', 'mkdir', 'O1', 'O0', 0.13273647333592842, 0.10616064071655273]
['UO', 72, 'CO', 334, 'strings', 'pwd', 'O0', 'O0', 0.1471556182416549, 2.164825916290283]
['BO', 44, 'CO', 402, 'cmp', 'tr', 'O2', 'O0', 0.06636155606407323, 0.05101752281188965]
['CO', 171, 'UO', 36, 'nohup', 'addr2line', 'O1', 'O2', 0.14350180505415167, 0.915809154510498]
['UO', 17, 'CO', 127, 'objdump', 'pr', 'O1', 'O1', 0.13001307759372271, 2.1586642265319824]
['UO', 18, 'CO', 51, 'diff3', 'realpath', 'O1', 'O3', 0.056524035921817206, 0.04907417297363281]
['UO', 13, 'CO', 314, 'addr2line', 'stat', 'O1', 'O0', 0.12178922941505965, 1.378516674041748]
['BO', 67, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O1', 'O2', 0.20889842911503564, 4.917806386947632]
['UO', 18, 'BO', 46, 'diff3', 'ruby', 'O1', 'O3', 0.1024964358297692, 12.995418787002563]
