['UV', 7, 'BV', 46, 'nm', 'cluster', 'V2', 'V3', 0.09822153346616491, 1.4141342639923096]
['CV', 0, 'BV', 0, 'touch', 'bash', 'V2', 'V2', 0.12509409732984988, 2.4156134128570557]
['UV', 43, 'CV', 118, 'sdiff', 'sha1sum', 'V3', 'V3', 0.06374501992031867, 0.04191327095031738]
['BV', 81, 'CV', 108, 'dot', 'chgrp', 'V1', 'V3', 0.1687675070028012, 0.026551246643066406]
['CV', 117, 'UV', 29, 'pinky', 'objcopy', 'V3', 'V3', 0.13543365455893253, 1.172567367553711]
['UV', 17, 'CV', 122, 'addr2line', 'sum', 'V2', 'V3', 0.14090191261624851, 0.907526969909668]
['CV', 324, 'BV', 14, 'mv', 'openssl', 'V1', 'V3', 0.2724762813111792, 6.1261374950408936]
['CV', 197, 'UV', 45, 'wc', 'cmp', 'V0', 'V1', 0.08026755852842804, 0.02420973777770996]
['CV', 5, 'BV', 73, 'mkdir', 'geany', 'V2', 'V0', 0.18351414830555868, 14.648851156234741]
['CV', 316, 'UV', 50, 'nohup', 'find', 'V1', 'V1', 0.149340770791075, 0.1469416618347168]
['UV', 24, 'CV', 214, 'readelf', 'ls', 'V3', 'V0', 0.0830729906276626, 0.3332211971282959]
['CV', 177, 'UV', 79, 'test', 'strings', 'V0', 'V0', 0.1484877126654064, 0.7661013603210449]
['CV', 201, 'BV', 15, 'expr', 'libvlccore.so', 'V0', 'V3', 0.15638317583842876, 3.387000560760498]
['UV', 40, 'CV', 64, 'diff3', 'md5sum', 'V3', 'V2', 0.0719557195571956, 0.03545260429382324]
['CV', 277, 'UV', 71, 'dd', 'xargs', 'V1', 'V0', 0.05740609496810767, 0.032544612884521484]
['CV', 49, 'BV', 21, 'tsort', 'cp', 'V2', 'V1', 0.09637120761451512, 0.03715991973876953]
['UV', 0, 'CV', 48, 'locate', 'df', 'V2', 'V2', 0.047983870967741926, 0.07638692855834961]
['CV', 341, 'UV', 72, 'uniq', 'find', 'V1', 'V0', 0.14575530586766539, 0.11583185195922852]
['BV', 1, 'UV', 47, 'libSDL2-2.0.so', 'sdiff', 'V3', 'V1', 0.18545227920227925, 5.06497859954834]
['CV', 54, 'UV', 71, 'false', 'xargs', 'V2', 'V0', 0.07272727272727275, 0.01898789405822754]
['UV', 74, 'CV', 159, 'strip', 'id', 'V0', 'V3', 0.13067655236329934, 1.1249284744262695]
['UV', 71, 'CV', 287, 'xargs', 'date', 'V0', 'V1', 0.04146730462519932, 0.02868175506591797]
['BV', 79, 'CV', 108, 'bash', 'chgrp', 'V3', 'V3', 0.11913116123642442, 2.5611774921417236]
['BV', 62, 'CV', 194, 'diff', 'tee', 'V0', 'V0', 0.12507552870090632, 0.038370609283447266]
['UV', 9, 'CV', 169, 'readelf', 'sort', 'V2', 'V3', 0.0330056179775281, 0.2211308479309082]
['CV', 1, 'BV', 4, 'stat', 'geany', 'V2', 'V3', 0.18150363389783353, 23.689648866653442]
['BV', 22, 'CV', 67, 'cmp', 'uname', 'V3', 'V2', 0.09002433090024331, 0.023688554763793945]
['CV', 142, 'UV', 36, 'nohup', 'objdump', 'V3', 'V3', 0.13479242661108215, 1.73637056350708]
['CV', 18, 'UV', 6, 'pwd', 'sdiff', 'V2', 'V2', 0.09073842302878599, 0.035475730895996094]
['UV', 20, 'CV', 219, 'size', 'cp', 'V2', 'V0', 0.13205139113417852, 0.9992165565490723]
['CV', 319, 'UV', 78, 'readlink', 'c++filt', 'V1', 'V0', 0.14857634244219375, 0.7482328414916992]
['UV', 56, 'CV', 159, 'c++filt', 'id', 'V1', 'V3', 0.13903601694915257, 0.8705587387084961]
['UV', 24, 'CV', 57, 'readelf', 'who', 'V3', 'V2', 0.10802039870190083, 0.2548179626464844]
['CV', 71, 'BV', 69, '[', 'gvmap', 'V2', 'V0', 0.12919410473502668, 0.09890437126159668]
['CV', 146, 'UV', 44, 'head', 'diff3', 'V3', 'V1', 0.048414023372287174, 0.038437604904174805]
['CV', 326, 'BV', 19, 'env', 'cp', 'V1', 'V3', 0.1509278350515464, 0.06538510322570801]
['UV', 53, 'CV', 14, 'readelf', 'dirname', 'V1', 'V2', 0.10619977037887485, 0.07847762107849121]
['CV', 334, 'UV', 74, 'shred', 'strip', 'V1', 'V0', 0.12624183934147037, 1.1887307167053223]
['BV', 56, 'CV', 319, 'ssh', 'readlink', 'V3', 'V1', 0.14997686562231483, 1.1973223686218262]
['BV', 19, 'UV', 55, 'cp', 'ranlib', 'V3', 'V1', 0.1096451997614788, 1.292482852935791]
['CV', 41, 'BV', 4, 'nice', 'geany', 'V2', 'V3', 0.18235806339254612, 23.37774348258972]
['CV', 35, 'UV', 33, 'sum', 'ar', 'V2', 'V3', 0.14464818763326226, 0.9914748668670654]
['UV', 6, 'CV', 299, 'sdiff', 'split', 'V2', 'V1', 0.09149902660609999, 0.034406185150146484]
['BV', 80, 'UV', 50, 'cluster', 'find', 'V1', 'V1', 0.04324758842443732, 0.3584871292114258]
['UV', 62, 'CV', 8, 'ar', 'du', 'V1', 'V2', 0.11821750173170165, 1.209869146347046]
['UV', 51, 'BV', 22, 'nm', 'cmp', 'V1', 'V3', 0.13857645745685587, 0.9467964172363281]
['BV', 40, 'CV', 15, 'lua', 'uptime', 'V2', 'V2', 0.12801589554357085, 0.33064937591552734]
['CV', 173, 'UV', 10, 'ln', 'as', 'V3', 'V2', 0.1173528280107734, 1.9596531391143799]
['CV', 206, 'UV', 77, 'paste', 'ranlib', 'V0', 'V0', 0.14945192050619371, 0.8514385223388672]
['CV', 235, 'BV', 40, 'ginstall', 'lua', 'V0', 'V2', 0.10794484569927776, 0.43677306175231934]
['CV', 187, 'BV', 39, 'join', 'svn', 'V0', 'V1', 0.2126966901790559, 0.3670675754547119]
['CV', 127, 'BV', 35, 'ls', 'libvlccore.so', 'V3', 'V2', 0.1418487244783988, 4.151940584182739]
['BV', 0, 'CV', 53, 'bash', 'tty', 'V2', 'V2', 0.12907991940899932, 2.275393009185791]
['UV', 75, 'BV', 30, 'readelf', 'bash', 'V0', 'V0', 0.10348666340116663, 2.593562602996826]
['UV', 22, 'CV', 334, 'nm', 'shred', 'V3', 'V1', 0.1378738990145636, 0.9782354831695557]
['CV', 258, 'UV', 5, 'rmdir', 'diff', 'V0', 'V2', 0.15563298490127764, 0.06973981857299805]
['CV', 68, 'BV', 46, 'cat', 'cluster', 'V2', 'V3', 0.11508596783139213, 0.1288292407989502]
['CV', 308, 'BV', 39, 'od', 'svn', 'V1', 'V1', 0.211237169097785, 0.3721137046813965]
['BV', 81, 'CV', 0, 'dot', 'touch', 'V1', 'V2', 0.17492096944151736, 0.017275571823120117]
['BV', 14, 'UV', 38, 'openssl', 'xargs', 'V3', 'V3', 0.26856168847445727, 6.116468667984009]
['BV', 20, 'CV', 200, 'sort', 'date', 'V1', 'V0', 0.07293447293447297, 0.04568028450012207]
['CV', 230, 'BV', 65, 'yes', 'ssh', 'V0', 'V1', 0.1201577829473045, 3.3705132007598877]
['UV', 79, 'CV', 0, 'strings', 'touch', 'V0', 'V2', 0.13947489636112387, 0.8179659843444824]
['UV', 9, 'BV', 24, 'readelf', 'git', 'V2', 'V0', 0.07843186498568488, 4.43175196647644]
['BV', 79, 'CV', 238, 'bash', 'md5sum', 'V3', 'V0', 0.12720543936655482, 2.4011032581329346]
['UV', 25, 'CV', 224, 'as', 'cksum', 'V3', 'V0', 0.13565166569257747, 1.527435302734375]
['BV', 11, 'CV', 257, 'bash', 'tac', 'V1', 'V0', 0.12103995272942136, 2.29486083984375]
['CV', 44, 'BV', 74, 'true', 'git', 'V2', 'V1', 0.09487251725595158, 4.384395599365234]
['CV', 14, 'BV', 59, 'dirname', 'make', 'V2', 'V1', 0.1394112837285364, 0.17716765403747559]
['BV', 9, 'CV', 320, 'dot', 'head', 'V2', 'V1', 0.14248704663212441, 0.012126684188842773]
['BV', 55, 'CV', 197, 'codeblocks', 'wc', 'V3', 'V0', 0.18963578842785056, 10.174116134643555]
['CV', 274, 'UV', 33, 'join', 'ar', 'V1', 'V3', 0.14492877249850722, 0.9836878776550293]
['UV', 46, 'CV', 294, 'diff', 'sync', 'V1', 'V1', 0.13797722705961157, 0.07427048683166504]
['BV', 23, 'CV', 273, 'diff', 'stty', 'V3', 'V1', 0.1273885350318471, 0.0845339298248291]
['BV', 41, 'CV', 248, 'libvlccore.so', 'pathchk', 'V1', 'V0', 0.1669469002549222, 2.441174268722534]
['BV', 53, 'CV', 267, 'ssh', 'fmt', 'V2', 'V1', 0.12041341940662942, 3.4451441764831543]
['UV', 67, 'BV', 42, 'cmp', 'libvlc.so', 'V0', 'V1', 0.16221808400579352, 0.25971198081970215]
['BV', 58, 'UV', 20, 'ruby', 'size', 'V3', 'V2', 0.16345347862531434, 0.7818777561187744]
['CV', 72, 'UV', 23, 'id', 'strip', 'V2', 'V3', 0.1415535444947209, 1.0898184776306152]
['UV', 87, 'CV', 237, 'objdump', 'mv', 'V0', 'V0', 0.12136472365604933, 1.5201225280761719]
['CV', 58, 'BV', 11, 'readlink', 'bash', 'V2', 'V1', 0.12816086591396847, 2.157954692840576]
['UV', 30, 'BV', 64, 'ld', 'openssl', 'V3', 'V2', 0.08363284907426982, 12.332533597946167]
['BV', 19, 'CV', 293, 'cp', 'paste', 'V3', 'V1', 0.1452332657200811, 0.06554388999938965]
['CV', 45, 'BV', 1, 'cp', 'libSDL2-2.0.so', 'V2', 'V3', 0.17544238239102283, 5.781638145446777]
['BV', 43, 'UV', 19, 'lua', 'elfedit', 'V0', 'V2', 0.1275600709562974, 0.2912871837615967]
['BV', 13, 'CV', 147, 'cp', 'hostid', 'V2', 'V3', 0.11625874125874125, 0.05976986885070801]
['BV', 32, 'CV', 239, 'perl', 'env', 'V0', 'V0', 0.11181122341100347, 1.8249976634979248]
['BV', 74, 'UV', 4, 'git', 'cmp', 'V1', 'V2', 0.09226682821128174, 4.58300256729126]
['CV', 325, 'UV', 81, 'md5sum', 'ld', 'V1', 'V0', 0.13561974310490976, 1.3775241374969482]
['CV', 41, 'BV', 3, 'nice', 'diff', 'V2', 'V1', 0.125, 0.061382293701171875]
['BV', 77, 'CV', 159, 'perl', 'id', 'V2', 'V3', 0.08916292733318265, 2.22969913482666]
['UV', 83, 'BV', 48, 'addr2line', 'gvmap', 'V0', 'V3', 0.09111043225904991, 1.2422294616699219]
['BV', 23, 'CV', 271, 'diff', 'ptx', 'V3', 'V1', 0.07512661789532915, 0.11387777328491211]
['CV', 308, 'BV', 5, 'od', 'libvlccore.so', 'V1', 'V0', 0.16870229007633586, 2.6565067768096924]
['UV', 1, 'CV', 68, 'xargs', 'cat', 'V2', 'V2', 0.06077606358111265, 0.05429387092590332]
['BV', 1, 'CV', 83, 'libSDL2-2.0.so', 'tac', 'V3', 'V2', 0.18227681509102878, 5.254358530044556]
['BV', 31, 'CV', 120, 'codeblocks', 'sync', 'V0', 'V3', 0.18682803109665325, 9.002835988998413]
['BV', 56, 'CV', 44, 'ssh', 'true', 'V3', 'V2', 0.14992731597726972, 1.1837053298950195]
['BV', 16, 'CV', 312, 'libvlc.so', 'printf', 'V3', 'V1', 0.19215233698788226, 0.3173563480377197]
['CV', 3, 'UV', 6, 'test', 'sdiff', 'V2', 'V2', 0.09073842302878599, 0.034590959548950195]
['CV', 126, 'BV', 83, 'whoami', 'git', 'V3', 'V2', 0.09353041903674686, 6.266697645187378]
['CV', 294, 'BV', 40, 'sync', 'lua', 'V1', 'V2', 0.14127054642381165, 0.30089449882507324]
['UV', 9, 'CV', 128, 'readelf', 'nice', 'V2', 'V3', 0.09518101174778226, 0.1044459342956543]
['CV', 152, 'UV', 31, 'env', 'gprof', 'V3', 'V3', 0.14212687505237576, 0.9707291126251221]
['CV', 240, 'UV', 21, 'link', 'objdump', 'V0', 'V2', 0.14342122875117114, 1.311192274093628]
['UV', 1, 'CV', 224, 'xargs', 'cksum', 'V2', 'V0', 0.1345100426049909, 0.034615278244018555]
['BV', 75, 'UV', 48, 'cmp', 'locate', 'V2', 'V1', 0.08693986978169288, 0.07741594314575195]
['BV', 66, 'CV', 107, 'lua', 'tee', 'V1', 'V3', 0.12557314006803733, 0.3103973865509033]
['CV', 131, 'UV', 77, 'true', 'ranlib', 'V3', 'V0', 0.14492880998418, 0.866034746170044]
['BV', 27, 'CV', 162, 'libSDL2-2.0.so', 'tr', 'V1', 'V3', 0.18942370661427632, 3.4434309005737305]
['CV', 297, 'BV', 79, 'chroot', 'bash', 'V1', 'V3', 0.12939649578195977, 2.3894219398498535]
['UV', 55, 'BV', 16, 'ranlib', 'libvlc.so', 'V1', 'V3', 0.06404739632054879, 2.1474053859710693]
['CV', 247, 'UV', 66, 'shred', 'diff3', 'V0', 'V0', 0.04513064133016631, 0.04227709770202637]
['UV', 78, 'CV', 231, 'c++filt', 'who', 'V0', 'V0', 0.14415094339622647, 0.7662515640258789]
['BV', 83, 'CV', 190, 'git', 'dd', 'V2', 'V0', 0.09215505578321992, 6.3741302490234375]
['CV', 97, 'BV', 39, 'ptx', 'svn', 'V3', 'V1', 0.18287873808741373, 0.43596553802490234]
['CV', 66, 'UV', 85, 'link', 'elfedit', 'V2', 'V0', 0.08038029386343992, 0.021216154098510742]
['UV', 55, 'CV', 216, 'ranlib', 'dircolors', 'V1', 'V0', 0.1460693153000845, 0.9162967205047607]
['CV', 311, 'UV', 36, 'cksum', 'objdump', 'V1', 'V3', 0.14060841881853559, 1.6311697959899902]
['CV', 251, 'BV', 83, 'nl', 'git', 'V0', 'V2', 0.0912078722700842, 6.627490758895874]
['BV', 37, 'CV', 135, 'geany', 'df', 'V1', 'V3', 0.17875762297762643, 20.720447063446045]
['CV', 263, 'BV', 70, 'unlink', 'ssh', 'V1', 'V0', 0.11908237747653805, 3.1632590293884277]
['CV', 12, 'UV', 27, 'stty', 'c++filt', 'V2', 'V3', 0.1428959276018099, 0.8968920707702637]
['CV', 147, 'UV', 29, 'hostid', 'objcopy', 'V3', 'V3', 0.1411010558069381, 1.109673261642456]
['CV', 313, 'UV', 24, 'logname', 'readelf', 'V1', 'V3', 0.12452830188679243, 0.21190619468688965]
['CV', 115, 'UV', 65, 'chown', 'objdump', 'V3', 'V1', 0.12383635472807453, 1.5684170722961426]
['CV', 255, 'BV', 72, 'sleep', 'perl', 'V0', 'V1', 0.0936757172988717, 2.0796151161193848]
['CV', 332, 'UV', 9, '[', 'readelf', 'V1', 'V2', 0.10154905335628228, 0.09904932975769043]
['BV', 68, 'CV', 241, 'dot', 'uname', 'V0', 'V0', 0.11764705882352944, 0.008853435516357422]
['BV', 43, 'CV', 39, 'lua', 'whoami', 'V0', 'V2', 0.14216827402726973, 0.2504844665527344]
['BV', 5, 'CV', 286, 'libvlccore.so', 'expand', 'V0', 'V1', 0.17268965517241375, 2.5346477031707764]
['CV', 192, 'BV', 65, 'pwd', 'ssh', 'V0', 'V1', 0.11876763875823138, 3.435673475265503]
['UV', 39, 'BV', 53, 'find', 'ssh', 'V3', 'V2', 0.08259389637215253, 5.747873783111572]
['CV', 25, 'UV', 45, 'expand', 'cmp', 'V2', 'V1', 0.0800627943485086, 0.024667739868164062]
['CV', 328, 'BV', 10, 'uname', 'gvmap', 'V1', 'V2', 0.151875571820677, 0.10216379165649414]
['BV', 56, 'CV', 345, 'ssh', 'rmdir', 'V3', 'V1', 0.15070945497944566, 1.1871757507324219]
['UV', 87, 'CV', 21, 'objdump', 'chgrp', 'V0', 'V2', 0.12673978577384393, 1.4239468574523926]
['UV', 76, 'BV', 75, 'as', 'cmp', 'V0', 'V2', 0.12723681848105817, 1.4908485412597656]
['BV', 48, 'CV', 152, 'gvmap', 'env', 'V3', 'V3', 0.12839921502663298, 0.11751937866210938]
['BV', 41, 'CV', 183, 'libvlccore.so', 'users', 'V1', 'V0', 0.16592752839372638, 2.444366931915283]
['CV', 31, 'UV', 15, 'sha1sum', 'ld', 'V2', 'V2', 0.13390678379697407, 1.5195178985595703]
['BV', 9, 'CV', 335, 'dot', 'pathchk', 'V2', 'V1', 0.1274193548387097, 0.009481191635131836]
['UV', 70, 'BV', 72, 'locate', 'perl', 'V0', 'V1', 0.08352384325594875, 2.5950005054473877]
['BV', 10, 'CV', 95, 'gvmap', 'du', 'V2', 'V3', 0.05958875367184224, 0.21826601028442383]
['BV', 13, 'CV', 182, 'cp', 'du', 'V2', 'V0', 0.058738738738738694, 0.09432482719421387]
['CV', 140, 'UV', 41, 'tty', 'cmp', 'V3', 'V3', 0.06756756756756754, 0.027303695678710938]
['CV', 39, 'BV', 27, 'whoami', 'libSDL2-2.0.so', 'V2', 'V1', 0.19549414571888346, 3.4592463970184326]
['UV', 0, 'BV', 38, 'locate', 'ruby', 'V2', 'V2', 0.2489481065918654, 0.026829004287719727]
['UV', 2, 'CV', 118, 'find', 'sha1sum', 'V2', 'V3', 0.1306628516928946, 0.16553854942321777]
