['CO', 174, 'UO', 79, 'b2sum', 'size', 'O1', 'O0', 0.14745713455390874, 2.2602102756500244]
['UO', 81, 'CO', 42, 'diff3', 'sum', 'O0', 'O3', 0.09322865554465165, 0.06380248069763184]
['UO', 73, 'CO', 252, 'objcopy', 'seq', 'O0', 'O2', 0.1454372623574145, 2.5722997188568115]
['CO', 229, 'UO', 0, 'mktemp', 'locate', 'O2', 'O1', 0.12339585389930896, 0.13556313514709473]
['CO', 75, 'UO', 76, 'mv', 'addr2line', 'O3', 'O0', 0.12616344757088283, 2.7620723247528076]
['CO', 71, 'UO', 57, 'readlink', 'size', 'O3', 'O3', 0.1335088037756399, 0.8209350109100342]
['CO', 9, 'UO', 51, 'du', 'objcopy', 'O3', 'O3', 0.10585852943230223, 1.2917506694793701]
['UO', 60, 'CO', 222, 'xargs', 'stty', 'O3', 'O2', 0.09012048192771083, 0.07125544548034668]
['UO', 73, 'CO', 226, 'objcopy', 'uptime', 'O0', 'O2', 0.1439533609048782, 2.661543607711792]
['UO', 21, 'CO', 315, 'sdiff', 'unlink', 'O1', 'O0', 0.07151664611590625, 0.0484156608581543]
['CO', 304, 'UO', 70, 'fold', 'ranlib', 'O2', 'O0', 0.15372370665150648, 2.277597427368164]
['BO', 68, 'CO', 386, 'git', 'unexpand', 'O3', 'O0', 0.09173684519041014, 6.404745578765869]
['CO', 293, 'BO', 27, '[', 'perl', 'O2', 'O3', 0.0826952976033325, 2.3216118812561035]
['CO', 48, 'UO', 70, 'ls', 'ranlib', 'O3', 'O0', 0.12868241305594663, 2.9004030227661133]
['BO', 35, 'UO', 0, 'make', 'locate', 'O3', 'O1', 0.051169383416016956, 0.44655919075012207]
['BO', 73, 'CO', 115, 'cluster', 'groups', 'O1', 'O1', 0.1276218611521418, 0.1245722770690918]
['BO', 7, 'CO', 369, 'sort', 'od', 'O0', 'O0', 0.09955109585423816, 0.2146437168121338]
['BO', 63, 'CO', 412, 'cluster', 'tac', 'O0', 'O0', 0.1085691350592013, 0.23297858238220215]
['CO', 360, 'UO', 47, 'ls', 'as', 'O0', 'O3', 0.08593017196456487, 2.259809732437134]
['CO', 159, 'BO', 20, 'cp', 'sort', 'O1', 'O1', 0.025893958076448786, 0.22420358657836914]
['CO', 118, 'BO', 38, 'stty', 'acyclic', 'O1', 'O2', 0.1808415398388541, 0.023721933364868164]
['UO', 66, 'CO', 187, 'nm', 'csplit', 'O0', 'O1', 0.14556962025316456, 2.2748475074768066]
['CO', 142, 'UO', 62, 'sha1sum', 'diff3', 'O1', 'O3', 0.04097894137734781, 0.046800851821899414]
['CO', 102, 'BO', 14, 'mknod', 'cmp', 'O3', 'O0', 0.08564231738035266, 0.04019355773925781]
['CO', 259, 'UO', 5, 'realpath', 'readelf', 'O2', 'O1', 0.11262135922330097, 0.2993788719177246]
['UO', 15, 'BO', 61, 'elfedit', 'git', 'O1', 'O1', 0.0920234604105572, 6.342291593551636]
['CO', 371, 'UO', 43, 'tsort', 'find', 'O0', 'O2', 0.14964939285103473, 0.399036169052124]
['CO', 14, 'UO', 45, 'stty', 'strip', 'O3', 'O3', 0.12529940119760474, 1.0242486000061035]
['CO', 0, 'UO', 53, 'sha384sum', 'gprof', 'O3', 'O3', 0.13156106675726176, 0.8616795539855957]
['BO', 48, 'CO', 61, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O3', 0.18285111865995085, 10.228106021881104]
['CO', 116, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1720892713094918, 29.778731107711792]
['CO', 55, 'BO', 73, 'cp', 'cluster', 'O3', 'O1', 0.05493133583021226, 0.23363542556762695]
['CO', 306, 'UO', 73, 'sleep', 'objcopy', 'O2', 'O0', 0.14802117469120235, 2.5783441066741943]
['BO', 6, 'CO', 190, 'codeblocks', 'timeout', 'O0', 'O1', 0.20499759196828804, 27.274787187576294]
['CO', 321, 'UO', 80, 'du', 'objdump', 'O0', 'O0', 0.12068386277949905, 5.052370548248291]
['UO', 62, 'CO', 193, 'diff3', 'pathchk', 'O3', 'O1', 0.06451612903225801, 0.03986501693725586]
['UO', 56, 'CO', 403, 'elfedit', 'comm', 'O3', 'O0', 0.06490066225165558, 0.042702436447143555]
['BO', 7, 'CO', 322, 'sort', 'users', 'O0', 'O0', 0.14029314986539032, 0.17490816116333008]
['BO', 54, 'CO', 106, 'lua', 'stat', 'O3', 'O1', 0.09044474897221877, 0.4285409450531006]
['BO', 12, 'UO', 6, 'libgeany.so.0.0.0', 'as', 'O0', 'O1', 0.11225836731102046, 45.357669830322266]
