['CO', 289, 'BO', 72, 'cat', 'make', 'O2', 'O2', 0.13188268684957427, 0.2221698760986328]
['BO', 9, 'CO', 141, 'git', 'truncate', 'O0', 'O1', 0.09277521811587097, 6.241192579269409]
['CO', 391, 'UO', 1, 'link', 'xargs', 'O0', 'O1', 0.10647915620291315, 0.07742047309875488]
['CO', 138, 'UO', 5, 'tail', 'readelf', 'O1', 'O1', 0.09443978765018157, 0.3668200969696045]
['UO', 25, 'CO', 410, 'sdiff', 'sleep', 'O2', 'O0', 0.05961070559610704, 0.04964923858642578]
['UO', 7, 'CO', 286, 'ranlib', 'chcon', 'O1', 'O2', 0.13560659878443448, 1.2201566696166992]
['BO', 31, 'UO', 50, 'bash', 'strings', 'O2', 'O3', 0.04735458332102449, 6.081256628036499]
['CO', 148, 'BO', 8, 'seq', 'cp', 'O1', 'O0', 0.14646725116039194, 0.19797563552856445]
['CO', 51, 'UO', 47, 'realpath', 'as', 'O3', 'O3', 0.11942721317177807, 1.4704744815826416]
['UO', 60, 'CO', 304, 'xargs', 'fold', 'O3', 'O2', 0.12372243141473915, 0.06193804740905762]
['UO', 25, 'CO', 230, 'sdiff', 'pwd', 'O2', 'O2', 0.0854755784061697, 0.04053044319152832]
['UO', 9, 'CO', 87, 'strings', 'id', 'O1', 'O3', 0.14769204271443337, 1.0181610584259033]
['UO', 19, 'CO', 111, 'cmp', 'fmt', 'O1', 'O1', 0.03221384509938319, 0.03887009620666504]
['CO', 387, 'BO', 44, 'mv', 'cmp', 'O0', 'O2', 0.15229957275697414, 0.19609308242797852]
['CO', 363, 'BO', 44, 'realpath', 'cmp', 'O0', 'O2', 0.07857974388824218, 0.05573582649230957]
['CO', 6, 'UO', 17, 'mkdir', 'objdump', 'O3', 'O1', 0.13553518170772116, 2.020185708999634]
['CO', 133, 'BO', 23, 'nproc', 'git', 'O1', 'O2', 0.09262526464361331, 6.378301620483398]
['CO', 403, 'UO', 36, 'comm', 'addr2line', 'O0', 'O2', 0.13813974187805966, 0.9970760345458984]
['UO', 50, 'BO', 54, 'strings', 'lua', 'O3', 'O3', 0.044379925342181714, 1.7811415195465088]
['CO', 239, 'BO', 33, 'date', 'sort', 'O2', 'O2', 0.09199318568994885, 0.11693596839904785]
['CO', 158, 'UO', 67, 'true', 'strip', 'O1', 'O0', 0.14704993958920665, 2.5999412536621094]
['BO', 53, 'UO', 80, 'bash', 'objdump', 'O0', 'O0', 0.006291970522021906, 15.670013904571533]
['BO', 16, 'CO', 154, 'make', 'dircolors', 'O0', 'O1', 0.12089041095890407, 0.2586941719055176]
['CO', 374, 'UO', 52, 'printf', 'ld', 'O0', 'O3', 0.12840767357605276, 1.726850986480713]
['CO', 107, 'BO', 82, 'unlink', 'cp', 'O1', 'O3', 0.11600306278713624, 0.08109855651855469]
['CO', 58, 'UO', 59, 'df', 'locate', 'O3', 'O3', 0.06573033707865172, 0.15467238426208496]
['CO', 376, 'UO', 1, 'tty', 'xargs', 'O0', 'O1', 0.10415623435152732, 0.07772040367126465]
['CO', 53, 'UO', 30, 'chmod', 'ranlib', 'O3', 'O2', 0.13370473537604455, 1.0553572177886963]
['BO', 18, 'CO', 314, 'libvlc.so.12.0.0', 'stat', 'O1', 'O0', 0.15389642215324295, 0.6239569187164307]
['UO', 56, 'CO', 50, 'elfedit', 'dircolors', 'O3', 'O3', 0.042788129744651515, 0.032041072845458984]
['CO', 410, 'BO', 9, 'sleep', 'git', 'O0', 'O0', 0.09226581014120916, 6.529122352600098]
['CO', 307, 'UO', 52, 'sort', 'ld', 'O2', 'O3', 0.1108815811512478, 2.100020408630371]
['BO', 7, 'CO', 154, 'sort', 'dircolors', 'O0', 'O1', 0.14631233203941474, 0.1646580696105957]
['UO', 54, 'CO', 127, 'addr2line', 'pr', 'O3', 'O1', 0.12265066619606457, 0.9338264465332031]
['UO', 68, 'CO', 290, 'readelf', 'shuf', 'O0', 'O2', 0.11503856041131111, 0.5692646503448486]
['UO', 9, 'BO', 17, 'strings', 'codeblocks', 'O1', 'O2', 0.11571504912237429, 18.477802753448486]
['CO', 360, 'BO', 36, 'ls', 'cluster', 'O0', 'O2', 0.05388127853881275, 0.3920326232910156]
['CO', 197, 'UO', 81, 'nl', 'diff3', 'O1', 'O0', 0.09128205128205125, 0.0679464340209961]
['UO', 85, 'CO', 311, 'locate', 'ln', 'O0', 'O2', 0.10528756957328389, 0.2538578510284424]
['UO', 29, 'CO', 93, 'as', 'nl', 'O2', 'O3', 0.12937203045394696, 1.648808479309082]
['CO', 149, 'BO', 79, 'split', 'bash', 'O1', 'O3', 0.10836346669777208, 2.6269724369049072]
['UO', 50, 'BO', 31, 'strings', 'bash', 'O3', 'O2', 0.04735458332102449, 6.2772605419158936]
['BO', 38, 'UO', 46, 'acyclic', 'readelf', 'O2', 'O3', 0.12479528332787426, 0.18781328201293945]
['CO', 393, 'BO', 8, 'cat', 'cp', 'O0', 'O0', 0.13108900790614642, 0.21050643920898438]
['CO', 55, 'BO', 39, 'cp', 'codeblocks', 'O3', 'O3', 0.17452257696975704, 12.077040195465088]
['BO', 17, 'CO', 378, 'codeblocks', 'runcon', 'O2', 'O0', 0.1858299175011674, 10.39749813079834]
['CO', 187, 'UO', 46, 'csplit', 'readelf', 'O1', 'O3', 0.08811024776425747, 0.2725832462310791]
