['CO', 81, 'UO', 77, 'cat', 'ar', 'O3', 'O0', 0.15185874654481868, 2.437986135482788]
['BO', 77, 'CO', 103, 'libSDL2-2.0.so.0.16.0', 'ln', 'O3', 'O3', 0.17778365978471855, 5.763747692108154]
['CO', 207, 'UO', 52, 'ln', 'ld', 'O1', 'O3', 0.11917934532042418, 2.050696611404419]
['UO', 31, 'CO', 189, 'c++filt', '[', 'O2', 'O1', 0.13982173404159537, 0.9532363414764404]
['BO', 52, 'CO', 84, 'svn', 'vdir', 'O3', 'O3', 0.1439374519354012, 0.7147054672241211]
['UO', 55, 'CO', 298, 'ar', 'tr', 'O3', 'O2', 0.13483927019982622, 0.8973450660705566]
['BO', 57, 'CO', 321, 'libvlccore.so.9.0.0', 'du', 'O3', 'O0', 0.1332683000037519, 5.638288974761963]
['CO', 151, 'BO', 11, 'numfmt', 'ssh', 'O1', 'O1', 0.1422601970812024, 1.7231414318084717]
['BO', 48, 'CO', 287, 'libvlccore.so.9.0.0', 'link', 'O0', 'O2', 0.18409820140708255, 10.971009492874146]
['UO', 1, 'BO', 36, 'xargs', 'cluster', 'O1', 'O2', 0.0672268907563025, 0.2269151210784912]
['BO', 49, 'CO', 124, 'svn', 'mkfifo', 'O0', 'O1', 0.21206254653760237, 0.5678775310516357]
['CO', 334, 'BO', 7, 'pwd', 'sort', 'O0', 'O0', 0.13311878291398482, 0.19775915145874023]
['CO', 385, 'BO', 65, 'hostid', 'gvmap', 'O0', 'O0', 0.12332214765100669, 0.2259819507598877]
['UO', 27, 'BO', 59, 'strip', 'libgeany.so.0.0.0', 'O2', 'O3', 0.11828212124807214, 44.59696292877197]
['UO', 24, 'CO', 37, 'diff', 'truncate', 'O2', 'O3', 0.13023583245336146, 0.09934687614440918]
['BO', 38, 'CO', 196, 'acyclic', 'sha512sum', 'O2', 'O1', 0.1800610376398779, 0.022553443908691406]
['UO', 8, 'BO', 61, 'c++filt', 'git', 'O1', 'O1', 0.05108032516069938, 13.507722616195679]
['UO', 20, 'CO', 266, 'diff', 'df', 'O1', 'O2', 0.07190082644628104, 0.1797947883605957]
