['CV', 135, 'UV', 44, 'df', 'diff3', 'V3', 'V1', 0.05877551020408167, 0.07339668273925781]
['BV', 51, 'CV', 24, 'cp', 'factor', 'V0', 'V2', 0.09388249545729865, 0.03728032112121582]
['UV', 80, 'CV', 148, 'objcopy', 'ginstall', 'V0', 'V3', 0.10143903379159713, 1.6286451816558838]
['CV', 109, 'BV', 33, 'kill', 'openssl', 'V3', 'V0', 0.1022188863348501, 5.864619731903076]
['CV', 141, 'BV', 2, 'false', 'cmp', 'V3', 'V1', 0.06697459584295617, 0.027094364166259766]
['BV', 74, 'CV', 1, 'git', 'stat', 'V1', 'V2', 0.09361921017559449, 4.725337266921997]
['UV', 76, 'CV', 7, 'as', 'dir', 'V0', 'V2', 0.11204736961967665, 1.8990659713745117]
['CV', 306, 'BV', 21, 'cp', 'cp', 'V1', 'V1', 0.0, 0.06969761848449707]
['UV', 1, 'CV', 24, 'xargs', 'factor', 'V2', 'V2', 0.10396039603960394, 0.0426638126373291]
['UV', 16, 'CV', 237, 'gprof', 'mv', 'V2', 'V0', 0.12557811397664032, 1.2124030590057373]
['BV', 21, 'UV', 71, 'cp', 'xargs', 'V1', 'V0', 0.08467741935483875, 0.047145843505859375]
['BV', 41, 'CV', 121, 'libvlccore.so', 'echo', 'V1', 'V3', 0.16367737085168077, 2.640123128890991]
['BV', 30, 'CV', 324, 'bash', 'mv', 'V0', 'V1', 0.11895537379824939, 2.369553327560425]
['CV', 206, 'BV', 2, 'paste', 'cmp', 'V0', 'V1', 0.1007005253940455, 0.02249741554260254]
['UV', 47, 'CV', 125, 'sdiff', 'split', 'V1', 'V3', 0.025190114068441072, 0.055388689041137695]
['UV', 24, 'CV', 302, 'readelf', 'nice', 'V3', 'V1', 0.1226753670473083, 0.2225496768951416]
['CV', 220, 'BV', 77, 'cut', 'perl', 'V0', 'V2', 0.09189488423589176, 2.2819197177886963]
['UV', 4, 'CV', 279, 'cmp', 'pwd', 'V2', 'V1', 0.08702791461412152, 0.026955842971801758]
['BV', 35, 'CV', 144, 'libvlccore.so', 'who', 'V2', 'V3', 0.16071851746528276, 3.4820556640625]
['CV', 300, 'BV', 14, 'whoami', 'openssl', 'V1', 'V3', 0.2936378466557912, 5.537404775619507]
['BV', 23, 'CV', 22, 'diff', 'kill', 'V3', 'V2', 0.13209568011424488, 0.08527278900146484]
['CV', 157, 'UV', 37, 'vdir', 'locate', 'V3', 'V3', 0.029064272211720255, 0.23477411270141602]
['CV', 96, 'UV', 15, 'users', 'ld', 'V3', 'V2', 0.13290870488322715, 1.6386089324951172]
['BV', 9, 'CV', 95, 'dot', 'du', 'V2', 'V3', 0.18882466281310206, 0.05320930480957031]
['CV', 13, 'UV', 73, 'join', 'nm', 'V2', 'V0', 0.139685393258427, 0.9120228290557861]
['UV', 23, 'CV', 127, 'strip', 'ls', 'V3', 'V3', 0.10898171266617185, 1.5953969955444336]
['CV', 26, 'UV', 44, 'date', 'diff3', 'V2', 'V1', 0.05147484094852517, 0.043193817138671875]
['BV', 80, 'CV', 344, 'cluster', 'tac', 'V1', 'V1', 0.09629442903957652, 0.15288448333740234]
['BV', 16, 'CV', 234, 'libvlc.so', 'hostid', 'V3', 'V0', 0.2041343669250646, 0.3022446632385254]
['UV', 39, 'CV', 160, 'find', 'shred', 'V3', 'V3', 0.12288205296923838, 0.3661675453186035]
['CV', 305, 'UV', 46, 'true', 'diff', 'V1', 'V1', 0.13962900505902187, 0.07732772827148438]
['BV', 15, 'CV', 295, 'libvlccore.so', 'echo', 'V3', 'V1', 0.16826992797409002, 3.233046531677246]
['UV', 65, 'CV', 96, 'objdump', 'users', 'V1', 'V3', 0.13402258023595082, 1.4797940254211426]
['CV', 39, 'UV', 55, 'whoami', 'ranlib', 'V2', 'V1', 0.14679054054054053, 0.9700570106506348]
['CV', 205, 'BV', 59, 'sha1sum', 'make', 'V0', 'V1', 0.13485434915461392, 0.19462180137634277]
['BV', 60, 'CV', 299, 'codeblocks', 'split', 'V1', 'V1', 0.18614346036954355, 9.965187788009644]
['BV', 8, 'CV', 344, 'cluster', 'tac', 'V2', 'V1', 0.09629442903957652, 0.15343332290649414]
['CV', 18, 'BV', 81, 'pwd', 'dot', 'V2', 'V1', 0.15080346106304077, 0.013749122619628906]
['UV', 27, 'CV', 129, 'c++filt', 'dircolors', 'V3', 'V3', 0.14320674340614525, 0.9241273403167725]
['UV', 47, 'CV', 222, 'sdiff', 'df', 'V1', 'V0', 0.059710144927536235, 0.044722557067871094]
['BV', 62, 'UV', 6, 'diff', 'sdiff', 'V0', 'V2', 0.045414069456812145, 0.0686185359954834]
['CV', 306, 'BV', 25, 'cp', 'git', 'V1', 'V3', 0.08507200886262922, 9.485634326934814]
['UV', 2, 'CV', 283, 'find', 'kill', 'V2', 'V1', 0.15509259259259256, 0.15033578872680664]
['UV', 45, 'CV', 208, 'cmp', 'echo', 'V1', 'V0', 0.1128298453139217, 0.02212047576904297]
['CV', 274, 'UV', 23, 'join', 'strip', 'V1', 'V3', 0.1389181066867018, 1.1914029121398926]
['BV', 50, 'UV', 45, 'sort', 'cmp', 'V0', 'V1', 0.04184100418410042, 0.041473388671875]
['UV', 64, 'CV', 135, 'size', 'df', 'V1', 'V3', 0.12168921689216894, 1.118346929550171]
['UV', 50, 'CV', 71, 'find', '[', 'V1', 'V2', 0.14167073766487537, 0.15516161918640137]
