['BV', 31, 'CV', 302, 'codeblocks', 'nice', 'V0', 'V1', 0.18874677468579193, 9.013775825500488]
['UV', 4, 'CV', 99, 'cmp', 'stty', 'V2', 'V3', 0.030946601941747587, 0.03713274002075195]
['CV', 91, 'BV', 30, 'basename', 'bash', 'V3', 'V0', 0.12928433651515903, 1.977102279663086]
['CV', 305, 'UV', 15, 'true', 'ld', 'V1', 'V2', 0.13925540481942633, 1.451439619064331]
['CV', 291, 'BV', 23, 'pinky', 'diff', 'V1', 'V3', 0.12491153573956126, 0.08667659759521484]
['BV', 66, 'CV', 299, 'lua', 'split', 'V1', 'V1', 0.13442422388744457, 0.2891364097595215]
['BV', 13, 'CV', 161, 'cp', 'pathchk', 'V2', 'V3', 0.10594639865996647, 0.06164360046386719]
['CV', 301, 'UV', 62, 'ls', 'ar', 'V1', 'V1', 0.12291338582677169, 1.202477216720581]
['CV', 120, 'BV', 63, 'sync', 'ruby', 'V3', 'V0', 0.1158496372829193, 9.066946983337402]
['UV', 40, 'CV', 127, 'diff3', 'ls', 'V3', 'V3', 0.08766950488804792, 0.11008644104003906]
['CV', 255, 'UV', 10, 'sleep', 'as', 'V0', 'V2', 0.1349696828358209, 1.543381929397583]
['CV', 228, 'BV', 76, 'false', 'diff', 'V0', 'V2', 0.1603921568627451, 0.06765985488891602]
['UV', 81, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V0', 'V3', 0.06318166795196656, 11.93735957145691]
['UV', 87, 'CV', 111, 'objdump', 'factor', 'V0', 'V3', 0.12756278831368528, 1.370427131652832]
['CV', 185, 'BV', 22, 'printenv', 'cmp', 'V0', 'V3', 0.11813186813186816, 0.020742177963256836]
['UV', 6, 'CV', 149, 'sdiff', 'unexpand', 'V2', 'V3', 0.07006369426751591, 0.039511680603027344]
['CV', 243, 'UV', 74, 'csplit', 'strip', 'V0', 'V0', 0.11944160708205653, 1.2609999179840088]
