['CO', 414, 'UO', 12, 'mknod', 'gprof', 'O0', 'O1', 0.11758974743311101, 1.483201265335083]
['UO', 47, 'BO', 2, 'as', 'perl', 'O3', 'O1', 0.017161617669004592, 7.433462619781494]
['BO', 4, 'CO', 261, 'libgeany.so.0.0.0', 'chmod', 'O2', 'O2', 0.1759651898734177, 27.124755144119263]
['BO', 44, 'CO', 411, 'cmp', 'sort', 'O2', 'O0', 0.1475265017667844, 0.16526293754577637]
['UO', 14, 'CO', 161, 'ar', 'od', 'O1', 'O1', 0.1384382951653944, 1.1977159976959229]
['BO', 43, 'CO', 152, 'diff', 'ls', 'O1', 'O1', 0.01748332183114787, 0.24149751663208008]
['UO', 21, 'CO', 214, 'sdiff', 'mkdir', 'O1', 'O2', 0.059158134243458504, 0.04949378967285156]
['CO', 294, 'BO', 66, 'timeout', 'svn', 'O2', 'O2', 0.21498888536043181, 0.49555087089538574]
['CO', 134, 'UO', 13, 'expand', 'addr2line', 'O1', 'O1', 0.14789219073946092, 1.0476140975952148]
['CO', 294, 'UO', 75, 'timeout', 'gprof', 'O2', 'O0', 0.14833716561045374, 2.313465118408203]
['BO', 78, 'CO', 325, 'ssh', 'printenv', 'O0', 'O0', 0.1395962260322614, 2.0466513633728027]
['BO', 28, 'CO', 249, 'ruby', 'echo', 'O0', 'O2', 0.10563240956337794, 12.70130181312561]
['CO', 58, 'BO', 68, 'df', 'git', 'O3', 'O3', 0.08925575205878378, 7.079904317855835]
['CO', 333, 'UO', 70, 'mktemp', 'ranlib', 'O0', 'O0', 0.14321440480160053, 2.589484691619873]
['CO', 286, 'BO', 3, 'chcon', 'openssl', 'O2', 'O1', 0.27086673980926657, 7.686348915100098]
['UO', 16, 'CO', 247, 'size', 'paste', 'O1', 'O2', 0.15289183994408528, 0.9925918579101562]
['CO', 91, 'UO', 62, 'comm', 'diff3', 'O3', 'O3', 0.053918843802112315, 0.03903937339782715]
['CO', 133, 'UO', 78, 'nproc', 'elfedit', 'O1', 'O0', 0.05574912891986061, 0.04186654090881348]
['BO', 24, 'CO', 216, 'cluster', 'dir', 'O3', 'O2', 0.04350649350649349, 0.2278902530670166]
['UO', 38, 'CO', 331, 'elfedit', 'dd', 'O2', 'O0', 0.10925925925925928, 0.07270622253417969]
['BO', 17, 'CO', 239, 'codeblocks', 'date', 'O2', 'O2', 0.18435149891830638, 10.430832386016846]
['UO', 71, 'CO', 354, 'c++filt', 'sum', 'O0', 'O0', 0.14557222712562523, 2.1862518787384033]
['UO', 17, 'CO', 242, 'objdump', 'tail', 'O1', 'O2', 0.13148694417131002, 2.0434277057647705]
['UO', 28, 'CO', 119, 'readelf', 'join', 'O2', 'O1', 0.09872417982989068, 0.2755763530731201]
