['BO', 13, 'CO', 271, 'ruby', 'logname', 'O1', 'O2', 0.10521081941129673, 12.285316228866577]
['BO', 76, 'UO', 25, 'openssl', 'sdiff', 'O2', 'O2', 0.2719972952413152, 7.647245645523071]
['CO', 413, 'BO', 1, 'rmdir', 'ssh', 'O0', 'O2', 0.14193914193914192, 1.4973621368408203]
['UO', 1, 'CO', 199, 'xargs', 'sha224sum', 'O1', 'O1', 0.09433063363506433, 0.07988524436950684]
['CO', 39, 'BO', 33, 'paste', 'sort', 'O3', 'O2', 0.13304887509697438, 0.08457732200622559]
['UO', 34, 'CO', 307, 'ld', 'sort', 'O2', 'O2', 0.11848683479613376, 2.261953830718994]
['UO', 7, 'CO', 53, 'ranlib', 'chmod', 'O1', 'O3', 0.13832557405507773, 1.171494483947754]
['CO', 358, 'UO', 31, 'whoami', 'c++filt', 'O0', 'O2', 0.14304017571154026, 0.9115922451019287]
['UO', 51, 'CO', 141, 'objcopy', 'truncate', 'O3', 'O1', 0.1289361051666157, 0.9948976039886475]
['CO', 112, 'BO', 69, 'dir', 'cmp', 'O1', 'O3', 0.12327799364182268, 0.10986185073852539]
['UO', 77, 'CO', 339, 'ar', 'wc', 'O0', 'O0', 0.1425954706927176, 2.524232864379883]
['CO', 83, 'BO', 23, 'csplit', 'git', 'O3', 'O2', 0.09117967473348376, 6.4685282707214355]
['UO', 1, 'CO', 341, 'xargs', 'nproc', 'O1', 'O0', 0.09012048192771083, 0.08527088165283203]
['UO', 77, 'CO', 4, 'ar', 'test', 'O0', 'O3', 0.15137201979307247, 2.229163646697998]
['BO', 11, 'CO', 353, 'ssh', 'echo', 'O1', 'O0', 0.14599556821779047, 1.4565556049346924]
['CO', 131, 'BO', 11, 'wc', 'ssh', 'O1', 'O1', 0.1414564076942293, 1.5369865894317627]
['CO', 138, 'BO', 47, 'tail', 'libvlc.so.12.0.0', 'O1', 'O0', 0.19676214196762143, 0.7113213539123535]
['UO', 11, 'BO', 67, 'ld', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.05123225471156212, 14.2807297706604]
['BO', 8, 'CO', 130, 'cp', 'kill', 'O0', 'O1', 0.15425250924458533, 0.18824505805969238]
['BO', 4, 'UO', 86, 'libgeany.so.0.0.0', 'xargs', 'O2', 'O0', 0.17122719085284677, 29.839001893997192]
['CO', 366, 'BO', 44, 'true', 'cmp', 'O0', 'O2', 0.041728763040238426, 0.03699636459350586]
['CO', 29, 'BO', 66, 'nproc', 'svn', 'O3', 'O2', 0.22150779617424854, 0.4783196449279785]
['CO', 340, 'UO', 38, 'factor', 'elfedit', 'O0', 'O2', 0.11458812701334564, 0.07384467124938965]
['BO', 59, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O3', 'O0', 0.1630347428288823, 26.72463870048523]
['BO', 81, 'UO', 59, 'sort', 'locate', 'O3', 'O3', 0.03237240075614367, 0.211747407913208]
['UO', 51, 'CO', 351, 'objcopy', 'paste', 'O3', 'O0', 0.12607905497501137, 1.0222501754760742]
['UO', 6, 'CO', 297, 'as', 'pathchk', 'O1', 'O2', 0.13542946498380437, 1.7658746242523193]
['BO', 55, 'CO', 123, 'make', 'dd', 'O1', 'O1', 0.09880187532557738, 0.2858121395111084]
['UO', 50, 'CO', 178, 'strings', 'unexpand', 'O3', 'O1', 0.1348605209680399, 0.779447078704834]
['CO', 159, 'UO', 70, 'cp', 'ranlib', 'O1', 'O0', 0.1277332074878087, 2.9497616291046143]
['CO', 250, 'BO', 4, 'sum', 'libgeany.so.0.0.0', 'O2', 'O2', 0.17778485041374914, 27.08998155593872]
['CO', 253, 'BO', 68, 'split', 'git', 'O2', 'O3', 0.09109876182119525, 6.619546413421631]
