['BO', 51, 'CO', 155, 'lua', 'realpath', 'O1', 'O1', 0.12179170779861792, 0.4585428237915039]
['CO', 256, 'UO', 71, 'ls', 'c++filt', 'O2', 'O0', 0.12923740529779348, 2.701334238052368]
['CO', 314, 'UO', 71, 'stat', 'c++filt', 'O0', 'O0', 0.13205844192474758, 2.6535234451293945]
['BO', 65, 'CO', 91, 'gvmap', 'comm', 'O0', 'O3', 0.1262472001628996, 0.1969764232635498]
['BO', 56, 'CO', 76, 'libvlc.so.12.0.0', 'md5sum', 'O3', 'O3', 0.20407407407407407, 0.39757466316223145]
['UO', 75, 'CO', 271, 'gprof', 'logname', 'O0', 'O2', 0.15289632411517018, 2.1483683586120605]
['UO', 11, 'CO', 76, 'ld', 'md5sum', 'O1', 'O3', 0.14413058578374627, 1.9921894073486328]
['UO', 54, 'CO', 111, 'addr2line', 'fmt', 'O3', 'O1', 0.1346312792726605, 0.8107967376708984]
['CO', 377, 'UO', 85, 'false', 'locate', 'O0', 'O0', 0.14943479459608489, 0.19378447532653809]
['UO', 30, 'CO', 137, 'ranlib', 'chown', 'O2', 'O1', 0.12750588426264098, 1.1673808097839355]
['CO', 3, 'UO', 73, 'unlink', 'objcopy', 'O3', 'O0', 0.1473362094913213, 2.601351737976074]
['UO', 12, 'CO', 197, 'gprof', 'nl', 'O1', 'O1', 0.14313408723747978, 1.1381573677062988]
['CO', 339, 'UO', 45, 'wc', 'strip', 'O0', 'O3', 0.1181851989587207, 1.1917078495025635]
['BO', 35, 'CO', 306, 'make', 'sleep', 'O3', 'O2', 0.13672768878718533, 0.2097792625427246]
['UO', 63, 'CO', 112, 'cmp', 'dir', 'O3', 'O1', 0.12327799364182268, 0.10941338539123535]
['CO', 357, 'UO', 4, 'split', 'strip', 'O0', 'O1', 0.12751724618493487, 1.5631630420684814]
['BO', 71, 'CO', 7, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O0', 'O3', 0.20046276819520403, 6.28561544418335]
['CO', 371, 'BO', 1, 'tsort', 'ssh', 'O0', 'O2', 0.14078583981923176, 1.4947893619537354]
['CO', 135, 'BO', 46, 'date', 'ruby', 'O1', 'O3', 0.10221764420746482, 13.703614234924316]
['UO', 20, 'BO', 48, 'diff', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.16551627777001543, 12.561699390411377]
['CO', 409, 'UO', 82, 'uniq', 'cmp', 'O0', 'O0', 0.03109656301145658, 0.06494998931884766]
['UO', 48, 'CO', 301, 'ranlib', 'nl', 'O3', 'O2', 0.13651071272409276, 0.8500442504882812]
['CO', 405, 'UO', 11, 'nl', 'ld', 'O0', 'O1', 0.14046109510086457, 2.0862157344818115]
['UO', 17, 'BO', 33, 'objdump', 'sort', 'O1', 'O2', 0.11781008157289274, 2.4490747451782227]
['BO', 50, 'CO', 349, 'perl', 'truncate', 'O2', 'O0', 0.08510893703859312, 2.43095064163208]
['BO', 6, 'CO', 138, 'codeblocks', 'tail', 'O0', 'O1', 0.20265994628600859, 28.95694661140442]
['BO', 67, 'UO', 36, 'libSDL2-2.0.so.0.16.0', 'addr2line', 'O1', 'O2', 0.08980248047772166, 10.167425155639648]
['CO', 233, 'BO', 8, 'chgrp', 'cp', 'O2', 'O0', 0.11486962649753352, 0.23212933540344238]
['BO', 65, 'CO', 65, 'gvmap', 'false', 'O0', 'O3', 0.13768886997233454, 0.17449426651000977]
['UO', 32, 'CO', 234, 'strings', 'kill', 'O2', 'O2', 0.14699698327086574, 0.8836045265197754]
['UO', 0, 'CO', 122, 'locate', 'uptime', 'O1', 'O1', 0.11342518423582182, 0.14292502403259277]
['BO', 69, 'CO', 377, 'cmp', 'false', 'O3', 'O0', 0.040983606557377095, 0.035666704177856445]
['CO', 182, 'UO', 59, 'chcon', 'locate', 'O1', 'O3', 0.0739742437855645, 0.1466672420501709]
['BO', 8, 'CO', 67, 'cp', 'nohup', 'O0', 'O3', 0.15506906437320822, 0.17650818824768066]
['UO', 49, 'CO', 248, 'c++filt', 'sync', 'O3', 'O2', 0.14097459233978005, 0.7291882038116455]
['CO', 205, 'BO', 39, 'rmdir', 'codeblocks', 'O1', 'O3', 0.18486963662492295, 10.529848575592041]
['CO', 292, 'BO', 8, 'vdir', 'cp', 'O2', 'O0', 0.07079819572465185, 0.33579325675964355]
['CO', 197, 'UO', 77, 'nl', 'ar', 'O1', 'O0', 0.15037212449255755, 2.331101655960083]
['CO', 0, 'UO', 7, 'sha384sum', 'ranlib', 'O3', 'O1', 0.14620499513460916, 1.1556601524353027]
['CO', 162, 'UO', 87, 'df', 'find', 'O1', 'O0', 0.13254179791616183, 0.7804484367370605]
['CO', 44, 'UO', 16, 'seq', 'size', 'O3', 'O1', 0.14737383257647163, 1.0462841987609863]
['BO', 13, 'CO', 135, 'ruby', 'date', 'O1', 'O1', 0.10222504960542855, 13.475547313690186]
['CO', 279, 'BO', 51, 'readlink', 'lua', 'O2', 'O1', 0.12788365095285859, 0.4408893585205078]
['CO', 113, 'UO', 46, 'du', 'readelf', 'O1', 'O3', 0.05776736924277903, 0.38756299018859863]
['BO', 55, 'CO', 68, 'make', 'yes', 'O1', 'O3', 0.1381054269597355, 0.20169544219970703]
['BO', 34, 'CO', 97, 'cp', 'uniq', 'O2', 'O3', 0.10232886379675366, 0.09290480613708496]
['BO', 63, 'CO', 310, 'cluster', 'mknod', 'O0', 'O2', 0.13644251626898052, 0.18320560455322266]
['UO', 9, 'CO', 301, 'strings', 'nl', 'O1', 'O2', 0.15035820373929754, 1.0158417224884033]
['CO', 180, 'UO', 17, 'md5sum', 'objdump', 'O1', 'O1', 0.13694427400011155, 2.0338618755340576]
['BO', 53, 'CO', 116, 'bash', 'ptx', 'O0', 'O1', 0.12059473296630085, 3.894334316253662]
['UO', 42, 'BO', 21, 'xargs', 'cp', 'O2', 'O1', 0.05599036724864537, 0.16788363456726074]
['BO', 43, 'UO', 13, 'diff', 'addr2line', 'O1', 'O1', 0.11007363546648452, 1.5133240222930908]
['BO', 79, 'CO', 302, 'bash', 'rm', 'O3', 'O2', 0.10730391212179613, 2.7126879692077637]
['CO', 259, 'UO', 86, 'realpath', 'xargs', 'O2', 'O0', 0.12627118644067803, 0.10388588905334473]
['CO', 133, 'BO', 45, 'nproc', 'diff', 'O1', 'O2', 0.12415510494485948, 0.10388398170471191]
['BO', 28, 'CO', 371, 'ruby', 'tsort', 'O0', 'O0', 0.10371615482464114, 13.041966676712036]
['UO', 44, 'CO', 11, 'nm', 'groups', 'O3', 'O3', 0.1382651213328504, 0.8018076419830322]
['CO', 118, 'BO', 65, 'stty', 'gvmap', 'O1', 'O0', 0.11472466081404631, 0.2204446792602539]
['BO', 56, 'CO', 123, 'libvlc.so.12.0.0', 'dd', 'O3', 'O1', 0.17319199863224477, 0.49206972122192383]
['UO', 39, 'CO', 399, 'size', 'id', 'O2', 'O0', 0.1353681062538482, 0.9856235980987549]
['BO', 42, 'CO', 130, 'cmp', 'kill', 'O1', 'O1', 0.041369472182596345, 0.03690648078918457]
['UO', 40, 'CO', 250, 'objdump', 'sum', 'O2', 'O2', 0.1341541320634183, 1.7323262691497803]
['CO', 233, 'UO', 44, 'chgrp', 'nm', 'O2', 'O3', 0.12372659991292989, 0.9194760322570801]
['CO', 380, 'UO', 59, 'yes', 'locate', 'O0', 'O3', 0.12106803218727136, 0.1102139949798584]
['BO', 40, 'CO', 199, 'lua', 'sha224sum', 'O0', 'O1', 0.1359252867729165, 0.7058205604553223]
['CO', 233, 'BO', 61, 'chgrp', 'git', 'O2', 'O1', 0.09054544748441717, 6.6482744216918945]
['UO', 58, 'BO', 74, 'objdump', 'dot', 'O3', 'O1', 0.13485884101040124, 1.399764060974121]
['BO', 12, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O0', 'O0', 0.18845716707441584, 29.381577491760254]
['CO', 157, 'BO', 57, 'chmod', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.14919465454402947, 4.613906383514404]
['CO', 103, 'BO', 64, 'ln', 'dot', 'O3', 'O0', 0.18814277071990326, 0.036305904388427734]
['UO', 76, 'CO', 411, 'addr2line', 'sort', 'O0', 'O0', 0.11557602710715797, 2.957592487335205]
['UO', 30, 'CO', 255, 'ranlib', 'numfmt', 'O2', 'O2', 0.14083319278124473, 1.0043706893920898]
['CO', 214, 'BO', 45, 'mkdir', 'diff', 'O2', 'O2', 0.11205432937181659, 0.10912227630615234]
['BO', 0, 'UO', 74, 'codeblocks', 'ld', 'O1', 'O0', 0.06081003619450043, 28.707676887512207]
['BO', 46, 'CO', 214, 'ruby', 'mkdir', 'O3', 'O2', 0.10358535396612645, 12.711762428283691]
