['CO', 54, 'UO', 11, 'true', 'ld', 'O3', 'O1', 0.1482306069838294, 2.018336296081543]
['CO', 78, 'UO', 33, 'chcon', 'objcopy', 'O3', 'O2', 0.12679098567211466, 1.316701889038086]
['BO', 46, 'UO', 12, 'ruby', 'gprof', 'O3', 'O1', 0.06683989240853416, 22.92103338241577]
['UO', 80, 'CO', 267, 'objdump', 'tsort', 'O0', 'O2', 0.14269814770649492, 4.000733852386475]
['UO', 64, 'CO', 20, 'diff', 'mkfifo', 'O3', 'O3', 0.12504341785342132, 0.08928322792053223]
['BO', 72, 'CO', 212, 'make', 'test', 'O2', 'O2', 0.12857142857142856, 0.2305440902709961]
['UO', 82, 'BO', 42, 'cmp', 'cmp', 'O0', 'O1', 0.04124327555289897, 0.05283999443054199]
['CO', 66, 'BO', 52, 'runcon', 'svn', 'O3', 'O3', 0.2175658317276814, 0.44854021072387695]
['BO', 35, 'CO', 392, 'make', 'uname', 'O3', 'O0', 0.12446591120193196, 0.24342966079711914]
['UO', 6, 'CO', 178, 'as', 'unexpand', 'O1', 'O1', 0.13181592177227774, 1.967311143875122]
['BO', 67, 'CO', 387, 'libSDL2-2.0.so.0.16.0', 'mv', 'O1', 'O0', 0.16329951856946356, 7.078131198883057]
['CO', 74, 'BO', 43, 'unexpand', 'diff', 'O3', 'O1', 0.13208179684880994, 0.11448097229003906]
['BO', 18, 'CO', 398, 'libvlc.so.12.0.0', 'timeout', 'O1', 'O0', 0.1928989751098097, 0.5284531116485596]
['CO', 130, 'UO', 38, 'kill', 'elfedit', 'O1', 'O2', 0.04127443881245474, 0.03638291358947754]
['CO', 333, 'UO', 49, 'mktemp', 'c++filt', 'O0', 'O3', 0.124079629124625, 0.9779064655303955]
['UO', 74, 'CO', 223, 'ld', 'join', 'O0', 'O2', 0.14818347710683477, 4.095951318740845]
['CO', 373, 'UO', 31, 'cksum', 'c++filt', 'O0', 'O2', 0.14111434814275303, 0.990772008895874]
['CO', 377, 'UO', 1, 'false', 'xargs', 'O0', 'O1', 0.11071428571428577, 0.07813620567321777]
['CO', 182, 'BO', 32, 'chcon', 'ruby', 'O1', 'O2', 0.12212389380530975, 17.091590881347656]
['CO', 268, 'BO', 31, 'base64', 'bash', 'O2', 'O2', 0.12468088610722228, 2.8556153774261475]
['UO', 10, 'CO', 290, 'objcopy', 'shuf', 'O1', 'O2', 0.1345674617301531, 1.5217087268829346]
['CO', 361, 'BO', 67, 'nice', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.2034471105103075, 5.7437849044799805]
['CO', 376, 'UO', 3, 'tty', 'nm', 'O0', 'O1', 0.14790475377656398, 1.177748441696167]
['UO', 33, 'CO', 162, 'objcopy', 'df', 'O2', 'O1', 0.11940509915014164, 1.5052592754364014]
['UO', 40, 'CO', 286, 'objdump', 'chcon', 'O2', 'O2', 0.12609556121006504, 1.9572274684906006]
['CO', 337, 'BO', 0, 'chgrp', 'codeblocks', 'O0', 'O1', 0.17807658878265764, 12.271517515182495]
['CO', 403, 'UO', 20, 'comm', 'diff', 'O0', 'O1', 0.11154598825831696, 0.14150238037109375]
['CO', 318, 'BO', 38, 'mkdir', 'acyclic', 'O0', 'O2', 0.21926427879961274, 0.0754861831665039]
['BO', 0, 'CO', 330, 'codeblocks', 'uptime', 'O1', 'O0', 0.18255242039865394, 11.600790023803711]
['CO', 77, 'UO', 24, 'env', 'diff', 'O3', 'O2', 0.13204225352112675, 0.10041165351867676]
['CO', 206, 'UO', 14, 'mknod', 'ar', 'O1', 'O1', 0.1475221529373154, 1.2196545600891113]
['BO', 43, 'CO', 22, 'diff', 'pwd', 'O1', 'O3', 0.1305369127516779, 0.11586165428161621]
['BO', 70, 'CO', 120, 'diff', 'dirname', 'O3', 'O1', 0.12148200926255792, 0.09275436401367188]
['UO', 49, 'CO', 370, 'c++filt', 'df', 'O3', 'O0', 0.1045851343334181, 1.2101001739501953]
['BO', 14, 'CO', 106, 'cmp', 'stat', 'O0', 'O1', 0.06730331969076853, 0.0876469612121582]
['CO', 90, 'UO', 37, 'tr', 'ar', 'O3', 'O2', 0.14146341463414636, 1.0676040649414062]
['BO', 40, 'CO', 407, 'lua', 'sha224sum', 'O0', 'O0', 0.12845317642365617, 0.8001961708068848]
['CO', 261, 'BO', 36, 'chmod', 'cluster', 'O2', 'O2', 0.10299727520435964, 0.15236353874206543]
['UO', 38, 'BO', 14, 'elfedit', 'cmp', 'O2', 'O0', 0.07506053268765134, 0.04981374740600586]
['CO', 94, 'BO', 49, 'rm', 'svn', 'O3', 'O0', 0.18308148947652458, 0.6257922649383545]
['CO', 63, 'BO', 31, 'logname', 'bash', 'O3', 'O2', 0.12562276114793924, 2.767056465148926]
['UO', 5, 'CO', 408, 'readelf', 'fold', 'O1', 'O0', 0.10813226094727435, 0.33603787422180176]
['CO', 96, 'BO', 51, 'fold', 'lua', 'O3', 'O1', 0.13070747616658307, 0.43822264671325684]
['CO', 152, 'BO', 21, 'ls', 'cp', 'O1', 'O1', 0.027310412094611047, 0.24121737480163574]
['BO', 67, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O1', 'O3', 0.20155854089974667, 5.621413469314575]
['BO', 12, 'CO', 133, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O1', 0.19216922567964656, 29.532280206680298]
['CO', 316, 'UO', 78, 'test', 'elfedit', 'O0', 'O0', 0.05041518386714117, 0.05788588523864746]
['BO', 42, 'CO', 232, 'cmp', 'tee', 'O1', 'O2', 0.05783308931185949, 0.03593754768371582]
['CO', 188, 'BO', 24, 'vdir', 'cluster', 'O1', 'O3', 0.03518011375605645, 0.2723689079284668]
['BO', 83, 'CO', 239, 'lua', 'date', 'O2', 'O2', 0.11276300869346101, 0.4651978015899658]
['BO', 55, 'CO', 306, 'make', 'sleep', 'O1', 'O2', 0.14067763027541114, 0.21697425842285156]
['CO', 154, 'UO', 6, 'dircolors', 'as', 'O1', 'O1', 0.13077305081940072, 2.0314831733703613]
['UO', 86, 'BO', 68, 'xargs', 'git', 'O0', 'O3', 0.08588945264452641, 7.906519174575806]
['BO', 14, 'CO', 27, 'cmp', 'wc', 'O0', 'O3', 0.04759238521836506, 0.05653214454650879]
['BO', 75, 'CO', 259, 'gvmap', 'realpath', 'O1', 'O2', 0.12004405286343611, 0.14240789413452148]
['BO', 3, 'CO', 184, 'openssl', 'uname', 'O1', 'O1', 0.28077903009889016, 7.866667985916138]
['BO', 78, 'CO', 330, 'ssh', 'uptime', 'O0', 'O0', 0.1335729260257562, 2.401279926300049]
['CO', 93, 'BO', 61, 'nl', 'git', 'O3', 'O1', 0.09278532023944597, 6.670987606048584]
['UO', 71, 'CO', 406, 'c++filt', 'rm', 'O0', 'O0', 0.13304648134518482, 2.6942532062530518]
