['BV', 8, 'CV', 212, 'cluster', 'split', 'V2', 'V0', 0.14027010435850218, 0.10554361343383789]
['UV', 65, 'CV', 228, 'objdump', 'false', 'V1', 'V0', 0.14104976318692009, 1.329552412033081]
['CV', 28, 'UV', 22, 'chown', 'nm', 'V2', 'V3', 0.13524625267665957, 0.9998242855072021]
['CV', 258, 'UV', 33, 'rmdir', 'ar', 'V0', 'V3', 0.15313427623537623, 0.9012546539306641]
['CV', 110, 'BV', 60, 'wc', 'codeblocks', 'V3', 'V1', 0.18304380262176279, 9.887022018432617]
['CV', 206, 'UV', 71, 'paste', 'xargs', 'V0', 'V0', 0.08374875373878365, 0.01899242401123047]
['CV', 296, 'BV', 1, 'sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.193504304650845, 5.089597463607788]
['BV', 26, 'CV', 90, 'geany', 'test', 'V2', 'V3', 0.18205789946140039, 20.005505561828613]
['BV', 35, 'CV', 74, 'libvlccore.so', 'pathchk', 'V2', 'V2', 0.16648200780384415, 3.183145523071289]
['UV', 45, 'CV', 52, 'cmp', 'logname', 'V1', 'V2', 0.08610885458976436, 0.02390146255493164]
['CV', 89, 'UV', 30, 'unlink', 'ld', 'V3', 'V3', 0.1433109566051307, 1.7643027305603027]
['BV', 55, 'CV', 105, 'codeblocks', 'pwd', 'V3', 'V3', 0.1874172357385817, 10.535613775253296]
['CV', 210, 'BV', 4, 'chroot', 'geany', 'V0', 'V3', 0.18312293750982134, 23.644638299942017]
['CV', 39, 'UV', 80, 'whoami', 'objcopy', 'V2', 'V0', 0.13727913909692435, 1.0903537273406982]
['CV', 119, 'UV', 48, 'paste', 'locate', 'V3', 'V1', 0.10789369297897655, 0.06584286689758301]
['UV', 82, 'BV', 16, 'gprof', 'libvlc.so', 'V0', 'V3', 0.06013843906775895, 1.9966869354248047]
['UV', 32, 'BV', 43, 'addr2line', 'lua', 'V3', 'V0', 0.058248778654641065, 1.8653850555419922]
['BV', 20, 'UV', 60, 'sort', 'gprof', 'V1', 'V1', 0.12652547043539886, 1.0678691864013672]
['CV', 302, 'BV', 48, 'nice', 'gvmap', 'V1', 'V3', 0.14746682750301565, 0.10391640663146973]
['UV', 33, 'CV', 47, 'ar', 'od', 'V3', 'V2', 0.13923205342237055, 0.9882020950317383]
['CV', 104, 'UV', 46, 'mkfifo', 'diff', 'V3', 'V1', 0.1131263449123886, 0.0888972282409668]
['UV', 16, 'BV', 20, 'gprof', 'sort', 'V2', 'V1', 0.1288680295919179, 1.061220645904541]
['CV', 160, 'UV', 0, 'shred', 'locate', 'V3', 'V2', 0.04216867469879515, 0.0833127498626709]
['BV', 31, 'UV', 24, 'codeblocks', 'readelf', 'V0', 'V3', 0.1490996978851964, 12.31844425201416]
['BV', 55, 'CV', 152, 'codeblocks', 'env', 'V3', 'V3', 0.18794372350661848, 10.277312517166138]
['BV', 63, 'CV', 27, 'ruby', 'expr', 'V0', 'V2', 0.11277173913043481, 9.297946453094482]
['CV', 322, 'BV', 69, 'ginstall', 'gvmap', 'V1', 'V0', 0.08022922636103158, 0.16090130805969238]
['UV', 81, 'CV', 280, 'ld', 'pr', 'V0', 'V1', 0.13031795790416478, 1.392808198928833]
['CV', 154, 'UV', 68, 'uname', 'diff', 'V3', 'V0', 0.1145374449339207, 0.06482863426208496]
['UV', 70, 'CV', 128, 'locate', 'nice', 'V0', 'V3', 0.10490151168117268, 0.05719470977783203]
['UV', 84, 'CV', 210, 'ar', 'chroot', 'V0', 'V0', 0.15012949897293915, 0.8187923431396484]
['CV', 124, 'UV', 63, 'seq', 'elfedit', 'V3', 'V1', 0.035739313244569026, 0.029630661010742188]
['UV', 27, 'BV', 8, 'c++filt', 'cluster', 'V3', 'V2', 0.09670245398773003, 1.306185245513916]
['CV', 290, 'UV', 43, 'tail', 'sdiff', 'V1', 'V3', 0.06017997750281212, 0.04335975646972656]
['UV', 32, 'CV', 105, 'addr2line', 'pwd', 'V3', 'V3', 0.14342093461296979, 0.9038181304931641]
['UV', 6, 'CV', 56, 'sdiff', 'yes', 'V2', 'V2', 0.11209239130434778, 0.029893159866333008]
['UV', 86, 'CV', 51, 'size', 'printf', 'V0', 'V2', 0.1208452041785375, 0.8053643703460693]
['BV', 21, 'CV', 94, 'cp', 'dir', 'V1', 'V3', 0.0789312039312039, 0.12166929244995117]
['CV', 138, 'BV', 27, 'printf', 'libSDL2-2.0.so', 'V3', 'V1', 0.18896220755848825, 3.593496322631836]
['BV', 21, 'UV', 46, 'cp', 'diff', 'V1', 'V1', 0.07159968059622035, 0.12997722625732422]
['CV', 7, 'BV', 28, 'dir', 'openssl', 'V2', 'V1', 0.09670339222461266, 7.176175594329834]
['UV', 83, 'CV', 256, 'addr2line', 'sort', 'V0', 'V0', 0.1341683186159668, 0.8622052669525146]
['CV', 327, 'UV', 60, 'link', 'gprof', 'V1', 'V1', 0.14586818333890927, 0.8903470039367676]
['BV', 36, 'CV', 320, 'libvlc.so', 'head', 'V2', 'V1', 0.1915708812260537, 0.30774927139282227]
['CV', 287, 'UV', 43, 'date', 'sdiff', 'V1', 'V3', 0.07324455205811142, 0.0410609245300293]
['CV', 67, 'UV', 38, 'uname', 'xargs', 'V2', 'V3', 0.1504178272980501, 0.052869319915771484]
['BV', 62, 'CV', 268, 'diff', 'dir', 'V0', 'V1', 0.04381543233811558, 0.09111213684082031]
['BV', 54, 'CV', 162, 'lua', 'tr', 'V3', 'V3', 0.12425110705913, 0.3766789436340332]
['BV', 17, 'CV', 126, 'codeblocks', 'whoami', 'V2', 'V3', 0.18636556628807988, 9.673141479492188]
['UV', 2, 'BV', 35, 'find', 'libvlccore.so', 'V2', 'V2', 0.12608658958561902, 4.800493001937866]
['UV', 33, 'CV', 187, 'ar', 'join', 'V3', 'V0', 0.1454312553373185, 0.9597723484039307]
['CV', 18, 'UV', 86, 'pwd', 'size', 'V2', 'V0', 0.12345679012345678, 0.78910231590271]
['CV', 76, 'BV', 76, 'comm', 'diff', 'V2', 'V2', 0.12508833922261486, 0.08326172828674316]
['BV', 8, 'UV', 49, 'cluster', 'xargs', 'V2', 'V1', 0.11883153715258077, 0.12280106544494629]
['BV', 46, 'CV', 213, 'cluster', 'whoami', 'V3', 'V0', 0.15533354817918144, 0.0959165096282959]
['BV', 11, 'UV', 70, 'bash', 'locate', 'V1', 'V0', 0.11485307929692745, 2.5337493419647217]
['CV', 134, 'BV', 17, 'od', 'codeblocks', 'V3', 'V2', 0.18231335271165583, 10.325607061386108]
['CV', 76, 'UV', 47, 'comm', 'sdiff', 'V2', 'V1', 0.08198757763975151, 0.0352933406829834]
['CV', 179, 'BV', 27, 'mkdir', 'libSDL2-2.0.so', 'V0', 'V1', 0.19374827109266946, 3.5795788764953613]
['UV', 74, 'CV', 183, 'strip', 'users', 'V0', 'V0', 0.13763409472378307, 1.0656347274780273]
['CV', 155, 'BV', 27, 'cat', 'libSDL2-2.0.so', 'V3', 'V1', 0.19110867178924262, 3.5614125728607178]
['UV', 32, 'CV', 63, 'addr2line', 'mv', 'V3', 'V2', 0.12100645588478731, 1.133213758468628]
['UV', 73, 'BV', 36, 'nm', 'libvlc.so', 'V0', 'V2', 0.05984838409362947, 1.959592342376709]
['CV', 100, 'UV', 69, 'join', 'sdiff', 'V3', 'V0', 0.039078156312625234, 0.0457615852355957]
['CV', 239, 'BV', 70, 'env', 'ssh', 'V0', 'V0', 0.11915441048642261, 3.2034831047058105]
['BV', 47, 'CV', 121, 'dot', 'echo', 'V3', 'V3', 0.14231738035264485, 0.012620210647583008]
['BV', 41, 'CV', 207, 'libvlccore.so', 'sync', 'V1', 'V0', 0.1679260668659962, 2.442178249359131]
['BV', 11, 'UV', 41, 'bash', 'cmp', 'V1', 'V3', 0.12550494497840925, 2.2526497840881348]
['CV', 198, 'UV', 32, 'factor', 'addr2line', 'V0', 'V3', 0.15274067250115153, 0.8536949157714844]
['CV', 8, 'BV', 71, 'du', 'ruby', 'V2', 'V1', 0.21478060046189373, 0.0307462215423584]
['UV', 20, 'CV', 247, 'size', 'shred', 'V2', 'V0', 0.14036632617118705, 0.9180960655212402]
['CV', 169, 'BV', 33, 'sort', 'openssl', 'V3', 'V0', 0.09364442328186295, 6.591868162155151]
['CV', 131, 'UV', 84, 'true', 'ar', 'V3', 'V0', 0.14492880998418, 0.8740143775939941]
['CV', 286, 'UV', 9, 'expand', 'readelf', 'V1', 'V2', 0.10720562390158173, 0.09419679641723633]
['UV', 69, 'CV', 126, 'sdiff', 'whoami', 'V0', 'V3', 0.08671241422333131, 0.034058570861816406]
['CV', 73, 'UV', 87, 'shred', 'objdump', 'V2', 'V0', 0.1265056360708534, 1.4523375034332275]
['CV', 80, 'BV', 50, 'uniq', 'sort', 'V2', 'V0', 0.053952321204516984, 0.03418612480163574]
['BV', 13, 'CV', 67, 'cp', 'uname', 'V2', 'V2', 0.1312670920692799, 0.053792476654052734]
['UV', 54, 'CV', 294, 'as', 'sync', 'V1', 'V1', 0.13375646450399625, 1.4542195796966553]
['CV', 303, 'BV', 41, 'dircolors', 'libvlccore.so', 'V1', 'V1', 0.1646177073223336, 2.5012729167938232]
['CV', 87, 'UV', 30, 'touch', 'ld', 'V3', 'V3', 0.13339525163986765, 1.9477858543395996]
['BV', 48, 'CV', 170, 'gvmap', 'tac', 'V3', 'V3', 0.11854838709677418, 0.13199520111083984]
['UV', 14, 'BV', 38, 'objcopy', 'ruby', 'V2', 'V2', 0.15270291082704457, 0.966221809387207]
['CV', 36, 'BV', 14, 'chroot', 'openssl', 'V2', 'V3', 0.2879181383752337, 5.535706520080566]
['CV', 60, 'UV', 29, 'hostid', 'objcopy', 'V2', 'V3', 0.14374715088892265, 1.0800764560699463]
['CV', 21, 'UV', 47, 'chgrp', 'sdiff', 'V2', 'V1', 0.03880597014925369, 0.0510106086730957]
['CV', 339, 'BV', 1, 'rm', 'libSDL2-2.0.so', 'V1', 'V3', 0.18930096650932793, 5.26283073425293]
['CV', 15, 'UV', 71, 'uptime', 'xargs', 'V2', 'V0', 0.031796502384737635, 0.027603864669799805]
