['CO', 66, 'UO', 66, 'runcon', 'nm', 'O3', 'O0', 0.9348321167883211, 3.1011977195739746]
['CO', 387, 'UO', 33, 'mv', 'objcopy', 'O0', 'O2', 0.5946455505279035, 3.0529918670654297]
['UO', 25, 'CO', 130, 'sdiff', 'kill', 'O2', 'O1', 0.22132672039677614, 0.05253267288208008]
['CO', 220, 'UO', 52, 'ptx', 'ld', 'O2', 'O3', 0.8781618639591525, 2.6064774990081787]
['CO', 205, 'UO', 26, 'rmdir', 'nm', 'O1', 'O2', 0.8835295158863616, 1.4064650535583496]
['CO', 402, 'BO', 40, 'tr', 'lua', 'O0', 'O0', 0.805495157145681, 1.1690242290496826]
['BO', 52, 'CO', 66, 'svn', 'runcon', 'O3', 'O3', 0.8236994219653179, 0.5500247478485107]
['CO', 208, 'BO', 57, 'sha384sum', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9490227363382528, 6.403510332107544]
['UO', 42, 'CO', 334, 'xargs', 'pwd', 'O2', 'O0', 0.26036644165863065, 0.10079073905944824]
['BO', 65, 'CO', 245, 'gvmap', 'truncate', 'O0', 'O2', 0.7762566844919786, 0.2363581657409668]
['UO', 51, 'CO', 356, 'objcopy', 'seq', 'O3', 'O0', 0.8770226537216829, 1.3794176578521729]
['CO', 57, 'UO', 14, 'od', 'ar', 'O3', 'O1', 0.8282101935993679, 1.7517116069793701]
['UO', 4, 'CO', 386, 'strip', 'unexpand', 'O1', 'O0', 0.8866268613768794, 1.767758846282959]
['CO', 358, 'BO', 52, 'whoami', 'svn', 'O0', 'O3', 0.800285759644388, 0.7055158615112305]
['CO', 111, 'UO', 29, 'fmt', 'as', 'O1', 'O2', 0.9203945859142005, 2.515796422958374]
['BO', 16, 'CO', 71, 'make', 'readlink', 'O0', 'O3', 0.7322542572921935, 0.31502509117126465]
['BO', 34, 'CO', 307, 'cp', 'sort', 'O2', 'O2', 0.04749545808460942, 0.22670602798461914]
['BO', 53, 'CO', 257, 'bash', 'nice', 'O0', 'O2', 0.9650078875663273, 4.675871133804321]
['UO', 83, 'CO', 273, 'diff', 'false', 'O0', 'O2', 0.7260450160771704, 0.16941356658935547]
['BO', 24, 'UO', 69, 'cluster', 'as', 'O3', 'O0', 0.8033366478842117, 7.7913432121276855]
['BO', 82, 'UO', 40, 'cp', 'objdump', 'O3', 'O2', 0.7802209589188029, 3.5176711082458496]
['CO', 164, 'UO', 79, 'base64', 'size', 'O1', 'O0', 0.9190554511278195, 3.161050796508789]
['BO', 68, 'CO', 60, 'git', 'base64', 'O3', 'O3', 0.9723662837348572, 8.434512615203857]
['CO', 232, 'UO', 34, 'tee', 'ld', 'O2', 'O2', 0.927993769843647, 2.630772590637207]
['CO', 21, 'UO', 13, 'mktemp', 'addr2line', 'O3', 'O1', 0.8526762956669499, 1.5920383930206299]
['CO', 160, 'UO', 33, 'cut', 'objcopy', 'O1', 'O2', 0.8921700223713647, 1.776113510131836]
['CO', 114, 'BO', 80, 'users', 'ssh', 'O1', 'O3', 0.920244228200725, 1.9668505191802979]
['UO', 67, 'CO', 83, 'strip', 'csplit', 'O0', 'O3', 0.9004667157946451, 3.5560688972473145]
['BO', 20, 'CO', 381, 'sort', 'who', 'O1', 'O0', 0.36781995297279146, 0.16272306442260742]
['BO', 39, 'CO', 159, 'codeblocks', 'cp', 'O3', 'O1', 0.8996876084692815, 15.79836130142212]
['UO', 40, 'BO', 15, 'objdump', 'diff', 'O2', 'O0', 0.721700316603519, 3.152597188949585]
['BO', 41, 'CO', 391, 'libSDL2-2.0.so.0.16.0', 'link', 'O2', 'O0', 0.9390418041262495, 6.8910441398620605]
