['CO', 256, 'BO', 22, 'ls', 'perl', 'O2', 'O0', 0.8833732057416268, 8.029633522033691]
['BO', 48, 'CO', 99, 'libvlccore.so.9.0.0', 'sort', 'O0', 'O3', 0.8825146576149465, 16.68729519844055]
['UO', 38, 'CO', 374, 'elfedit', 'printf', 'O2', 'O0', 0.1746835443037975, 0.05450582504272461]
['UO', 7, 'CO', 296, 'ranlib', 'shred', 'O1', 'O2', 0.842906078228312, 1.637542963027954]
['CO', 236, 'UO', 73, 'factor', 'objcopy', 'O2', 'O0', 0.9084361124814998, 4.3594746589660645]
['CO', 287, 'BO', 28, 'link', 'ruby', 'O2', 'O0', 0.9861225235095408, 19.40979027748108]
['BO', 44, 'CO', 81, 'cmp', 'cat', 'O2', 'O3', 0.14861111111111114, 0.038045644760131836]
['BO', 48, 'UO', 65, 'libvlccore.so.9.0.0', 'sdiff', 'O0', 'O3', 0.9417813178855902, 15.112443447113037]
['UO', 30, 'CO', 216, 'ranlib', 'dir', 'O2', 'O2', 0.7026819923371648, 1.7681331634521484]
['BO', 59, 'CO', 344, 'libgeany.so.0.0.0', 'expr', 'O3', 'O0', 0.9677615287576508, 38.028595209121704]
['CO', 127, 'UO', 49, 'pr', 'c++filt', 'O1', 'O3', 0.7966404574696212, 1.4254045486450195]
['CO', 132, 'UO', 84, 'factor', 'sdiff', 'O1', 'O0', 0.11879836140191169, 0.08861732482910156]
['CO', 355, 'UO', 40, 'chroot', 'objdump', 'O0', 'O2', 0.9010661469677863, 2.847856283187866]
['BO', 83, 'UO', 22, 'lua', 'diff3', 'O2', 'O2', 0.7630404285167708, 0.5437593460083008]
['BO', 3, 'CO', 151, 'openssl', 'numfmt', 'O1', 'O1', 0.927657396348746, 10.438540697097778]
['BO', 35, 'UO', 22, 'make', 'diff3', 'O3', 'O2', 0.672887323943662, 0.3163027763366699]
['BO', 56, 'CO', 212, 'libvlc.so.12.0.0', 'test', 'O3', 'O2', 0.7588491387469241, 0.5200064182281494]
['CO', 401, 'BO', 38, 'pathchk', 'acyclic', 'O0', 'O2', 0.47593582887700536, 0.025446653366088867]
['UO', 60, 'CO', 47, 'xargs', 'numfmt', 'O3', 'O3', 0.24566210045662107, 0.08612871170043945]
['BO', 80, 'CO', 245, 'ssh', 'truncate', 'O3', 'O2', 0.9329065300896286, 1.6915338039398193]
['UO', 83, 'CO', 212, 'diff', 'test', 'O0', 'O2', 0.6160096298525429, 0.1893007755279541]
['BO', 19, 'CO', 261, 'libvlccore.so.9.0.0', 'chmod', 'O1', 'O2', 0.9210932857991682, 6.492527961730957]
['UO', 54, 'CO', 376, 'addr2line', 'tty', 'O3', 'O0', 0.8844731977818854, 1.0787718296051025]
['BO', 70, 'CO', 305, 'diff', 'uniq', 'O3', 'O2', 0.5155987923515599, 0.1190805435180664]
['BO', 19, 'CO', 249, 'libvlccore.so.9.0.0', 'echo', 'O1', 'O2', 0.9637998056365403, 6.181936264038086]
['UO', 65, 'CO', 299, 'sdiff', 'comm', 'O3', 'O2', 0.2527743526510481, 0.04815673828125]
['UO', 53, 'CO', 220, 'gprof', 'ptx', 'O3', 'O2', 0.827674939819042, 1.2471418380737305]
['UO', 5, 'CO', 299, 'readelf', 'comm', 'O1', 'O2', 0.8142076502732241, 0.3697934150695801]
['CO', 217, 'BO', 14, 'du', 'cmp', 'O2', 'O0', 0.3188297074268567, 0.12747406959533691]
['BO', 72, 'CO', 49, 'make', 'nice', 'O2', 'O3', 0.7745427398282941, 0.2742941379547119]
['CO', 46, 'BO', 17, 'whoami', 'codeblocks', 'O3', 'O2', 0.969521725539231, 16.08902859687805]
['CO', 228, 'BO', 55, 'mkfifo', 'make', 'O2', 'O1', 0.8078602620087336, 0.30414724349975586]
['BO', 49, 'CO', 361, 'svn', 'nice', 'O0', 'O0', 0.8024075161479741, 0.7278215885162354]
['CO', 174, 'UO', 41, 'b2sum', 'locate', 'O1', 'O2', 0.4415458937198067, 0.17588353157043457]
['BO', 69, 'CO', 340, 'cmp', 'factor', 'O3', 'O0', 0.3275309207512598, 0.0952463150024414]
['BO', 46, 'CO', 209, 'ruby', 'touch', 'O3', 'O2', 0.9692928557340738, 18.124577522277832]
['CO', 19, 'BO', 3, 'dd', 'openssl', 'O3', 'O1', 0.8886706506749132, 13.339948177337646]
['CO', 174, 'UO', 79, 'b2sum', 'size', 'O1', 'O0', 0.8988666085440279, 3.445819139480591]
['UO', 81, 'CO', 42, 'diff3', 'sum', 'O0', 'O3', 0.25122669283611376, 0.07606101036071777]
['UO', 73, 'CO', 252, 'objcopy', 'seq', 'O0', 'O2', 0.935361216730038, 3.653728485107422]
['CO', 229, 'UO', 0, 'mktemp', 'locate', 'O2', 'O1', 0.5162882527147088, 0.17800688743591309]
['CO', 75, 'UO', 76, 'mv', 'addr2line', 'O3', 'O0', 0.7509011674826491, 4.569663047790527]
['CO', 71, 'UO', 57, 'readlink', 'size', 'O3', 'O3', 0.8553276456707206, 1.2397239208221436]
['CO', 9, 'UO', 51, 'du', 'objcopy', 'O3', 'O3', 0.7416381537602122, 2.0606489181518555]
['UO', 60, 'CO', 222, 'xargs', 'stty', 'O3', 'O2', 0.2703614457831325, 0.08841872215270996]
['UO', 73, 'CO', 226, 'objcopy', 'uptime', 'O0', 'O2', 0.9275499526633115, 3.7238147258758545]
['UO', 21, 'CO', 315, 'sdiff', 'unlink', 'O1', 'O0', 0.24414303329223186, 0.05615949630737305]
['CO', 304, 'UO', 70, 'fold', 'ranlib', 'O2', 'O0', 0.9382603752131893, 3.3735504150390625]
['BO', 68, 'CO', 386, 'git', 'unexpand', 'O3', 'O0', 0.9692061196975322, 8.905807495117188]
['CO', 293, 'BO', 27, '[', 'perl', 'O2', 'O3', 0.9597524128017836, 3.6125996112823486]
['CO', 48, 'UO', 70, 'ls', 'ranlib', 'O3', 'O0', 0.7789248657385682, 4.797993421554565]
