['UO', 39, 'CO', 205, 'size', 'rmdir', 'O2', 'O1', 0.8817610062893082, 1.2334821224212646]
['BO', 16, 'CO', 90, 'make', 'tr', 'O0', 'O3', 0.7342562890427149, 0.3136589527130127]
['BO', 2, 'CO', 144, 'perl', 'sync', 'O1', 'O1', 0.9689467280325874, 3.235130548477173]
['BO', 42, 'CO', 372, 'cmp', 'base64', 'O1', 'O0', 0.11250000000000004, 0.05822396278381348]
['BO', 77, 'CO', 125, 'libSDL2-2.0.so.0.16.0', 'mktemp', 'O3', 'O1', 0.9253920768742634, 6.868793249130249]
['CO', 231, 'UO', 67, 'pr', 'strip', 'O2', 'O0', 0.8988808168073826, 4.3373236656188965]
['CO', 56, 'BO', 48, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9558862144420132, 16.265573501586914]
['CO', 131, 'BO', 66, 'wc', 'svn', 'O1', 'O2', 0.7425495397097831, 0.8415310382843018]
['BO', 43, 'CO', 104, 'diff', 'sha384sum', 'O1', 'O1', 0.5148481815148482, 0.14893746376037598]
['UO', 44, 'CO', 358, 'nm', 'whoami', 'O3', 'O0', 0.8856987097946575, 1.1123566627502441]
['CO', 1, 'UO', 78, 'touch', 'elfedit', 'O3', 'O0', 0.19343252950230894, 0.05925750732421875]
['UO', 67, 'CO', 94, 'strip', 'rm', 'O0', 'O3', 0.876406674427629, 3.79862117767334]
['UO', 69, 'CO', 33, 'as', 'chown', 'O0', 'O3', 0.9038842878805552, 5.231957674026489]
['CO', 286, 'BO', 67, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.8957475994513031, 8.72194528579712]
['CO', 234, 'UO', 34, 'kill', 'ld', 'O2', 'O2', 0.9340183883180098, 2.737210512161255]
['UO', 42, 'BO', 67, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.878333411444908, 9.626169204711914]
['CO', 147, 'UO', 28, 'chroot', 'readelf', 'O1', 'O2', 0.7699197035206918, 0.38997721672058105]
['UO', 28, 'CO', 15, 'readelf', 'join', 'O2', 'O3', 0.7093456550901773, 0.3353612422943115]
['UO', 34, 'CO', 414, 'ld', 'mknod', 'O2', 'O0', 0.8131830985915492, 3.02510404586792]
['BO', 46, 'CO', 13, 'ruby', 'printenv', 'O3', 'O3', 0.9828905760681933, 17.737213850021362]
['CO', 331, 'BO', 18, 'dd', 'libvlc.so.12.0.0', 'O0', 'O1', 0.5372707386841662, 0.8371016979217529]
['CO', 375, 'BO', 32, 'logname', 'ruby', 'O0', 'O2', 0.9788440901425725, 23.264004945755005]
['UO', 83, 'CO', 101, 'diff', 'rmdir', 'O0', 'O3', 0.5866548568054325, 0.19154834747314453]
['BO', 28, 'CO', 113, 'ruby', 'du', 'O0', 'O1', 0.9452740767235983, 20.326640129089355]
['BO', 20, 'CO', 43, 'sort', 'chroot', 'O1', 'O3', 0.4537037037037037, 0.13045454025268555]
['CO', 103, 'UO', 70, 'ln', 'ranlib', 'O3', 'O0', 0.8453128382766832, 4.018137693405151]
['CO', 14, 'UO', 3, 'stty', 'nm', 'O3', 'O1', 0.8514438324152896, 1.6611464023590088]
['UO', 75, 'CO', 81, 'gprof', 'cat', 'O0', 'O3', 0.9229300078642849, 3.0372202396392822]
['CO', 12, 'UO', 10, 'ptx', 'objcopy', 'O3', 'O1', 0.8365546218487395, 2.1238861083984375]
['BO', 47, 'CO', 133, 'libvlc.so.12.0.0', 'nproc', 'O0', 'O1', 0.7888453010404229, 0.8115837574005127]
['UO', 30, 'CO', 276, 'ranlib', 'yes', 'O2', 'O2', 0.9195849546044098, 1.3147196769714355]
['BO', 47, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O0', 'O3', 0.7257799671592775, 0.7815403938293457]
['CO', 200, 'BO', 39, 'fold', 'codeblocks', 'O1', 'O3', 0.9670363524337646, 16.82379674911499]
['BO', 69, 'UO', 86, 'cmp', 'xargs', 'O3', 'O0', 0.3787056367432151, 0.1255044937133789]
['UO', 52, 'CO', 20, 'ld', 'mkfifo', 'O3', 'O3', 0.925515913603273, 2.1045358180999756]
['CO', 219, 'UO', 9, 'groups', 'strings', 'O2', 'O1', 0.9033502894229083, 1.4969205856323242]
['BO', 55, 'CO', 365, 'make', 'chmod', 'O1', 'O0', 0.5466123280692817, 0.3994789123535156]
['CO', 24, 'BO', 15, 'tee', 'diff', 'O3', 'O0', 0.5671424410136906, 0.21160364151000977]
['UO', 33, 'CO', 151, 'objcopy', 'numfmt', 'O2', 'O1', 0.8746952345770226, 1.612243890762329]
['CO', 285, 'UO', 45, 'env', 'strip', 'O2', 'O3', 0.9203819203819203, 1.4852867126464844]
['CO', 334, 'UO', 65, 'pwd', 'sdiff', 'O0', 'O3', 0.14445688689809633, 0.0648190975189209]
['BO', 73, 'UO', 74, 'cluster', 'ld', 'O1', 'O0', 0.789877006781869, 8.78197979927063]
['CO', 2, 'BO', 32, 'stat', 'ruby', 'O3', 'O2', 0.9572073589864546, 25.285012245178223]
['CO', 269, 'UO', 26, 'cksum', 'nm', 'O2', 'O2', 0.9116141201832391, 1.373702049255371]
['UO', 75, 'CO', 370, 'gprof', 'df', 'O0', 'O0', 0.8152802078362759, 3.761425495147705]
['CO', 29, 'BO', 51, 'nproc', 'lua', 'O3', 'O1', 0.8391934467548834, 0.6256470680236816]
['UO', 74, 'CO', 130, 'ld', 'kill', 'O0', 'O1', 0.9469011795106906, 5.479929685592651]
['UO', 80, 'BO', 62, 'objdump', 'bash', 'O0', 'O1', 0.10904755929225751, 18.24828052520752]
['CO', 80, 'UO', 73, 'uname', 'objcopy', 'O3', 'O0', 0.941090872597722, 4.066787004470825]
['CO', 335, 'BO', 21, 'pr', 'cp', 'O0', 'O1', 0.20177777777777783, 0.2086937427520752]
['UO', 52, 'BO', 7, 'ld', 'sort', 'O3', 'O0', 0.7165692216917878, 3.1370108127593994]
['BO', 31, 'CO', 335, 'bash', 'pr', 'O2', 'O0', 0.8921830733011452, 4.303887367248535]
['CO', 98, 'UO', 83, 'sleep', 'diff', 'O3', 'O0', 0.6298543689320388, 0.19754981994628906]
['CO', 351, 'UO', 84, 'paste', 'sdiff', 'O0', 'O0', 0.2425974025974026, 0.07945752143859863]
['BO', 56, 'CO', 101, 'libvlc.so.12.0.0', 'rmdir', 'O3', 'O3', 0.740789227604264, 0.5216352939605713]
['CO', 256, 'BO', 8, 'ls', 'cp', 'O2', 'O0', 0.2394587173955678, 0.4260847568511963]
['UO', 12, 'BO', 0, 'gprof', 'codeblocks', 'O1', 'O1', 0.5296833238843444, 46.06097483634949]
['UO', 33, 'CO', 176, 'objcopy', 'head', 'O2', 'O1', 0.8844411437059042, 1.5590581893920898]
['CO', 288, 'UO', 59, 'uname', 'locate', 'O2', 'O3', 0.6370716510903427, 0.12377476692199707]
['UO', 82, 'CO', 101, 'cmp', 'rmdir', 'O0', 'O3', 0.1843575418994413, 0.050087690353393555]
['UO', 38, 'CO', 148, 'elfedit', 'seq', 'O2', 'O1', 0.11337406653088933, 0.04241943359375]
['UO', 65, 'CO', 306, 'sdiff', 'sleep', 'O3', 'O2', 0.34930139720558884, 0.041681528091430664]
['BO', 42, 'UO', 9, 'cmp', 'strings', 'O1', 'O1', 0.8682851239669421, 1.56760835647583]
['BO', 18, 'CO', 286, 'libvlc.so.12.0.0', 'chcon', 'O1', 'O2', 0.6173387813110677, 0.6283392906188965]
['UO', 84, 'CO', 200, 'sdiff', 'fold', 'O0', 'O1', 0.30529765155652644, 0.0710749626159668]
['UO', 2, 'CO', 202, 'find', 'sleep', 'O1', 'O1', 0.8012907608695652, 0.48821568489074707]
['UO', 70, 'CO', 383, 'ranlib', 'readlink', 'O0', 'O0', 0.898752506126086, 3.357372760772705]
['BO', 62, 'CO', 23, 'bash', 'pr', 'O1', 'O3', 0.9059604820857587, 3.7060153484344482]
['BO', 57, 'UO', 16, 'libvlccore.so.9.0.0', 'size', 'O3', 'O1', 0.3870137218842835, 11.702909231185913]
['UO', 8, 'CO', 112, 'c++filt', 'dir', 'O1', 'O1', 0.6764132553606238, 1.8574011325836182]
['UO', 69, 'BO', 52, 'as', 'svn', 'O0', 'O3', 0.6255762279043544, 7.953952789306641]
['CO', 59, 'UO', 1, 'tsort', 'xargs', 'O3', 'O1', 0.32634587898999523, 0.08667492866516113]
['CO', 352, 'UO', 81, 'sync', 'diff3', 'O0', 'O0', 0.30797290255341325, 0.08510017395019531]
['UO', 79, 'CO', 103, 'size', 'ln', 'O0', 'O3', 0.839112812429633, 3.26765513420105]
['BO', 8, 'CO', 138, 'cp', 'tail', 'O0', 'O1', 0.45786192565227424, 0.30790281295776367]
['UO', 77, 'CO', 367, 'ar', 'cp', 'O0', 'O0', 0.6888558692421991, 4.3407721519470215]
['CO', 81, 'UO', 68, 'cat', 'readelf', 'O3', 'O0', 0.8495049504950495, 0.772308349609375]
['UO', 11, 'CO', 18, 'ld', 'uptime', 'O1', 'O3', 0.9021301093839954, 2.7909390926361084]
['CO', 146, 'BO', 61, 'sum', 'git', 'O1', 'O1', 0.9714017448456633, 9.910591840744019]
['BO', 2, 'CO', 402, 'perl', 'tr', 'O1', 'O0', 0.9479758197472065, 3.5151820182800293]
['BO', 3, 'UO', 69, 'openssl', 'as', 'O1', 'O0', 0.3120074767943244, 49.6982102394104]
['UO', 67, 'CO', 16, 'strip', 'dirname', 'O0', 'O3', 0.9423579031934123, 3.5408053398132324]
['CO', 243, 'UO', 13, 'base32', 'addr2line', 'O2', 'O1', 0.899642826030142, 1.5399386882781982]
['UO', 52, 'CO', 73, 'ld', 'hostid', 'O3', 'O3', 0.9309762278267165, 2.087507963180542]
['CO', 230, 'BO', 55, 'pwd', 'make', 'O2', 'O1', 0.7740553174912349, 0.32071614265441895]
['UO', 1, 'CO', 312, 'xargs', 'sha384sum', 'O1', 'O0', 0.2114285714285714, 0.11532211303710938]
['CO', 302, 'UO', 62, 'rm', 'diff3', 'O2', 'O3', 0.125, 0.07285237312316895]
['CO', 289, 'UO', 50, 'cat', 'strings', 'O2', 'O3', 0.8999531615925058, 1.1567564010620117]
['CO', 6, 'UO', 70, 'mkdir', 'ranlib', 'O3', 'O0', 0.90055187022688, 3.608286142349243]
['UO', 22, 'CO', 266, 'diff3', 'df', 'O2', 'O2', 0.19178680646570556, 0.08877992630004883]
['BO', 12, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O0', 'O0', 0.8993709470741272, 38.98539996147156]
['CO', 154, 'UO', 74, 'dircolors', 'ld', 'O1', 'O0', 0.9412375846735652, 6.293738842010498]
['CO', 190, 'UO', 87, 'timeout', 'find', 'O1', 'O0', 0.7886456011537957, 1.0093398094177246]
['CO', 398, 'UO', 43, 'timeout', 'find', 'O0', 'O2', 0.6888519134775375, 0.6308884620666504]
['CO', 329, 'UO', 52, 'stdbuf', 'ld', 'O0', 'O3', 0.9002434534766344, 2.683759927749634]
['CO', 4, 'BO', 33, 'test', 'sort', 'O3', 'O2', 0.44817188088955895, 0.11953568458557129]
['CO', 164, 'UO', 64, 'base64', 'diff', 'O1', 'O3', 0.5325644504748982, 0.1331920623779297]
['CO', 260, 'UO', 50, 'sha256sum', 'strings', 'O2', 'O3', 0.8814471243042672, 1.1845500469207764]
['CO', 300, 'UO', 22, 'sha512sum', 'diff3', 'O2', 'O2', 0.19132653061224492, 0.04834485054016113]
['UO', 2, 'BO', 17, 'find', 'codeblocks', 'O1', 'O2', 0.7539960561419788, 40.84915566444397]
['UO', 79, 'CO', 116, 'size', 'ptx', 'O0', 'O1', 0.8724209078404401, 3.224576234817505]
['CO', 164, 'BO', 83, 'base64', 'lua', 'O1', 'O2', 0.8187080647283252, 0.6152951717376709]
['BO', 60, 'CO', 145, 'openssl', 'echo', 'O0', 'O1', 0.9574801299870795, 12.416396379470825]
['CO', 301, 'BO', 1, 'nl', 'ssh', 'O2', 'O2', 0.9244588332381134, 2.2109756469726562]
['BO', 32, 'CO', 7, 'ruby', 'fmt', 'O2', 'O3', 0.975378337017514, 20.670698881149292]
['CO', 143, 'UO', 54, 'paste', 'addr2line', 'O1', 'O3', 0.8830809013668267, 1.1924707889556885]
['CO', 310, 'BO', 49, 'mknod', 'svn', 'O2', 'O0', 0.8418841884188419, 0.7935695648193359]
['UO', 12, 'CO', 14, 'gprof', 'stty', 'O1', 'O3', 0.8584493041749502, 1.531132459640503]
['CO', 8, 'UO', 66, 'dir', 'nm', 'O3', 'O0', 0.7732499064121076, 4.598149061203003]
['BO', 82, 'CO', 190, 'cp', 'timeout', 'O3', 'O1', 0.4381317532241199, 0.12354397773742676]
['CO', 107, 'UO', 38, 'unlink', 'elfedit', 'O1', 'O2', 0.1910286156225831, 0.03589916229248047]
['CO', 104, 'BO', 62, 'sha384sum', 'bash', 'O1', 'O1', 0.9393509635438392, 4.270667552947998]
['CO', 241, 'UO', 22, 'chown', 'diff3', 'O2', 'O2', 0.13458755426917512, 0.07202816009521484]
['BO', 56, 'CO', 21, 'libvlc.so.12.0.0', 'mktemp', 'O3', 'O3', 0.6897114861186717, 0.5586292743682861]
['UO', 51, 'CO', 284, 'objcopy', 'md5sum', 'O3', 'O2', 0.9058535839828825, 1.371321201324463]
['UO', 9, 'BO', 38, 'strings', 'acyclic', 'O1', 'O2', 0.9539029440893131, 1.2833139896392822]
['UO', 46, 'CO', 31, 'readelf', 'date', 'O3', 'O3', 0.6736736736736737, 0.33545970916748047]
['BO', 62, 'CO', 153, 'bash', 'nice', 'O1', 'O1', 0.9509882086358105, 3.624171257019043]
['BO', 22, 'CO', 253, 'perl', 'split', 'O0', 'O2', 0.9447875494071146, 5.155865430831909]
['CO', 81, 'UO', 77, 'cat', 'ar', 'O3', 'O0', 0.9226039374964743, 3.460624933242798]
['BO', 77, 'CO', 103, 'libSDL2-2.0.so.0.16.0', 'ln', 'O3', 'O3', 0.8739191812246339, 7.453733921051025]
['CO', 207, 'UO', 52, 'ln', 'ld', 'O1', 'O3', 0.8442830797602582, 3.1069107055664062]
['UO', 31, 'CO', 189, 'c++filt', '[', 'O2', 'O1', 0.8543261006572431, 1.2496297359466553]
['BO', 52, 'CO', 84, 'svn', 'vdir', 'O3', 'O3', 0.46757241732889, 0.8852813243865967]
['UO', 55, 'CO', 298, 'ar', 'tr', 'O3', 'O2', 0.8835794960903562, 1.1766750812530518]
['BO', 57, 'CO', 321, 'libvlccore.so.9.0.0', 'du', 'O3', 'O0', 0.83341462499531, 7.507344007492065]
['CO', 151, 'BO', 11, 'numfmt', 'ssh', 'O1', 'O1', 0.8942247723587377, 2.468517541885376]
['BO', 48, 'CO', 287, 'libvlccore.so.9.0.0', 'link', 'O0', 'O2', 0.9731535721644933, 14.685647249221802]
['UO', 1, 'BO', 36, 'xargs', 'cluster', 'O1', 'O2', 0.32525951557093424, 0.25299906730651855]
['BO', 49, 'CO', 124, 'svn', 'mkfifo', 'O0', 'O1', 0.8284437825763217, 0.703688383102417]
['CO', 334, 'BO', 7, 'pwd', 'sort', 'O0', 'O0', 0.5465184318314804, 0.2465677261352539]
