['UO', 69, 'CO', 296, 'as', 'shred', 'O0', 'O2', 0.9225725391652597, 5.1029603481292725]
['CO', 67, 'BO', 56, 'nohup', 'libvlc.so.12.0.0', 'O3', 'O3', 0.7456864216054013, 0.5777392387390137]
['CO', 69, 'BO', 6, 'who', 'codeblocks', 'O3', 'O0', 0.9681276375212853, 43.51130127906799]
['UO', 10, 'CO', 369, 'objcopy', 'od', 'O1', 'O0', 0.8393884135222331, 1.912992238998413]
['CO', 71, 'BO', 44, 'readlink', 'cmp', 'O3', 'O2', 0.14046391752577314, 0.041394710540771484]
['CO', 275, 'BO', 70, 'nohup', 'diff', 'O2', 'O3', 0.6072572038420491, 0.11753225326538086]
['CO', 0, 'UO', 17, 'sha384sum', 'objdump', 'O3', 'O1', 0.9149007175037543, 2.930220127105713]
['BO', 59, 'UO', 75, 'libgeany.so.0.0.0', 'gprof', 'O3', 'O0', 0.5738946319591481, 62.11135911941528]
['UO', 82, 'CO', 309, 'cmp', 'rmdir', 'O0', 'O2', 0.23525423728813566, 0.04914259910583496]
['CO', 185, 'BO', 30, 'cat', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9501719587299048, 6.846270799636841]
['UO', 13, 'CO', 51, 'addr2line', 'realpath', 'O1', 'O3', 0.853948822579274, 1.376187801361084]
['CO', 368, 'BO', 59, 'cut', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9728003747365134, 39.791205406188965]
['UO', 68, 'CO', 218, 'readelf', 'users', 'O0', 'O2', 0.880089485458613, 0.6449871063232422]
['CO', 164, 'BO', 12, 'base64', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9012535224953843, 40.994077920913696]
['BO', 58, 'CO', 381, 'svn', 'who', 'O1', 'O0', 0.7101137411620043, 0.6942641735076904]
['UO', 85, 'BO', 82, 'locate', 'cp', 'O0', 'O3', 0.2254018032144257, 0.3787271976470947]
['UO', 47, 'CO', 167, 'as', 'logname', 'O3', 'O1', 0.9349468713105077, 1.852626085281372]
['CO', 87, 'UO', 54, 'id', 'addr2line', 'O3', 'O3', 0.8612632347572107, 1.1642482280731201]
['CO', 224, 'BO', 21, 'dirname', 'cp', 'O2', 'O1', 0.6302859444220701, 0.11588382720947266]
['CO', 299, 'UO', 42, 'comm', 'xargs', 'O2', 'O2', 0.3633507853403142, 0.0807194709777832]
['CO', 273, 'BO', 35, 'false', 'make', 'O2', 'O3', 0.8354259223488507, 0.29305052757263184]
['UO', 78, 'BO', 0, 'elfedit', 'codeblocks', 'O0', 'O1', 0.9577329490874159, 16.78264570236206]
['UO', 69, 'CO', 184, 'as', 'uname', 'O0', 'O1', 0.9551988500239579, 4.805119037628174]
['BO', 73, 'CO', 227, 'cluster', 'dd', 'O1', 'O2', 0.42864542864542865, 0.1958484649658203]
['CO', 78, 'UO', 83, 'chcon', 'diff', 'O3', 'O0', 0.38548636129696345, 0.24712395668029785]
['UO', 19, 'CO', 104, 'cmp', 'sha384sum', 'O1', 'O1', 0.08713136729222515, 0.049599647521972656]
['CO', 107, 'UO', 50, 'unlink', 'strings', 'O1', 'O3', 0.8972871842843779, 1.131880760192871]
['UO', 44, 'CO', 341, 'nm', 'nproc', 'O3', 'O0', 0.8731046931407942, 1.0930089950561523]
['BO', 26, 'CO', 28, 'gvmap', 'factor', 'O3', 'O3', 0.4768674075988628, 0.16159296035766602]
['UO', 30, 'CO', 260, 'ranlib', 'sha256sum', 'O2', 'O2', 0.8911321236902632, 1.2859668731689453]
['BO', 29, 'CO', 77, 'libvlc.so.12.0.0', 'env', 'O2', 'O3', 0.7526944934352342, 0.4987006187438965]
['CO', 17, 'BO', 44, 'stdbuf', 'cmp', 'O3', 'O2', 0.11477572559366755, 0.04014158248901367]
['BO', 20, 'CO', 100, 'sort', 'tac', 'O1', 'O3', 0.4417784050811574, 0.1271507740020752]
['UO', 79, 'BO', 78, 'size', 'ssh', 'O0', 'O0', 0.09068337001297899, 11.856419801712036]
['CO', 93, 'UO', 75, 'nl', 'gprof', 'O3', 'O0', 0.9185114610771731, 3.2884128093719482]
['CO', 232, 'UO', 0, 'tee', 'locate', 'O2', 'O1', 0.5862306368330464, 0.15706539154052734]
['CO', 366, 'UO', 23, 'true', 'cmp', 'O0', 'O2', 0.14605067064083455, 0.04201698303222656]
['BO', 18, 'CO', 260, 'libvlc.so.12.0.0', 'sha256sum', 'O1', 'O2', 0.7560975609756098, 0.5334515571594238]
['CO', 180, 'UO', 12, 'md5sum', 'gprof', 'O1', 'O1', 0.8849814486207452, 1.6457130908966064]
['CO', 3, 'BO', 66, 'unlink', 'svn', 'O3', 'O2', 0.8102024291497976, 0.668914794921875]
['CO', 137, 'UO', 23, 'chown', 'cmp', 'O1', 'O2', 0.2526582278481013, 0.07034015655517578]
['CO', 198, 'UO', 79, 'rm', 'size', 'O1', 'O0', 0.8534067056220571, 3.7206497192382812]
['CO', 237, 'UO', 66, 'nproc', 'nm', 'O2', 'O0', 0.9385677509946173, 3.1017086505889893]
['UO', 47, 'CO', 171, 'as', 'nohup', 'O3', 'O1', 0.9247210804462713, 1.8330893516540527]
['CO', 383, 'UO', 37, 'readlink', 'ar', 'O0', 'O2', 0.8486135398451161, 1.6718032360076904]
['CO', 32, 'BO', 63, 'expr', 'cluster', 'O3', 'O0', 0.6518578352180937, 0.2701561450958252]
['BO', 79, 'CO', 410, 'bash', 'sleep', 'O3', 'O0', 0.9474264127184008, 3.1944758892059326]
['CO', 315, 'BO', 1, 'unlink', 'ssh', 'O0', 'O2', 0.9215313430943779, 2.1652040481567383]
['CO', 188, 'BO', 22, 'vdir', 'perl', 'O1', 'O0', 0.8762475049900199, 8.361916065216064]
['BO', 50, 'CO', 410, 'perl', 'sleep', 'O2', 'O0', 0.9598292140236936, 3.181610584259033]
['CO', 178, 'UO', 31, 'unexpand', 'c++filt', 'O1', 'O2', 0.8752617681871984, 1.3283727169036865]
['UO', 73, 'CO', 128, 'objcopy', 'tee', 'O0', 'O1', 0.9309174403514027, 3.449859619140625]
['CO', 246, 'UO', 2, 'sha1sum', 'find', 'O2', 'O1', 0.7912162162162162, 0.5393908023834229]
['BO', 25, 'CO', 157, 'dot', 'chmod', 'O3', 'O1', 0.6567505720823799, 0.03649163246154785]
['BO', 4, 'CO', 189, 'libgeany.so.0.0.0', '[', 'O2', 'O1', 0.974322758795804, 36.998600006103516]
['CO', 252, 'UO', 5, 'seq', 'readelf', 'O2', 'O1', 0.8048927816369676, 0.42306995391845703]
['CO', 346, 'UO', 32, 'tail', 'strings', 'O0', 'O2', 0.7331109257714762, 1.901087999343872]
['CO', 365, 'BO', 14, 'chmod', 'cmp', 'O0', 'O0', 0.19839500668747212, 0.1075596809387207]
['CO', 273, 'BO', 4, 'false', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9863962957049337, 39.332518339157104]
['BO', 55, 'CO', 253, 'make', 'split', 'O1', 'O2', 0.6718061674008811, 0.30565667152404785]
['CO', 390, 'UO', 1, 'chcon', 'xargs', 'O0', 'O1', 0.13662302786169855, 0.17546725273132324]
['BO', 29, 'CO', 240, 'libvlc.so.12.0.0', 'expr', 'O2', 'O2', 0.7027284869299752, 0.5322666168212891]
['BO', 80, 'CO', 126, 'ssh', 'pwd', 'O3', 'O1', 0.9152499365643237, 1.6921844482421875]
['UO', 10, 'CO', 232, 'objcopy', 'tee', 'O1', 'O2', 0.912352340673764, 1.7017438411712646]
['BO', 77, 'CO', 245, 'libSDL2-2.0.so.0.16.0', 'truncate', 'O3', 'O2', 0.9518448743279879, 6.595722436904907]
['UO', 8, 'CO', 106, 'c++filt', 'stat', 'O1', 'O1', 0.785530359664424, 1.559112548828125]
['UO', 54, 'CO', 175, 'addr2line', 'readlink', 'O3', 'O1', 0.8592140056533236, 1.0843348503112793]
['UO', 38, 'CO', 83, 'elfedit', 'csplit', 'O2', 'O3', 0.19521912350597614, 0.047547101974487305]
['UO', 39, 'CO', 216, 'size', 'dir', 'O2', 'O2', 0.6876509418773145, 1.5740389823913574]
['UO', 8, 'CO', 139, 'c++filt', 'base32', 'O1', 'O1', 0.8795138585293346, 1.3526818752288818]
