['CO', 272, 'UO', 30, 'tty', 'ranlib', 'O2', 'O2', 0.9205813651699974, 1.3916945457458496]
['BO', 3, 'UO', 47, 'openssl', 'as', 'O1', 'O3', 0.3721687828652045, 20.818331718444824]
['CO', 359, 'BO', 46, 'numfmt', 'ruby', 'O0', 'O3', 0.9655355168915338, 21.433259963989258]
['UO', 10, 'CO', 366, 'objcopy', 'true', 'O1', 'O0', 0.9141668491350996, 1.7116458415985107]
['CO', 63, 'BO', 13, 'logname', 'ruby', 'O3', 'O1', 0.9823771055082998, 18.39781355857849]
['UO', 41, 'CO', 256, 'locate', 'ls', 'O2', 'O2', 0.11063321385902025, 0.2793898582458496]
['UO', 86, 'CO', 0, 'xargs', 'sha384sum', 'O0', 'O3', 0.3773898586866168, 0.11678147315979004]
['BO', 0, 'CO', 380, 'codeblocks', 'yes', 'O1', 'O0', 0.966924902835381, 13.927998304367065]
['CO', 410, 'BO', 66, 'sleep', 'svn', 'O0', 'O2', 0.7865941449368101, 0.7679200172424316]
['BO', 70, 'CO', 101, 'diff', 'rmdir', 'O3', 'O3', 0.525320729237002, 0.10788822174072266]
['UO', 55, 'BO', 44, 'ar', 'cmp', 'O3', 'O2', 0.8699327238226668, 1.1475629806518555]
['BO', 14, 'CO', 107, 'cmp', 'unlink', 'O0', 'O1', 0.2573781743308168, 0.04906797409057617]
['CO', 222, 'BO', 18, 'stty', 'libvlc.so.12.0.0', 'O2', 'O1', 0.7169882709042754, 0.6234164237976074]
['CO', 96, 'UO', 78, 'fold', 'elfedit', 'O3', 'O0', 0.1725990597716588, 0.03934001922607422]
['BO', 31, 'CO', 299, 'bash', 'comm', 'O2', 'O2', 0.9496751911849355, 3.467310905456543]
['CO', 215, 'BO', 22, 'fmt', 'perl', 'O2', 'O0', 0.9629110176094748, 5.5706329345703125]
['CO', 68, 'UO', 65, 'yes', 'sdiff', 'O3', 'O3', 0.29618033813400124, 0.04032611846923828]
['CO', 22, 'UO', 64, 'pwd', 'diff', 'O3', 'O3', 0.5217244863590434, 0.11757826805114746]
